================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 11
  alpha      : 0.7000
  norm       : max
  timestamp  : 2026-09-09 10:46:54
  remove_target  : 34499
  accum_removed  : 34746
  selected_channels : 154
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1758245
  model_sparsity : 19.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       20    62.5%
  features.2                 96          0       35    36.5%
  features.3                144          2       19    13.2%
  features.4                144          2       23    16.0%
  features.5                192          0       16     8.3%
  features.6                192          2       85    44.3%
  features.7                192          0        2     1.0%
  features.8                384          8       76    19.8%
  features.9                384         28      134    34.9%
  features.10               384          1       96    25.0%
  features.11               384          5      113    29.4%
  features.12               576          0      150    26.0%
  features.13               576         33      180    31.2%
  features.14               576         42      157    27.3%
  features.15               960         10      267    27.8%
  features.16               960         18      308    32.1%
  features.17               960          3      130    13.5%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 12          1       8.3%
  features.2                 61          1       1.6%
  features.3                127          1       0.8%
  features.4                123          1       0.8%
  features.5                176          1       0.6%
  features.6                109          1       0.9%
  features.7                190          1       0.5%
  features.8                316          2       0.6%
  features.9                278          2       0.7%
  features.10               289          2       0.7%
  features.11               276          2       0.7%
  features.12               426          3       0.7%
  features.13               429          3       0.7%
  features.14               461          3       0.7%
  features.15               703          4       0.6%
  features.16               670          4       0.6%
  features.17               833          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 1채널 제거
  features.11: 5채널 제거
  features.13: 33채널 제거
  features.14: 42채널 제거
  features.15: 10채널 제거
  features.16: 18채널 제거
  features.17: 3채널 제거
  features.3: 2채널 제거
  features.4: 2채널 제거
  features.6: 2채널 제거
  features.8: 8채널 제거
  features.9: 28채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.6                        92    -0.299707 1.478736e-07 1.795186e-06   1.0000   0.0004       73
features.16                      530    -0.299424 1.202630e-06 9.252138e-08   1.0000   0.0008      329
features.15                      202    -0.296930 1.428869e-06 1.593822e-07   1.0000   0.0044      329
features.10                       29    -0.292928 7.000805e-07 1.753600e-07   1.0000   0.0101      137
features.9                       287    -0.292523 3.146885e-07 3.164575e-07   1.0000   0.0107      137
features.13                      200    -0.289346 2.399005e-07 4.435059e-07   0.9787   0.0061      201
features.8                       260    -0.279709 5.547963e-07 1.266262e-06   1.0000   0.0290      137
features.14                      362    -0.276270 2.355054e-06 3.995196e-07   0.9756   0.0234      265
features.13                      424    -0.275675 2.293059e-07 5.165682e-07   0.9355   0.0071      201
features.9                       147    -0.275054 2.937644e-07 2.115604e-07   0.9335   0.0071      137
features.13                       50    -0.273962 2.451099e-07 2.700235e-06   1.0000   0.0372      201
features.13                       53    -0.271617 2.238657e-07 2.468719e-07   0.9133   0.0034      201
features.13                      483    -0.265732 2.233748e-07 7.948724e-07   0.9113   0.0109      201
features.9                       276    -0.263687 2.788727e-07 9.179572e-08   0.8862   0.0031      137
features.11                      335    -0.262949 1.286140e-06 6.816796e-06   1.0000   0.0529      169
features.14                      329    -0.261803 2.310362e-06 6.164454e-07   0.9571   0.0362      265
features.13                      244    -0.258345 2.224761e-07 1.446864e-06   0.9077   0.0199      201
features.9                       167    -0.257523 2.755659e-07 2.192328e-07   0.8757   0.0074      137
features.14                        3    -0.253295 2.105410e-06 2.035731e-07   0.8722   0.0119      265
features.9                       325    -0.250443 2.723392e-07 3.887277e-07   0.8654   0.0131      137
features.14                      127    -0.248574 2.413910e-06 1.251663e-06   1.0000   0.0735      265
features.14                      282    -0.242683 1.973936e-06 6.418567e-08   0.8177   0.0038      265
features.9                       278    -0.242254 2.759757e-07 8.820955e-07   0.8770   0.0298      137
features.15                      244    -0.236198 1.165718e-06 4.439468e-07   0.8158   0.0122      329
features.13                      533    -0.235761 1.959100e-07 4.169278e-07   0.7993   0.0057      201
features.16                      666    -0.232955 1.076666e-06 5.719678e-06   0.8953   0.0509      329
features.9                       212    -0.228669 2.417707e-07 7.688254e-08   0.7683   0.0026      137
features.14                      112    -0.226630 2.066287e-06 7.342451e-07   0.8560   0.0431      265
features.13                      400    -0.221934 1.828577e-07 1.941039e-07   0.7460   0.0027      201
features.14                      286    -0.218909 1.984463e-06 6.746508e-07   0.8221   0.0396      265
features.13                       74    -0.209596 1.732868e-07 2.587977e-07   0.7070   0.0036      201
features.9                       328    -0.208099 2.276693e-07 3.785364e-07   0.7235   0.0128      137
features.14                      354    -0.207586 1.960988e-06 8.792457e-07   0.8124   0.0516      265
features.13                      174    -0.206945 1.718214e-07 3.477442e-07   0.7010   0.0048      201
features.13                       61    -0.206716 1.769143e-07 1.018000e-06   0.7218   0.0140      201
features.3                         0    -0.205766 3.009690e-07 6.335165e-05   0.7629   0.0330       57
features.14                      485    -0.205210 1.715651e-06 1.949728e-07   0.7107   0.0114      265
features.9                       285    -0.204226 2.329713e-07 7.564257e-07   0.7403   0.0255      137
features.9                       183    -0.204013 2.167280e-07 1.099697e-07   0.6887   0.0037      137
features.16                       10    -0.203914 8.451555e-07 1.109838e-06   0.7028   0.0099      329
features.13                      391    -0.203016 1.687030e-07 3.594187e-07   0.6883   0.0050      201
features.8                       231    -0.202713 3.990338e-07 8.150079e-07   0.7192   0.0187      137
features.13                      313    -0.201936 1.676626e-07 3.393239e-07   0.6840   0.0047      201
features.13                      254    -0.199806 1.731694e-07 1.259245e-06   0.7065   0.0173      201
features.9                       334    -0.198069 2.472977e-07 1.595159e-06   0.7858   0.0538      137
features.15                      860    -0.195977 9.396844e-07 6.830677e-08   0.6576   0.0019      329
features.14                      176    -0.194647 1.591959e-06 7.790261e-08   0.6595   0.0046      265
features.9                       350    -0.194281 2.114295e-07 3.081034e-07   0.6719   0.0104      137
features.13                      234    -0.193695 1.593265e-07 1.359089e-07   0.6500   0.0019      201
features.14                       52    -0.193352 1.932324e-06 1.138978e-06   0.8005   0.0669      265
features.14                      388    -0.192897 1.748823e-06 5.949898e-07   0.7245   0.0349      265
features.13                      164    -0.191581 1.596893e-07 4.012076e-07   0.6515   0.0055      201
features.14                      328    -0.190239 1.813088e-06 8.540664e-07   0.7511   0.0501      265
features.9                       153    -0.190114 2.016314e-07 8.913663e-08   0.6407   0.0030      137
features.9                        71    -0.188089 2.294749e-07 1.298416e-06   0.7292   0.0438      137
features.13                      440    -0.185529 1.538031e-07 2.817288e-07   0.6275   0.0039      201
features.14                      263    -0.183426 1.658072e-06 5.509925e-07   0.6869   0.0323      265
features.14                      556    -0.183077 2.000626e-06 1.595661e-06   0.8288   0.0937      265
features.14                       47    -0.182425 1.687650e-06 6.648390e-07   0.6991   0.0390      265
features.16                      953    -0.181986 7.338334e-07 1.719002e-07   0.6102   0.0015      329
features.8                       157    -0.181149 3.460501e-07 3.728093e-07   0.6237   0.0085      137
features.13                      359    -0.180640 1.504712e-07 3.657904e-07   0.6139   0.0050      201
features.13                      162    -0.180374 1.595089e-07 1.540557e-06   0.6508   0.0212      201
features.9                       253    -0.180352 2.197997e-07 1.235487e-06   0.6985   0.0417      137
features.16                      537    -0.179435 7.491836e-07 1.196338e-06   0.6230   0.0106      329
features.11                      370    -0.178340 1.010717e-06 1.056374e-05   0.7859   0.0820      169
features.4                        84    -0.178303 1.679832e-06 9.650809e-06   0.7534   0.0682       65
features.8                       315    -0.177911 3.587479e-07 1.003330e-06   0.6466   0.0230      137
features.11                       87    -0.177878 7.784920e-07 6.825953e-07   0.6053   0.0053      169
features.14                       34    -0.177869 1.487488e-06 1.702624e-07   0.6162   0.0100      265
features.9                       340    -0.177560 1.931145e-07 2.768155e-07   0.6137   0.0093      137
