================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 12
  alpha      : 0.7000
  norm       : max
  timestamp  : 2026-09-09 10:50:21
  remove_target  : 33631
  accum_removed  : 33714
  selected_channels : 154
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1724531
  model_sparsity : 21.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       20    62.5%
  features.2                 96          0       35    36.5%
  features.3                144          0       19    13.2%
  features.4                144          7       30    20.8%
  features.5                192          1       17     8.9%
  features.6                192         16      101    52.6%
  features.7                192          0        2     1.0%
  features.8                384          8       84    21.9%
  features.9                384         10      144    37.5%
  features.10               384         14      110    28.6%
  features.11               384         13      126    32.8%
  features.12               576          7      157    27.3%
  features.13               576         10      190    33.0%
  features.14               576         18      175    30.4%
  features.15               960         11      278    29.0%
  features.16               960         34      342    35.6%
  features.17               960          5      135    14.1%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 12          1       8.3%
  features.2                 61          1       1.6%
  features.3                125          1       0.8%
  features.4                121          1       0.8%
  features.5                176          1       0.6%
  features.6                107          1       0.9%
  features.7                190          1       0.5%
  features.8                308          2       0.6%
  features.9                250          2       0.8%
  features.10               288          2       0.7%
  features.11               271          2       0.7%
  features.12               426          3       0.7%
  features.13               396          2       0.5%
  features.14               419          3       0.7%
  features.15               693          4       0.6%
  features.16               652          4       0.6%
  features.17               830          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 14채널 제거
  features.11: 13채널 제거
  features.12: 7채널 제거
  features.13: 10채널 제거
  features.14: 18채널 제거
  features.15: 11채널 제거
  features.16: 34채널 제거
  features.17: 5채널 제거
  features.4: 7채널 제거
  features.5: 1채널 제거
  features.6: 16채널 제거
  features.8: 8채널 제거
  features.9: 10채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.16                      670    -0.299129 1.171052e-06 2.144023e-07   1.0000   0.0012      329
features.13                      291    -0.294478 3.158055e-07 5.385054e-07   1.0000   0.0079      201
features.9                       382    -0.281792 4.279605e-07 8.551030e-07   1.0000   0.0260      137
features.16                      416    -0.275324 1.077291e-06 1.616459e-07   0.9199   0.0009      329
features.15                      668    -0.273078 1.384132e-06 1.220232e-06   1.0000   0.0385      329
features.13                      316    -0.271851 2.880997e-07 1.784031e-07   0.9123   0.0026      201
features.16                      366    -0.257339 1.007618e-06 1.949421e-07   0.8604   0.0011      329
features.16                      282    -0.254591 1.013323e-06 1.231223e-06   0.8653   0.0071      329
features.16                      677    -0.252121 1.024002e-06 2.512516e-06   0.8744   0.0146      329
features.6                       176    -0.249956 7.184764e-08 1.006413e-06   0.8339   0.0003       73
features.6                        57    -0.247225 7.118761e-08 3.171061e-06   0.8262   0.0009       73
features.9                       305    -0.241659 3.472571e-07 8.302678e-08   0.8114   0.0025      137
features.16                      255    -0.237481 9.281552e-07 7.214599e-08   0.7926   0.0004      329
features.6                       167    -0.221405 6.371945e-08 2.256734e-06   0.7395   0.0006       73
features.6                        35    -0.221364 6.372819e-08 2.614889e-06   0.7396   0.0007       73
features.4                        38    -0.221174 1.917900e-06 1.503632e-05   1.0000   0.1126       65
features.14                      102    -0.220257 2.022056e-06 2.665905e-07   0.7791   0.0193      265
features.16                      733    -0.218608 8.713083e-07 1.133164e-06   0.7440   0.0066      329
features.12                      476    -0.215650 6.353361e-07 6.988166e-06   1.0000   0.1205      201
features.15                      281    -0.214017 1.008043e-06 2.025237e-07   0.7283   0.0064      329
features.12                      236    -0.211730 4.509957e-07 1.015941e-07   0.7099   0.0018      201
features.15                       61    -0.208191 9.692521e-07 8.552315e-08   0.7003   0.0027      329
features.16                      551    -0.205243 8.022873e-07 7.050082e-08   0.6851   0.0004      329
features.8                        93    -0.204724 3.555100e-07 9.220448e-08   0.6867   0.0018      137
features.11                       69    -0.200706 1.034854e-06 1.751359e-05   1.0000   0.1418      169
features.15                       24    -0.199120 9.789565e-07 5.919690e-07   0.7073   0.0187      329
