================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 18
  alpha      : 0.7000
  norm       : max
  timestamp  : 2026-09-09 11:11:01
  remove_target  : 28866
  accum_removed  : 28901
  selected_channels : 101
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1538768
  model_sparsity : 29.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       21    65.6%
  features.2                 96          2       37    38.5%
  features.3                144          4       24    16.7%
  features.4                144          1       36    25.0%
  features.5                192          1       22    11.5%
  features.6                192          0      107    55.7%
  features.7                192          0        2     1.0%
  features.8                384          0       92    24.0%
  features.9                384          3      175    45.6%
  features.10               384          0      115    29.9%
  features.11               384          1      163    42.4%
  features.12               576          4      232    40.3%
  features.13               576         27      286    49.7%
  features.14               576          3      219    38.0%
  features.15               960         32      375    39.1%
  features.16               960          3      467    48.6%
  features.17               960         19      243    25.3%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 12          1       8.3%
  features.2                 61          1       1.6%
  features.3                124          1       0.8%
  features.4                109          1       0.9%
  features.5                171          1       0.6%
  features.6                 85          1       1.2%
  features.7                190          1       0.5%
  features.8                292          2       0.7%
  features.9                212          2       0.9%
  features.10               269          2       0.7%
  features.11               222          2       0.9%
  features.12               348          2       0.6%
  features.13               317          2       0.6%
  features.14               360          2       0.6%
  features.15               617          4       0.6%
  features.16               496          3       0.6%
  features.17               736          4       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.11: 1채널 제거
  features.12: 4채널 제거
  features.13: 27채널 제거
  features.14: 3채널 제거
  features.15: 32채널 제거
  features.16: 3채널 제거
  features.17: 19채널 제거
  features.2: 2채널 제거
  features.3: 4채널 제거
  features.4: 1채널 제거
  features.5: 1채널 제거
  features.9: 3채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      669    -0.298710 5.809029e-07 1.516530e-07   1.0000   0.0018      329
features.13                      516    -0.295618 1.173801e-07 5.975167e-07   1.0000   0.0063      201
features.17                       59    -0.288989 1.384887e-06 1.609541e-07   1.0000   0.0157      489
features.14                      413    -0.285419 2.700439e-06 2.358037e-07   1.0000   0.0208      265
features.3                        20    -0.279811 1.217584e-07 2.304118e-05   0.9717   0.0167       57
features.15                      128    -0.277082 5.392490e-07 1.653514e-07   0.9283   0.0020      329
features.15                      678    -0.277050 5.374769e-07 6.144261e-08   0.9252   0.0007      329
features.17                      807    -0.271827 1.326775e-06 2.278191e-07   0.9580   0.0223      489
features.15                      545    -0.263560 5.123690e-07 1.229781e-07   0.8820   0.0015      329
features.13                       41    -0.262320 1.039927e-07 4.723535e-07   0.8859   0.0049      201
features.1                        12    -0.256544 2.829609e-07 2.228994e-02   1.0000   0.0621       25
features.15                      253    -0.246601 4.786374e-07 6.882077e-08   0.8240   0.0008      329
features.13                      300    -0.244504 1.038324e-07 2.846984e-06   0.8846   0.0298      201
features.17                      421    -0.242996 1.174132e-06 1.659092e-07   0.8478   0.0162      489
features.15                       79    -0.241674 4.750994e-07 4.332786e-07   0.8179   0.0053      329
features.13                      541    -0.240226 1.028900e-07 3.102095e-06   0.8765   0.0325      201
features.13                      379    -0.239114 9.500685e-08 5.050507e-07   0.8094   0.0053      201
features.15                      832    -0.237411 4.619833e-07 1.381108e-07   0.7953   0.0017      329
features.13                      469    -0.229484 9.022706e-08 1.523309e-07   0.7687   0.0016      201
features.13                      569    -0.227640 9.176289e-08 9.393539e-07   0.7818   0.0098      201
features.13                      367    -0.226934 9.407103e-08 1.840485e-06   0.8014   0.0193      201
features.15                      200    -0.223578 4.463910e-07 8.178735e-07   0.7684   0.0099      329
features.15                       25    -0.223161 4.488716e-07 1.017568e-06   0.7727   0.0124      329
features.15                      896    -0.222024 4.370442e-07 4.329900e-07   0.7524   0.0053      329
features.2                        84    -0.220478 9.290694e-07 2.413913e-05   0.7584   0.0101       49
features.17                      764    -0.218705 1.034094e-06 7.754937e-08   0.7467   0.0076      489
