================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 21
  alpha      : 0.7000
  norm       : max
  timestamp  : 2026-09-09 11:21:20
  remove_target  : 26742
  accum_removed  : 26893
  selected_channels : 93
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1455822
  model_sparsity : 33.6%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       21    65.6%
  features.2                 96          0       38    39.6%
  features.3                144          0       29    20.1%
  features.4                144          3       45    31.2%
  features.5                192          0       23    12.0%
  features.6                192          4      117    60.9%
  features.7                192          3        8     4.2%
  features.8                384          3      102    26.6%
  features.9                384          4      181    47.1%
  features.10               384          2      129    33.6%
  features.11               384          6      186    48.4%
  features.12               576         13      262    45.5%
  features.13               576          7      313    54.3%
  features.14               576          2      227    39.4%
  features.15               960         16      430    44.8%
  features.16               960          4      471    49.1%
  features.17               960         26      324    33.8%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 11          1       9.1%
  features.2                 58          1       1.7%
  features.3                115          1       0.9%
  features.4                102          1       1.0%
  features.5                169          1       0.6%
  features.6                 79          1       1.3%
  features.7                187          1       0.5%
  features.8                285          2       0.7%
  features.9                207          2       1.0%
  features.10               257          2       0.8%
  features.11               204          2       1.0%
  features.12               327          2       0.6%
  features.13               270          2       0.7%
  features.14               351          2       0.6%
  features.15               546          3       0.5%
  features.16               493          3       0.6%
  features.17               662          4       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 2채널 제거
  features.11: 6채널 제거
  features.12: 13채널 제거
  features.13: 7채널 제거
  features.14: 2채널 제거
  features.15: 16채널 제거
  features.16: 4채널 제거
  features.17: 26채널 제거
  features.4: 3채널 제거
  features.6: 4채널 제거
  features.7: 3채널 제거
  features.8: 3채널 제거
  features.9: 4채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                       33    -0.299142 5.484443e-07 1.918273e-07   1.0000   0.0012      329
features.13                      452    -0.297117 1.740592e-07 6.781343e-07   1.0000   0.0041      201
features.12                      540    -0.285876 1.910697e-07 1.646711e-06   1.0000   0.0202      201
features.12                      560    -0.278760 1.808992e-07 6.144542e-07   0.9468   0.0075      201
features.15                      855    -0.276948 5.070665e-07 9.337131e-08   0.9246   0.0006      329
features.17                      744    -0.264374 1.287711e-06 2.483529e-08   0.8862   0.0021      489
features.12                      227    -0.239899 1.578670e-07 9.290540e-07   0.8262   0.0114      201
features.11                      116    -0.237382 7.600361e-07 1.756103e-05   1.0000   0.0895      169
features.15                      361    -0.235692 4.396942e-07 1.078500e-06   0.8017   0.0069      329
features.10                      188    -0.228194 3.125611e-07 2.724500e-07   0.8027   0.0180      137
features.17                      938    -0.226137 1.263714e-06 5.846351e-07   0.8697   0.0497      489
features.9                       168    -0.224512 2.849756e-07 3.573217e-07   0.7837   0.0151      137
features.17                      195    -0.222703 1.197150e-06 4.112455e-07   0.8238   0.0349      489
features.17                      697    -0.221049 1.129911e-06 2.055863e-07   0.7776   0.0175      489
features.17                      520    -0.215945 1.107483e-06 2.135511e-07   0.7621   0.0181      489
features.15                      621    -0.213468 3.932076e-07 3.616092e-07   0.7169   0.0023      329
features.17                      231    -0.211820 1.138108e-06 3.892750e-07   0.7832   0.0331      489
features.9                       251    -0.208155 2.662993e-07 3.892884e-07   0.7324   0.0165      137
features.15                      247    -0.205647 4.000551e-07 2.949027e-06   0.7294   0.0188      329
features.7                        50    -0.204445 2.345001e-06 1.446023e-06   0.8278   0.0627      105
features.12                      359    -0.203175 1.361548e-07 1.236119e-06   0.7126   0.0151      201
features.9                        45    -0.201727 2.629243e-07 5.120671e-07   0.7231   0.0217      137
features.13                      319    -0.196591 1.156885e-07 6.597917e-07   0.6646   0.0040      201
features.11                      158    -0.191370 4.956747e-07 1.200853e-06   0.6522   0.0061      169
features.15                      375    -0.190910 3.497478e-07 9.008863e-08   0.6377   0.0006      329
features.15                      279    -0.190865 3.620607e-07 1.606595e-06   0.6602   0.0103      329
