================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 23
  alpha      : 0.7000
  norm       : max
  timestamp  : 2026-09-09 11:28:11
  remove_target  : 25414
  accum_removed  : 25487
  selected_channels : 95
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1404103
  model_sparsity : 36.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       22    68.8%
  features.2                 96          1       39    40.6%
  features.3                144          0       29    20.1%
  features.4                144          0       51    35.4%
  features.5                192          1       24    12.5%
  features.6                192          0      117    60.9%
  features.7                192          0        8     4.2%
  features.8                384          0      105    27.3%
  features.9                384          3      184    47.9%
  features.10               384          6      141    36.7%
  features.11               384          3      191    49.7%
  features.12               576         13      284    49.3%
  features.13               576         22      360    62.5%
  features.14               576          0      227    39.4%
  features.15               960          4      486    50.6%
  features.16               960         30      502    52.3%
  features.17               960         11      335    34.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 11          1       9.1%
  features.2                 58          1       1.7%
  features.3                115          1       0.9%
  features.4                 93          1       1.1%
  features.5                169          1       0.6%
  features.6                 75          1       1.3%
  features.7                184          1       0.5%
  features.8                279          2       0.7%
  features.9                203          2       1.0%
  features.10               249          2       0.8%
  features.11               196          1       0.5%
  features.12               305          2       0.7%
  features.13               238          2       0.8%
  features.14               349          2       0.6%
  features.15               478          3       0.6%
  features.16               488          3       0.6%
  features.17               636          4       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 6채널 제거
  features.11: 3채널 제거
  features.12: 13채널 제거
  features.13: 22채널 제거
  features.15: 4채널 제거
  features.16: 30채널 제거
  features.17: 11채널 제거
  features.2: 1채널 제거
  features.5: 1채널 제거
  features.9: 3채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.13                      173    -0.296194 1.424050e-07 9.334706e-07   1.0000   0.0054      201
features.15                      277    -0.289891 1.271401e-06 1.134662e-06   1.0000   0.0144      329
features.16                      231    -0.283488 8.833608e-07 2.441292e-07   0.9464   0.0006      329
features.16                      333    -0.252317 7.856838e-07 1.198606e-07   0.8418   0.0003      329
features.16                      811    -0.239540 7.647446e-07 3.461773e-06   0.8193   0.0089      329
features.11                      263    -0.233362 9.520363e-07 1.534724e-05   0.9848   0.0887      169
features.12                      564    -0.225410 1.483674e-07 5.187850e-06   0.8376   0.0370      201
features.17                       13    -0.224508 1.949629e-06 1.182337e-06   1.0000   0.1078      489
features.16                      498    -0.219909 6.889937e-07 8.548540e-07   0.7382   0.0022      329
features.16                      493    -0.216639 6.786804e-07 8.300153e-07   0.7271   0.0021      329
features.16                      641    -0.210934 6.574691e-07 2.150585e-07   0.7044   0.0006      329
features.16                       22    -0.210569 6.584742e-07 5.957145e-07   0.7055   0.0015      329
features.16                      562    -0.209400 6.522136e-07 1.294746e-07   0.6988   0.0003      329
features.16                        9    -0.208098 6.535344e-07 1.083849e-06   0.7002   0.0028      329
features.13                      510    -0.206689 9.954700e-08 7.415219e-07   0.6990   0.0043      201
features.17                      564    -0.203613 1.595933e-06 6.571875e-07   0.8186   0.0599      489
features.16                      535    -0.200009 6.254840e-07 5.714814e-07   0.6701   0.0015      329
features.11                      208    -0.197109 8.592800e-07 1.719345e-05   0.8889   0.0994      169
features.13                      537    -0.194188 9.540334e-08 1.666951e-06   0.6699   0.0097      201
features.9                       338    -0.194117 3.409629e-07 5.477345e-06   1.0000   0.1513      137
features.16                      578    -0.192240 5.986319e-07 9.484829e-08   0.6414   0.0002      329
features.13                      256    -0.192173 9.187099e-08 3.354630e-07   0.6451   0.0020      201
features.12                      111    -0.187663 1.254703e-07 4.980774e-06   0.7083   0.0355      201
features.13                       48    -0.187575 8.927497e-08 1.217423e-07   0.6269   0.0007      201
features.12                       56    -0.186982 1.145716e-07 1.416272e-06   0.6468   0.0101      201
features.17                      901    -0.186686 1.245225e-06 7.710811e-08   0.6387   0.0070      489
features.13                       67    -0.184883 9.470988e-08 3.591904e-06   0.6651   0.0209      201
features.13                      513    -0.184735 8.868769e-08 5.150715e-07   0.6228   0.0030      201
features.16                      755    -0.183846 5.748764e-07 5.140452e-07   0.6159   0.0013      329
features.9                       210    -0.182580 2.502277e-07 1.944308e-06   0.7339   0.0537      137
features.15                      665    -0.182070 8.191956e-07 1.260283e-06   0.6443   0.0160      329
features.13                      261    -0.180782 8.643426e-08 3.203108e-07   0.6070   0.0019      201
features.17                      557    -0.179736 1.231268e-06 1.523285e-07   0.6315   0.0139      489
features.12                      321    -0.176559 1.053351e-07 3.695180e-07   0.5947   0.0026      201
features.16                      138    -0.173236 5.394455e-07 8.431962e-08   0.5780   0.0002      329
features.15                      295    -0.169922 7.500686e-07 7.929208e-07   0.5900   0.0101      329
features.15                      890    -0.168224 7.138928e-07 2.534600e-08   0.5615   0.0003      329
features.17                      703    -0.167905 1.153375e-06 1.498958e-07   0.5916   0.0137      489
features.12                      142    -0.167734 1.117316e-07 4.310997e-06   0.6308   0.0307      201
features.17                       86    -0.167369 1.289943e-06 4.874120e-07   0.6616   0.0445      489
