================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 28
  alpha      : 0.7000
  norm       : max
  timestamp  : 2026-09-09 11:45:36
  remove_target  : 22382
  accum_removed  : 22486
  selected_channels : 102
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1285827
  model_sparsity : 41.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          2       48    50.0%
  features.3                144          2       31    21.5%
  features.4                144          6       57    39.6%
  features.5                192          5       30    15.6%
  features.6                192          6      130    67.7%
  features.7                192          1       11     5.7%
  features.8                384          0      111    28.9%
  features.9                384          6      226    58.9%
  features.10               384         15      170    44.3%
  features.11               384         14      246    64.1%
  features.12               576          1      324    56.2%
  features.13               576          2      399    69.3%
  features.14               576          2      253    43.9%
  features.15               960         31      586    61.0%
  features.16               960          0      554    57.7%
  features.17               960          9      382    39.8%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 50          1       2.0%
  features.3                115          1       0.9%
  features.4                 93          1       1.1%
  features.5                167          1       0.6%
  features.6                 68          1       1.5%
  features.7                182          1       0.5%
  features.8                273          2       0.7%
  features.9                164          1       0.6%
  features.10               229          2       0.9%
  features.11               152          1       0.7%
  features.12               253          2       0.8%
  features.13               179          1       0.6%
  features.14               325          2       0.6%
  features.15               405          3       0.7%
  features.16               406          3       0.7%
  features.17               587          3       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 15채널 제거
  features.11: 14채널 제거
  features.12: 1채널 제거
  features.13: 2채널 제거
  features.14: 2채널 제거
  features.15: 31채널 제거
  features.17: 9채널 제거
  features.2: 2채널 제거
  features.3: 2채널 제거
  features.4: 6채널 제거
  features.5: 5채널 제거
  features.6: 6채널 제거
  features.7: 1채널 제거
  features.9: 6채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.12                      571    -0.293925 6.135148e-07 1.089934e-06   1.0000   0.0087      201
features.15                      661    -0.292247 5.667640e-07 2.869319e-06   1.0000   0.0111      329
features.10                      270    -0.290251 3.388250e-07 2.695322e-07   1.0000   0.0139      137
features.11                      170    -0.290226 9.697468e-07 6.297594e-06   1.0000   0.0140      169
features.9                        19    -0.283979 3.323255e-07 1.524813e-06   1.0000   0.0229      137
features.2                        92    -0.276476 7.190269e-07 2.269257e-03   1.0000   0.0336       49
features.11                      286    -0.236445 7.738802e-07 1.908341e-06   0.7980   0.0042      169
features.11                      369    -0.235530 8.341663e-07 1.451491e-05   0.8602   0.0322      169
features.15                      255    -0.229352 5.055797e-07 1.416082e-05   0.8920   0.0547      329
features.15                      246    -0.222576 5.150526e-07 1.852458e-05   0.9088   0.0715      329
features.15                      638    -0.211330 4.032802e-07 7.899725e-07   0.7115   0.0030      329
features.15                      240    -0.207945 4.097717e-07 3.314619e-06   0.7230   0.0128      329
features.15                      136    -0.203844 3.873492e-07 4.396990e-07   0.6834   0.0017      329
features.15                      616    -0.201379 3.853260e-07 9.555419e-07   0.6799   0.0037      329
features.10                      206    -0.198247 2.642635e-07 9.880843e-07   0.7799   0.0510      137
features.10                      330    -0.194255 2.463904e-07 6.608972e-07   0.7272   0.0341      137
features.4                       128    -0.187409 1.537244e-06 8.097205e-06   0.7128   0.0378       65
features.3                        80    -0.184805 1.505660e-07 4.194427e-06   0.6189   0.0012       57
features.10                      239    -0.183454 2.164076e-07 2.255080e-07   0.6387   0.0117      137
features.3                        24    -0.183249 1.516772e-07 1.830556e-05   0.6235   0.0054       57
features.11                       34    -0.177549 5.833220e-07 1.872683e-06   0.6015   0.0042      169
features.5                        29    -0.174672 3.471659e-07 1.094472e-05   0.6598   0.0332       73
features.2                        59    -0.172077 4.137808e-07 5.445259e-05   0.5755   0.0008       49
features.15                      769    -0.170576 3.284497e-07 1.213647e-06   0.5795   0.0047      329
features.10                      279    -0.169546 2.041625e-07 3.102833e-07   0.6026   0.0160      137
features.15                      539    -0.165498 3.370586e-07 4.779429e-06   0.5947   0.0184      329
features.15                      777    -0.165155 3.137968e-07 3.493016e-07   0.5537   0.0013      329
