================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 29
  alpha      : 0.7000
  norm       : max
  timestamp  : 2026-09-09 11:49:03
  remove_target  : 21820
  accum_removed  : 21826
  selected_channels : 98
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1264001
  model_sparsity : 42.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          2       50    52.1%
  features.3                144         12       43    29.9%
  features.4                144          0       57    39.6%
  features.5                192          2       32    16.7%
  features.6                192          9      139    72.4%
  features.7                192          0       11     5.7%
  features.8                384          4      115    29.9%
  features.9                384          2      228    59.4%
  features.10               384          6      176    45.8%
  features.11               384          5      251    65.4%
  features.12               576          6      330    57.3%
  features.13               576          0      399    69.3%
  features.14               576         16      269    46.7%
  features.15               960         27      613    63.9%
  features.16               960          0      554    57.7%
  features.17               960          7      389    40.5%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 48          1       2.1%
  features.3                113          1       0.9%
  features.4                 87          1       1.1%
  features.5                162          1       0.6%
  features.6                 62          1       1.6%
  features.7                181          1       0.6%
  features.8                273          2       0.7%
  features.9                158          1       0.6%
  features.10               214          2       0.9%
  features.11               138          1       0.7%
  features.12               252          2       0.8%
  features.13               177          1       0.6%
  features.14               323          2       0.6%
  features.15               374          2       0.5%
  features.16               406          3       0.7%
  features.17               578          3       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 6채널 제거
  features.11: 5채널 제거
  features.12: 6채널 제거
  features.14: 16채널 제거
  features.15: 27채널 제거
  features.17: 7채널 제거
  features.2: 2채널 제거
  features.3: 12채널 제거
  features.5: 2채널 제거
  features.6: 9채널 제거
  features.8: 4채널 제거
  features.9: 2채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.2                        73    -0.299285 4.906337e-07 1.204355e-04   1.0000   0.0010       49
features.14                      296    -0.285993 2.129643e-06 3.171036e-07   0.9925   0.0168      265
features.15                      893    -0.282079 4.424988e-07 8.144184e-06   1.0000   0.0256      329
features.6                       130    -0.274874 6.561493e-08 4.698725e-05   1.0000   0.0359       73
features.15                       74    -0.273254 4.149801e-07 3.675762e-06   0.9378   0.0116      329
features.14                      205    -0.251489 2.002550e-06 7.685828e-07   0.9333   0.0407      265
features.2                        53    -0.250755 4.139465e-07 3.965976e-04   0.8437   0.0034       49
features.15                      690    -0.232453 3.444394e-07 4.843212e-07   0.7784   0.0015      329
features.15                      566    -0.230841 3.428154e-07 7.162232e-07   0.7747   0.0023      329
features.3                        49    -0.215620 6.247302e-08 1.839092e-06   0.7198   0.0004       57
features.17                      293    -0.202177 1.667667e-06 6.911501e-07   0.8761   0.0867      489
features.6                       113    -0.201022 4.575343e-08 1.527285e-05   0.6973   0.0117       73
features.15                      498    -0.198336 3.053116e-07 3.933292e-06   0.6900   0.0124      329
features.15                       96    -0.196734 3.087830e-07 5.731047e-06   0.6978   0.0180      329
features.15                      236    -0.193494 2.882201e-07 8.678486e-07   0.6513   0.0027      329
features.14                      486    -0.190989 1.938287e-06 2.158315e-06   0.9033   0.1143      265
features.11                      221    -0.188604 6.680331e-07 2.211042e-05   0.7289   0.0429      169
features.14                        4    -0.188560 2.145754e-06 3.006362e-06   1.0000   0.1592      265
features.3                       122    -0.188375 6.689068e-08 2.573627e-04   0.7706   0.0612       57
features.15                      403    -0.188184 2.781013e-07 1.634991e-07   0.6285   0.0005      329
features.5                       105    -0.186742 2.532164e-07 1.089869e-05   0.7168   0.0404       73
features.3                       123    -0.182407 6.381254e-08 2.292883e-04   0.7352   0.0545       57
features.6                       157    -0.181720 4.041376e-08 5.713317e-06   0.6159   0.0044       73
features.14                      374    -0.180830 1.847534e-06 2.090084e-06   0.8610   0.1107      265
features.14                      547    -0.179416 1.809550e-06 1.984968e-06   0.8433   0.1051      265
features.5                       146    -0.179145 2.173403e-07 2.090854e-06   0.6152   0.0078       73
