================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 31
  alpha      : 0.7000
  norm       : max
  timestamp  : 2026-09-09 11:55:54
  remove_target  : 20736
  accum_removed  : 20834
  selected_channels : 90
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1221612
  model_sparsity : 44.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          8       66    68.8%
  features.3                144          1       44    30.6%
  features.4                144          3       60    41.7%
  features.5                192          1       36    18.8%
  features.6                192          0      139    72.4%
  features.7                192          3       16     8.3%
  features.8                384          0      116    30.2%
  features.9                384          7      244    63.5%
  features.10               384          5      183    47.7%
  features.11               384         10      267    69.5%
  features.12               576          6      342    59.4%
  features.13               576          4      403    70.0%
  features.14               576         10      298    51.7%
  features.15               960         19      665    69.3%
  features.16               960          5      559    58.2%
  features.17               960          8      399    41.6%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 38          1       2.6%
  features.3                101          1       1.0%
  features.4                 87          1       1.1%
  features.5                157          1       0.6%
  features.6                 53          1       1.9%
  features.7                179          1       0.6%
  features.8                268          2       0.7%
  features.9                147          1       0.7%
  features.10               206          2       1.0%
  features.11               127          1       0.8%
  features.12               240          2       0.8%
  features.13               177          1       0.6%
  features.14               288          2       0.7%
  features.15               314          2       0.6%
  features.16               406          3       0.7%
  features.17               569          3       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 5채널 제거
  features.11: 10채널 제거
  features.12: 6채널 제거
  features.13: 4채널 제거
  features.14: 10채널 제거
  features.15: 19채널 제거
  features.16: 5채널 제거
  features.17: 8채널 제거
  features.2: 8채널 제거
  features.3: 1채널 제거
  features.4: 3채널 제거
  features.5: 1채널 제거
  features.7: 3채널 제거
  features.9: 7채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      734    -0.299401 5.515152e-07 3.104837e-07   1.0000   0.0009      329
features.15                      170    -0.295693 5.505951e-07 1.974999e-06   0.9983   0.0054      329
features.9                       318    -0.280961 2.439155e-07 3.445847e-07   0.9487   0.0052      137
features.15                      868    -0.264484 4.867277e-07 1.419304e-07   0.8825   0.0004      329
features.11                      178    -0.263642 8.228470e-07 2.690399e-05   1.0000   0.0519      169
features.10                      360    -0.253416 3.275073e-07 1.291063e-06   1.0000   0.0665      137
features.15                      439    -0.223191 4.225983e-07 3.467742e-06   0.7662   0.0095      329
features.2                        35    -0.217408 1.402567e-07 1.552170e-03   0.7338   0.0039       49
features.11                      273    -0.209889 7.096340e-07 3.613688e-05   0.8624   0.0698      169
features.16                      137    -0.209444 1.120795e-06 3.152637e-06   0.7802   0.0352      329
features.15                      804    -0.207768 3.946898e-07 3.593473e-06   0.7156   0.0099      329
features.4                        58    -0.206012 2.469053e-06 6.537676e-05   1.0000   0.1343       65
features.16                      727    -0.200784 1.036062e-06 1.995465e-06   0.7212   0.0223      329
features.2                        89    -0.196513 1.256514e-07 3.982109e-04   0.6574   0.0010       49
features.9                       152    -0.196380 1.757878e-07 8.238580e-07   0.6837   0.0125      137
features.9                        62    -0.194103 2.066055e-07 4.427693e-06   0.8036   0.0671      137
features.12                      148    -0.191822 1.747292e-07 4.458533e-06   0.7052   0.0282      201
features.14                      408    -0.190841 2.401854e-06 1.421295e-06   0.7686   0.0568      265
features.12                      491    -0.189582 1.689454e-07 3.382223e-06   0.6818   0.0214      201
features.7                       152    -0.187622 2.297309e-06 1.610480e-06   0.8295   0.0875      105
features.13                      147    -0.186920 1.826178e-07 2.516824e-06   0.6508   0.0119      201
features.2                         2    -0.184034 1.180796e-07 7.365916e-04   0.6178   0.0019       49
features.11                      260    -0.183694 5.178571e-07 3.781669e-06   0.6293   0.0073      169
features.15                      385    -0.178996 3.318618e-07 7.898525e-07   0.6017   0.0022      329
features.2                        43    -0.177873 1.181131e-07 4.270448e-03   0.6179   0.0107       49
features.15                      885    -0.176720 3.261417e-07 3.563307e-07   0.5914   0.0010      329
features.2                        78    -0.176196 1.151225e-07 2.554522e-03   0.6023   0.0064       49
