================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 36
  alpha      : 0.7000
  norm       : max
  timestamp  : 2026-09-09 12:13:02
  remove_target  : 18261
  accum_removed  : 18303
  selected_channels : 87
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1125175
  model_sparsity : 48.7%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          1       73    76.0%
  features.3                144          1       48    33.3%
  features.4                144          5       90    62.5%
  features.5                192          8       57    29.7%
  features.6                192          0      154    80.2%
  features.7                192          7       30    15.6%
  features.8                384          0      144    37.5%
  features.9                384          2      272    70.8%
  features.10               384          5      235    61.2%
  features.11               384          0      287    74.7%
  features.12               576         12      388    67.4%
  features.13               576          0      427    74.1%
  features.14               576         38      416    72.2%
  features.15               960          5      735    76.6%
  features.16               960          0      563    58.6%
  features.17               960          3      403    42.0%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 24          1       4.2%
  features.3                 97          1       1.0%
  features.4                 59          1       1.7%
  features.5                143          1       0.7%
  features.6                 38          1       2.6%
  features.7                169          1       0.6%
  features.8                240          2       0.8%
  features.9                114          1       0.9%
  features.10               154          1       0.6%
  features.11                97          1       1.0%
  features.12               200          1       0.5%
  features.13               149          1       0.7%
  features.14               198          1       0.5%
  features.15               230          2       0.9%
  features.16               397          2       0.5%
  features.17               560          3       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 5채널 제거
  features.12: 12채널 제거
  features.14: 38채널 제거
  features.15: 5채널 제거
  features.17: 3채널 제거
  features.2: 1채널 제거
  features.3: 1채널 제거
  features.4: 5채널 제거
  features.5: 8채널 제거
  features.7: 7채널 제거
  features.9: 2채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.14                      165    -0.223335 1.931674e-06 1.174508e-06   0.8233   0.0338      265
features.14                      463    -0.200911 1.975912e-06 2.569509e-06   0.8421   0.0739      265
features.12                      197    -0.186831 2.271019e-07 4.587370e-05   1.0000   0.1617      201
features.12                       70    -0.186118 1.419002e-07 5.394314e-07   0.6248   0.0019      201
features.12                       67    -0.181553 1.553217e-07 9.576620e-06   0.6839   0.0337      201
features.14                      544    -0.176936 1.921692e-06 3.416207e-06   0.8190   0.0982      265
features.14                      336    -0.173033 1.488405e-06 8.578725e-07   0.6343   0.0247      265
features.7                        39    -0.171136 3.391445e-06 8.787261e-06   1.0000   0.1841      105
features.14                      506    -0.168101 1.706159e-06 2.486086e-06   0.7271   0.0715      265
features.15                      462    -0.163345 4.912677e-07 1.449843e-06   0.5578   0.0057      329
features.14                       32    -0.161621 1.407485e-06 9.108541e-07   0.5999   0.0262      265
features.14                       73    -0.158859 1.428473e-06 1.181405e-06   0.6088   0.0340      265
features.14                      445    -0.157898 1.384206e-06 9.479638e-07   0.5899   0.0273      265
features.12                      293    -0.156763 1.273799e-07 4.663425e-06   0.5609   0.0164      201
features.5                       126    -0.154428 1.047953e-07 2.774921e-06   0.5313   0.0071       73
features.15                       75    -0.152407 4.677461e-07 2.509052e-06   0.5311   0.0099      329
features.4                         9    -0.151641 8.676774e-07 5.256639e-06   0.5443   0.0166       65
features.5                        68    -0.151417 1.074107e-07 6.674457e-06   0.5446   0.0171       73
features.10                      367    -0.150496 3.182633e-07 6.765936e-06   1.0000   0.2136      137
features.4                        76    -0.149763 9.461827e-07 1.277041e-05   0.5935   0.0404       65
features.14                      360    -0.148051 1.302064e-06 9.154115e-07   0.5549   0.0263      265
features.14                      105    -0.140439 1.277547e-06 1.137850e-06   0.5445   0.0327      265
features.14                      549    -0.137988 1.180638e-06 6.440284e-07   0.5032   0.0185      265
features.14                      106    -0.135127 1.911599e-06 5.429180e-06   0.8147   0.1561      265
features.7                       150    -0.133827 2.078079e-06 3.409212e-06   0.6127   0.0714      105
features.14                      159    -0.133018 1.334153e-06 1.866085e-06   0.5686   0.0537      265
