================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 37
  alpha      : 0.7000
  norm       : max
  timestamp  : 2026-09-09 12:16:27
  remove_target  : 17804
  accum_removed  : 17949
  selected_channels : 117
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1107226
  model_sparsity : 49.5%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          1       74    77.1%
  features.3                144          0       48    33.3%
  features.4                144          1       91    63.2%
  features.5                192         17       74    38.5%
  features.6                192          3      157    81.8%
  features.7                192          8       38    19.8%
  features.8                384         19      163    42.4%
  features.9                384          6      278    72.4%
  features.10               384         21      256    66.7%
  features.11               384         22      309    80.5%
  features.12               576          2      390    67.7%
  features.13               576          1      428    74.3%
  features.14               576          8      424    73.6%
  features.15               960          6      741    77.2%
  features.16               960          1      564    58.8%
  features.17               960          1      404    42.1%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 23          1       4.3%
  features.3                 96          1       1.0%
  features.4                 54          1       1.9%
  features.5                135          1       0.7%
  features.6                 38          1       2.6%
  features.7                162          1       0.6%
  features.8                240          2       0.8%
  features.9                112          1       0.9%
  features.10               149          1       0.7%
  features.11                97          1       1.0%
  features.12               188          1       0.5%
  features.13               149          1       0.7%
  features.14               160          1       0.6%
  features.15               225          2       0.9%
  features.16               397          2       0.5%
  features.17               557          3       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 21채널 제거
  features.11: 22채널 제거
  features.12: 2채널 제거
  features.13: 1채널 제거
  features.14: 8채널 제거
  features.15: 6채널 제거
  features.16: 1채널 제거
  features.17: 1채널 제거
  features.2: 1채널 제거
  features.4: 1채널 제거
  features.5: 17채널 제거
  features.6: 3채널 제거
  features.7: 8채널 제거
  features.8: 19채널 제거
  features.9: 6채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.11                      294    -0.291029 6.384566e-07 2.156662e-05   1.0000   0.0128      169
features.11                      323    -0.285651 6.218416e-07 1.572658e-05   0.9740   0.0093      169
features.5                        86    -0.259664 1.166683e-07 5.442837e-06   0.8970   0.0135       73
features.11                      361    -0.251095 5.382396e-07 4.363261e-06   0.8430   0.0026      169
features.11                       68    -0.247968 5.319114e-07 4.731664e-06   0.8331   0.0028      169
features.11                      185    -0.236612 6.162145e-07 1.272703e-04   0.9652   0.0756      169
features.5                       170    -0.218418 1.002384e-07 7.378882e-06   0.7706   0.0182       73
features.9                       105    -0.211855 2.677273e-07 8.188412e-07   0.7214   0.0065      137
features.11                      259    -0.211046 4.624077e-07 1.498115e-05   0.7243   0.0089      169
features.14                      210    -0.204854 2.702792e-06 6.593473e-06   1.0000   0.1359      265
features.10                      290    -0.203615 1.557418e-07 3.421051e-07   0.7011   0.0096      137
features.11                      120    -0.199181 4.329712e-07 1.025242e-05   0.6782   0.0061      169
features.8                       155    -0.188306 2.390877e-07 9.697795e-07   0.6592   0.0135      137
features.5                         0    -0.176681 7.761618e-08 1.348499e-06   0.5967   0.0033       73
features.11                      376    -0.175032 4.158818e-07 4.900591e-05   0.6514   0.0291      169
features.10                      111    -0.174555 1.361318e-07 4.734514e-07   0.6128   0.0133      137
features.8                       109    -0.173839 2.186458e-07 7.192249e-07   0.6028   0.0100      137
features.8                       152    -0.173271 2.183609e-07 7.533479e-07   0.6020   0.0105      137
features.11                      316    -0.172844 3.699224e-07 2.347597e-06   0.5794   0.0014      169
features.6                       162    -0.171470 5.063311e-08 5.795853e-06   0.5753   0.0016       73
features.8                       270    -0.167380 2.264057e-07 2.041455e-06   0.6242   0.0284      137
features.8                       197    -0.165814 2.647465e-07 5.458303e-06   0.7299   0.0759      137
features.11                      236    -0.165587 3.603313e-07 8.958928e-06   0.5644   0.0053      169
features.10                      151    -0.155623 1.319619e-07 1.151393e-06   0.5940   0.0323      137
features.5                       161    -0.152391 7.152740e-08 7.267421e-06   0.5499   0.0180       73
features.5                       157    -0.152226 7.306552e-08 9.412122e-06   0.5617   0.0233       73
features.11                       30    -0.151130 3.240572e-07 2.737806e-06   0.5076   0.0016      169
