================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 39
  alpha      : 0.7000
  norm       : max
  timestamp  : 2026-09-09 12:23:18
  remove_target  : 16916
  accum_removed  : 16966
  selected_channels : 94
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1072707
  model_sparsity : 51.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          1       75    78.1%
  features.3                144          1       50    34.7%
  features.4                144          0       91    63.2%
  features.5                192          0       83    43.2%
  features.6                192          2      161    83.9%
  features.7                192         11       56    29.2%
  features.8                384          3      166    43.2%
  features.9                384          4      289    75.3%
  features.10               384          4      265    69.0%
  features.11               384         22      335    87.2%
  features.12               576         35      461    80.0%
  features.13               576          0      428    74.3%
  features.14               576          5      429    74.5%
  features.15               960          6      762    79.4%
  features.16               960          0      564    58.8%
  features.17               960          0      407    42.4%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 22          1       4.5%
  features.3                 95          1       1.1%
  features.4                 53          1       1.9%
  features.5                109          1       0.9%
  features.6                 33          1       3.0%
  features.7                147          1       0.7%
  features.8                221          2       0.9%
  features.9                 99          1       1.0%
  features.10               123          1       0.8%
  features.11                71          1       1.4%
  features.12               150          1       0.7%
  features.13               148          1       0.7%
  features.14               152          1       0.7%
  features.15               204          2       1.0%
  features.16               396          2       0.5%
  features.17               553          3       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 4채널 제거
  features.11: 22채널 제거
  features.12: 35채널 제거
  features.14: 5채널 제거
  features.15: 6채널 제거
  features.2: 1채널 제거
  features.3: 1채널 제거
  features.6: 2채널 제거
  features.7: 11채널 제거
  features.8: 3채널 제거
  features.9: 4채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.11                      380    -0.295569 6.391987e-07 2.132745e-05   1.0000   0.0063      169
features.12                      160    -0.289283 1.485889e-07 8.607497e-06   1.0000   0.0153      201
features.11                      239    -0.278151 6.036211e-07 2.479638e-05   0.9443   0.0074      169
features.11                      258    -0.268525 5.801772e-07 1.816463e-05   0.9077   0.0054      169
features.11                       90    -0.260087 5.572875e-07 7.068765e-06   0.8719   0.0021      169
features.11                      339    -0.249455 5.661239e-07 7.821988e-05   0.8857   0.0232      169
features.12                       40    -0.237251 1.198516e-07 3.796940e-06   0.8066   0.0068      201
features.11                        0    -0.224481 6.361029e-07 3.565598e-04   0.9952   0.1058      169
features.9                       344    -0.219295 3.949309e-07 1.617169e-05   0.9473   0.0927      137
features.12                      462    -0.218565 1.098688e-07 2.616804e-06   0.7394   0.0047      201
features.12                       95    -0.216826 1.325077e-07 4.073251e-05   0.8918   0.0724      201
features.12                      536    -0.212396 1.062639e-07 1.726267e-06   0.7151   0.0031      201
features.11                      179    -0.208654 4.487152e-07 9.360053e-06   0.7020   0.0028      169
features.12                      190    -0.200947 1.008611e-07 2.160589e-06   0.6788   0.0038      201
features.11                       96    -0.184561 4.036449e-07 2.351287e-05   0.6315   0.0070      169
features.9                        95    -0.179293 2.746594e-07 4.574218e-06   0.6588   0.0262      137
features.12                      539    -0.177846 9.916150e-08 1.796161e-05   0.6674   0.0319      201
features.10                      326    -0.173378 2.380757e-07 7.759403e-07   0.6285   0.0217      137
features.10                       26    -0.168455 2.662241e-07 2.168365e-06   0.7028   0.0605      137
features.12                      413    -0.167531 1.047999e-07 3.539293e-05   0.7053   0.0629      201
features.10                      235    -0.165816 3.788114e-07 6.865292e-06   1.0000   0.1917      137
features.11                      308    -0.164450 3.528598e-07 5.586046e-06   0.5520   0.0017      169
features.12                      452    -0.163361 8.239522e-08 2.404763e-06   0.5545   0.0043      201
features.15                      624    -0.161721 4.928870e-07 1.615138e-06   0.5551   0.0069      329
features.12                      309    -0.160492 8.039945e-08 1.472327e-06   0.5411   0.0026      201
features.12                      406    -0.158896 7.961133e-08 1.476319e-06   0.5358   0.0026      201
