================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 42
  alpha      : 0.7000
  norm       : max
  timestamp  : 2026-09-09 12:33:34
  remove_target  : 15676
  accum_removed  : 15872
  selected_channels : 72
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1024185
  model_sparsity : 53.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          3       78    81.2%
  features.3                144          0       50    34.7%
  features.4                144          0       91    63.2%
  features.5                192          0       87    45.3%
  features.6                192          4      169    88.0%
  features.7                192          1       78    40.6%
  features.8                384         12      178    46.4%
  features.9                384          2      311    81.0%
  features.10               384          1      280    72.9%
  features.11               384          9      344    89.6%
  features.12               576          3      494    85.8%
  features.13               576          4      435    75.5%
  features.14               576          8      445    77.3%
  features.15               960         24      835    87.0%
  features.16               960          1      566    59.0%
  features.17               960          0      407    42.4%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 21          1       4.8%
  features.3                 94          1       1.1%
  features.4                 53          1       1.9%
  features.5                105          1       1.0%
  features.6                 27          1       3.7%
  features.7                115          1       0.9%
  features.8                218          2       0.9%
  features.9                 75          1       1.3%
  features.10               105          1       1.0%
  features.11                49          1       2.0%
  features.12                85          1       1.2%
  features.13               145          1       0.7%
  features.14               139          1       0.7%
  features.15               149          1       0.7%
  features.16               395          2       0.5%
  features.17               553          3       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 1채널 제거
  features.11: 9채널 제거
  features.12: 3채널 제거
  features.13: 4채널 제거
  features.14: 8채널 제거
  features.15: 24채널 제거
  features.16: 1채널 제거
  features.2: 3채널 제거
  features.6: 4채널 제거
  features.7: 1채널 제거
  features.8: 12채널 제거
  features.9: 2채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.11                      367    -0.295791 6.986085e-07 2.504901e-05   1.0000   0.0060      169
features.15                      116    -0.281156 5.402136e-07 7.381466e-06   1.0000   0.0269      329
features.8                       354    -0.256754 3.024919e-07 5.600053e-06   1.0000   0.0618      137
features.15                      461    -0.235409 4.618558e-07 8.255946e-06   0.8549   0.0301      329
features.8                       200    -0.225712 2.528946e-07 3.250142e-06   0.8360   0.0359      137
features.8                       277    -0.199352 2.237986e-07 2.926868e-06   0.7398   0.0323      137
features.15                      323    -0.194292 3.667887e-07 3.681856e-06   0.6790   0.0134      329
features.14                      166    -0.192524 3.049858e-06 3.208564e-06   0.7312   0.0383      265
features.15                      902    -0.185751 3.723052e-07 8.227709e-06   0.6892   0.0300      329
features.11                      167    -0.184870 4.672571e-07 9.393519e-05   0.6688   0.0225      169
features.8                       348    -0.178922 1.846654e-07 5.466144e-07   0.6105   0.0060      137
features.8                        81    -0.176554 1.855256e-07 9.638038e-07   0.6133   0.0106      137
features.15                      884    -0.175415 4.146951e-07 2.149807e-05   0.7676   0.0784      329
features.15                      287    -0.159105 3.127206e-07 5.703404e-06   0.5789   0.0208      329
features.11                       63    -0.157768 3.758925e-07 2.172334e-05   0.5381   0.0052      169
features.14                      410    -0.156653 2.439358e-06 2.247372e-06   0.5848   0.0268      265
features.15                      541    -0.151618 3.088770e-07 7.800279e-06   0.5718   0.0284      329
features.15                      266    -0.151558 2.767904e-07 8.434639e-07   0.5124   0.0031      329
features.11                      343    -0.150686 4.427421e-07 2.347491e-04   0.6337   0.0563      169
features.8                       280    -0.149082 1.510221e-07 9.001984e-08   0.4993   0.0010      137
features.11                       31    -0.145460 4.899736e-07 3.865776e-04   0.7014   0.0928      169
features.15                      294    -0.144340 2.740205e-07 3.068676e-06   0.5072   0.0112      329
features.12                       23    -0.142796 6.807707e-08 5.131218e-06   0.4961   0.0086      201
features.15                      762    -0.142109 2.824943e-07 5.785902e-06   0.5229   0.0211      329
features.13                        1    -0.141431 1.655076e-07 1.588196e-05   0.5360   0.0277      201
features.15                      578    -0.141127 2.562805e-07 4.677829e-07   0.4744   0.0017      329
features.15                      204    -0.140749 4.171613e-07 3.561450e-05   0.7722   0.1299      329
features.6                        43    -0.140632 3.283727e-08 1.219156e-04   0.6272   0.0679       73
features.12                      294    -0.139134 7.119549e-08 1.404165e-05   0.5188   0.0236      201
features.6                       182    -0.136252 2.425401e-08 7.016828e-06   0.4633   0.0039       73
features.9                       197    -0.136204 9.501624e-08 5.223994e-06   0.5253   0.0305      137
features.14                      129    -0.130840 2.046220e-06 1.952842e-06   0.4906   0.0233      265
features.15                      691    -0.129952 2.368639e-07 6.216596e-07   0.4385   0.0023      329
features.7                        12    -0.127570 3.199915e-06 1.766057e-05   1.0000   0.2463      105
features.14                      551    -0.125886 1.875504e-06 1.076991e-06   0.4496   0.0129      265
features.12                      473    -0.124050 6.729582e-08 1.961805e-05   0.4904   0.0330      201
features.14                        0    -0.123069 2.065120e-06 3.044715e-06   0.4951   0.0364      265
features.6                       116    -0.122764 2.572182e-08 6.317437e-05   0.4913   0.0352       73
features.8                        63    -0.122137 2.266285e-07 1.328942e-05   0.7492   0.1466      137
features.8                        37    -0.120970 1.378988e-07 2.045065e-06   0.4559   0.0226      137
features.13                       39    -0.120856 1.389991e-07 1.163459e-05   0.4501   0.0203      201
features.8                       310    -0.120529 1.260169e-07 5.762260e-07   0.4166   0.0064      137
features.11                      143    -0.120110 2.943399e-07 3.742231e-05   0.4213   0.0090      169
features.15                      813    -0.119460 2.191566e-07 8.795823e-07   0.4057   0.0032      329
features.15                      479    -0.119031 2.362350e-07 4.762808e-06   0.4373   0.0174      329
features.10                      313    -0.118959 1.827955e-07 4.726901e-07   0.4325   0.0154      137
features.2                        47    -0.118918 3.776674e-07 9.852638e-03   0.4246   0.0121       49
