================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 52
  alpha      : 0.7000
  norm       : max
  timestamp  : 2026-09-09 13:07:52
  remove_target  : 12138
  accum_removed  : 12389
  selected_channels : 61
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 886173
  model_sparsity : 59.6%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          0       81    84.4%
  features.3                144          2       87    60.4%
  features.4                144          0      105    72.9%
  features.5                192          7      118    61.5%
  features.6                192          1      184    95.8%
  features.7                192          1      103    53.6%
  features.8                384          7      220    57.3%
  features.9                384          0      369    96.1%
  features.10               384         13      356    92.7%
  features.11               384          0      370    96.4%
  features.12               576          8      558    96.9%
  features.13               576          2      474    82.3%
  features.14               576          1      463    80.4%
  features.15               960          0      931    97.0%
  features.16               960         17      601    62.6%
  features.17               960          2      472    49.2%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 15          1       6.7%
  features.3                 59          1       1.7%
  features.4                 39          1       2.6%
  features.5                 81          1       1.2%
  features.6                  9          1      11.1%
  features.7                 90          1       1.1%
  features.8                171          1       0.6%
  features.9                 15          1       6.7%
  features.10                41          1       2.4%
  features.11                14          1       7.1%
  features.12                26          1       3.8%
  features.13               104          1       1.0%
  features.14               114          1       0.9%
  features.15                29          1       3.4%
  features.16               376          2       0.5%
  features.17               490          3       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 13채널 제거
  features.12: 8채널 제거
  features.13: 2채널 제거
  features.14: 1채널 제거
  features.16: 17채널 제거
  features.17: 2채널 제거
  features.3: 2채널 제거
  features.5: 7채널 제거
  features.6: 1채널 제거
  features.7: 1채널 제거
  features.8: 7채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.10                      165    -0.298360 1.321375e-07 1.605724e-06   1.0000   0.0023      137
features.10                      285    -0.276514 1.220485e-07 5.672232e-07   0.9236   0.0008      137
features.10                      381    -0.248323 1.313971e-07 4.901943e-05   0.9944   0.0714      137
features.12                      526    -0.221901 7.912502e-08 1.300608e-05   0.7500   0.0044      201
features.5                       148    -0.215244 1.073605e-07 1.003622e-04   1.0000   0.1211       73
features.12                      493    -0.211258 7.455563e-08 3.153054e-06   0.7067   0.0011      201
features.8                       345    -0.191511 2.165143e-07 1.317457e-06   0.6513   0.0055      137
features.10                       18    -0.188487 8.664020e-08 8.056440e-06   0.6557   0.0117      137
features.12                      551    -0.187694 6.681527e-08 9.660936e-06   0.6333   0.0033      201
features.12                      532    -0.183684 6.499214e-08 4.742592e-06   0.6161   0.0016      201
features.8                        99    -0.175153 1.958480e-07 5.391414e-07   0.5891   0.0023      137
features.10                      162    -0.172055 7.998005e-08 9.342004e-06   0.6053   0.0136      137
features.16                      201    -0.167515 9.502788e-07 9.188188e-06   0.6247   0.0284      329
features.10                       23    -0.163358 7.249312e-08 1.202965e-06   0.5486   0.0018      137
features.16                      453    -0.162994 8.916718e-07 5.938540e-06   0.5862   0.0184      329
features.16                      705    -0.158394 8.231887e-07 1.826088e-06   0.5412   0.0056      329
features.13                       35    -0.158171 2.260134e-07 2.570157e-06   0.5348   0.0032      201
features.8                       185    -0.157460 1.766126e-07 6.525431e-07   0.5313   0.0027      137
features.10                      211    -0.155880 7.082232e-08 4.815701e-06   0.5360   0.0070      137
features.12                      102    -0.155200 5.476504e-08 2.233893e-06   0.5191   0.0008      201
features.13                      390    -0.154091 2.340093e-07 1.359335e-05   0.5537   0.0172      201
features.5                        99    -0.148662 5.603288e-08 9.367296e-06   0.5219   0.0113       73
features.10                      375    -0.147142 6.566732e-08 1.907768e-06   0.4970   0.0028      137
features.10                       65    -0.145653 6.735925e-08 7.134141e-06   0.5098   0.0104      137
features.16                      759    -0.142760 7.329320e-07 8.256561e-07   0.4818   0.0026      329
features.16                      827    -0.141818 7.430060e-07 2.177921e-06   0.4884   0.0067      329
