================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 1
  alpha      : 0.9000
  norm       : max
  timestamp  : 2026-09-09 10:12:49
  remove_target  : 44482
  accum_removed  : 44504
  selected_channels : 176
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 2147816
  model_sparsity : 2.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1        1     3.1%
  features.2                 96          1        1     1.0%
  features.3                144          3        3     2.1%
  features.4                144          0        0     0.0%
  features.5                192          2        2     1.0%
  features.6                192          4        4     2.1%
  features.7                192          0        0     0.0%
  features.8                384         18       18     4.7%
  features.9                384         18       18     4.7%
  features.10               384          3        3     0.8%
  features.11               384         16       16     4.2%
  features.12               576          8        8     1.4%
  features.13               576          6        6     1.0%
  features.14               576          1        1     0.2%
  features.15               960         59       59     6.1%
  features.16               960         27       27     2.8%
  features.17               960          9        9     0.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 32          1       3.1%
  features.2                 96          1       1.0%
  features.3                144          1       0.7%
  features.4                144          1       0.7%
  features.5                192          1       0.5%
  features.6                192          1       0.5%
  features.7                192          1       0.5%
  features.8                384          2       0.5%
  features.9                384          2       0.5%
  features.10               384          2       0.5%
  features.11               384          2       0.5%
  features.12               576          3       0.5%
  features.13               576          3       0.5%
  features.14               576          3       0.5%
  features.15               960          5       0.5%
  features.16               960          5       0.5%
  features.17               960          5       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 3채널 제거
  features.11: 16채널 제거
  features.12: 8채널 제거
  features.13: 6채널 제거
  features.14: 1채널 제거
  features.15: 59채널 제거
  features.16: 27채널 제거
  features.17: 9채널 제거
  features.2: 1채널 제거
  features.3: 3채널 제거
  features.5: 2채널 제거
  features.6: 4채널 제거
  features.8: 18채널 제거
  features.9: 18채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.5                       155    -0.099027 7.115037e-07 1.962211e-07   1.0000   0.0011       73
features.8                       122    -0.098692 1.297820e-06 6.645155e-08   1.0000   0.0015      137
features.15                      841    -0.098453 2.349559e-06 3.869783e-08   1.0000   0.0017      329
features.11                      169    -0.093482 1.554298e-06 2.786686e-07   0.9788   0.0049      169
features.6                        30    -0.089803 6.167811e-07 3.805079e-07   0.9054   0.0008       73
features.8                       127    -0.087771 1.153232e-06 5.528185e-08   0.8886   0.0012      137
features.3                       101    -0.087081 2.793137e-07 5.100536e-06   1.0000   0.0144       57
features.13                      207    -0.086727 1.307086e-06 3.339374e-07   1.0000   0.0147      201
features.16                      338    -0.085787 1.734392e-06 4.333796e-08   0.9196   0.0069      329
features.15                      138    -0.085743 2.045661e-06 3.309075e-08   0.8707   0.0015      329
features.1                        21    -0.084566 1.660694e-06 1.607641e-03   1.0000   0.0171       25
features.8                       178    -0.083734 1.123692e-06 1.447475e-07   0.8658   0.0032      137
features.15                      339    -0.082604 1.986810e-06 4.893554e-08   0.8456   0.0022      329
features.15                      262    -0.082448 1.966248e-06 3.095938e-08   0.8369   0.0014      329
features.15                      702    -0.081939 2.117943e-06 2.051376e-07   0.9014   0.0091      329
features.15                      300    -0.081830 1.961459e-06 4.130440e-08   0.8348   0.0018      329
features.15                      324    -0.081351 1.941530e-06 3.208520e-08   0.8263   0.0014      329
features.16                      862    -0.080199 1.626501e-06 4.241199e-08   0.8624   0.0067      329
features.15                      424    -0.080057 1.925968e-06 4.787947e-08   0.8197   0.0021      329
features.8                        85    -0.079545 1.044878e-06 4.903530e-08   0.8051   0.0011      137
features.16                      661    -0.079474 1.886091e-06 1.441811e-07   1.0000   0.0228      329
features.15                      788    -0.079344 1.931453e-06 7.154387e-08   0.8220   0.0032      329
features.15                      622    -0.078397 1.876980e-06 3.724358e-08   0.7989   0.0017      329
features.15                       34    -0.077928 1.952357e-06 1.292098e-07   0.8309   0.0057      329
features.5                        85    -0.077480 5.612839e-07 2.838877e-07   0.7889   0.0016       73
features.8                       137    -0.077248 1.029294e-06 1.047539e-07   0.7931   0.0023      137
features.15                      350    -0.077209 1.833231e-06 2.039058e-08   0.7802   0.0009      329
features.11                      225    -0.075758 1.263892e-06 2.429092e-07   0.7960   0.0043      169
features.16                      781    -0.073810 1.520304e-06 4.774010e-08   0.8061   0.0076      329
features.16                       91    -0.073320 1.442905e-06 2.235185e-08   0.7650   0.0035      329
features.15                      559    -0.072985 1.754354e-06 4.207443e-08   0.7467   0.0019      329
features.9                        96    -0.072199 8.684887e-07 5.506141e-08   0.7442   0.0025      137
features.11                      266    -0.071927 1.242510e-06 4.001563e-07   0.7825   0.0070      169
features.12                      275    -0.071417 1.206196e-06 1.574635e-07   0.7676   0.0059      201
features.17                      292    -0.071338 1.132326e-06 1.141975e-08   0.7673   0.0060      489
features.9                       124    -0.070996 1.167006e-06 7.188612e-07   1.0000   0.0322      137
features.6                       107    -0.070977 5.542074e-07 5.366161e-06   0.8135   0.0115       73
features.15                      856    -0.070744 1.712716e-06 5.379788e-08   0.7290   0.0024      329
features.9                        64    -0.069784 8.380558e-07 5.028273e-08   0.7181   0.0023      137
features.9                       374    -0.068755 8.828137e-07 1.708254e-07   0.7565   0.0077      137
features.14                      149    -0.068573 3.268852e-06 7.747556e-08   0.9530   0.0297      265
features.15                      308    -0.067798 1.617572e-06 2.621315e-08   0.6885   0.0012      329
features.11                      360    -0.067194 1.241478e-06 6.956760e-07   0.7818   0.0122      169
features.9                       115    -0.066982 8.171270e-07 7.526296e-08   0.7002   0.0034      137
