================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 2
  alpha      : 0.9000
  norm       : max
  timestamp  : 2026-09-09 10:16:24
  remove_target  : 43370
  accum_removed  : 43497
  selected_channels : 177
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 2104319
  model_sparsity : 4.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          4        5    15.6%
  features.2                 96          0        1     1.0%
  features.3                144          3        6     4.2%
  features.4                144          0        0     0.0%
  features.5                192          1        3     1.6%
  features.6                192          0        4     2.1%
  features.7                192          0        0     0.0%
  features.8                384          5       23     6.0%
  features.9                384          6       24     6.2%
  features.10               384          5        8     2.1%
  features.11               384          3       19     4.9%
  features.12               576         40       48     8.3%
  features.13               576         32       38     6.6%
  features.14               576          0        1     0.2%
  features.15               960         28       87     9.1%
  features.16               960         48       75     7.8%
  features.17               960          2       11     1.1%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 31          1       3.2%
  features.2                 95          1       1.1%
  features.3                141          1       0.7%
  features.4                144          1       0.7%
  features.5                190          1       0.5%
  features.6                188          1       0.5%
  features.7                192          1       0.5%
  features.8                366          2       0.5%
  features.9                366          2       0.5%
  features.10               381          2       0.5%
  features.11               368          2       0.5%
  features.12               568          3       0.5%
  features.13               570          3       0.5%
  features.14               575          3       0.5%
  features.15               901          5       0.6%
  features.16               933          5       0.5%
  features.17               951          5       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 4채널 제거
  features.10: 5채널 제거
  features.11: 3채널 제거
  features.12: 40채널 제거
  features.13: 32채널 제거
  features.15: 28채널 제거
  features.16: 48채널 제거
  features.17: 2채널 제거
  features.3: 3채널 제거
  features.5: 1채널 제거
  features.8: 5채널 제거
  features.9: 6채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.12                      221    -0.097616 7.797475e-07 1.395055e-07   0.9992   0.0026      201
features.12                      332    -0.096443 7.803467e-07 2.151133e-07   1.0000   0.0040      201
features.12                      470    -0.092763 7.304902e-07 5.124509e-08   0.9361   0.0009      201
features.13                       18    -0.091168 6.206410e-07 2.332049e-07   0.9617   0.0056      201
features.8                       226    -0.090601 1.203124e-06 7.628666e-07   1.0000   0.0104      137
features.13                       68    -0.089549 6.167387e-07 2.804977e-07   0.9556   0.0067      201
features.1                        22    -0.088843 8.889029e-07 1.888957e-03   1.0000   0.0124       25
features.16                      604    -0.088680 1.187539e-06 2.387896e-08   0.8953   0.0009      329
features.13                      375    -0.085581 5.699306e-07 1.273021e-07   0.8831   0.0030      201
features.12                      415    -0.085452 6.945560e-07 2.149501e-07   0.8901   0.0039      201
features.13                      358    -0.085399 6.266865e-07 5.458520e-07   0.9711   0.0130      201
features.12                      212    -0.084278 7.283215e-07 5.475869e-07   0.9333   0.0101      201
features.13                      153    -0.082607 5.477826e-07 1.059889e-07   0.8488   0.0025      201
features.16                      756    -0.080038 1.136919e-06 1.592465e-07   0.8572   0.0063      329
features.12                      367    -0.079986 6.414940e-07 1.342849e-07   0.8221   0.0025      201
features.13                      230    -0.079385 5.437084e-07 2.267770e-07   0.8425   0.0054      201
features.12                      144    -0.079118 6.693769e-07 4.028271e-07   0.8578   0.0074      201
features.13                      491    -0.079087 5.334990e-07 1.668821e-07   0.8267   0.0040      201
features.12                      358    -0.078226 6.284877e-07 1.399186e-07   0.8054   0.0026      201
features.12                      487    -0.077668 6.339711e-07 2.161693e-07   0.8124   0.0040      201
features.12                      460    -0.077304 6.231159e-07 1.540199e-07   0.7985   0.0028      201
features.13                      227    -0.077147 5.211247e-07 1.679436e-07   0.8075   0.0040      201
features.13                      472    -0.076438 5.118201e-07 1.337607e-07   0.7931   0.0032      201
features.3                        23    -0.076193 1.552236e-07 1.908771e-05   1.0000   0.0265       57
features.12                      140    -0.075999 6.124052e-07 1.499457e-07   0.7848   0.0028      201
features.12                      390    -0.075923 6.098159e-07 1.344750e-07   0.7815   0.0025      201
