================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 5
  alpha      : 0.9000
  norm       : max
  timestamp  : 2026-09-09 10:27:01
  remove_target  : 40193
  accum_removed  : 40266
  selected_channels : 194
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1980493
  model_sparsity : 9.7%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          2       11    34.4%
  features.2                 96          7        9     9.4%
  features.3                144          8       16    11.1%
  features.4                144          0        0     0.0%
  features.5                192          0       15     7.8%
  features.6                192          6       12     6.2%
  features.7                192          0        0     0.0%
  features.8                384         31       84    21.9%
  features.9                384         16       48    12.5%
  features.10               384          2       11     2.9%
  features.11               384         17       39    10.2%
  features.12               576         16       90    15.6%
  features.13               576         19       94    16.3%
  features.14               576         23       30     5.2%
  features.15               960          3      237    24.7%
  features.16               960         39      153    15.9%
  features.17               960          5       18     1.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 23          1       4.3%
  features.2                 94          1       1.1%
  features.3                136          1       0.7%
  features.4                144          1       0.7%
  features.5                177          1       0.6%
  features.6                186          1       0.5%
  features.7                192          1       0.5%
  features.8                331          2       0.6%
  features.9                352          2       0.6%
  features.10               375          2       0.5%
  features.11               362          2       0.6%
  features.12               502          3       0.6%
  features.13               501          3       0.6%
  features.14               569          3       0.5%
  features.15               726          4       0.6%
  features.16               846          5       0.6%
  features.17               947          5       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 2채널 제거
  features.10: 2채널 제거
  features.11: 17채널 제거
  features.12: 16채널 제거
  features.13: 19채널 제거
  features.14: 23채널 제거
  features.15: 3채널 제거
  features.16: 39채널 제거
  features.17: 5채널 제거
  features.2: 7채널 제거
  features.3: 8채널 제거
  features.6: 6채널 제거
  features.8: 31채널 제거
  features.9: 16채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.8                       322    -0.077671 3.690263e-07 1.277059e-07   0.7932   0.0018      137
features.9                       371    -0.074850 8.110437e-07 1.101760e-07   0.7867   0.0042      137
features.8                        24    -0.071996 3.525505e-07 2.934982e-07   0.7577   0.0042      137
features.8                        60    -0.070440 3.638600e-07 6.031835e-07   0.7820   0.0086      137
features.8                        23    -0.069096 3.286664e-07 1.199594e-07   0.7064   0.0017      137
features.13                      113    -0.065587 4.729096e-07 6.697646e-07   0.8185   0.0181      201
features.11                       95    -0.065142 1.507125e-06 2.622838e-06   0.8619   0.0234      169
features.8                       290    -0.064440 3.057317e-07 9.871915e-08   0.6571   0.0014      137
features.8                       314    -0.064284 3.033813e-07 7.164020e-08   0.6521   0.0010      137
features.3                       129    -0.063594 1.246900e-07 2.534618e-05   1.0000   0.0405       57
features.3                       108    -0.063578 8.956783e-08 5.746171e-06   0.7183   0.0092       57
features.13                      456    -0.061615 3.890896e-07 2.359595e-07   0.6735   0.0064      201
features.8                       360    -0.058453 2.862919e-07 2.392257e-07   0.6153   0.0034      137
features.1                         3    -0.057994 5.216344e-07 9.167819e-04   0.6170   0.0041       25
features.8                       175    -0.057975 2.792629e-07 1.590012e-07   0.6002   0.0023      137
features.9                        49    -0.057400 7.490198e-07 4.403665e-07   0.7265   0.0169      137
features.12                      465    -0.055485 4.778362e-07 1.493994e-07   0.5853   0.0034      201
features.9                        24    -0.055367 1.031005e-06 1.288884e-06   1.0000   0.0496      137
features.14                      131    -0.055019 2.513190e-06 6.791957e-08   0.6348   0.0094      265
features.12                      395    -0.054404 5.129579e-07 4.132083e-07   0.6284   0.0094      201
features.14                      233    -0.053147 2.724297e-06 1.257248e-07   0.6882   0.0174      265
features.8                       110    -0.052900 3.053526e-07 9.888626e-07   0.6563   0.0141      137
features.8                        94    -0.052722 2.501076e-07 8.030714e-08   0.5376   0.0011      137
features.8                       382    -0.051550 3.127208e-07 1.216783e-06   0.6721   0.0174      137
features.16                      253    -0.051318 9.595527e-07 3.414813e-08   0.5266   0.0015      329
features.8                       236    -0.050991 2.685873e-07 5.232918e-07   0.5773   0.0075      137
