================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 8
  alpha      : 0.9000
  norm       : max
  timestamp  : 2026-09-09 10:37:38
  remove_target  : 37244
  accum_removed  : 37564
  selected_channels : 172
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1865232
  model_sparsity : 14.9%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       17    53.1%
  features.2                 96          7       40    41.7%
  features.3                144          0       26    18.1%
  features.4                144          3        3     2.1%
  features.5                192          0       22    11.5%
  features.6                192         12       44    22.9%
  features.7                192          0        0     0.0%
  features.8                384          5      111    28.9%
  features.9                384         16      110    28.6%
  features.10               384          9       28     7.3%
  features.11               384         18       63    16.4%
  features.12               576         27      139    24.1%
  features.13               576          5      154    26.7%
  features.14               576         15       53     9.2%
  features.15               960         23      339    35.3%
  features.16               960         26      211    22.0%
  features.17               960          5       40     4.2%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 16          1       6.2%
  features.2                 63          1       1.6%
  features.3                118          1       0.8%
  features.4                144          1       0.7%
  features.5                170          1       0.6%
  features.6                160          1       0.6%
  features.7                192          1       0.5%
  features.8                278          2       0.7%
  features.9                290          2       0.7%
  features.10               365          2       0.5%
  features.11               339          2       0.6%
  features.12               464          3       0.6%
  features.13               427          3       0.7%
  features.14               538          3       0.6%
  features.15               644          4       0.6%
  features.16               775          4       0.5%
  features.17               925          5       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 9채널 제거
  features.11: 18채널 제거
  features.12: 27채널 제거
  features.13: 5채널 제거
  features.14: 15채널 제거
  features.15: 23채널 제거
  features.16: 26채널 제거
  features.17: 5채널 제거
  features.2: 7채널 제거
  features.4: 3채널 제거
  features.6: 12채널 제거
  features.8: 5채널 제거
  features.9: 16채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.6                       126    -0.099573 2.528401e-07 5.632814e-07   1.0000   0.0005       73
features.9                       355    -0.083420 6.717519e-07 8.058329e-07   0.9857   0.0168      137
features.12                      162    -0.078269 5.494226e-07 2.989018e-07   0.8258   0.0048      201
features.15                       61    -0.065026 1.080146e-06 5.102201e-08   0.6608   0.0012      329
features.12                      547    -0.064636 6.653042e-07 2.450689e-06   1.0000   0.0393      201
features.12                      339    -0.063480 4.362456e-07 1.449186e-07   0.6557   0.0023      201
features.15                       76    -0.062749 1.087729e-06 1.834086e-07   0.6655   0.0042      329
features.15                      522    -0.062667 1.439737e-06 1.227439e-06   0.8808   0.0282      329
features.9                       174    -0.062380 4.370584e-07 9.314122e-08   0.6413   0.0019      137
features.8                        88    -0.060717 3.937491e-07 3.714846e-07   0.6795   0.0080      137
features.15                      794    -0.059260 1.025242e-06 1.672685e-07   0.6272   0.0038      329
features.6                        97    -0.057199 1.493428e-07 2.466238e-06   0.5907   0.0021       73
features.8                        97    -0.053838 3.702400e-07 5.164723e-07   0.6389   0.0112      137
features.15                      321    -0.053335 8.904384e-07 5.511017e-08   0.5448   0.0013      329
features.12                      519    -0.052892 3.648875e-07 1.353552e-07   0.5485   0.0022      201
features.8                        87    -0.050979 3.509923e-07 4.926948e-07   0.6057   0.0107      137
features.11                      346    -0.050924 9.413647e-07 1.091760e-06   0.6564   0.0164      169
features.9                        74    -0.050817 6.815109e-07 2.616472e-06   1.0000   0.0546      137
features.9                       217    -0.050080 3.524021e-07 8.667859e-08   0.5171   0.0018      137
features.14                      534    -0.049199 3.916584e-06 5.363562e-07   1.0000   0.0564      265
features.14                      371    -0.048924 2.542570e-06 1.688650e-07   0.6492   0.0178      265
features.14                      426    -0.046558 2.281276e-06 1.234020e-07   0.5825   0.0130      265
features.11                      276    -0.046300 9.172282e-07 1.309941e-06   0.6396   0.0196      169
features.16                      572    -0.045889 1.097561e-06 2.829391e-07   0.6067   0.0164      329
features.14                      101    -0.045218 2.170171e-06 1.075992e-07   0.5541   0.0113      265
features.9                        91    -0.044960 6.503685e-07 2.684957e-06   0.9543   0.0561      137
features.12                      513    -0.044766 3.068996e-07 9.444509e-08   0.4613   0.0015      201
features.15                      949    -0.044052 9.851339e-07 7.832485e-07   0.6027   0.0180      329
features.15                      668    -0.043633 9.164661e-07 6.005861e-07   0.5607   0.0138      329
features.2                        37    -0.043115 6.655280e-07 1.763227e-05   0.4572   0.0029       49
features.15                      660    -0.043103 7.885367e-07 2.482024e-07   0.4824   0.0057      329
features.16                      304    -0.043083 8.537227e-07 7.865275e-08   0.4719   0.0046      329
features.6                       143    -0.042748 1.084083e-07 1.689480e-07   0.4288   0.0001       73
