================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 12
  alpha      : 0.9000
  norm       : max
  timestamp  : 2026-09-09 10:51:47
  remove_target  : 33641
  accum_removed  : 33922
  selected_channels : 146
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1724746
  model_sparsity : 21.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       17    53.1%
  features.2                 96          0       57    59.4%
  features.3                144          0       26    18.1%
  features.4                144          0        8     5.6%
  features.5                192          0       26    13.5%
  features.6                192         16      116    60.4%
  features.7                192          0        0     0.0%
  features.8                384          8      125    32.6%
  features.9                384          6      176    45.8%
  features.10               384          1       71    18.5%
  features.11               384         10       93    24.2%
  features.12               576          4      193    33.5%
  features.13               576         34      243    42.2%
  features.14               576         18      157    27.3%
  features.15               960          9      404    42.1%
  features.16               960         37      300    31.2%
  features.17               960          3       50     5.2%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 15          1       6.7%
  features.2                 39          1       2.6%
  features.3                118          1       0.8%
  features.4                136          1       0.7%
  features.5                166          1       0.6%
  features.6                 92          1       1.1%
  features.7                192          1       0.5%
  features.8                267          2       0.7%
  features.9                214          2       0.9%
  features.10               314          2       0.6%
  features.11               301          2       0.7%
  features.12               387          2       0.5%
  features.13               367          2       0.5%
  features.14               437          3       0.7%
  features.15               565          3       0.5%
  features.16               697          4       0.6%
  features.17               913          5       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 1채널 제거
  features.11: 10채널 제거
  features.12: 4채널 제거
  features.13: 34채널 제거
  features.14: 18채널 제거
  features.15: 9채널 제거
  features.16: 37채널 제거
  features.17: 3채널 제거
  features.6: 16채널 제거
  features.8: 8채널 제거
  features.9: 6채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.6                       141    -0.099333 1.019883e-07 1.164439e-06   1.0000   0.0007       73
features.13                        0    -0.087666 2.405762e-07 9.289839e-07   1.0000   0.0137      201
features.13                      238    -0.062668 1.560420e-07 1.652336e-07   0.6486   0.0024      201
features.11                      182    -0.059990 8.847929e-07 6.003717e-07   0.6702   0.0078      169
features.14                      404    -0.055820 2.121144e-06 1.583955e-07   0.7023   0.0160      265
features.13                        8    -0.052699 1.514265e-07 7.715804e-07   0.6294   0.0114      201
features.16                      247    -0.052660 8.580469e-07 1.044729e-07   0.5779   0.0057      329
features.15                      672    -0.050510 9.294671e-07 7.836515e-07   0.6978   0.0214      329
features.6                         8    -0.047778 5.372929e-08 8.573670e-06   0.5268   0.0054       73
features.14                      530    -0.045145 2.432361e-06 3.890462e-07   0.8053   0.0393      265
features.13                       46    -0.044597 1.278737e-07 6.443955e-07   0.5315   0.0095      201
features.13                      502    -0.044408 1.213732e-07 4.551021e-07   0.5045   0.0067      201
features.8                       283    -0.044209 4.134699e-07 2.241323e-06   1.0000   0.0620      137
features.13                      369    -0.044016 1.293154e-07 7.333339e-07   0.5375   0.0108      201
features.14                      373    -0.043093 2.136413e-06 3.038849e-07   0.7073   0.0307      265
features.16                      165    -0.042693 6.642765e-07 4.166943e-08   0.4474   0.0023      329
features.11                      134    -0.042610 8.194626e-07 1.661599e-06   0.6207   0.0216      169
features.13                       12    -0.040883 1.127685e-07 4.512694e-07   0.4687   0.0067      201
features.8                       310    -0.040453 2.602850e-07 9.038395e-07   0.6295   0.0250      137
features.6                       175    -0.039614 4.342303e-08 5.180166e-06   0.4258   0.0033       73
features.13                      517    -0.038170 1.002447e-07 2.635266e-07   0.4167   0.0039      201
features.8                       284    -0.037225 1.835392e-07 2.878512e-07   0.4439   0.0080      137
features.16                      824    -0.036767 5.815987e-07 4.896127e-08   0.3917   0.0027      329
features.13                       50    -0.036717 1.395451e-07 1.603304e-06   0.5800   0.0237      201
features.6                        70    -0.036340 3.767994e-08 1.057233e-06   0.3694   0.0007       73
features.14                      228    -0.036161 1.659518e-06 2.065063e-07   0.5494   0.0209      265
features.16                      241    -0.036050 5.697910e-07 4.736333e-08   0.3838   0.0026      329
features.14                      145    -0.035623 1.378221e-06 1.100193e-07   0.4563   0.0111      265
features.13                      553    -0.035374 1.119711e-07 8.412293e-07   0.4654   0.0124      201
features.11                      146    -0.035374 1.320148e-06 5.517200e-06   1.0000   0.0718      169
features.6                       124    -0.035071 3.785368e-08 3.574344e-06   0.3712   0.0023       73
features.16                      359    -0.034653 5.975061e-07 1.138166e-07   0.4024   0.0062      329
features.13                      541    -0.034597 1.355726e-07 1.638630e-06   0.5635   0.0242      201
features.16                      670    -0.034478 5.982080e-07 1.183452e-07   0.4029   0.0065      329
features.16                      645    -0.034297 5.373695e-07 3.858927e-08   0.3619   0.0021      329
features.14                       67    -0.033666 1.739604e-06 2.630858e-07   0.5759   0.0266      265
features.16                      753    -0.033229 5.137528e-07 2.795392e-08   0.3460   0.0015      329
features.12                      112    -0.032576 2.262607e-07 2.293059e-07   0.3640   0.0042      201
features.16                      541    -0.032514 7.847751e-07 4.142112e-07   0.5286   0.0226      329
features.16                      110    -0.031897 6.603397e-07 2.561159e-07   0.4447   0.0140      329
features.13                      206    -0.031730 8.076716e-08 1.387635e-07   0.3357   0.0020      201
features.16                      485    -0.031674 5.038073e-07 4.597296e-08   0.3393   0.0025      329
features.11                      318    -0.031348 1.068481e-06 4.233382e-06   0.8094   0.0551      169
features.13                      292    -0.029650 8.224313e-08 3.416006e-07   0.3419   0.0050      201
features.15                       85    -0.029643 4.414429e-07 1.422875e-07   0.3314   0.0039      329
features.16                      527    -0.029115 5.562846e-07 1.700447e-07   0.3747   0.0093      329
features.6                       145    -0.028926 3.062915e-08 1.933820e-06   0.3003   0.0012       73
features.9                       293    -0.028789 1.203984e-07 1.820949e-07   0.3341   0.0051      137
features.16                      859    -0.028691 4.573396e-07 4.299281e-08   0.3080   0.0023      329
features.14                       49    -0.028678 1.288228e-06 1.536199e-07   0.4265   0.0155      265
features.9                        90    -0.028482 1.157313e-07 1.431835e-07   0.3212   0.0040      137
features.13                      276    -0.028476 1.078749e-07 1.232515e-06   0.4484   0.0182      201
features.13                      157    -0.028206 7.046241e-08 8.154241e-08   0.2929   0.0012      201
features.16                      749    -0.028104 6.875912e-07 3.707246e-07   0.4631   0.0202      329
features.16                      296    -0.027923 4.340230e-07 2.664962e-08   0.2923   0.0015      329
features.14                       74    -0.027803 1.147351e-06 1.119662e-07   0.3799   0.0113      265
features.9                       366    -0.027683 1.477477e-07 5.245541e-07   0.4100   0.0148      137
features.16                      588    -0.027313 4.425378e-07 5.075822e-08   0.2981   0.0028      329
features.13                      166    -0.026667 9.503901e-08 9.669083e-07   0.3950   0.0143      201
features.13                      288    -0.026648 9.014533e-08 8.151608e-07   0.3747   0.0120      201
features.13                      110    -0.026411 1.005622e-07 1.159069e-06   0.4180   0.0171      201
