================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 13
  alpha      : 0.9000
  norm       : max
  timestamp  : 2026-09-09 10:55:19
  remove_target  : 32793
  accum_removed  : 32903
  selected_channels : 127
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1691843
  model_sparsity : 22.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       17    53.1%
  features.2                 96          0       57    59.4%
  features.3                144          3       29    20.1%
  features.4                144          0        8     5.6%
  features.5                192          3       29    15.1%
  features.6                192          3      119    62.0%
  features.7                192          0        0     0.0%
  features.8                384          1      126    32.8%
  features.9                384          1      177    46.1%
  features.10               384          6       77    20.1%
  features.11               384          8      101    26.3%
  features.12               576         14      207    35.9%
  features.13               576         21      264    45.8%
  features.14               576          3      160    27.8%
  features.15               960         27      431    44.9%
  features.16               960         31      331    34.5%
  features.17               960          6       56     5.8%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 15          1       6.7%
  features.2                 39          1       2.6%
  features.3                118          1       0.8%
  features.4                136          1       0.7%
  features.5                166          1       0.6%
  features.6                 76          1       1.3%
  features.7                192          1       0.5%
  features.8                259          2       0.8%
  features.9                208          2       1.0%
  features.10               313          2       0.6%
  features.11               291          2       0.7%
  features.12               383          2       0.5%
  features.13               333          2       0.6%
  features.14               419          3       0.7%
  features.15               556          3       0.5%
  features.16               660          4       0.6%
  features.17               910          5       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 6채널 제거
  features.11: 8채널 제거
  features.12: 14채널 제거
  features.13: 21채널 제거
  features.14: 3채널 제거
  features.15: 27채널 제거
  features.16: 31채널 제거
  features.17: 6채널 제거
  features.3: 3채널 제거
  features.5: 3채널 제거
  features.6: 3채널 제거
  features.8: 1채널 제거
  features.9: 1채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.12                      158    -0.087960 3.402160e-07 4.471956e-07   1.0000   0.0134      201
features.12                      533    -0.073518 2.952438e-07 4.926302e-07   0.8678   0.0147      201
features.13                      329    -0.058747 2.281319e-07 3.426402e-06   1.0000   0.0458      201
features.14                      119    -0.058363 2.598030e-06 2.401410e-07   0.8908   0.0341      265
features.16                       66    -0.057542 1.125873e-06 7.315294e-07   0.7623   0.0208      329
features.16                      194    -0.051206 8.070522e-07 1.345736e-07   0.5464   0.0038      329
features.12                      352    -0.050384 2.068061e-07 3.864050e-07   0.6079   0.0116      201
features.14                      108    -0.047878 1.827330e-06 1.155159e-07   0.6265   0.0164      265
features.10                      172    -0.047318 5.065686e-07 3.871309e-07   0.8095   0.0374      137
features.15                      835    -0.046760 6.412547e-07 9.940936e-07   0.6516   0.0204      329
features.13                      313    -0.044979 1.138240e-07 4.082027e-07   0.4989   0.0055      201
features.13                      244    -0.044485 1.318144e-07 1.104224e-06   0.5778   0.0148      201
features.16                      142    -0.044245 7.097348e-07 1.491108e-07   0.4805   0.0042      329
features.16                      147    -0.043760 6.648981e-07 4.925407e-08   0.4502   0.0014      329
features.15                      753    -0.043302 4.700383e-07 2.409430e-07   0.4776   0.0050      329
features.13                      527    -0.043131 1.910332e-07 3.372792e-06   0.8374   0.0451      201
features.13                      221    -0.042797 1.564919e-07 2.142914e-06   0.6860   0.0287      201
features.16                      128    -0.042490 1.046841e-06 1.111246e-06   0.7088   0.0315      329
features.6                        62    -0.041659 7.548655e-08 8.510564e-06   0.4747   0.0065       73
features.16                       30    -0.041365 7.275243e-07 3.090000e-07   0.4926   0.0088      329
features.13                      324    -0.040363 1.047653e-07 4.618090e-07   0.4592   0.0062      201
features.13                      135    -0.038875 9.397922e-08 1.926790e-07   0.4119   0.0026      201
features.6                       180    -0.038763 6.736624e-08 5.274641e-06   0.4237   0.0040       73
features.14                      413    -0.038729 1.383260e-06 6.800212e-08   0.4743   0.0097      265
features.15                      195    -0.038515 4.463948e-07 3.697827e-07   0.4536   0.0076      329
features.10                       59    -0.038103 3.581366e-07 2.201761e-07   0.5723   0.0213      137
features.15                       49    -0.037390 3.810497e-07 7.180311e-08   0.3872   0.0015      329
features.10                      167    -0.037362 3.013373e-07 1.242366e-07   0.4816   0.0120      137
features.11                       43    -0.036549 5.143988e-07 1.079776e-06   0.5309   0.0184      169
features.15                       26    -0.035166 7.093462e-07 1.994372e-06   0.7208   0.0410      329
features.17                      917    -0.034370 8.845387e-07 3.880260e-08   0.5595   0.0240      489
features.13                      318    -0.034108 8.240688e-08 1.672957e-07   0.3612   0.0022      201
features.12                      422    -0.033952 2.093360e-07 1.024382e-06   0.6153   0.0306      201
features.16                      375    -0.033793 6.530796e-07 4.080913e-07   0.4422   0.0116      329
features.15                      692    -0.033762 3.614137e-07 1.600438e-07   0.3672   0.0033      329
features.16                      362    -0.033544 5.285003e-07 8.766252e-08   0.3578   0.0025      329
features.16                      242    -0.033280 5.361820e-07 1.183668e-07   0.3630   0.0034      329
features.12                      571    -0.032789 1.460818e-07 3.769776e-07   0.4294   0.0113      201
features.11                      298    -0.032570 3.637806e-07 3.246762e-07   0.3754   0.0055      169
features.15                      868    -0.032527 3.252670e-07 2.829871e-08   0.3305   0.0006      329
features.12                      159    -0.032054 1.461947e-07 4.054947e-07   0.4297   0.0121      201
features.15                      545    -0.031339 3.333274e-07 1.367305e-07   0.3387   0.0028      329
features.16                      788    -0.030432 4.746227e-07 6.668862e-08   0.3214   0.0019      329
features.16                       27    -0.030302 6.684351e-07 5.854431e-07   0.4526   0.0166      329
features.13                      376    -0.030280 8.596292e-08 6.147023e-07   0.3768   0.0082      201
features.16                      219    -0.029942 5.353141e-07 2.467088e-07   0.3624   0.0070      329
features.3                        15    -0.029915 6.591736e-08 1.086230e-06   0.3065   0.0008       57
features.16                      802    -0.029849 4.902670e-07 1.309823e-07   0.3319   0.0037      329
features.12                      500    -0.029667 1.536953e-07 5.760448e-07   0.4518   0.0172      201
features.13                      275    -0.029559 7.413081e-08 2.438462e-07   0.3249   0.0033      201
features.15                      322    -0.029295 3.144844e-07 1.437179e-07   0.3196   0.0030      329
features.15                      728    -0.029144 3.490856e-07 3.418897e-07   0.3547   0.0070      329
features.13                      305    -0.028689 8.793691e-08 8.187272e-07   0.3855   0.0110      201
features.16                      529    -0.028673 5.205803e-07 2.573497e-07   0.3525   0.0073      329
features.11                      371    -0.028669 4.450461e-07 1.126997e-06   0.4593   0.0192      169
features.17                      573    -0.028557 8.273596e-07 4.275221e-08   0.5233   0.0264      489
features.13                      378    -0.028489 9.834258e-08 1.214240e-06   0.4311   0.0162      201
features.6                       174    -0.028409 4.882641e-08 3.362601e-06   0.3071   0.0026       73
features.16                      518    -0.028314 5.822944e-07 4.349636e-07   0.3943   0.0123      329
features.16                      867    -0.028251 5.566283e-07 3.694007e-07   0.3769   0.0105      329
features.15                      750    -0.027983 3.211960e-07 2.514488e-07   0.3264   0.0052      329
features.13                       98    -0.027892 8.386708e-08 7.367926e-07   0.3676   0.0099      201
features.3                        18    -0.027729 1.107733e-07 3.516825e-05   0.5151   0.0264       57
features.12                      384    -0.027628 1.145259e-07 2.241341e-07   0.3366   0.0067      201
features.15                      812    -0.027440 3.203174e-07 2.759945e-07   0.3255   0.0057      329
features.10                      337    -0.027323 2.600151e-07 1.637710e-07   0.4155   0.0158      137
features.5                         3    -0.027288 1.591621e-07 2.126051e-06   0.3698   0.0108       73
features.15                      319    -0.027283 3.928193e-07 6.825075e-07   0.3991   0.0140      329
features.16                      366    -0.027274 4.359748e-07 8.785173e-08   0.2952   0.0025      329
features.15                      946    -0.027242 3.689628e-07 5.537369e-07   0.3749   0.0114      329
features.11                       49    -0.027068 2.848026e-07 1.516766e-07   0.2939   0.0026      169
features.13                      170    -0.027056 1.628949e-07 3.683499e-06   0.7140   0.0493      201
features.15                      686    -0.027003 2.969097e-07 1.710700e-07   0.3017   0.0035      329
features.15                      247    -0.026818 5.278992e-07 1.449251e-06   0.5364   0.0298      329
features.15                      705    -0.026777 2.668309e-07 1.818574e-08   0.2711   0.0004      329
features.13                      533    -0.026695 6.640683e-08 2.004643e-07   0.2911   0.0027      201
features.16                       16    -0.026683 4.498944e-07 1.479107e-07   0.3046   0.0042      329
features.11                       60    -0.026610 3.897852e-07 8.890677e-07   0.4023   0.0151      169
features.16                       60    -0.026569 4.337316e-07 1.095114e-07   0.2937   0.0031      329
features.15                      612    -0.026254 2.726412e-07 7.833061e-08   0.2770   0.0016      329
features.11                       80    -0.026185 3.229992e-07 4.667968e-07   0.3333   0.0079      169
features.15                      574    -0.026177 3.191824e-07 3.379899e-07   0.3243   0.0070      329
features.10                       10    -0.026132 2.058657e-07 7.788433e-08   0.3290   0.0075      137
features.15                      170    -0.025753 2.967295e-07 2.376629e-07   0.3015   0.0049      329
features.15                      295    -0.025745 2.913051e-07 2.082811e-07   0.2960   0.0043      329
features.5                        94    -0.025705 1.878332e-07 3.934461e-06   0.4364   0.0199       73
features.15                      830    -0.025408 2.717838e-07 1.193387e-07   0.2762   0.0025      329
features.16                      959    -0.025371 6.315423e-07 6.806757e-07   0.4276   0.0193      329
features.13                      513    -0.025305 6.759170e-08 3.590789e-07   0.2963   0.0048      201
features.15                      737    -0.025275 2.671277e-07 1.009421e-07   0.2714   0.0021      329
features.12                      147    -0.025249 1.152427e-07 3.203588e-07   0.3387   0.0096      201
features.11                        7    -0.024965 3.088624e-07 4.511842e-07   0.3187   0.0077      169
features.13                      339    -0.024899 8.308135e-08 9.567436e-07   0.3642   0.0128      201
features.13                      282    -0.024760 1.240978e-07 2.461609e-06   0.5440   0.0329      201
features.16                      681    -0.024646 3.754727e-07 3.038108e-08   0.2542   0.0009      329
features.8                       239    -0.024602 1.996296e-07 1.386921e-07   0.2844   0.0043      137
features.16                      106    -0.024539 4.792420e-07 3.096104e-07   0.3245   0.0088      329
features.13                      529    -0.024481 6.584856e-08 3.640431e-07   0.2886   0.0049      201
features.12                      508    -0.024456 1.269186e-07 4.772677e-07   0.3731   0.0143      201
features.16                      130    -0.024428 4.170269e-07 1.490438e-07   0.2824   0.0042      329
features.16                      486    -0.024415 3.751988e-07 3.872466e-08   0.2540   0.0011      329
features.16                      112    -0.024398 3.899780e-07 7.852998e-08   0.2640   0.0022      329
features.16                      407    -0.024396 5.351627e-07 4.634030e-07   0.3623   0.0132      329
features.13                       48    -0.024251 5.721189e-08 6.872473e-08   0.2508   0.0009      201
features.12                       55    -0.024233 1.868830e-07 1.140229e-06   0.5493   0.0341      201
features.15                      801    -0.024229 2.819286e-07 2.387171e-07   0.2865   0.0049      329
features.16                       11    -0.024215 4.124697e-07 1.453116e-07   0.2793   0.0041      329
features.17                      933    -0.024142 4.471005e-07 7.439279e-09   0.2828   0.0046      489
features.11                      196    -0.024133 3.193528e-07 5.761749e-07   0.3296   0.0098      169
features.5                        88    -0.024068 1.690050e-07 3.333821e-06   0.3927   0.0169       73
features.9                       247    -0.024033 1.277466e-07 3.030588e-07   0.3069   0.0074      137
features.13                      509    -0.023985 5.822674e-08 1.277677e-07   0.2552   0.0017      201
features.10                      345    -0.023953 1.877049e-07 6.955852e-08   0.3000   0.0067      137
features.17                      279    -0.023844 4.206100e-07 4.961819e-09   0.2660   0.0031      489
features.12                      472    -0.023844 8.943565e-08 9.076095e-08   0.2629   0.0027      201
features.12                      302    -0.023818 1.167805e-07 3.903010e-07   0.3433   0.0117      201
features.16                      618    -0.023812 3.636369e-07 3.167521e-08   0.2462   0.0009      329
features.15                      393    -0.023742 2.675154e-07 1.858866e-07   0.2718   0.0038      329
features.15                      690    -0.023642 2.478640e-07 8.343427e-08   0.2519   0.0017      329
features.3                        33    -0.023538 5.860960e-08 5.493189e-06   0.2725   0.0041       57
features.15                      197    -0.023494 2.466597e-07 8.481546e-08   0.2506   0.0017      329
