================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 15
  alpha      : 0.9000
  norm       : max
  timestamp  : 2026-09-09 11:02:23
  remove_target  : 31170
  accum_removed  : 31235
  selected_channels : 123
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1628573
  model_sparsity : 25.7%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       17    53.1%
  features.2                 96          0       57    59.4%
  features.3                144          9       38    26.4%
  features.4                144          0        8     5.6%
  features.5                192          1       31    16.1%
  features.6                192          4      136    70.8%
  features.7                192          2        2     1.0%
  features.8                384          4      130    33.9%
  features.9                384          0      177    46.1%
  features.10               384          1       78    20.3%
  features.11               384          0      105    27.3%
  features.12               576         12      220    38.2%
  features.13               576         20      353    61.3%
  features.14               576          5      173    30.0%
  features.15               960         33      486    50.6%
  features.16               960         30      382    39.8%
  features.17               960          2       58     6.0%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 15          1       6.7%
  features.2                 39          1       2.6%
  features.3                115          1       0.9%
  features.4                136          1       0.7%
  features.5                162          1       0.6%
  features.6                 60          1       1.7%
  features.7                192          1       0.5%
  features.8                258          2       0.8%
  features.9                207          2       1.0%
  features.10               307          2       0.7%
  features.11               279          2       0.7%
  features.12               368          2       0.5%
  features.13               243          2       0.8%
  features.14               408          3       0.7%
  features.15               507          3       0.6%
  features.16               608          4       0.7%
  features.17               904          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 1채널 제거
  features.12: 12채널 제거
  features.13: 20채널 제거
  features.14: 5채널 제거
  features.15: 33채널 제거
  features.16: 30채널 제거
  features.17: 2채널 제거
  features.3: 9채널 제거
  features.5: 1채널 제거
  features.6: 4채널 제거
  features.7: 2채널 제거
  features.8: 4채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      260    -0.092124 5.818387e-07 2.966091e-07   1.0000   0.0088      329
features.15                      765    -0.063109 3.968855e-07 1.921782e-07   0.6821   0.0057      329
features.15                      565    -0.062905 4.564757e-07 5.855733e-07   0.7845   0.0173      329
features.15                      890    -0.060058 3.649116e-07 1.001182e-07   0.6272   0.0030      329
features.3                        73    -0.056584 7.949073e-08 2.139729e-05   0.7209   0.0172       57
features.3                        20    -0.054210 1.015297e-07 5.225013e-05   0.9208   0.0421       57
features.12                      209    -0.052698 2.043557e-07 9.922821e-07   0.6474   0.0134      201
features.15                      921    -0.050949 3.073876e-07 7.084429e-08   0.5283   0.0021      329
features.15                      354    -0.048761 3.084168e-07 1.599149e-07   0.5301   0.0047      329
features.15                      207    -0.047242 4.228357e-07 9.576839e-07   0.7267   0.0283      329
features.3                       111    -0.045492 7.761740e-08 3.435656e-05   0.7039   0.0277       57
features.15                       88    -0.043253 3.229786e-07 4.615800e-07   0.5551   0.0136      329
features.16                      231    -0.042513 5.754221e-07 1.022388e-07   0.4536   0.0032      329
features.16                       57    -0.041966 5.561178e-07 6.726547e-08   0.4384   0.0021      329
features.15                       48    -0.041423 3.081708e-07 4.346629e-07   0.5296   0.0128      329
features.12                      545    -0.040624 2.379800e-07 2.864557e-06   0.7540   0.0386      201
features.10                      140    -0.040062 9.197745e-07 1.281776e-06   1.0000   0.0666      137
features.16                      880    -0.040029 9.873110e-07 1.357083e-06   0.7783   0.0420      329
features.12                      327    -0.039456 1.536269e-07 7.591922e-07   0.4867   0.0102      201
features.16                      952    -0.038637 5.297616e-07 1.121834e-07   0.4176   0.0035      329
features.12                      569    -0.038171 1.903629e-07 1.823849e-06   0.6031   0.0246      201
features.16                      820    -0.038140 5.120040e-07 7.975925e-08   0.4036   0.0025      329
features.15                      913    -0.037881 2.565297e-07 2.337983e-07   0.4409   0.0069      329
features.15                      636    -0.037572 2.783055e-07 3.863697e-07   0.4783   0.0114      329
features.7                        37    -0.037251 2.217088e-06 6.155715e-07   0.5846   0.0236      105
features.12                      157    -0.036835 1.344772e-07 4.752575e-07   0.4260   0.0064      201
