================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 20
  alpha      : 0.9000
  norm       : max
  timestamp  : 2026-09-09 11:20:02
  remove_target  : 27445
  accum_removed  : 27645
  selected_channels : 125
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1483180
  model_sparsity : 32.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       17    53.1%
  features.2                 96          0       57    59.4%
  features.3                144          0       44    30.6%
  features.4                144          1        9     6.2%
  features.5                192          4       37    19.3%
  features.6                192          8      150    78.1%
  features.7                192          2        5     2.6%
  features.8                384          0      133    34.6%
  features.9                384          2      181    47.1%
  features.10               384          8      112    29.2%
  features.11               384          1      125    32.6%
  features.12               576         10      275    47.7%
  features.13               576         37      433    75.2%
  features.14               576         30      242    42.0%
  features.15               960          3      611    63.6%
  features.16               960         17      515    53.6%
  features.17               960          2       66     6.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 15          1       6.7%
  features.2                 39          1       2.6%
  features.3                100          1       1.0%
  features.4                136          1       0.7%
  features.5                159          1       0.6%
  features.6                 50          1       2.0%
  features.7                189          1       0.5%
  features.8                251          2       0.8%
  features.9                205          2       1.0%
  features.10               280          2       0.7%
  features.11               260          2       0.8%
  features.12               311          2       0.6%
  features.13               180          1       0.6%
  features.14               364          2       0.5%
  features.15               352          2       0.6%
  features.16               462          3       0.6%
  features.17               896          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 8채널 제거
  features.11: 1채널 제거
  features.12: 10채널 제거
  features.13: 37채널 제거
  features.14: 30채널 제거
  features.15: 3채널 제거
  features.16: 17채널 제거
  features.17: 2채널 제거
  features.4: 1채널 제거
  features.5: 4채널 제거
  features.6: 8채널 제거
  features.7: 2채널 제거
  features.9: 2채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.13                       90    -0.066364 1.420541e-07 5.774820e-06   1.0000   0.0374      201
features.5                        84    -0.041027 2.218402e-07 6.081321e-06   0.6032   0.0214       73
features.16                      385    -0.040669 1.088121e-06 1.261531e-06   0.6736   0.0297      329
features.16                      300    -0.038662 6.809041e-07 1.648566e-07   0.4215   0.0039      329
features.13                       26    -0.038467 6.701803e-08 1.495524e-06   0.4718   0.0097      201
features.13                      115    -0.037637 6.452535e-08 1.336800e-06   0.4542   0.0087      201
features.14                       92    -0.036604 1.930815e-06 7.263149e-07   0.7001   0.0371      265
features.13                      447    -0.036351 7.523653e-08 2.851981e-06   0.5296   0.0185      201
features.14                      451    -0.034114 1.615260e-06 5.316735e-07   0.5856   0.0272      265
features.12                      449    -0.033954 1.912229e-07 3.041298e-06   0.5971   0.0286      201
features.14                      100    -0.033149 1.512678e-06 4.717826e-07   0.5485   0.0241      265
features.15                      382    -0.033116 5.031919e-07 1.261825e-06   0.4518   0.0134      329
features.14                      466    -0.033087 2.030474e-06 8.813643e-07   0.7362   0.0450      265
features.13                       28    -0.030862 4.920122e-08 6.477997e-07   0.3464   0.0042      201
features.14                      489    -0.029793 1.235944e-06 3.265722e-07   0.4481   0.0167      265
features.14                       47    -0.029298 1.689243e-06 6.947200e-07   0.6125   0.0355      265
features.13                      362    -0.028448 4.605316e-08 6.818232e-07   0.3242   0.0044      201
features.10                      203    -0.027648 2.039939e-07 2.039044e-07   0.3944   0.0131      137
features.14                        1    -0.027491 1.167911e-06 3.230000e-07   0.4235   0.0165      265
features.14                      128    -0.025750 1.521611e-06 6.397275e-07   0.5517   0.0327      265
features.13                      214    -0.025615 4.460132e-08 9.927104e-07   0.3140   0.0064      201
features.12                      189    -0.025449 1.218385e-07 1.487236e-06   0.3804   0.0140      201
features.13                      319    -0.024956 4.181572e-08 7.692211e-07   0.2944   0.0050      201
features.13                      519    -0.024742 4.162348e-08 7.826712e-07   0.2930   0.0051      201
features.13                      487    -0.024680 4.324612e-08 9.895465e-07   0.3044   0.0064      201
features.6                       103    -0.024099 2.463901e-08 1.776052e-06   0.2443   0.0004       73
features.14                      240    -0.023960 1.230304e-06 4.489839e-07   0.4461   0.0229      265
features.14                      377    -0.023921 1.170736e-06 4.028529e-07   0.4245   0.0206      265
features.13                      488    -0.023080 4.766598e-08 1.798417e-06   0.3355   0.0116      201
features.5                       146    -0.022986 1.171808e-07 2.797870e-06   0.3186   0.0099       73
features.13                       97    -0.022622 6.444515e-08 3.904887e-06   0.4537   0.0253      201
features.14                      362    -0.022472 1.027522e-06 3.214595e-07   0.3726   0.0164      265
features.13                      303    -0.022465 9.796882e-08 7.983478e-06   0.6897   0.0517      201
features.13                       27    -0.021695 5.572721e-08 3.010461e-06   0.3923   0.0195      201
features.6                        19    -0.021634 3.113534e-08 4.961545e-05   0.3087   0.0103       73
features.13                       66    -0.021520 3.481594e-08 5.130891e-07   0.2451   0.0033      201
features.13                      201    -0.021511 3.462021e-08 4.909766e-07   0.2437   0.0032      201
features.13                      383    -0.021468 3.845878e-08 9.623352e-07   0.2707   0.0062      201
features.14                      125    -0.021337 1.338993e-06 5.917009e-07   0.4855   0.0302      265
features.6                       101    -0.021168 3.081927e-08 5.043108e-05   0.3056   0.0104       73
features.16                      220    -0.020713 3.610195e-07 7.731001e-08   0.2235   0.0018      329
features.14                       62    -0.020582 8.165418e-07 1.962238e-07   0.2961   0.0100      265
features.13                      521    -0.020575 3.549586e-08 7.575285e-07   0.2499   0.0049      201
features.6                        82    -0.020433 2.605315e-08 2.899513e-05   0.2583   0.0060       73
features.13                      361    -0.020178 4.317018e-08 1.753166e-06   0.3039   0.0113      201
features.13                      390    -0.019837 3.723344e-08 1.094341e-06   0.2621   0.0071      201
features.14                      265    -0.019816 1.163009e-06 4.860196e-07   0.4217   0.0248      265
features.14                      257    -0.019804 8.252047e-07 2.199559e-07   0.2992   0.0112      265
features.12                      493    -0.019525 8.423665e-08 8.002912e-07   0.2630   0.0075      201
features.10                      270    -0.019442 1.693205e-07 2.299000e-07   0.3273   0.0148      137
features.6                        17    -0.019357 2.104089e-08 8.085805e-06   0.2086   0.0017       73
features.12                      196    -0.019314 8.839805e-08 9.787186e-07   0.2760   0.0092      201
features.14                      158    -0.019311 8.668342e-07 2.635092e-07   0.3143   0.0135      265
features.13                      323    -0.019266 3.244498e-08 6.135614e-07   0.2284   0.0040      201
features.16                      118    -0.019228 3.939372e-07 2.437933e-07   0.2439   0.0057      329
features.9                       117    -0.019192 1.612200e-07 2.410015e-07   0.2354   0.0048      137
features.15                      325    -0.018998 2.517568e-07 3.773432e-07   0.2261   0.0040      329
features.13                      442    -0.018827 5.224000e-08 3.081303e-06   0.3677   0.0199      201
features.14                      195    -0.018789 6.249173e-07 8.411506e-08   0.2266   0.0043      265
features.13                      473    -0.018771 3.163372e-08 6.005578e-07   0.2227   0.0039      201
features.16                      776    -0.018728 3.514166e-07 1.430115e-07   0.2175   0.0034      329
features.17                      455    -0.018664 4.422966e-07 8.657367e-09   0.2264   0.0044      489
features.14                      435    -0.018412 7.758402e-07 2.113213e-07   0.2813   0.0108      265
