================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 21
  alpha      : 0.9000
  norm       : max
  timestamp  : 2026-09-09 11:23:32
  remove_target  : 26754
  accum_removed  : 26774
  selected_channels : 118
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1456406
  model_sparsity : 33.6%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       17    53.1%
  features.2                 96          0       57    59.4%
  features.3                144          1       45    31.2%
  features.4                144          0        9     6.2%
  features.5                192          2       39    20.3%
  features.6                192          4      154    80.2%
  features.7                192          1        6     3.1%
  features.8                384          7      140    36.5%
  features.9                384          1      182    47.4%
  features.10               384          4      116    30.2%
  features.11               384          0      125    32.6%
  features.12               576         61      336    58.3%
  features.13               576          5      438    76.0%
  features.14               576          1      243    42.2%
  features.15               960         19      630    65.6%
  features.16               960          7      522    54.4%
  features.17               960          5       71     7.4%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 15          1       6.7%
  features.2                 39          1       2.6%
  features.3                100          1       1.0%
  features.4                135          1       0.7%
  features.5                155          1       0.6%
  features.6                 42          1       2.4%
  features.7                187          1       0.5%
  features.8                251          2       0.8%
  features.9                203          2       1.0%
  features.10               272          2       0.7%
  features.11               259          2       0.8%
  features.12               301          2       0.7%
  features.13               143          1       0.7%
  features.14               334          2       0.6%
  features.15               349          2       0.6%
  features.16               445          3       0.7%
  features.17               894          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 4채널 제거
  features.12: 61채널 제거
  features.13: 5채널 제거
  features.14: 1채널 제거
  features.15: 19채널 제거
  features.16: 7채널 제거
  features.17: 5채널 제거
  features.3: 1채널 제거
  features.5: 2채널 제거
  features.6: 4채널 제거
  features.7: 1채널 제거
  features.8: 7채널 제거
  features.9: 1채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.12                      333    -0.078501 2.135453e-07 2.800270e-06   1.0000   0.0239      201
features.10                      250    -0.053792 3.703751e-07 3.425836e-07   0.7774   0.0266      137
features.12                      336    -0.049545 1.366441e-07 1.881203e-06   0.6399   0.0160      201
features.12                      237    -0.045172 1.075625e-07 6.769798e-07   0.5037   0.0058      201
features.12                      142    -0.039431 1.037307e-07 1.191122e-06   0.4858   0.0102      201
features.12                      365    -0.037024 1.224006e-07 2.643345e-06   0.5732   0.0225      201
features.12                      286    -0.036644 1.023237e-07 1.468257e-06   0.4792   0.0125      201
features.12                       19    -0.035966 8.313746e-08 3.863281e-07   0.3893   0.0033      201
features.15                      802    -0.034047 4.148808e-07 4.661682e-07   0.3899   0.0055      329
features.12                      231    -0.032811 9.480423e-08 1.508938e-06   0.4440   0.0129      201
features.12                      372    -0.032046 1.130267e-07 2.720042e-06   0.5293   0.0232      201
features.12                      491    -0.031016 1.608559e-07 5.771530e-06   0.7533   0.0492      201
features.12                      317    -0.030095 7.200777e-08 4.721621e-07   0.3372   0.0040      201
features.5                        23    -0.030001 3.988328e-07 1.574033e-05   0.8822   0.0647       73
features.10                       76    -0.028854 2.856132e-07 4.448177e-07   0.5995   0.0345      137
features.6                        60    -0.028184 5.368072e-08 6.506981e-05   0.4025   0.0134       73
features.12                      488    -0.028121 1.096403e-07 3.024756e-06   0.5134   0.0258      201
features.12                      134    -0.027204 5.981311e-08 1.049216e-07   0.2801   0.0009      201
features.12                      297    -0.026973 1.431630e-07 5.218930e-06   0.6704   0.0445      201
features.12                      382    -0.026882 9.661637e-08 2.391667e-06   0.4524   0.0204      201
features.12                      258    -0.026733 8.229638e-08 1.537662e-06   0.3854   0.0131      201
features.12                      222    -0.026085 1.309619e-07 4.590467e-06   0.6133   0.0392      201
features.12                      409    -0.025443 1.084371e-07 3.300157e-06   0.5078   0.0282      201
features.12                      553    -0.025168 6.657287e-08 7.824173e-07   0.3117   0.0067      201
features.12                      129    -0.025038 6.518583e-08 7.147012e-07   0.3053   0.0061      201
features.12                       16    -0.024776 9.135650e-08 2.345210e-06   0.4278   0.0200      201
