================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 28
  alpha      : 0.9000
  norm       : max
  timestamp  : 2026-09-09 11:48:29
  remove_target  : 22380
  accum_removed  : 22603
  selected_channels : 83
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1285636
  model_sparsity : 41.4%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       18    56.2%
  features.2                 96          0       59    61.5%
  features.3                144          2       62    43.1%
  features.4                144          0       12     8.3%
  features.5                192          0       53    27.6%
  features.6                192          1      176    91.7%
  features.7                192          3       13     6.8%
  features.8                384          3      184    47.9%
  features.9                384          5      210    54.7%
  features.10               384         24      211    54.9%
  features.11               384          2      152    39.6%
  features.12               576          0      375    65.1%
  features.13               576          0      504    87.5%
  features.14               576          2      278    48.3%
  features.15               960          8      717    74.7%
  features.16               960         12      620    64.6%
  features.17               960         21      168    17.5%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 14          1       7.1%
  features.2                 37          1       2.7%
  features.3                 84          1       1.2%
  features.4                132          1       0.8%
  features.5                139          1       0.7%
  features.6                 17          1       5.9%
  features.7                182          1       0.5%
  features.8                203          2       1.0%
  features.9                179          1       0.6%
  features.10               197          1       0.5%
  features.11               234          2       0.9%
  features.12               201          2       1.0%
  features.13                72          1       1.4%
  features.14               300          2       0.7%
  features.15               251          2       0.8%
  features.16               352          2       0.6%
  features.17               813          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 24채널 제거
  features.11: 2채널 제거
  features.14: 2채널 제거
  features.15: 8채널 제거
  features.16: 12채널 제거
  features.17: 21채널 제거
  features.3: 2채널 제거
  features.6: 1채널 제거
  features.7: 3채널 제거
  features.8: 3채널 제거
  features.9: 5채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.10                      304    -0.032423 2.541036e-07 1.002682e-06   0.7041   0.0422      137
features.10                      300    -0.031494 3.608734e-07 1.808046e-06   1.0000   0.0761      137
features.10                       34    -0.027530 1.862251e-07 6.353725e-07   0.5160   0.0267      137
features.10                      260    -0.026927 1.635684e-07 4.855779e-07   0.4533   0.0204      137
features.10                      148    -0.026848 2.841701e-07 1.369703e-06   0.7874   0.0577      137
features.10                       63    -0.024569 2.355812e-07 1.074482e-06   0.6528   0.0452      137
features.10                      164    -0.020849 1.279210e-07 3.853056e-07   0.3545   0.0162      137
features.17                      155    -0.017221 4.388512e-07 1.574181e-08   0.2559   0.0093      489
features.7                        43    -0.016345 4.302981e-06 1.800922e-06   0.8387   0.0750      105
features.10                      373    -0.015707 1.068454e-07 3.668720e-07   0.2961   0.0154      137
features.10                       90    -0.014543 1.096465e-07 4.180851e-07   0.3038   0.0176      137
features.10                      189    -0.014446 8.450696e-08 2.367679e-07   0.2342   0.0100      137
features.10                      347    -0.013311 1.166561e-07 5.018502e-07   0.3233   0.0211      137
features.16                      657    -0.012044 8.247049e-07 7.940403e-07   0.3591   0.0265      329
features.10                      217    -0.011405 1.258656e-07 6.195218e-07   0.3488   0.0261      137
features.10                      241    -0.011307 1.014620e-07 4.436311e-07   0.2812   0.0187      137
features.10                      269    -0.010792 2.766332e-07 1.738349e-06   0.7666   0.0732      137
features.9                        50    -0.010698 1.538770e-07 7.768696e-07   0.2788   0.0191      137
features.15                      266    -0.010219 1.828857e-07 2.022851e-07   0.1207   0.0021      329
features.17                      937    -0.009260 3.201538e-07 1.769920e-08   0.1867   0.0105      489
features.10                      117    -0.009149 8.389105e-08 3.720822e-07   0.2325   0.0157      137
features.9                        71    -0.008867 2.308268e-07 1.490055e-06   0.4182   0.0366      137
features.17                      332    -0.008350 3.697668e-07 2.485415e-08   0.2156   0.0147      489
features.17                      721    -0.008346 2.662605e-07 1.350690e-08   0.1552   0.0080      489
features.14                       56    -0.008202 8.982807e-07 1.225314e-07   0.2145   0.0147      265
features.10                       48    -0.007706 7.936059e-08 3.770257e-07   0.2199   0.0159      137
