================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 34
  alpha      : 0.9000
  norm       : max
  timestamp  : 2026-09-09 12:09:39
  remove_target  : 19205
  accum_removed  : 19260
  selected_channels : 76
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1161971
  model_sparsity : 47.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       19    59.4%
  features.2                 96          0       59    61.5%
  features.3                144         11       98    68.1%
  features.4                144          0       16    11.1%
  features.5                192          4       76    39.6%
  features.6                192          3      186    96.9%
  features.7                192          0       14     7.3%
  features.8                384         11      199    51.8%
  features.9                384          3      232    60.4%
  features.10               384          6      239    62.2%
  features.11               384          0      169    44.0%
  features.12               576          1      388    67.4%
  features.13               576          1      524    91.0%
  features.14               576          1      287    49.8%
  features.15               960         15      769    80.1%
  features.16               960          0      695    72.4%
  features.17               960         20      283    29.5%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 13          1       7.7%
  features.2                 37          1       2.7%
  features.3                 57          1       1.8%
  features.4                128          1       0.8%
  features.5                120          1       0.8%
  features.6                  9          1      11.1%
  features.7                178          1       0.6%
  features.8                196          1       0.5%
  features.9                155          1       0.6%
  features.10               151          1       0.7%
  features.11               215          2       0.9%
  features.12               189          1       0.5%
  features.13                53          1       1.9%
  features.14               290          2       0.7%
  features.15               206          2       1.0%
  features.16               265          2       0.8%
  features.17               697          4       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 6채널 제거
  features.12: 1채널 제거
  features.13: 1채널 제거
  features.14: 1채널 제거
  features.15: 15채널 제거
  features.17: 20채널 제거
  features.3: 11채널 제거
  features.5: 4채널 제거
  features.6: 3채널 제거
  features.8: 11채널 제거
  features.9: 3채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.3                        97    -0.018984 8.350949e-08 1.307051e-04   0.7803   0.0656       57
features.17                      881    -0.014472 4.583149e-07 2.372063e-08   0.2653   0.0134      489
features.3                        13    -0.012587 4.453223e-08 6.424623e-05   0.4161   0.0323       57
features.10                      365    -0.011295 9.072781e-08 3.690620e-07   0.2426   0.0144      137
features.8                       245    -0.010611 1.168551e-07 1.302442e-06   0.2670   0.0179      137
features.5                       145    -0.010597 1.278986e-07 4.950891e-06   0.2325   0.0141       73
features.17                      727    -0.009627 4.639322e-07 3.388693e-08   0.2686   0.0191      489
features.6                        91    -0.009457 3.681963e-08 4.548199e-04   0.2863   0.0213       73
features.15                      177    -0.009011 6.008761e-07 5.838072e-06   0.3590   0.0299      329
features.8                       128    -0.008949 8.863004e-08 9.149541e-07   0.2025   0.0126      137
features.10                       42    -0.008645 1.765087e-07 1.097520e-06   0.4719   0.0428      137
features.14                      361    -0.008272 1.104145e-06 2.211174e-07   0.2656   0.0203      265
features.3                        67    -0.006609 4.190148e-08 7.203713e-05   0.3915   0.0362       57
features.3                       143    -0.006393 4.840076e-08 8.595658e-05   0.4523   0.0431       57
features.15                      641    -0.006379 2.612484e-07 2.003878e-06   0.1561   0.0103      329
features.10                       21    -0.006195 8.075619e-08 4.383656e-07   0.2159   0.0171      137
features.15                      605    -0.005710 1.233175e-07 3.598895e-07   0.0737   0.0018      329
features.17                      303    -0.005571 4.293977e-07 3.793158e-08   0.2486   0.0214      489
features.17                      708    -0.005462 2.506623e-07 1.779620e-08   0.1451   0.0101      489
features.3                       134    -0.005425 2.518112e-08 4.007350e-05   0.2353   0.0201       57
features.17                      833    -0.005341 1.885554e-07 1.096473e-08   0.1092   0.0062      489
features.10                        6    -0.005310 5.818243e-08 2.917089e-07   0.1556   0.0114      137
features.3                         1    -0.005279 2.607659e-08 4.225089e-05   0.2437   0.0212       57
features.8                       130    -0.005265 9.000327e-08 1.238603e-06   0.2056   0.0170      137
features.17                      886    -0.005127 3.597364e-07 3.087392e-08   0.2083   0.0174      489
features.17                      887    -0.005035 1.502316e-07 7.202604e-09   0.0870   0.0041      489
features.6                       116    -0.004990 2.216041e-08 2.903730e-04   0.1723   0.0136       73
features.8                       143    -0.004987 8.270831e-08 1.126124e-06   0.1890   0.0155      137
features.17                        1    -0.004928 1.536010e-07 7.796733e-09   0.0889   0.0044      489
features.3                       142    -0.004750 1.074763e-08 1.171508e-05   0.1004   0.0059       57
features.17                      343    -0.004614 3.137453e-07 2.664686e-08   0.1816   0.0151      489
features.10                      231    -0.004571 3.663654e-08 1.487357e-07   0.0980   0.0058      137
features.3                        84    -0.004514 3.265563e-08 5.755139e-05   0.3051   0.0289       57
features.17                      670    -0.004321 1.087961e-06 1.153697e-07   0.6299   0.0652      489
features.17                      285    -0.004201 1.787577e-07 1.209059e-08   0.1035   0.0068      489
features.15                      208    -0.004067 2.789365e-07 2.735216e-06   0.1666   0.0140      329
features.8                       190    -0.003995 5.608683e-08 7.140646e-07   0.1281   0.0098      137
features.8                       358    -0.003947 2.344136e-08 1.140287e-07   0.0536   0.0016      137
features.10                        5    -0.003839 1.293115e-07 8.750886e-07   0.3457   0.0341      137
features.3                       132    -0.003809 5.795060e-09 3.554165e-06   0.0542   0.0018       57
features.15                      570    -0.003785 1.524093e-07 1.155160e-06   0.0911   0.0059      329
features.15                      509    -0.003719 2.078339e-07 1.888539e-06   0.1242   0.0097      329
features.15                      617    -0.003548 2.312830e-07 2.229890e-06   0.1382   0.0114      329
features.15                       78    -0.003422 1.351710e-07 1.010348e-06   0.0808   0.0052      329
features.8                        13    -0.003376 3.297959e-08 3.366816e-07   0.0754   0.0046      137
features.17                      315    -0.003303 1.399671e-07 9.440820e-09   0.0810   0.0053      489
features.8                        48    -0.003209 4.010878e-08 4.820807e-07   0.0916   0.0066      137
features.17                      592    -0.003197 9.775805e-08 4.841973e-09   0.0566   0.0027      489
features.8                       254    -0.003186 3.647897e-08 4.168295e-07   0.0833   0.0057      137
features.3                        46    -0.003115 2.805484e-08 5.113082e-05   0.2622   0.0257       57
features.15                       32    -0.002999 7.323958e-08 2.987767e-07   0.0438   0.0015      329
features.8                        78    -0.002933 7.252638e-08 1.104127e-06   0.1657   0.0152      137
features.17                      812    -0.002859 1.118053e-07 7.107069e-09   0.0647   0.0040      489
features.17                      314    -0.002835 1.236402e-07 8.501047e-09   0.0716   0.0048      489
features.15                      457    -0.002813 7.410490e-08 3.505771e-07   0.0443   0.0018      329
features.17                       56    -0.002764 3.666807e-07 3.631182e-08   0.2123   0.0205      489
features.5                       152    -0.002762 5.528628e-08 2.851648e-06   0.1005   0.0081       73
features.3                        50    -0.002736 1.143874e-08 1.760328e-05   0.1069   0.0088       57
features.17                      796    -0.002690 3.067994e-07 2.964020e-08   0.1776   0.0167      489
features.15                      603    -0.002633 1.484541e-07 1.354069e-06   0.0887   0.0069      329
features.5                         4    -0.002606 2.970967e-08 1.093360e-06   0.0540   0.0031       73
features.9                       189    -0.002502 9.719829e-08 6.030890e-07   0.1140   0.0099      137
features.15                      637    -0.002447 1.450424e-07 1.350222e-06   0.0867   0.0069      329
features.17                      437    -0.002333 2.062150e-07 1.889020e-08   0.1194   0.0107      489
features.9                       200    -0.002301 3.580018e-08 1.286185e-07   0.0420   0.0021      137
features.15                       23    -0.002274 1.427082e-07 1.357440e-06   0.0853   0.0069      329
features.17                      950    -0.002165 1.246552e-07 9.935523e-09   0.0722   0.0056      489
features.15                      504    -0.002119 3.078101e-07 3.532904e-06   0.1839   0.0181      329
features.12                      398    -0.002108 2.540799e-08 1.348720e-07   0.0368   0.0017      201
features.15                      263    -0.002031 2.476040e-07 2.770951e-06   0.1479   0.0142      329
features.13                      245    -0.001995 2.039712e-08 4.226299e-06   0.0895   0.0077      201
features.9                        63    -0.001963 8.793100e-08 5.659344e-07   0.1031   0.0093      137
features.5                        59    -0.001926 1.901013e-08 5.985049e-07   0.0346   0.0017       73
features.8                       227    -0.001895 9.580109e-08 1.618698e-06   0.2189   0.0222      137
features.17                      444    -0.001877 1.275371e-07 1.082898e-08   0.0738   0.0061      489
