================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 35
  alpha      : 0.9000
  norm       : max
  timestamp  : 2026-09-09 12:13:12
  remove_target  : 18724
  accum_removed  : 18739
  selected_channels : 59
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1143232
  model_sparsity : 47.9%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       19    59.4%
  features.2                 96          0       59    61.5%
  features.3                144          0       98    68.1%
  features.4                144          0       16    11.1%
  features.5                192          4       80    41.7%
  features.6                192          0      186    96.9%
  features.7                192          0       14     7.3%
  features.8                384          3      202    52.6%
  features.9                384          1      233    60.7%
  features.10               384          0      239    62.2%
  features.11               384          4      173    45.1%
  features.12               576          0      388    67.4%
  features.13               576          2      526    91.3%
  features.14               576         11      298    51.7%
  features.15               960          3      772    80.4%
  features.16               960         14      709    73.9%
  features.17               960         17      300    31.2%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 13          1       7.7%
  features.2                 37          1       2.7%
  features.3                 46          1       2.2%
  features.4                128          1       0.8%
  features.5                116          1       0.9%
  features.6                  6          1      16.7%
  features.7                178          1       0.6%
  features.8                185          1       0.5%
  features.9                152          1       0.7%
  features.10               145          1       0.7%
  features.11               215          2       0.9%
  features.12               188          1       0.5%
  features.13                52          1       1.9%
  features.14               289          2       0.7%
  features.15               191          1       0.5%
  features.16               265          2       0.8%
  features.17               677          4       0.6%

[ 블록별 제거 채널 수 ]
  features.11: 4채널 제거
  features.13: 2채널 제거
  features.14: 11채널 제거
  features.15: 3채널 제거
  features.16: 14채널 제거
  features.17: 17채널 제거
  features.5: 4채널 제거
  features.8: 3채널 제거
  features.9: 1채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.14                      531    -0.011258 1.232373e-06 2.651349e-07   0.2964   0.0204      265
features.14                      450    -0.011061 1.659666e-06 4.162033e-07   0.3992   0.0321      265
features.16                      380    -0.010695 8.513211e-07 2.154353e-06   0.2559   0.0165      329
features.16                      136    -0.009217 5.170819e-07 9.149109e-07   0.1554   0.0070      329
features.14                      288    -0.008117 1.767962e-06 4.962355e-07   0.4252   0.0382      265
features.11                       35    -0.008112 2.277849e-06 1.115959e-05   1.0000   0.1021      169
features.16                      740    -0.007994 3.395903e-07 3.202136e-07   0.1021   0.0025      329
features.14                      210    -0.007577 1.324916e-06 3.503323e-07   0.3186   0.0270      265
features.16                      637    -0.007037 4.008667e-07 7.249886e-07   0.1205   0.0056      329
features.17                      330    -0.006058 2.849448e-07 2.163961e-08   0.1596   0.0110      489
features.14                       45    -0.005919 1.845134e-06 5.547124e-07   0.4438   0.0427      265
features.16                      229    -0.005563 6.514791e-07 2.027921e-06   0.1958   0.0156      329
features.16                      166    -0.005517 3.015625e-07 5.130897e-07   0.0906   0.0039      329
features.17                      769    -0.005440 3.200637e-07 2.728708e-08   0.1793   0.0139      489
features.14                      174    -0.005418 1.600380e-06 4.770413e-07   0.3849   0.0367      265
features.11                      289    -0.005096 4.636129e-07 1.852998e-06   0.2035   0.0170      169
features.14                       91    -0.004946 5.596069e-07 1.227874e-07   0.1346   0.0095      265
features.14                      433    -0.004937 9.075973e-07 2.436349e-07   0.2183   0.0188      265
features.8                       151    -0.004879 6.018848e-08 3.036906e-07   0.0750   0.0029      137
features.17                      229    -0.004793 1.895432e-07 1.272687e-08   0.1062   0.0065      489
features.14                      563    -0.004337 1.410088e-06 4.266105e-07   0.3391   0.0329      265
features.9                        36    -0.004265 1.520725e-07 8.346867e-07   0.1748   0.0147      137
features.16                      211    -0.004118 2.421410e-07 4.571618e-07   0.0728   0.0035      329
features.16                      939    -0.003982 2.152525e-07 3.599407e-07   0.0647   0.0028      329
features.17                      411    -0.003949 2.288105e-07 1.937557e-08   0.1282   0.0099      489
