================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 37
  alpha      : 0.9000
  norm       : max
  timestamp  : 2026-09-09 12:20:16
  remove_target  : 17795
  accum_removed  : 18051
  selected_channels : 59
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1106790
  model_sparsity : 49.5%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       19    59.4%
  features.2                 96          2       61    63.5%
  features.3                144          0       98    68.1%
  features.4                144          0       16    11.1%
  features.5                192          2       84    43.8%
  features.6                192          0      186    96.9%
  features.7                192          0       14     7.3%
  features.8                384          0      210    54.7%
  features.9                384          0      234    60.9%
  features.10               384         12      254    66.1%
  features.11               384          4      186    48.4%
  features.12               576          3      391    67.9%
  features.13               576          0      526    91.3%
  features.14               576          0      298    51.7%
  features.15               960          2      802    83.5%
  features.16               960         15      724    75.4%
  features.17               960         19      331    34.5%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 13          1       7.7%
  features.2                 37          1       2.7%
  features.3                 46          1       2.2%
  features.4                128          1       0.8%
  features.5                110          1       0.9%
  features.6                  6          1      16.7%
  features.7                178          1       0.6%
  features.8                174          1       0.6%
  features.9                150          1       0.7%
  features.10               142          1       0.7%
  features.11               202          2       1.0%
  features.12               188          1       0.5%
  features.13                50          1       2.0%
  features.14               278          2       0.7%
  features.15               160          1       0.6%
  features.16               251          2       0.8%
  features.17               648          4       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 12채널 제거
  features.11: 4채널 제거
  features.12: 3채널 제거
  features.15: 2채널 제거
  features.16: 15채널 제거
  features.17: 19채널 제거
  features.2: 2채널 제거
  features.5: 2채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.10                      255    -0.018258 2.757311e-07 1.775033e-06   0.6295   0.0497      137
features.10                      245    -0.015204 1.675002e-07 9.149459e-07   0.3824   0.0256      137
features.16                      374    -0.009144 8.875246e-07 2.325602e-06   0.2975   0.0229      329
features.17                      415    -0.008454 7.744719e-07 6.497295e-08   0.3973   0.0347      489
features.10                      364    -0.007626 9.993823e-08 6.033294e-07   0.2282   0.0169      137
features.10                      308    -0.006501 1.191776e-07 8.224371e-07   0.2721   0.0230      137
features.16                      279    -0.006259 2.467756e-07 2.271856e-07   0.0827   0.0022      329
features.2                        92    -0.006192 3.560887e-06 3.055047e-03   1.0000   0.1042       49
features.10                      309    -0.005688 2.218952e-07 1.786134e-06   0.5066   0.0500      137
features.10                      213    -0.005336 5.470826e-08 2.841350e-07   0.1249   0.0079      137
features.17                      824    -0.004927 6.596929e-07 6.006699e-08   0.3384   0.0321      489
features.10                      326    -0.004866 6.716913e-08 4.157816e-07   0.1533   0.0116      137
features.17                      227    -0.004577 3.410354e-07 2.683491e-08   0.1749   0.0144      489
features.16                      936    -0.004245 4.724913e-07 1.308338e-06   0.1584   0.0129      329
features.17                       66    -0.003712 6.190896e-07 5.826457e-08   0.3176   0.0312      489
features.12                      262    -0.003622 7.466696e-08 9.477956e-07   0.1148   0.0087      201
features.16                      478    -0.003607 2.249649e-07 4.439366e-07   0.0754   0.0044      329
features.15                      224    -0.003465 2.148535e-07 2.029345e-06   0.1360   0.0113      329
features.16                       29    -0.003234 6.706016e-07 2.171974e-06   0.2248   0.0214      329
features.10                      356    -0.003096 1.412878e-07 1.158179e-06   0.3226   0.0324      137
features.16                      897    -0.003025 6.749651e-07 2.212085e-06   0.2262   0.0218      329
features.10                      102    -0.002864 5.149874e-08 3.532249e-07   0.1176   0.0099      137
features.2                        32    -0.002806 1.861217e-07 7.885545e-05   0.0523   0.0027       49
features.17                      243    -0.002639 5.441029e-07 5.250368e-08   0.2791   0.0281      489
features.17                      916    -0.002422 2.528130e-07 2.191015e-08   0.1297   0.0117      489
