================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 38
  alpha      : 0.9000
  norm       : max
  timestamp  : 2026-09-09 12:23:48
  remove_target  : 17344
  accum_removed  : 17426
  selected_channels : 90
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1089364
  model_sparsity : 50.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       20    62.5%
  features.2                 96         14       75    78.1%
  features.3                144          0       98    68.1%
  features.4                144          3       19    13.2%
  features.5                192          5       89    46.4%
  features.6                192          0      186    96.9%
  features.7                192          2       16     8.3%
  features.8                384          1      211    54.9%
  features.9                384         20      254    66.1%
  features.10               384          0      254    66.1%
  features.11               384         13      199    51.8%
  features.12               576          3      394    68.4%
  features.13               576          2      528    91.7%
  features.14               576          2      300    52.1%
  features.15               960         15      817    85.1%
  features.16               960          0      724    75.4%
  features.17               960          9      340    35.4%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 13          1       7.7%
  features.2                 35          1       2.9%
  features.3                 46          1       2.2%
  features.4                128          1       0.8%
  features.5                108          1       0.9%
  features.6                  6          1      16.7%
  features.7                178          1       0.6%
  features.8                174          1       0.6%
  features.9                150          1       0.7%
  features.10               130          1       0.8%
  features.11               198          1       0.5%
  features.12               185          1       0.5%
  features.13                50          1       2.0%
  features.14               278          2       0.7%
  features.15               158          1       0.6%
  features.16               236          2       0.8%
  features.17               629          4       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.11: 13채널 제거
  features.12: 3채널 제거
  features.13: 2채널 제거
  features.14: 2채널 제거
  features.15: 15채널 제거
  features.17: 9채널 제거
  features.2: 14채널 제거
  features.4: 3채널 제거
  features.5: 5채널 제거
  features.7: 2채널 제거
  features.8: 1채널 제거
  features.9: 20채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.5                       167    -0.074927 4.517771e-07 1.701056e-05   0.9897   0.0267       73
features.2                        35    -0.061476 5.362259e-07 1.064760e-03   0.8964   0.0313       49
features.2                        55    -0.061177 4.351332e-07 4.371852e-04   0.7274   0.0128       49
features.2                        34    -0.050507 5.981883e-07 1.870986e-03   1.0000   0.0550       49
features.2                        78    -0.048301 5.585843e-07 1.704094e-03   0.9338   0.0501       49
features.11                      291    -0.038851 1.030847e-06 6.957820e-06   0.9046   0.0573      169
features.11                      335    -0.036365 8.013565e-07 4.577968e-06   0.7032   0.0377      169
features.11                      222    -0.035530 9.703529e-07 6.689841e-06   0.8515   0.0551      169
features.11                       66    -0.033662 1.139580e-06 8.943924e-06   1.0000   0.0737      169
features.1                         6    -0.032396 1.993516e-06 1.312840e-02   1.0000   0.0751       25
features.4                       111    -0.030842 7.741265e-07 3.409614e-06   0.6266   0.0354       65
features.9                       128    -0.027852 2.361322e-07 3.672171e-06   0.9337   0.0728      137
features.11                      288    -0.025306 6.049641e-07 3.745398e-06   0.5309   0.0309      169
features.2                        44    -0.021554 1.727511e-07 2.769066e-04   0.2888   0.0081       49
features.9                       104    -0.019856 8.571471e-08 7.867062e-07   0.3389   0.0156      137
features.2                        43    -0.019839 2.584555e-07 8.833734e-04   0.4321   0.0260       49
features.17                      457    -0.019487 6.259438e-07 3.779737e-08   0.3503   0.0173      489
features.11                      321    -0.019398 2.976385e-07 9.060169e-07   0.2612   0.0075      169
features.5                       114    -0.018520 1.991098e-07 1.775906e-05   0.4362   0.0279       73
features.2                        79    -0.017578 1.677683e-07 3.957417e-04   0.2805   0.0116       49
features.2                         5    -0.015611 1.663349e-07 4.610179e-04   0.2781   0.0136       49
features.11                      280    -0.014999 5.245347e-07 4.183567e-06   0.4603   0.0345      169
features.9                        44    -0.014093 8.642787e-08 1.125531e-06   0.3417   0.0223      137
features.2                        89    -0.013621 1.423657e-07 3.847658e-04   0.2380   0.0113       49
features.15                      233    -0.013481 2.223428e-07 2.355896e-06   0.2155   0.0090      329
features.5                        44    -0.012944 9.934623e-08 6.240086e-06   0.2176   0.0098       73
