================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 60
  alpha      : 0.9000
  norm       : max
  timestamp  : 2026-09-09 13:41:28
  remove_target  : 9855
  accum_removed  : 9960
  selected_channels : 64
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 797275
  model_sparsity : 63.6%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       30    93.8%
  features.2                 96          0       93    96.9%
  features.3                144          3      128    88.9%
  features.4                144          9       92    63.9%
  features.5                192          0      122    63.5%
  features.6                192          0      186    96.9%
  features.7                192          9       57    29.7%
  features.8                384         15      331    86.2%
  features.9                384         17      325    84.6%
  features.10               384          0      316    82.3%
  features.11               384          1      264    68.8%
  features.12               576          1      490    85.1%
  features.13               576          0      558    96.9%
  features.14               576          4      335    58.2%
  features.15               960          0      931    97.0%
  features.16               960          0      931    97.0%
  features.17               960          5      528    55.0%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  2          1      50.0%
  features.2                  3          1      33.3%
  features.3                 19          1       5.3%
  features.4                 61          1       1.6%
  features.5                 70          1       1.4%
  features.6                  6          1      16.7%
  features.7                144          1       0.7%
  features.8                 68          1       1.5%
  features.9                 76          1       1.3%
  features.10                68          1       1.5%
  features.11               121          1       0.8%
  features.12                87          1       1.1%
  features.13                18          1       5.6%
  features.14               245          2       0.8%
  features.15                29          1       3.4%
  features.16                29          1       3.4%
  features.17               437          3       0.7%

[ 블록별 제거 채널 수 ]
  features.11: 1채널 제거
  features.12: 1채널 제거
  features.14: 4채널 제거
  features.17: 5채널 제거
  features.3: 3채널 제거
  features.4: 9채널 제거
  features.7: 9채널 제거
  features.8: 15채널 제거
  features.9: 17채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.3                       122    -0.079536 2.246210e-07 3.933489e-03   1.0000   0.0227       57
features.4                       132    -0.044657 1.371866e-06 7.774638e-05   0.6757   0.0255       65
features.9                        95    -0.034301 1.248222e-07 1.957411e-06   0.5105   0.0186      137
features.4                        11    -0.034200 8.971562e-07 3.389250e-05   0.4419   0.0111       65
features.8                       167    -0.031138 3.622246e-07 2.252006e-05   0.5918   0.0312      137
features.4                       142    -0.026653 8.188063e-07 4.640554e-05   0.4033   0.0152       65
features.9                       111    -0.024559 2.209683e-07 7.690916e-06   0.9037   0.0731      137
features.4                       109    -0.023048 1.591521e-06 1.877857e-04   0.7839   0.0615       65
features.4                        79    -0.022054 7.753617e-07 5.475127e-05   0.3819   0.0179       65
features.8                        11    -0.021058 2.084955e-07 1.044418e-05   0.3406   0.0144      137
features.9                       322    -0.020796 1.256646e-07 3.575744e-06   0.5140   0.0340      137
features.9                        32    -0.020318 1.488780e-07 4.741126e-06   0.6089   0.0451      137
features.8                        54    -0.019711 2.377919e-07 1.537069e-05   0.3885   0.0213      137
features.9                       197    -0.019635 1.396706e-07 4.380815e-06   0.5712   0.0417      137
features.14                      197    -0.018587 1.579770e-06 1.962789e-07   0.3475   0.0180      265
features.14                      477    -0.015971 2.133964e-06 3.760986e-07   0.4694   0.0344      265
features.8                       319    -0.014208 1.055962e-07 2.444181e-06   0.1725   0.0034      137
features.4                       125    -0.013877 4.951644e-07 3.566850e-05   0.2439   0.0117       65
features.8                       282    -0.013454 1.643808e-07 1.076336e-05   0.2686   0.0149      137
features.9                        76    -0.013181 7.391893e-08 1.992578e-06   0.3023   0.0189      137
features.9                       237    -0.012577 5.988292e-08 1.392312e-06   0.2449   0.0132      137
features.17                      385    -0.012458 6.613918e-07 4.757321e-08   0.2608   0.0151      489
features.7                       138    -0.011808 3.185941e-06 4.217971e-06   0.5944   0.0529      105
features.7                       189    -0.011440 1.969446e-06 2.240715e-06   0.3674   0.0281      105
features.8                        38    -0.011371 1.523287e-07 1.085461e-05   0.2489   0.0150      137
