================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 8
  alpha      : 0.3000
  norm       : max
  timestamp  : 2026-09-09 23:15:21
  remove_target  : 37241
  accum_removed  : 37564
  selected_channels : 164
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1865088
  model_sparsity : 14.9%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          2       22    68.8%
  features.2                 96          7       42    43.8%
  features.3                144          1       21    14.6%
  features.4                144          6       72    50.0%
  features.5                192          5       16     8.3%
  features.6                192          6       42    21.9%
  features.7                192          0       28    14.6%
  features.8                384          8       63    16.4%
  features.9                384         11       98    25.5%
  features.10               384         12       70    18.2%
  features.11               384          9      142    37.0%
  features.12               576         19      114    19.8%
  features.13               576         14      104    18.1%
  features.14               576         24      208    36.1%
  features.15               960         10      196    20.4%
  features.16               960          5      137    14.3%
  features.17               960         25       97    10.1%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 12          1       8.3%
  features.2                 61          1       1.6%
  features.3                124          1       0.8%
  features.4                 78          1       1.3%
  features.5                181          1       0.6%
  features.6                156          1       0.6%
  features.7                164          1       0.6%
  features.8                329          2       0.6%
  features.9                297          2       0.7%
  features.10               326          2       0.6%
  features.11               251          2       0.8%
  features.12               481          3       0.6%
  features.13               486          3       0.6%
  features.14               392          2       0.5%
  features.15               774          4       0.5%
  features.16               828          5       0.6%
  features.17               888          5       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 2채널 제거
  features.10: 12채널 제거
  features.11: 9채널 제거
  features.12: 19채널 제거
  features.13: 14채널 제거
  features.14: 24채널 제거
  features.15: 10채널 제거
  features.16: 5채널 제거
  features.17: 25채널 제거
  features.2: 7채널 제거
  features.3: 1채널 제거
  features.4: 6채널 제거
  features.5: 5채널 제거
  features.6: 6채널 제거
  features.8: 8채널 제거
  features.9: 11채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      676    -0.699540 1.462603e-06 8.559625e-08   1.0000   0.0015      329
features.6                        85    -0.699315 2.112179e-07 1.885039e-06   1.0000   0.0023       73
features.12                      270    -0.699131 4.266683e-07 1.107115e-07   1.0000   0.0029      201
features.1                        31    -0.698998 3.783739e-07 5.677239e-03   1.0000   0.0033       25
features.2                        50    -0.697773 1.120376e-06 2.879243e-05   1.0000   0.0074       49
features.10                      334    -0.697477 7.024589e-07 1.525851e-07   1.0000   0.0084      137
features.9                       224    -0.693884 6.023703e-07 9.058144e-07   1.0000   0.0204      137
features.14                        4    -0.689668 2.253248e-06 7.838324e-07   1.0000   0.0344      265
features.6                       156    -0.676349 2.041699e-07 8.017709e-07   0.9666   0.0010       73
features.17                       71    -0.671607 1.568028e-06 2.874691e-07   1.0000   0.0946      489
features.4                        70    -0.670880 2.282561e-06 3.576096e-05   1.0000   0.0971       65
features.14                      207    -0.667753 2.204994e-06 1.309119e-06   0.9786   0.0575      265
features.13                      411    -0.666965 3.638067e-07 4.528331e-07   0.9566   0.0087      201
features.2                        75    -0.666411 1.089573e-06 1.854460e-04   0.9725   0.0478       49
features.11                      129    -0.666292 1.018965e-06 9.928212e-06   1.0000   0.1124      169
features.13                      124    -0.662704 3.803298e-07 6.439850e-06   1.0000   0.1243      201
features.13                      396    -0.657239 3.581899e-07 3.471818e-07   0.9418   0.0067      201
features.4                        27    -0.640363 2.176783e-06 3.339983e-05   0.9537   0.0907       65
features.17                      753    -0.635040 1.550580e-06 5.788486e-07   0.9889   0.1906      489
features.5                       167    -0.634768 5.169464e-07 2.738904e-05   1.0000   0.2174       73
features.14                       76    -0.631625 2.078484e-06 1.068372e-06   0.9224   0.0469      265
features.8                        39    -0.630431 6.254057e-07 2.547777e-07   0.9025   0.0044      137
features.12                      234    -0.597104 3.657647e-07 3.796320e-07   0.8573   0.0099      201
features.12                      101    -0.586263 3.582348e-07 1.865869e-07   0.8396   0.0049      201
features.3                       110    -0.585964 3.867568e-07 1.870223e-03   1.0000   0.3801       57
features.11                      244    -0.579786 8.533066e-07 1.888226e-06   0.8374   0.0214      169
features.12                      362    -0.579105 3.540472e-07 2.232986e-07   0.8298   0.0058      201
