================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 18
  alpha      : 0.3000
  norm       : max
  timestamp  : 2026-09-09 23:50:37
  remove_target  : 28876
  accum_removed  : 28897
  selected_channels : 145
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1539158
  model_sparsity : 29.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          4       84    87.5%
  features.3                144          2       79    54.9%
  features.4                144          3      111    77.1%
  features.5                192         11      119    62.0%
  features.6                192          0       90    46.9%
  features.7                192         12      146    76.0%
  features.8                384          0       89    23.2%
  features.9                384          5      249    64.8%
  features.10               384          8      182    47.4%
  features.11               384         15      317    82.6%
  features.12               576          7      199    34.5%
  features.13               576         30      283    49.1%
  features.14               576         19      422    73.3%
  features.15               960          7      298    31.0%
  features.16               960         22      272    28.3%
  features.17               960          0      174    18.1%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 16          1       6.2%
  features.3                 67          1       1.5%
  features.4                 36          1       2.8%
  features.5                 84          1       1.2%
  features.6                102          1       1.0%
  features.7                 58          1       1.7%
  features.8                295          2       0.7%
  features.9                140          1       0.7%
  features.10               210          2       1.0%
  features.11                82          1       1.2%
  features.12               384          2       0.5%
  features.13               323          2       0.6%
  features.14               173          1       0.6%
  features.15               669          4       0.6%
  features.16               710          4       0.6%
  features.17               786          4       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 8채널 제거
  features.11: 15채널 제거
  features.12: 7채널 제거
  features.13: 30채널 제거
  features.14: 19채널 제거
  features.15: 7채널 제거
  features.16: 22채널 제거
  features.2: 4채널 제거
  features.3: 2채널 제거
  features.4: 3채널 제거
  features.5: 11채널 제거
  features.7: 12채널 제거
  features.9: 5채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      335    -0.699547 1.284205e-06 3.672177e-07   1.0000   0.0015      329
features.13                      157    -0.698358 2.034335e-07 3.822866e-07   1.0000   0.0055      201
features.9                       363    -0.696270 4.698626e-07 1.647482e-06   1.0000   0.0124      137
features.12                      531    -0.695875 3.680306e-07 9.020946e-07   1.0000   0.0137      201
features.11                      187    -0.694054 8.259742e-07 2.374313e-05   1.0000   0.0198      169
features.16                      518    -0.692472 1.259276e-06 3.450477e-06   1.0000   0.0251      329
features.16                      337    -0.686648 1.237294e-06 5.189308e-07   0.9825   0.0038      329
features.3                       116    -0.682677 1.239553e-07 1.894262e-04   1.0000   0.0577       57
features.2                        49    -0.681950 4.202003e-07 3.120114e-02   1.0000   0.0602       49
features.7                       130    -0.680822 5.146966e-06 2.291869e-05   1.0000   0.0639      105
features.5                        89    -0.679291 8.385172e-08 3.242517e-05   0.9941   0.0554       73
features.11                      241    -0.677061 8.136345e-07 4.984575e-05   0.9851   0.0416      169
features.5                       175    -0.676381 8.434510e-08 4.610270e-05   1.0000   0.0787       73
features.11                      245    -0.673990 8.104495e-07 5.132694e-05   0.9812   0.0428      169
features.14                      357    -0.657955 3.974932e-06 6.014473e-06   1.0000   0.1401      265
features.14                      221    -0.656760 3.947772e-06 5.501255e-06   0.9932   0.1282      265
features.11                       52    -0.653768 7.749389e-07 1.190172e-05   0.9382   0.0099      169
features.13                      434    -0.653145 1.906803e-07 6.927112e-07   0.9373   0.0099      201
features.11                      209    -0.639831 7.737225e-07 6.344193e-05   0.9367   0.0530      169
features.13                      551    -0.639642 1.876171e-07 1.383895e-06   0.9222   0.0198      201
features.14                      442    -0.637074 3.668445e-06 1.280557e-06   0.9229   0.0298      265
features.15                      652    -0.633290 1.162587e-06 3.384791e-07   0.9053   0.0014      329
features.16                      716    -0.633015 1.140248e-06 3.759733e-07   0.9055   0.0027      329
features.13                      545    -0.626158 1.839818e-07 1.611574e-06   0.9044   0.0230      201
features.13                      213    -0.614569 1.807311e-07 1.705615e-06   0.8884   0.0244      201
features.5                        27    -0.612813 7.403040e-08 3.077068e-06   0.8777   0.0053       73
features.14                      160    -0.601752 3.451513e-06 8.685296e-07   0.8683   0.0202      265
features.3                        37    -0.591818 1.076355e-07 1.751872e-04   0.8683   0.0534       57
features.16                      253    -0.587614 1.057611e-06 1.307767e-07   0.8399   0.0010      329
features.13                       71    -0.585168 1.710268e-07 7.745314e-07   0.8407   0.0111      201
features.13                      566    -0.584850 1.718148e-07 1.481500e-06   0.8446   0.0212      201
features.7                        36    -0.579213 4.971573e-06 1.158428e-04   0.9659   0.3231      105
features.7                       105    -0.573748 4.319406e-06 1.637447e-05   0.8392   0.0457      105
