================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 24
  alpha      : 0.3000
  norm       : max
  timestamp  : 2026-09-10 00:11:51
  remove_target  : 24790
  accum_removed  : 24880
  selected_channels : 120
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1379724
  model_sparsity : 37.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       85    88.5%
  features.3                144          1      105    72.9%
  features.4                144          3      136    94.4%
  features.5                192          1      163    84.9%
  features.6                192          1      112    58.3%
  features.7                192          4      173    90.1%
  features.8                384          3      109    28.4%
  features.9                384          9      317    82.6%
  features.10               384         20      285    74.2%
  features.11               384         13      355    92.4%
  features.12               576         17      324    56.2%
  features.13               576          7      376    65.3%
  features.14               576         13      504    87.5%
  features.15               960         19      386    40.2%
  features.16               960          9      333    34.7%
  features.17               960          0      177    18.4%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 11          1       9.1%
  features.3                 40          1       2.5%
  features.4                 11          1       9.1%
  features.5                 30          1       3.3%
  features.6                 81          1       1.2%
  features.7                 23          1       4.3%
  features.8                278          2       0.7%
  features.9                 76          1       1.3%
  features.10               119          1       0.8%
  features.11                42          1       2.4%
  features.12               269          2       0.7%
  features.13               207          2       1.0%
  features.14                85          1       1.2%
  features.15               593          3       0.5%
  features.16               636          4       0.6%
  features.17               783          4       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 20채널 제거
  features.11: 13채널 제거
  features.12: 17채널 제거
  features.13: 7채널 제거
  features.14: 13채널 제거
  features.15: 19채널 제거
  features.16: 9채널 제거
  features.3: 1채널 제거
  features.4: 3채널 제거
  features.5: 1채널 제거
  features.6: 1채널 제거
  features.7: 4채널 제거
  features.8: 3채널 제거
  features.9: 9채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.16                      824    -0.699974 2.896427e-06 1.719596e-07   1.0000   0.0001      329
features.15                      281    -0.699712 1.587887e-06 3.766793e-07   1.0000   0.0010      329
features.13                      377    -0.699692 2.570297e-07 3.614948e-07   1.0000   0.0010      201
features.9                       293    -0.699461 2.784435e-07 2.610942e-06   1.0000   0.0018      137
features.11                      128    -0.699147 5.390202e-07 7.677039e-06   1.0000   0.0028      169
features.10                       12    -0.692659 2.577155e-07 2.079747e-06   1.0000   0.0245      137
features.14                      552    -0.692234 9.474704e-06 1.188696e-05   1.0000   0.0259      265
features.12                      198    -0.686112 2.224656e-07 2.210647e-06   1.0000   0.0463      201
features.15                      912    -0.668869 1.521621e-06 2.517934e-06   0.9583   0.0064      329
features.11                       82    -0.666785 5.148304e-07 1.621695e-05   0.9551   0.0060      169
features.5                        55    -0.658554 7.193188e-08 1.746831e-04   1.0000   0.1381       73
features.11                       79    -0.655583 5.063238e-07 1.761541e-05   0.9393   0.0065      169
features.14                      165    -0.640001 8.679540e-06 1.915791e-06   0.9161   0.0042      265
features.15                      420    -0.638798 1.453449e-06 2.540164e-06   0.9153   0.0065      329
features.11                      281    -0.635672 4.932737e-07 4.432146e-05   0.9151   0.0164      169
features.15                      253    -0.631754 1.433132e-06 3.181069e-08   0.9025   0.0001      329
features.15                        0    -0.616863 1.404314e-06 2.900729e-06   0.8844   0.0074      329
features.10                      241    -0.612812 2.280139e-07 1.845334e-06   0.8847   0.0217      137
features.11                      258    -0.612215 4.808438e-07 1.102416e-04   0.8921   0.0408      169
features.10                       95    -0.608822 2.261657e-07 1.553423e-06   0.8776   0.0183      137
features.13                      203    -0.606790 2.269925e-07 1.348893e-05   0.8831   0.0380      201
features.15                      932    -0.596708 1.369429e-06 9.169607e-06   0.8624   0.0233      329
features.7                        74    -0.596483 2.239960e-06 1.321022e-04   1.0000   0.3451      105
features.16                      583    -0.591366 2.447005e-06 1.281325e-07   0.8448   0.0001      329
features.10                       86    -0.574612 2.135714e-07 1.553902e-06   0.8287   0.0183      137
features.4                        25    -0.574093 2.461870e-07 2.854699e-04   0.8282   0.0188       65
features.9                        18    -0.569969 2.284145e-07 2.073702e-05   0.8203   0.0142      137
features.11                       19    -0.565878 4.366620e-07 1.075192e-05   0.8101   0.0040      169
