================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 26
  alpha      : 0.3000
  norm       : max
  timestamp  : 2026-09-10 00:18:56
  remove_target  : 23562
  accum_removed  : 23999
  selected_channels : 111
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1331493
  model_sparsity : 39.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       87    90.6%
  features.3                144          2      113    78.5%
  features.4                144          1      139    96.5%
  features.5                192          3      171    89.1%
  features.6                192         10      123    64.1%
  features.7                192          3      179    93.2%
  features.8                384          1      111    28.9%
  features.9                384          4      325    84.6%
  features.10               384          7      303    78.9%
  features.11               384          7      363    94.5%
  features.12               576         25      363    63.0%
  features.13               576         16      412    71.5%
  features.14               576         10      517    89.8%
  features.15               960          2      400    41.7%
  features.16               960         10      345    35.9%
  features.17               960         10      204    21.2%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                  9          1      11.1%
  features.3                 33          1       3.0%
  features.4                  6          1      16.7%
  features.5                 24          1       4.2%
  features.6                 79          1       1.3%
  features.7                 16          1       6.2%
  features.8                274          2       0.7%
  features.9                 63          1       1.6%
  features.10                88          1       1.1%
  features.11                28          1       3.6%
  features.12               238          2       0.8%
  features.13               180          1       0.6%
  features.14                69          1       1.4%
  features.15               562          3       0.5%
  features.16               625          4       0.6%
  features.17               766          4       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 7채널 제거
  features.11: 7채널 제거
  features.12: 25채널 제거
  features.13: 16채널 제거
  features.14: 10채널 제거
  features.15: 2채널 제거
  features.16: 10채널 제거
  features.17: 10채널 제거
  features.3: 2채널 제거
  features.4: 1채널 제거
  features.5: 3채널 제거
  features.6: 10채널 제거
  features.7: 3채널 제거
  features.8: 1채널 제거
  features.9: 4채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.13                      342    -0.699016 2.952241e-07 7.745372e-07   1.0000   0.0033      201
features.15                      464    -0.698988 1.331484e-06 2.691171e-07   1.0000   0.0034      329
features.6                        15    -0.697816 1.252714e-07 7.094795e-06   1.0000   0.0073       73
features.12                      166    -0.692296 3.161615e-07 4.248106e-06   1.0000   0.0257      201
features.10                      178    -0.690890 3.757104e-07 1.001981e-06   1.0000   0.0304      137
features.16                      138    -0.690113 2.024065e-06 7.080278e-07   1.0000   0.0330      329
features.9                       130    -0.681533 4.049041e-07 5.890545e-05   1.0000   0.0616      137
features.11                      154    -0.662903 1.192406e-06 1.634895e-04   1.0000   0.1237      169
features.14                      476    -0.657122 3.502676e-06 6.861793e-06   0.9793   0.0947      265
features.5                       125    -0.634697 1.172869e-07 1.097235e-04   1.0000   0.2177       73
features.7                        53    -0.632959 2.931370e-06 2.766874e-04   1.0000   0.2235      105
features.14                      155    -0.613083 3.272639e-06 6.624283e-06   0.9150   0.0914      265
features.5                        20    -0.595750 1.141585e-07 1.437956e-04   0.9733   0.2852       73
features.6                       110    -0.585254 1.049309e-07 3.519847e-06   0.8376   0.0036       73
features.14                      236    -0.581257 3.117973e-06 6.999990e-06   0.8718   0.0966      265
features.3                        69    -0.577099 3.614682e-07 1.508100e-03   1.0000   0.4097       57
features.12                      168    -0.573686 2.596696e-07 6.815101e-07   0.8213   0.0041      201
features.5                        52    -0.562858 1.036917e-07 9.409602e-05   0.8841   0.1867       73
features.13                      383    -0.562408 2.378223e-07 1.172634e-06   0.8056   0.0050      201
features.13                      416    -0.554489 2.648579e-07 5.802911e-05   0.8971   0.2450      201
features.6                        27    -0.547935 9.857592e-08 9.408438e-06   0.7869   0.0096       73
features.17                      227    -0.545800 1.741366e-06 1.163656e-07   0.7896   0.0232      489
features.10                       32    -0.544694 2.999105e-07 1.548809e-06   0.7982   0.0469      137
features.12                      357    -0.536893 2.438083e-07 1.605954e-06   0.7711   0.0097      201
features.13                      120    -0.531627 2.335152e-07 1.741047e-05   0.7910   0.0735      201
features.14                      294    -0.527394 2.699306e-06 2.183258e-07   0.7547   0.0030      265
features.12                      546    -0.526382 2.442671e-07 7.963696e-06   0.7726   0.0481      201
features.6                        95    -0.519978 9.385338e-08 1.451852e-05   0.7492   0.0149       73
features.13                      126    -0.515873 2.206620e-07 5.788681e-06   0.7474   0.0244      201
features.12                      545    -0.509150 2.330688e-07 3.792961e-06   0.7372   0.0229      201
features.16                      171    -0.501239 1.455522e-06 1.530167e-07   0.7191   0.0071      329
features.12                      423    -0.497761 2.268343e-07 2.461084e-06   0.7175   0.0149      201
features.12                      205    -0.495981 2.246626e-07 7.905759e-07   0.7106   0.0048      201
features.6                        99    -0.494793 9.077272e-08 4.047449e-05   0.7246   0.0414       73
features.13                        9    -0.494056 2.130223e-07 8.711458e-06   0.7216   0.0368      201
features.8                       189    -0.488755 1.291698e-06 2.660713e-05   1.0000   0.7041      137
features.12                      467    -0.482709 2.189599e-07 1.147267e-06   0.6926   0.0069      201
features.12                      165    -0.482562 2.189755e-07 1.246941e-06   0.6926   0.0075      201
features.6                        42    -0.478182 8.692874e-08 2.462038e-05   0.6939   0.0252       73
features.11                      375    -0.477432 8.437599e-07 7.886718e-05   0.7076   0.0597      169
features.12                       69    -0.476252 2.158292e-07 8.853722e-07   0.6827   0.0054      201
features.13                      296    -0.474948 2.040820e-07 7.061522e-06   0.6913   0.0298      201
features.13                      297    -0.469022 2.057564e-07 1.487397e-05   0.6969   0.0628      201
features.13                      119    -0.467359 1.975711e-07 8.654767e-07   0.6692   0.0037      201
features.4                       118    -0.450284 4.059260e-07 1.590424e-03   0.7196   0.1780       65
features.13                       49    -0.448808 1.916221e-07 4.374787e-06   0.6491   0.0185      201
features.12                      197    -0.448056 2.333975e-07 3.789346e-05   0.7382   0.2290      201
features.7                        41    -0.444804 1.965268e-06 1.010939e-04   0.6704   0.0816      105
features.11                       56    -0.430088 7.598460e-07 7.041690e-05   0.6372   0.0533      169
features.12                      375    -0.429307 1.960754e-07 2.655163e-06   0.6202   0.0160      201
features.10                      179    -0.425522 2.400188e-07 2.383337e-06   0.6388   0.0722      137
features.10                      234    -0.425204 2.322080e-07 8.174043e-07   0.6180   0.0248      137
features.12                      111    -0.422364 1.957608e-07 6.100844e-06   0.6192   0.0369      201
features.16                      481    -0.422261 1.233459e-06 3.091075e-07   0.6094   0.0144      329
features.12                       85    -0.417606 1.893019e-07 8.374257e-07   0.5987   0.0051      201
features.14                      382    -0.416765 2.149078e-06 9.285056e-07   0.6009   0.0128      265
features.12                      381    -0.414509 1.876093e-07 4.787443e-07   0.5934   0.0029      201
features.10                      216    -0.408657 2.384637e-07 3.919902e-06   0.6347   0.1188      137
features.6                       166    -0.406161 7.311304e-08 7.756447e-06   0.5836   0.0079       73
features.17                       45    -0.405602 1.286178e-06 4.454695e-08   0.5832   0.0089      489
features.9                       289    -0.405471 2.391653e-07 2.551289e-05   0.5907   0.0267      137
features.12                      115    -0.404421 1.831156e-07 5.553765e-07   0.5792   0.0034      201
features.17                      729    -0.403801 1.451305e-06 9.523608e-07   0.6581   0.1896      489
features.11                      379    -0.402065 7.182803e-07 8.638236e-05   0.6024   0.0653      169
features.13                      355    -0.401608 1.700062e-07 1.175688e-06   0.5759   0.0050      201
features.16                      101    -0.401179 1.194154e-06 8.454291e-07   0.5900   0.0394      329
features.12                      384    -0.400688 1.821241e-07 1.403481e-06   0.5760   0.0085      201
features.11                      347    -0.399359 7.053067e-07 6.474078e-05   0.5915   0.0490      169
features.3                        95    -0.394138 2.280414e-07 5.825450e-04   0.6309   0.1582       57
features.12                      289    -0.393573 1.781496e-07 4.742337e-07   0.5635   0.0029      201
features.12                      211    -0.392030 1.774037e-07 4.141073e-07   0.5611   0.0025      201
features.12                      461    -0.390134 1.771459e-07 1.144967e-06   0.5603   0.0069      201
features.15                      665    -0.387015 7.412281e-07 7.101190e-07   0.5567   0.0089      329
features.13                       17    -0.385027 1.659344e-07 6.643362e-06   0.5621   0.0281      201
features.17                      330    -0.384991 1.243763e-06 1.642196e-07   0.5640   0.0327      489
features.9                       298    -0.384661 2.229936e-07 2.711553e-06   0.5507   0.0028      137
features.10                      283    -0.378080 2.169915e-07 2.882706e-06   0.5775   0.0873      137
features.10                      122    -0.376745 2.140411e-07 2.424756e-06   0.5697   0.0735      137
features.16                      287    -0.376532 1.099132e-06 2.571116e-07   0.5430   0.0120      329
features.6                       136    -0.375763 6.800077e-08 1.372076e-05   0.5428   0.0140       73
features.16                      594    -0.373838 1.115654e-06 8.592300e-07   0.5512   0.0400      329
features.16                      462    -0.372919 1.083833e-06 1.369341e-07   0.5355   0.0064      329
features.13                      507    -0.372115 1.572786e-07 6.346629e-07   0.5327   0.0027      201
features.7                        78    -0.372098 1.929330e-06 3.657466e-04   0.6582   0.2954      105
features.14                      190    -0.369502 1.950841e-06 2.973009e-06   0.5454   0.0410      265
features.9                       297    -0.354927 2.057271e-07 2.341449e-06   0.5081   0.0024      137
features.14                      502    -0.354699 1.844858e-06 1.538478e-06   0.5158   0.0212      265
features.12                       36    -0.354602 1.748976e-07 1.799886e-05   0.5532   0.1088      201
features.17                      652    -0.352341 1.135345e-06 1.346859e-07   0.5148   0.0268      489
features.17                      907    -0.352070 1.508422e-06 2.122128e-06   0.6840   0.4225      489
features.11                      229    -0.351045 6.068119e-07 2.284180e-05   0.5089   0.0173      169
features.16                       94    -0.349205 1.025577e-06 3.923435e-07   0.5067   0.0183      329
features.16                      892    -0.347705 1.033135e-06 6.869278e-07   0.5104   0.0320      329
features.14                      309    -0.344555 1.871969e-06 5.270302e-06   0.5234   0.0727      265
features.6                       153    -0.344382 6.176524e-08 2.446609e-06   0.4930   0.0025       73
features.14                      464    -0.343112 2.995255e-06 5.872032e-05   0.8375   0.8104      265
features.17                      896    -0.342557 1.087068e-06 4.191641e-08   0.4929   0.0083      489
features.12                      176    -0.342017 1.578093e-07 4.071233e-06   0.4991   0.0246      201
features.14                      215    -0.341808 1.853872e-06 5.078396e-06   0.5183   0.0701      265
features.13                      311    -0.340291 1.453510e-07 3.431431e-06   0.4923   0.0145      201
features.17                      459    -0.338817 1.259971e-06 1.023525e-06   0.5713   0.2038      489
features.16                      835    -0.338465 9.969381e-07 4.522228e-07   0.4925   0.0210      329
features.12                      530    -0.338158 1.535455e-07 9.924854e-07   0.4857   0.0060      201
features.6                        88    -0.337744 6.107481e-08 1.150053e-05   0.4875   0.0118       73
features.13                       94    -0.334262 1.412326e-07 4.816737e-07   0.4784   0.0020      201
features.12                      128    -0.330938 1.573946e-07 9.675786e-06   0.4978   0.0585      201
features.17                      744    -0.330439 1.048071e-06 3.756018e-08   0.4753   0.0075      489
features.12                      490    -0.330411 1.601599e-07 1.334399e-05   0.5066   0.0806      201
features.13                      368    -0.329227 1.401894e-07 2.504303e-06   0.4749   0.0106      201
features.11                      345    -0.323637 5.579831e-07 1.730152e-05   0.4679   0.0131      169
features.17                      108    -0.323570 1.193145e-06 9.236472e-07   0.5410   0.1839      489
