================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 30
  alpha      : 0.3000
  norm       : max
  timestamp  : 2026-09-10 00:33:06
  remove_target  : 21273
  accum_removed  : 21454
  selected_channels : 70
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1242472
  model_sparsity : 43.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          1       88    91.7%
  features.3                144          1      126    87.5%
  features.4                144          0      139    96.5%
  features.5                192          2      180    93.8%
  features.6                192          2      130    67.7%
  features.7                192          1      184    95.8%
  features.8                384          3      139    36.2%
  features.9                384          3      348    90.6%
  features.10               384          3      334    87.0%
  features.11               384          0      372    96.9%
  features.12               576          4      399    69.3%
  features.13               576          6      442    76.7%
  features.14               576          7      531    92.2%
  features.15               960         14      454    47.3%
  features.16               960          0      373    38.9%
  features.17               960         23      265    27.6%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                  9          1      11.1%
  features.3                 19          1       5.3%
  features.4                  5          1      20.0%
  features.5                 14          1       7.1%
  features.6                 64          1       1.6%
  features.7                  9          1      11.1%
  features.8                248          2       0.8%
  features.9                 39          1       2.6%
  features.10                53          1       1.9%
  features.11                12          1       8.3%
  features.12               181          1       0.6%
  features.13               140          1       0.7%
  features.14                52          1       1.9%
  features.15               520          3       0.6%
  features.16               587          3       0.5%
  features.17               718          4       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 3채널 제거
  features.12: 4채널 제거
  features.13: 6채널 제거
  features.14: 7채널 제거
  features.15: 14채널 제거
  features.17: 23채널 제거
  features.2: 1채널 제거
  features.3: 1채널 제거
  features.5: 2채널 제거
  features.6: 2채널 제거
  features.7: 1채널 제거
  features.8: 3채널 제거
  features.9: 3채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.12                      279    -0.699165 2.884633e-07 6.770995e-07   1.0000   0.0028      201
features.13                      255    -0.698888 2.412562e-07 2.037842e-06   1.0000   0.0037      201
features.15                      503    -0.695008 5.232761e-07 1.587844e-06   1.0000   0.0166      329
features.14                      193    -0.691567 3.797220e-06 8.374178e-06   1.0000   0.0281      265
features.8                       253    -0.688655 4.144638e-07 1.277645e-06   1.0000   0.0378      137
features.3                        52    -0.678628 4.478109e-08 4.274227e-04   1.0000   0.0712       57
features.10                      350    -0.667725 1.776912e-07 5.559004e-06   1.0000   0.1076      137
features.2                        62    -0.662947 1.125957e-06 4.766677e-01   1.0000   0.1235       49
features.6                        98    -0.657538 9.055165e-08 2.212766e-05   1.0000   0.1415       73
features.17                      569    -0.657463 9.620476e-07 3.789146e-07   0.9668   0.0643      489
features.15                      857    -0.650883 4.879078e-07 5.733823e-07   0.9324   0.0060      329
features.9                       322    -0.622015 2.358538e-07 7.359878e-06   0.8958   0.0168      137
features.17                      372    -0.620660 9.306963e-07 6.687459e-07   0.9353   0.1134      489
features.17                      366    -0.613297 9.065342e-07 4.794475e-07   0.9110   0.0813      489
features.10                       60    -0.608899 1.687525e-07 9.626627e-06   0.9497   0.1863      137
features.17                      868    -0.598929 8.589598e-07 1.041550e-07   0.8632   0.0177      489
features.17                      137    -0.577492 8.561747e-07 4.869000e-07   0.8604   0.0826      489
features.15                      279    -0.571872 4.358984e-07 3.575661e-06   0.8330   0.0375      329
features.17                       87    -0.558007 8.015527e-07 1.147534e-07   0.8055   0.0195      489
features.15                      412    -0.540399 4.044568e-07 2.075531e-07   0.7729   0.0022      329
features.17                      551    -0.531396 9.277822e-07 2.382571e-06   0.9323   0.4042      489
features.14                        7    -0.512581 2.912946e-06 2.423654e-05   0.7671   0.0814      265
features.13                      494    -0.509111 1.966716e-07 1.130064e-04   0.8152   0.2051      201
features.15                      683    -0.496079 4.048661e-07 1.448196e-05   0.7737   0.1517      329
features.15                      840    -0.483044 3.651342e-07 1.719488e-06   0.6978   0.0180      329
features.12                      363    -0.478474 2.352310e-07 7.507849e-05   0.8155   0.3078      201
features.14                      105    -0.474974 2.585565e-06 1.650976e-06   0.6809   0.0055      265
features.13                      152    -0.469074 1.638797e-07 1.178789e-05   0.6793   0.0214      201
features.17                      709    -0.468234 6.716400e-07 8.304237e-08   0.6749   0.0141      489
features.9                        39    -0.466353 1.808020e-07 2.092161e-05   0.6867   0.0478      137
features.9                       282    -0.461781 1.770680e-07 1.310859e-05   0.6725   0.0300      137
features.6                       191    -0.461379 6.131582e-08 6.573087e-06   0.6771   0.0420       73
features.15                      519    -0.459809 3.488702e-07 2.189847e-06   0.6667   0.0229      329
features.10                        5    -0.458949 1.473926e-07 2.096216e-05   0.8295   0.4056      137
features.5                       120    -0.458635 4.591940e-08 1.140085e-04   0.7416   0.2017       73
features.7                        35    -0.458416 2.636718e-06 6.927898e-04   1.0000   0.8053      105
features.17                      224    -0.456055 6.750366e-07 3.693367e-07   0.6784   0.0627      489
features.17                      218    -0.452428 6.513286e-07 1.128871e-07   0.6545   0.0191      489
features.17                      734    -0.451372 6.636450e-07 3.038869e-07   0.6669   0.0515      489
features.15                      834    -0.449713 3.365503e-07 1.584744e-07   0.6432   0.0017      329
features.17                      721    -0.442089 6.379115e-07 1.305866e-07   0.6410   0.0222      489
features.17                      720    -0.435249 6.384592e-07 2.725587e-07   0.6416   0.0462      489
features.17                      813    -0.432901 6.279423e-07 1.733307e-07   0.6310   0.0294      489
features.14                      318    -0.431062 2.352427e-06 2.578827e-06   0.6195   0.0087      265
features.17                      216    -0.430778 6.140812e-07 2.344531e-08   0.6171   0.0040      489
features.8                       155    -0.430171 2.627147e-07 1.524485e-06   0.6339   0.0451      137
features.17                      660    -0.427507 6.376713e-07 4.138170e-07   0.6408   0.0702      489
features.12                      296    -0.426210 1.835752e-07 1.565943e-05   0.6364   0.0642      201
features.17                       42    -0.425835 6.469755e-07 5.752770e-07   0.6502   0.0976      489
features.14                      129    -0.422435 2.300267e-06 1.597618e-06   0.6058   0.0054      265
features.8                       217    -0.419198 2.487543e-07 1.046648e-07   0.6002   0.0031      137
features.17                      882    -0.416439 5.975407e-07 7.658186e-08   0.6005   0.0130      489
features.15                      716    -0.410234 3.077095e-07 4.441977e-07   0.5880   0.0047      329
features.14                      491    -0.409863 2.313597e-06 1.652129e-05   0.6093   0.0555      265
features.5                        33    -0.409766 3.802446e-08 3.791214e-05   0.6141   0.0671       73
features.14                      264    -0.406372 2.761681e-06 1.020112e-04   0.7273   0.3424      265
features.17                      691    -0.406264 5.934032e-07 2.193322e-07   0.5963   0.0372      489
features.17                        3    -0.405111 7.173077e-07 1.954747e-06   0.7208   0.3316      489
features.17                      408    -0.404341 6.723187e-07 1.347972e-06   0.6756   0.2287      489
features.13                      294    -0.403828 1.777705e-07 2.056550e-04   0.7369   0.3732      201
features.13                      140    -0.403187 1.426756e-07 1.980357e-05   0.5914   0.0359      201
features.13                      466    -0.396687 1.373521e-07 3.372205e-06   0.5693   0.0061      201
features.15                      329    -0.396564 2.966255e-07 7.590558e-08   0.5669   0.0008      329
features.15                       65    -0.392865 3.054830e-07 5.022507e-06   0.5838   0.0526      329
features.17                      705    -0.388375 5.825108e-07 4.202894e-07   0.5854   0.0713      489
features.15                      915    -0.388258 2.906179e-07 1.617131e-07   0.5554   0.0017      329
features.12                       98    -0.388191 1.606601e-07 1.360853e-06   0.5569   0.0056      201
features.15                      862    -0.382803 2.863421e-07 7.731899e-08   0.5472   0.0008      329
features.15                      922    -0.381187 2.863819e-07 6.084459e-07   0.5473   0.0064      329
features.17                      147    -0.381016 5.629011e-07 2.938388e-07   0.5657   0.0498      489
