================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 39
  alpha      : 0.3000
  norm       : max
  timestamp  : 2026-09-10 01:04:40
  remove_target  : 16900
  accum_removed  : 17029
  selected_channels : 61
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1071998
  model_sparsity : 51.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       93    96.9%
  features.3                144          0      139    96.5%
  features.4                144          0      139    96.5%
  features.5                192          0      186    96.9%
  features.6                192          0      173    90.1%
  features.7                192          0      186    96.9%
  features.8                384         13      253    65.9%
  features.9                384          3      360    93.8%
  features.10               384          3      371    96.6%
  features.11               384          0      372    96.9%
  features.12               576          9      502    87.2%
  features.13               576          5      511    88.7%
  features.14               576          0      556    96.5%
  features.15               960         10      591    61.6%
  features.16               960          3      444    46.2%
  features.17               960         15      334    34.8%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                  3          1      33.3%
  features.3                  5          1      20.0%
  features.4                  5          1      20.0%
  features.5                  6          1      16.7%
  features.6                 19          1       5.3%
  features.7                  6          1      16.7%
  features.8                144          1       0.7%
  features.9                 27          1       3.7%
  features.10                16          1       6.2%
  features.11                12          1       8.3%
  features.12                83          1       1.2%
  features.13                70          1       1.4%
  features.14                20          1       5.0%
  features.15               379          2       0.5%
  features.16               519          3       0.6%
  features.17               641          4       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 3채널 제거
  features.12: 9채널 제거
  features.13: 5채널 제거
  features.15: 10채널 제거
  features.16: 3채널 제거
  features.17: 15채널 제거
  features.8: 13채널 제거
  features.9: 3채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.13                       28    -0.698566 8.982694e-08 5.937023e-07   1.0000   0.0048      201
features.9                        70    -0.694601 9.392517e-08 1.628099e-05   1.0000   0.0180      137
features.10                      222    -0.693122 8.968294e-08 8.522337e-06   1.0000   0.0229      137
features.8                       177    -0.682802 8.642051e-08 1.944082e-06   1.0000   0.0573      137
features.17                      362    -0.676724 9.139127e-07 1.304964e-06   1.0000   0.0776      489
features.15                      275    -0.666840 5.821605e-07 3.314337e-05   1.0000   0.1105      329
features.8                       214    -0.634172 7.976754e-08 1.349427e-06   0.9230   0.0398      137
features.9                       369    -0.623148 8.492782e-08 2.956212e-05   0.9042   0.0326      137
features.17                      117    -0.617579 8.892268e-07 3.560893e-06   0.9730   0.2117      489
features.12                      199    -0.611758 6.991142e-08 4.207789e-06   0.8819   0.0186      201
features.10                      201    -0.611029 8.271084e-08 4.285152e-05   0.9222   0.1151      137
features.8                       305    -0.606664 8.503659e-08 9.286846e-06   0.9840   0.2737      137
features.13                      564    -0.605584 7.986446e-08 6.981597e-06   0.8891   0.0559      201
features.15                      283    -0.552824 4.676747e-07 9.511084e-06   0.8033   0.0317      329
features.15                      637    -0.540550 4.581350e-07 1.031325e-05   0.7870   0.0344      329
features.12                      413    -0.539871 7.926997e-08 1.204593e-04   1.0000   0.5337      201
features.12                      108    -0.531708 6.065758e-08 2.954050e-06   0.7652   0.0131      201
features.17                       61    -0.521670 7.221244e-07 1.762247e-06   0.7901   0.1048      489
features.15                      417    -0.521137 4.617577e-07 3.407174e-05   0.7932   0.1136      329
features.17                      952    -0.520263 6.819279e-07 1.149795e-07   0.7462   0.0068      489
features.12                      139    -0.520131 5.968298e-08 5.189137e-06   0.7529   0.0230      201
features.17                      951    -0.499003 6.680244e-07 7.098444e-07   0.7309   0.0422      489
features.12                       11    -0.498457 5.717415e-08 4.828221e-06   0.7212   0.0214      201
features.13                      338    -0.498404 6.521797e-08 4.086557e-06   0.7260   0.0327      201
features.17                      939    -0.488222 6.442819e-07 2.947166e-07   0.7050   0.0175      489
features.17                      135    -0.486859 7.255807e-07 3.862355e-06   0.7939   0.2296      489
features.17                      151    -0.484390 6.623675e-07 1.286216e-06   0.7248   0.0765      489
features.8                       145    -0.476773 6.116161e-08 2.106467e-06   0.7077   0.0621      137
features.15                      589    -0.464828 4.075972e-07 2.526125e-05   0.7001   0.0842      329
features.8                        10    -0.453277 5.744743e-08 1.361308e-06   0.6647   0.0401      137
features.15                      677    -0.447749 3.776117e-07 6.294526e-06   0.6486   0.0210      329
features.17                      418    -0.440731 5.781565e-07 1.177389e-07   0.6326   0.0070      489
features.9                        16    -0.433384 5.864563e-08 1.111954e-05   0.6244   0.0123      137
features.8                       142    -0.432528 5.823035e-08 4.425041e-06   0.6738   0.1304      137
