================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 8
  alpha      : 0.5000
  norm       : max
  timestamp  : 2026-09-09 23:17:08
  remove_target  : 37241
  accum_removed  : 37389
  selected_channels : 165
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1865272
  model_sparsity : 14.9%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       18    56.2%
  features.2                 96          1       40    41.7%
  features.3                144          0       21    14.6%
  features.4                144         13       38    26.4%
  features.5                192          0       21    10.9%
  features.6                192         10       70    36.5%
  features.7                192          4       23    12.0%
  features.8                384          2       81    21.1%
  features.9                384          8       92    24.0%
  features.10               384          2       52    13.5%
  features.11               384         17      119    31.0%
  features.12               576          6      118    20.5%
  features.13               576         15      117    20.3%
  features.14               576         49      185    32.1%
  features.15               960         11      212    22.1%
  features.16               960         20      143    14.9%
  features.17               960          7       98    10.2%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 14          1       7.1%
  features.2                 57          1       1.8%
  features.3                123          1       0.8%
  features.4                119          1       0.8%
  features.5                171          1       0.6%
  features.6                132          1       0.8%
  features.7                173          1       0.6%
  features.8                305          2       0.7%
  features.9                300          2       0.7%
  features.10               334          2       0.6%
  features.11               282          2       0.7%
  features.12               464          3       0.6%
  features.13               474          3       0.6%
  features.14               440          3       0.7%
  features.15               759          4       0.5%
  features.16               837          5       0.6%
  features.17               869          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 2채널 제거
  features.11: 17채널 제거
  features.12: 6채널 제거
  features.13: 15채널 제거
  features.14: 49채널 제거
  features.15: 11채널 제거
  features.16: 20채널 제거
  features.17: 7채널 제거
  features.2: 1채널 제거
  features.4: 13채널 제거
  features.6: 10채널 제거
  features.7: 4채널 제거
  features.8: 2채널 제거
  features.9: 8채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.9                       310    -0.499099 5.147031e-07 4.031840e-08   1.0000   0.0018      137
features.16                      383    -0.498900 1.213875e-06 8.730339e-08   1.0000   0.0022      329
features.8                       175    -0.498774 5.779804e-07 1.643161e-07   1.0000   0.0024      137
features.13                      222    -0.498144 3.336097e-07 4.082664e-07   1.0000   0.0037      201
features.6                       122    -0.497593 1.004438e-07 7.785504e-06   1.0000   0.0048       73
features.12                      162    -0.497472 5.661187e-07 3.471684e-07   1.0000   0.0051      201
features.10                      265    -0.496420 5.660371e-07 8.566414e-08   1.0000   0.0072      137
features.15                      488    -0.496178 1.356391e-06 3.165160e-07   1.0000   0.0076      329
features.14                      404    -0.495605 2.546557e-06 2.399422e-07   1.0000   0.0088      265
features.4                        51    -0.494032 1.771637e-06 2.200640e-06   1.0000   0.0119       65
features.15                      606    -0.485424 1.323923e-06 2.159294e-07   0.9761   0.0052      329
features.16                      400    -0.460973 1.123575e-06 1.454046e-07   0.9256   0.0037      329
features.9                       254    -0.451847 4.859756e-07 9.067430e-07   0.9442   0.0405      137
features.15                      360    -0.442060 1.201465e-06 6.871115e-08   0.8858   0.0017      329
features.17                      725    -0.435396 1.561905e-06 2.030985e-07   0.9494   0.0786      489
features.11                      274    -0.429779 6.831264e-07 3.711752e-07   0.8630   0.0034      169
features.11                      321    -0.415948 7.093730e-07 7.008204e-06   0.8961   0.0642      169
features.16                      556    -0.414302 1.008013e-06 7.161439e-08   0.8304   0.0018      329
features.13                      417    -0.411477 2.760181e-07 4.856237e-07   0.8274   0.0044      201
features.14                      102    -0.411204 2.124312e-06 3.216124e-07   0.8342   0.0118      265
features.6                        96    -0.410914 8.383168e-08 2.071028e-05   0.8346   0.0128       73
features.15                      898    -0.409101 1.118900e-06 2.777489e-07   0.8249   0.0067      329
features.14                      156    -0.407201 2.143881e-06 7.499822e-07   0.8419   0.0275      265
features.4                        31    -0.406526 1.477168e-06 3.823108e-06   0.8338   0.0207       65
features.14                      523    -0.406491 2.098470e-06 3.019513e-07   0.8240   0.0111      265
features.4                       129    -0.406074 1.473240e-06 3.581078e-06   0.8316   0.0194       65
features.13                      124    -0.383750 2.661111e-07 3.320843e-06   0.7977   0.0302      201
features.4                        88    -0.376549 1.425843e-06 9.536161e-06   0.8048   0.0517       65
features.6                        16    -0.371838 7.517817e-08 7.741872e-06   0.7485   0.0048       73
features.17                      554    -0.370530 1.287630e-06 1.075305e-07   0.7827   0.0416      489
features.16                      889    -0.366346 8.915147e-07 6.923823e-08   0.7344   0.0017      329
features.12                      557    -0.365839 4.171379e-07 3.544208e-07   0.7368   0.0052      201
features.14                      471    -0.363919 2.166936e-06 3.360294e-06   0.8509   0.1231      265
features.14                       61    -0.361060 1.848128e-06 9.871424e-08   0.7257   0.0036      265
features.16                      790    -0.360250 8.775086e-07 9.521400e-08   0.7229   0.0024      329
features.4                        66    -0.359515 1.344305e-06 7.331745e-06   0.7588   0.0398       65
features.6                       117    -0.358658 7.263785e-08 9.474803e-06   0.7232   0.0058       73
features.11                      278    -0.356108 5.661143e-07 3.195063e-07   0.7151   0.0029      169
features.15                      573    -0.356018 9.725521e-07 2.061888e-07   0.7170   0.0050      329
features.9                       135    -0.350873 3.651982e-07 1.743419e-07   0.7095   0.0078      137
features.13                      329    -0.350241 2.515047e-07 5.878550e-06   0.7539   0.0534      201
features.4                        11    -0.350069 1.342908e-06 1.066978e-05   0.7580   0.0579       65
features.15                      242    -0.346719 9.472774e-07 2.046813e-07   0.6984   0.0049      329
features.14                       93    -0.345733 1.793495e-06 3.498600e-07   0.7043   0.0128      265
features.14                      328    -0.344808 1.834043e-06 8.350463e-07   0.7202   0.0306      265
features.4                       113    -0.342401 1.301261e-06 9.163021e-06   0.7345   0.0497       65
features.11                      330    -0.341974 5.581697e-07 2.309178e-06   0.7051   0.0212      169
features.16                      700    -0.341944 8.336930e-07 1.157165e-07   0.6868   0.0029      329
features.14                      155    -0.340504 1.746788e-06 1.346367e-07   0.6859   0.0049      265
features.2                        92    -0.338477 1.524796e-06 1.663362e-03   1.0000   0.3230       49
features.4                        67    -0.336860 1.283770e-06 9.386050e-06   0.7246   0.0509       65
features.6                       174    -0.333061 6.710136e-08 3.113757e-06   0.6680   0.0019       73
features.15                      768    -0.332813 9.059042e-07 9.323070e-08   0.6679   0.0023      329
features.13                      548    -0.328103 2.194308e-07 1.695068e-07   0.6577   0.0015      201
features.6                        48    -0.324941 6.549303e-08 3.482816e-06   0.6520   0.0021       73
features.13                      283    -0.323846 2.164555e-07 1.249233e-07   0.6488   0.0011      201
features.16                       41    -0.322675 7.850602e-07 5.514864e-08   0.6467   0.0014      329
features.14                      569    -0.322576 1.699419e-06 6.056956e-07   0.6673   0.0222      265
features.17                      110    -0.322296 1.138837e-06 1.231006e-07   0.6922   0.0476      489
features.11                      333    -0.321734 5.168429e-07 1.029348e-06   0.6529   0.0094      169
features.14                      178    -0.320776 1.838888e-06 2.199126e-06   0.7221   0.0806      265
features.14                      266    -0.320487 1.639448e-06 7.688417e-08   0.6438   0.0028      265
features.10                      255    -0.317806 4.349218e-07 1.588726e-06   0.7684   0.1327      137
features.12                      541    -0.317471 3.725798e-07 1.592786e-06   0.6581   0.0232      201
features.14                      154    -0.316138 1.676622e-06 7.128063e-07   0.6584   0.0261      265
features.13                      240    -0.315694 2.164768e-07 1.926562e-06   0.6489   0.0175      201
features.14                      234    -0.313689 1.664426e-06 7.158206e-07   0.6536   0.0262      265
features.11                      183    -0.312169 5.946020e-07 1.383703e-05   0.7511   0.1268      169
features.14                      209    -0.311827 1.628473e-06 4.320356e-07   0.6395   0.0158      265
features.14                      263    -0.311588 1.645185e-06 6.242304e-07   0.6460   0.0229      265
features.12                      183    -0.310848 4.321021e-07 9.725272e-06   0.7633   0.1416      201
features.14                      275    -0.309579 1.590079e-06 1.431926e-07   0.6244   0.0052      265
features.16                      616    -0.307392 7.507002e-07 1.448368e-07   0.6184   0.0036      329
features.11                      184    -0.307133 5.066350e-07 2.808978e-06   0.6400   0.0257      169
features.14                      283    -0.305479 1.568679e-06 1.376498e-07   0.6160   0.0050      265
features.6                        42    -0.304256 6.223446e-08 1.795373e-05   0.6196   0.0111       73
features.14                      463    -0.303304 1.586928e-06 4.520384e-07   0.6232   0.0166      265
features.13                      572    -0.302208 2.024121e-07 2.548123e-07   0.6067   0.0023      201
features.16                      783    -0.301867 7.560164e-07 7.574693e-07   0.6228   0.0191      329
features.13                       96    -0.301730 2.063460e-07 1.658067e-06   0.6185   0.0151      201
features.9                        45    -0.301676 3.275925e-07 7.415750e-07   0.6365   0.0331      137
features.14                       48    -0.301308 1.540272e-06 6.082690e-08   0.6048   0.0022      265
features.14                      112    -0.301255 1.626234e-06 9.852840e-07   0.6386   0.0361      265
features.7                        49    -0.300367 3.204252e-06 5.914696e-06   0.7811   0.1804      105
features.4                        68    -0.299912 1.196980e-06 1.397866e-05   0.6756   0.0758       65
features.11                      192    -0.299068 4.746537e-07 1.602758e-07   0.5996   0.0015      169
features.16                      510    -0.296597 7.272003e-07 2.333893e-07   0.5991   0.0059      329
features.16                      110    -0.295719 7.406292e-07 7.423169e-07   0.6101   0.0187      329
features.17                      436    -0.295426 1.050737e-06 1.235872e-07   0.6387   0.0478      489
features.11                      255    -0.295004 5.411001e-07 1.020771e-05   0.6835   0.0935      169
features.7                       123    -0.294467 2.695629e-06 2.236031e-06   0.6571   0.0682      105
features.9                       186    -0.294162 3.065462e-07 1.624544e-07   0.5956   0.0073      137
features.11                      324    -0.293904 4.688096e-07 4.817399e-07   0.5922   0.0044      169
features.11                      269    -0.293442 4.703259e-07 7.916993e-07   0.5941   0.0073      169
features.14                      380    -0.293328 1.503041e-06 9.744690e-08   0.5902   0.0036      265
features.17                      128    -0.293069 9.938694e-07 4.644788e-08   0.6041   0.0180      489
features.4                        30    -0.292739 1.129566e-06 9.607661e-06   0.6376   0.0521       65
features.14                      377    -0.292514 1.500265e-06 1.120910e-07   0.5891   0.0041      265
features.13                      424    -0.292310 1.968364e-07 5.941328e-07   0.5900   0.0054      201
features.16                      484    -0.291149 7.123915e-07 1.816254e-07   0.5869   0.0046      329
features.6                        77    -0.290442 5.835978e-08 2.098021e-07   0.5810   0.0001       73
features.14                      430    -0.289939 1.502980e-06 2.818208e-07   0.5902   0.0103      265
features.11                      262    -0.289140 5.790019e-07 1.671285e-05   0.7314   0.1531      169
features.14                      528    -0.288236 1.558873e-06 9.739342e-07   0.6121   0.0357      265
features.14                      542    -0.284775 1.463021e-06 1.353631e-07   0.5745   0.0050      265
features.14                       34    -0.282915 1.453819e-06 1.382735e-07   0.5709   0.0051      265
features.16                      504    -0.282704 7.109333e-07 8.045615e-07   0.5857   0.0203      329
features.12                       71    -0.282494 3.205105e-07 8.005643e-08   0.5662   0.0012      201
features.13                      196    -0.282105 1.899069e-07 5.544339e-07   0.5692   0.0050      201
features.14                      504    -0.281932 1.481761e-06 4.915228e-07   0.5819   0.0180      265
features.12                      151    -0.281387 3.365629e-07 2.179990e-06   0.5945   0.0317      201
features.14                      143    -0.280724 1.447184e-06 1.868135e-07   0.5683   0.0068      265
features.14                       16    -0.280633 1.465908e-06 3.924733e-07   0.5756   0.0144      265
features.14                      373    -0.280367 1.493407e-06 7.017941e-07   0.5864   0.0257      265
features.15                      733    -0.280283 7.636706e-07 1.014687e-07   0.5630   0.0025      329
features.15                       83    -0.279960 7.622810e-07 8.575010e-08   0.5620   0.0021      329
features.16                      850    -0.279567 6.805051e-07 5.837796e-08   0.5606   0.0015      329
features.11                      233    -0.279533 4.460049e-07 4.745989e-07   0.5634   0.0043      169
features.14                       55    -0.279406 1.521677e-06 1.057348e-06   0.5975   0.0387      265
features.14                      237    -0.279198 1.435080e-06 1.403566e-07   0.5635   0.0051      265
features.11                        5    -0.279041 4.489341e-07 9.859018e-07   0.5671   0.0090      169
features.4                        12    -0.278622 1.070485e-06 8.664795e-06   0.6042   0.0470       65
features.14                      403    -0.277902 1.431376e-06 1.713814e-07   0.5621   0.0063      265
features.13                        0    -0.277753 1.935967e-07 2.729859e-06   0.5803   0.0248      201
features.14                       75    -0.277301 1.432620e-06 2.175374e-07   0.5626   0.0080      265
features.15                      724    -0.276762 7.562545e-07 1.666489e-07   0.5575   0.0040      329
features.16                      301    -0.276393 6.782007e-07 2.350827e-07   0.5587   0.0059      329
features.14                      289    -0.276277 1.442992e-06 3.846547e-07   0.5666   0.0141      265
features.7                       164    -0.275795 2.740024e-06 3.815411e-06   0.6680   0.1164      105
features.14                      443    -0.275010 1.415402e-06 1.580632e-07   0.5558   0.0058      265
features.6                       106    -0.274951 5.541251e-08 2.867106e-06   0.5517   0.0018       73
features.15                      652    -0.273974 7.467502e-07 1.073725e-07   0.5505   0.0026      329
features.9                       174    -0.273720 2.859904e-07 1.836177e-07   0.5556   0.0082      137
features.17                      526    -0.273433 9.249311e-07 3.964928e-08   0.5622   0.0153      489
features.14                      107    -0.272954 1.411899e-06 2.327701e-07   0.5544   0.0085      265
features.14                        3    -0.272020 1.395536e-06 1.083587e-07   0.5480   0.0040      265
features.6                        90    -0.272018 5.498268e-08 5.438442e-06   0.5474   0.0034       73
features.4                        64    -0.271286 1.072544e-06 1.158446e-05   0.6054   0.0628       65
features.8                        21    -0.270852 3.142719e-07 1.366107e-07   0.5437   0.0020      137
features.14                      574    -0.270549 1.386273e-06 8.936225e-08   0.5444   0.0033      265
features.7                        11    -0.270081 2.587823e-06 2.973569e-06   0.6308   0.0907      105
features.14                       20    -0.269740 1.539060e-06 1.771449e-06   0.6044   0.0649      265
features.14                       58    -0.269546 1.376491e-06 3.924007e-08   0.5405   0.0014      265
features.14                      285    -0.269146 1.444808e-06 7.934564e-07   0.5674   0.0291      265
features.9                       183    -0.268892 2.802097e-07 1.483570e-07   0.5444   0.0066      137
features.13                      344    -0.268598 1.808154e-07 5.282299e-07   0.5420   0.0048      201
features.16                      762    -0.268021 6.553504e-07 1.524700e-07   0.5399   0.0038      329
features.14                      127    -0.267863 1.472629e-06 1.161745e-06   0.5783   0.0426      265
features.13                      116    -0.266670 1.782978e-07 1.219198e-07   0.5344   0.0011      201
features.14                      485    -0.266644 1.387837e-06 3.193579e-07   0.5450   0.0117      265
features.16                      463    -0.266330 6.812774e-07 1.134750e-06   0.5612   0.0286      329
features.16                      502    -0.266027 6.482441e-07 7.835037e-08   0.5340   0.0020      329
features.14                      108    -0.265969 1.362026e-06 7.949560e-08   0.5348   0.0029      265
features.4                        93    -0.264901 1.216122e-06 2.888248e-05   0.6864   0.1566       65
features.14                      399    -0.264795 1.378330e-06 3.183919e-07   0.5413   0.0117      265
features.11                      280    -0.264697 4.309547e-07 1.637856e-06   0.5444   0.0150      169
features.11                      358    -0.264300 4.339932e-07 2.143481e-06   0.5482   0.0196      169
features.17                      670    -0.264259 1.026559e-06 2.466918e-07   0.6240   0.0955      489
features.13                      419    -0.264130 1.772861e-07 3.473738e-07   0.5314   0.0032      201
features.16                      837    -0.263759 6.423314e-07 6.509723e-08   0.5292   0.0016      329
features.14                      141    -0.263396 1.357891e-06 1.756368e-07   0.5332   0.0064      265
features.16                       27    -0.263223 6.438664e-07 1.578081e-07   0.5304   0.0040      329
features.9                        55    -0.262852 2.855573e-07 6.515630e-07   0.5548   0.0291      137
features.11                      147    -0.262696 4.206527e-07 6.545118e-07   0.5314   0.0060      169
features.14                      343    -0.262288 1.346875e-06 1.180207e-07   0.5289   0.0043      265
