================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 12
  alpha      : 0.5000
  norm       : max
  timestamp  : 2026-09-09 23:31:36
  remove_target  : 33632
  accum_removed  : 33889
  selected_channels : 161
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1724427
  model_sparsity : 21.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       20    62.5%
  features.2                 96          9       68    70.8%
  features.3                144          8       40    27.8%
  features.4                144          4       72    50.0%
  features.5                192          4       30    15.6%
  features.6                192         17      117    60.9%
  features.7                192          2       28    14.6%
  features.8                384          0       87    22.7%
  features.9                384          3      119    31.0%
  features.10               384          7       79    20.6%
  features.11               384          3      152    39.6%
  features.12               576         15      151    26.2%
  features.13               576         28      212    36.8%
  features.14               576         19      297    51.6%
  features.15               960         11      281    29.3%
  features.16               960         18      198    20.6%
  features.17               960         12      142    14.8%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 13          1       7.7%
  features.2                 37          1       2.7%
  features.3                112          1       0.9%
  features.4                 76          1       1.3%
  features.5                166          1       0.6%
  features.6                 92          1       1.1%
  features.7                166          1       0.6%
  features.8                297          2       0.7%
  features.9                268          2       0.7%
  features.10               312          2       0.6%
  features.11               235          2       0.9%
  features.12               440          3       0.7%
  features.13               392          2       0.5%
  features.14               298          2       0.7%
  features.15               690          4       0.6%
  features.16               780          4       0.5%
  features.17               830          5       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 7채널 제거
  features.11: 3채널 제거
  features.12: 15채널 제거
  features.13: 28채널 제거
  features.14: 19채널 제거
  features.15: 11채널 제거
  features.16: 18채널 제거
  features.17: 12채널 제거
  features.2: 9채널 제거
  features.3: 8채널 제거
  features.4: 4채널 제거
  features.5: 4채널 제거
  features.6: 17채널 제거
  features.7: 2채널 제거
  features.9: 3채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.3                        58    -0.498736 3.054623e-07 6.836980e-06   1.0000   0.0025       57
features.13                      318    -0.498065 2.236717e-07 4.419316e-07   1.0000   0.0039      201
features.10                      226    -0.496623 6.603434e-07 1.148177e-07   1.0000   0.0068      137
features.6                       137    -0.496593 7.309274e-08 8.882200e-06   1.0000   0.0068       73
features.15                      808    -0.496519 1.481036e-06 3.295725e-07   1.0000   0.0070      329
features.13                      159    -0.488010 2.205724e-07 1.156890e-06   0.9861   0.0101      201
features.9                       259    -0.485286 7.584393e-07 7.256016e-07   1.0000   0.0294      137
features.14                      172    -0.480037 2.883058e-06 6.966296e-07   1.0000   0.0399      265
features.2                        78    -0.476856 4.032021e-07 1.414270e-03   1.0000   0.0463       49
features.12                      434    -0.475480 4.283629e-07 2.576030e-06   1.0000   0.0490      201
features.16                      488    -0.474869 1.379814e-06 1.516577e-07   0.9540   0.0043      329
features.1                         1    -0.446849 1.388413e-06 1.174478e-02   1.0000   0.1063       25
features.15                       61    -0.441900 1.315879e-06 2.218392e-07   0.8885   0.0047      329
features.6                        34    -0.438883 6.457168e-08 7.369333e-06   0.8834   0.0056       73
features.13                      425    -0.433736 1.946823e-07 3.334851e-07   0.8704   0.0029      201
features.16                      440    -0.427409 1.446355e-06 5.174464e-06   1.0000   0.1452      329
features.13                       11    -0.405987 1.830806e-07 7.484570e-07   0.8185   0.0065      201
features.10                      167    -0.386160 5.165234e-07 1.680162e-07   0.7822   0.0099      137
features.17                      491    -0.379107 1.625283e-06 2.104114e-07   0.8835   0.1253      489
features.12                      242    -0.376411 3.274370e-07 6.076728e-07   0.7644   0.0116      201
features.6                       155    -0.364519 5.333353e-08 8.125177e-07   0.7297   0.0006       73
features.6                       120    -0.363761 5.409629e-08 1.642079e-05   0.7401   0.0126       73
features.11                      106    -0.363382 1.153688e-06 6.006249e-07   0.7313   0.0045      169
features.16                      944    -0.363288 1.118251e-06 1.660007e-06   0.7732   0.0466      329
features.13                      200    -0.360218 1.622290e-07 5.557812e-07   0.7253   0.0049      201
features.13                        8    -0.358004 1.644845e-07 2.214900e-06   0.7354   0.0194      201
features.14                      457    -0.355011 2.167794e-06 7.308235e-07   0.7519   0.0419      265
