================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 18
  alpha      : 0.5000
  norm       : max
  timestamp  : 2026-09-09 23:53:17
  remove_target  : 28869
  accum_removed  : 28897
  selected_channels : 137
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1538888
  model_sparsity : 29.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       22    68.8%
  features.2                 96          0       79    82.3%
  features.3                144          7       75    52.1%
  features.4                144          0       93    64.6%
  features.5                192          0       60    31.2%
  features.6                192          0      138    71.9%
  features.7                192          1       69    35.9%
  features.8                384          0       90    23.4%
  features.9                384         26      196    51.0%
  features.10               384         18      173    45.1%
  features.11               384          3      218    56.8%
  features.12               576         21      220    38.2%
  features.13               576         27      327    56.8%
  features.14               576          4      400    69.4%
  features.15               960         11      355    37.0%
  features.16               960         11      329    34.3%
  features.17               960          8      156    16.2%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 10          1      10.0%
  features.2                 17          1       5.9%
  features.3                 76          1       1.3%
  features.4                 51          1       2.0%
  features.5                132          1       0.8%
  features.6                 54          1       1.9%
  features.7                124          1       0.8%
  features.8                294          2       0.7%
  features.9                214          2       0.9%
  features.10               229          2       0.9%
  features.11               169          1       0.6%
  features.12               377          2       0.5%
  features.13               276          2       0.7%
  features.14               180          1       0.6%
  features.15               616          4       0.6%
  features.16               642          4       0.6%
  features.17               812          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 18채널 제거
  features.11: 3채널 제거
  features.12: 21채널 제거
  features.13: 27채널 제거
  features.14: 4채널 제거
  features.15: 11채널 제거
  features.16: 11채널 제거
  features.17: 8채널 제거
  features.3: 7채널 제거
  features.7: 1채널 제거
  features.9: 26채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.13                      540    -0.497994 1.435238e-07 2.412984e-07   1.0000   0.0040      201
features.16                      336    -0.496641 1.302118e-06 1.505681e-07   1.0000   0.0067      329
features.11                       39    -0.493115 8.972219e-07 4.654824e-06   1.0000   0.0138      169
features.9                        90    -0.492532 2.161363e-07 1.280683e-06   1.0000   0.0149      137
features.9                        59    -0.491594 2.149384e-07 9.662765e-07   0.9945   0.0113      137
features.12                      542    -0.491357 2.492031e-07 7.395080e-07   1.0000   0.0173      201
features.17                      478    -0.485803 1.656182e-06 1.160888e-07   1.0000   0.0284      489
features.10                      146    -0.482581 2.311187e-07 5.773276e-07   0.9787   0.0135      137
features.15                       53    -0.481620 6.558166e-07 1.911898e-06   1.0000   0.0368      329
features.12                      355    -0.479785 2.436093e-07 7.693426e-07   0.9775   0.0180      201
features.9                       309    -0.472858 2.074608e-07 1.212843e-06   0.9599   0.0141      137
features.10                      249    -0.472582 2.352757e-07 2.186334e-06   0.9963   0.0511      137
features.10                      383    -0.471029 2.361590e-07 2.479229e-06   1.0000   0.0579      137
features.9                       211    -0.466944 2.024528e-07 2.399141e-07   0.9367   0.0028      137
features.13                      479    -0.462924 1.333141e-07 1.813171e-07   0.9289   0.0030      201
features.15                       43    -0.439963 5.781943e-07 8.906295e-08   0.8816   0.0017      329
features.13                      100    -0.437147 1.279065e-07 1.017127e-06   0.8912   0.0169      201
features.13                      261    -0.436326 1.257009e-07 1.904896e-07   0.8758   0.0032      201
features.13                      502    -0.434551 1.255605e-07 3.452919e-07   0.8748   0.0057      201
features.9                       182    -0.416079 1.802517e-07 1.552903e-07   0.8340   0.0018      137
features.16                      244    -0.402885 1.081561e-06 5.569758e-07   0.8306   0.0248      329
features.10                      259    -0.398935 1.966790e-07 1.495650e-06   0.8328   0.0350      137
features.3                        37    -0.398921 6.301507e-08 7.289377e-04   0.8548   0.0570       57
features.15                      661    -0.396406 5.762858e-07 4.468693e-06   0.8787   0.0859      329
features.13                      143    -0.395554 1.148321e-07 5.407506e-07   0.8001   0.0090      201
features.13                      514    -0.390880 1.141715e-07 8.266070e-07   0.7955   0.0137      201
