================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 20
  alpha      : 0.5000
  norm       : max
  timestamp  : 2026-09-10 00:00:30
  remove_target  : 27443
  accum_removed  : 27473
  selected_channels : 145
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1483252
  model_sparsity : 32.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       23    71.9%
  features.2                 96          0       81    84.4%
  features.3                144          3       83    57.6%
  features.4                144          1       95    66.0%
  features.5                192          0       60    31.2%
  features.6                192          1      140    72.9%
  features.7                192         25      100    52.1%
  features.8                384          6       97    25.3%
  features.9                384         15      234    60.9%
  features.10               384          6      196    51.0%
  features.11               384         22      263    68.5%
  features.12               576          4      240    41.7%
  features.13               576         26      368    63.9%
  features.14               576          7      426    74.0%
  features.15               960          3      364    37.9%
  features.16               960         25      364    37.9%
  features.17               960          0      158    16.5%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 10          1      10.0%
  features.2                 15          1       6.7%
  features.3                 64          1       1.6%
  features.4                 50          1       2.0%
  features.5                132          1       0.8%
  features.6                 53          1       1.9%
  features.7                117          1       0.9%
  features.8                293          2       0.7%
  features.9                165          1       0.6%
  features.10               194          1       0.5%
  features.11               143          1       0.7%
  features.12               340          2       0.6%
  features.13               234          2       0.9%
  features.14               157          1       0.6%
  features.15               599          3       0.5%
  features.16               621          4       0.6%
  features.17               802          5       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 6채널 제거
  features.11: 22채널 제거
  features.12: 4채널 제거
  features.13: 26채널 제거
  features.14: 7채널 제거
  features.15: 3채널 제거
  features.16: 25채널 제거
  features.3: 3채널 제거
  features.4: 1채널 제거
  features.6: 1채널 제거
  features.7: 25채널 제거
  features.8: 6채널 제거
  features.9: 15채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.16                      929    -0.498386 9.228423e-07 1.064669e-07   1.0000   0.0032      329
features.10                       58    -0.498156 2.619362e-07 1.117412e-07   1.0000   0.0037      137
features.15                      130    -0.497504 1.061372e-06 3.226375e-07   1.0000   0.0050      329
features.8                       132    -0.494523 4.904934e-07 2.627449e-06   1.0000   0.0110      137
features.7                       151    -0.490189 3.323294e-06 2.451306e-06   1.0000   0.0196      105
features.12                        0    -0.488758 2.896895e-07 1.503562e-06   1.0000   0.0225      201
features.11                      299    -0.480205 6.671665e-07 2.271616e-05   1.0000   0.0396      169
features.11                      281    -0.474594 6.463563e-07 1.125749e-05   0.9688   0.0196      169
features.14                       64    -0.455627 3.922078e-06 3.328809e-06   1.0000   0.0887      265
features.9                        62    -0.455222 2.034847e-07 2.011268e-06   0.9272   0.0167      137
features.13                      170    -0.453699 1.388150e-07 1.115264e-05   1.0000   0.0926      201
features.16                      146    -0.437146 8.228171e-07 5.715395e-07   0.8916   0.0173      329
features.9                       336    -0.433161 2.194704e-07 1.608502e-05   1.0000   0.1337      137
features.9                        71    -0.428165 2.020863e-07 7.756090e-06   0.9208   0.0645      137
features.13                      371    -0.420551 1.181463e-07 1.204325e-06   0.8511   0.0100      201
features.11                      282    -0.417750 5.893893e-07 2.749714e-05   0.8834   0.0479      169
features.9                       230    -0.407424 1.792665e-07 2.361915e-07   0.8168   0.0020      137
features.7                        75    -0.402097 2.964080e-06 1.095808e-05   0.8919   0.0877      105
features.13                      312    -0.396865 1.108407e-07 5.712184e-07   0.7985   0.0047      201
features.16                      511    -0.379483 7.028199e-07 8.630622e-08   0.7616   0.0026      329
features.16                      162    -0.375823 7.102591e-07 5.939003e-07   0.7696   0.0180      329
features.13                       57    -0.373764 1.060891e-07 2.013271e-06   0.7642   0.0167      201
features.13                      195    -0.370906 1.085775e-07 4.860792e-06   0.7822   0.0404      201
features.13                      305    -0.369003 1.029346e-07 4.230061e-07   0.7415   0.0035      201
features.11                       85    -0.362410 4.873380e-07 3.235510e-06   0.7305   0.0056      169
features.13                      528    -0.360692 1.005828e-07 3.845691e-07   0.7246   0.0032      201
features.16                      571    -0.358839 7.413333e-07 2.826003e-06   0.8033   0.0856      329
features.10                      160    -0.358078 1.916114e-07 4.659119e-07   0.7315   0.0154      137
features.13                      201    -0.357913 1.001581e-07 6.855060e-07   0.7215   0.0057      201
features.9                         9    -0.345189 1.531378e-07 8.879907e-07   0.6978   0.0074      137
features.9                       201    -0.344485 1.761611e-07 1.368037e-05   0.8027   0.1137      137
features.13                      253    -0.343147 9.663751e-08 1.187837e-06   0.6962   0.0099      201
features.7                        50    -0.343052 2.541901e-06 9.840426e-06   0.7649   0.0788      105
features.7                        96    -0.341069 2.423704e-06 5.892820e-06   0.7293   0.0472      105
features.7                        47    -0.339713 3.159470e-06 3.389027e-05   0.9507   0.2713      105
features.16                      662    -0.338119 6.319542e-07 2.821999e-07   0.6848   0.0086      329
features.7                        60    -0.333586 2.504188e-06 1.078799e-05   0.7535   0.0864      105
features.16                      436    -0.328944 6.333083e-07 9.361692e-07   0.6863   0.0284      329
features.7                        36    -0.326102 2.542704e-06 1.410575e-05   0.7651   0.1129      105
features.7                        79    -0.325878 2.547806e-06 1.435344e-05   0.7667   0.1149      105
features.7                        57    -0.325155 2.266582e-06 3.962505e-06   0.6820   0.0317      105
features.9                        60    -0.324057 1.450310e-07 1.528792e-06   0.6608   0.0127      137
features.13                      121    -0.323647 9.034274e-08 4.232926e-07   0.6508   0.0035      201
features.7                        20    -0.321858 2.285242e-06 5.487893e-06   0.6876   0.0439      105
features.7                        27    -0.319264 2.450290e-06 1.234021e-05   0.7373   0.0988      105
features.15                      382    -0.318606 7.097469e-07 2.035861e-06   0.6687   0.0315      329
features.13                      566    -0.317813 9.135513e-08 2.707193e-06   0.6581   0.0225      201
features.16                      733    -0.315281 6.248959e-07 1.537122e-06   0.6771   0.0466      329
features.3                        81    -0.315155 1.302997e-07 4.729456e-03   1.0000   0.3697       57
features.7                        16    -0.314350 2.105787e-06 6.177069e-07   0.6336   0.0049      105
features.13                      135    -0.313360 8.740523e-08 3.526362e-07   0.6296   0.0029      201
features.14                      416    -0.309770 2.614461e-06 1.765209e-06   0.6666   0.0471      265
features.9                       351    -0.308558 1.360934e-07 3.587099e-07   0.6201   0.0030      137
features.7                        18    -0.307366 2.479116e-06 1.639666e-05   0.7460   0.1312      105
