================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 23
  alpha      : 0.5000
  norm       : max
  timestamp  : 2026-09-10 00:11:15
  remove_target  : 25427
  accum_removed  : 25487
  selected_channels : 103
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1404611
  model_sparsity : 35.9%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          0       83    86.5%
  features.3                144          7       96    66.7%
  features.4                144          0      100    69.4%
  features.5                192          0       61    31.8%
  features.6                192          1      142    74.0%
  features.7                192          0      113    58.9%
  features.8                384          0       97    25.3%
  features.9                384         16      276    71.9%
  features.10               384          4      218    56.8%
  features.11               384          2      298    77.6%
  features.12               576         10      273    47.4%
  features.13               576         26      409    71.0%
  features.14               576          8      455    79.0%
  features.15               960          7      407    42.4%
  features.16               960          3      382    39.8%
  features.17               960         19      196    20.4%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 13          1       7.7%
  features.3                 55          1       1.8%
  features.4                 44          1       2.3%
  features.5                131          1       0.8%
  features.6                 51          1       2.0%
  features.7                 79          1       1.3%
  features.8                287          2       0.7%
  features.9                124          1       0.8%
  features.10               170          1       0.6%
  features.11                88          1       1.1%
  features.12               313          2       0.6%
  features.13               193          1       0.5%
  features.14               129          1       0.8%
  features.15               560          3       0.5%
  features.16               581          3       0.5%
  features.17               783          4       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 4채널 제거
  features.11: 2채널 제거
  features.12: 10채널 제거
  features.13: 26채널 제거
  features.14: 8채널 제거
  features.15: 7채널 제거
  features.16: 3채널 제거
  features.17: 19채널 제거
  features.3: 7채널 제거
  features.6: 1채널 제거
  features.9: 16채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.3                       109    -0.496579 1.291869e-07 6.770742e-05   1.0000   0.0068       57
features.15                      690    -0.495999 1.053443e-06 7.656269e-07   1.0000   0.0080      329
features.12                      297    -0.491291 2.859869e-07 1.467133e-06   1.0000   0.0174      201
features.13                       70    -0.490762 1.354359e-07 1.813490e-06   1.0000   0.0185      201
features.3                       100    -0.474357 1.270660e-07 3.453691e-04   0.9836   0.0349       57
features.11                      339    -0.471949 1.823389e-06 1.539076e-04   1.0000   0.0561      169
features.9                       365    -0.455837 3.129441e-07 1.297947e-05   1.0000   0.0883      137
features.14                      267    -0.453644 4.834187e-06 1.356402e-05   1.0000   0.0927      265
features.17                      461    -0.445775 1.576386e-06 5.015709e-07   1.0000   0.1084      489
features.3                       105    -0.430685 1.136480e-07 1.816953e-04   0.8797   0.0183       57
features.9                       264    -0.425385 2.734903e-07 3.402650e-06   0.8739   0.0232      137
features.13                       62    -0.408332 1.108656e-07 1.879512e-07   0.8186   0.0019      201
features.13                      251    -0.401339 1.094109e-07 5.066221e-07   0.8078   0.0052      201
features.12                      164    -0.399698 2.319714e-07 9.880550e-07   0.8111   0.0117      201
features.17                      949    -0.394372 1.417444e-06 5.107271e-07   0.8992   0.1104      489
features.13                      250    -0.393791 1.097766e-07 2.254129e-06   0.8105   0.0230      201
features.13                      515    -0.377488 1.034015e-07 8.336940e-07   0.7635   0.0085      201
features.13                      232    -0.372679 1.014786e-07 3.839924e-07   0.7493   0.0039      201
features.17                      457    -0.365775 1.271203e-06 3.461895e-07   0.8064   0.0749      489
features.12                      409    -0.364048 2.344885e-07 7.736328e-06   0.8199   0.0918      201
features.14                      189    -0.356651 3.792235e-06 1.041103e-05   0.7845   0.0712      265
features.13                      241    -0.354829 9.697249e-08 6.225550e-07   0.7160   0.0063      201
features.17                       52    -0.350488 1.246774e-06 4.159212e-07   0.7909   0.0899      489
features.17                      123    -0.347722 1.171984e-06 2.220863e-07   0.7435   0.0480      489
features.9                        57    -0.346775 2.193561e-07 1.086290e-06   0.7009   0.0074      137
features.17                      900    -0.339485 1.190596e-06 3.528837e-07   0.7553   0.0763      489
