================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 25
  alpha      : 0.5000
  norm       : max
  timestamp  : 2026-09-10 00:18:28
  remove_target  : 24163
  accum_removed  : 24272
  selected_channels : 88
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1355264
  model_sparsity : 38.2%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          1       85    88.5%
  features.3                144          1      110    76.4%
  features.4                144          0      101    70.1%
  features.5                192          0       61    31.8%
  features.6                192          1      144    75.0%
  features.7                192          0      113    58.9%
  features.8                384          0       97    25.3%
  features.9                384          5      294    76.6%
  features.10               384          6      225    58.6%
  features.11               384          0      298    77.6%
  features.12               576         14      316    54.9%
  features.13               576          7      421    73.1%
  features.14               576         13      476    82.6%
  features.15               960          2      427    44.5%
  features.16               960         27      415    43.2%
  features.17               960         11      218    22.7%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 12          1       8.3%
  features.3                 35          1       2.9%
  features.4                 43          1       2.3%
  features.5                131          1       0.8%
  features.6                 49          1       2.0%
  features.7                 79          1       1.3%
  features.8                287          2       0.7%
  features.9                 95          1       1.1%
  features.10               165          1       0.6%
  features.11                86          1       1.2%
  features.12               274          2       0.7%
  features.13               162          1       0.6%
  features.14               113          1       0.9%
  features.15               535          3       0.6%
  features.16               572          3       0.5%
  features.17               753          4       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 6채널 제거
  features.12: 14채널 제거
  features.13: 7채널 제거
  features.14: 13채널 제거
  features.15: 2채널 제거
  features.16: 27채널 제거
  features.17: 11채널 제거
  features.2: 1채널 제거
  features.3: 1채널 제거
  features.6: 1채널 제거
  features.9: 5채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.14                      210    -0.492590 3.998127e-06 8.324196e-07   0.9903   0.0051      265
features.16                      361    -0.488066 9.722206e-07 7.951659e-07   1.0000   0.0239      329
features.10                       23    -0.487548 3.800885e-07 1.741397e-06   1.0000   0.0249      137
features.14                      462    -0.472208 4.037446e-06 9.104473e-06   1.0000   0.0556      265
features.16                      231    -0.461132 9.031314e-07 2.223159e-07   0.9289   0.0067      329
features.9                       151    -0.460931 3.374017e-07 2.192756e-06   0.9280   0.0061      137
features.16                      815    -0.448157 8.721292e-07 2.447536e-08   0.8970   0.0007      329
features.12                      468    -0.444163 2.013450e-07 1.133313e-05   1.0000   0.1117      201
features.13                      217    -0.437310 1.517939e-07 3.964167e-07   0.8793   0.0047      201
features.14                      100    -0.430183 3.527358e-06 2.177489e-06   0.8737   0.0133      265
features.16                       57    -0.423090 8.260457e-07 1.155285e-07   0.8496   0.0035      329
features.14                       27    -0.416583 3.444085e-06 3.254445e-06   0.8530   0.0199      265
features.12                      518    -0.400895 1.629337e-07 7.544357e-07   0.8092   0.0074      201
features.12                      365    -0.389713 1.650042e-07 4.067645e-06   0.8195   0.0401      201
features.13                      560    -0.387697 1.358768e-07 9.886508e-07   0.7871   0.0117      201
features.14                      115    -0.387565 3.143970e-06 5.850371e-07   0.7787   0.0036      265
features.16                        9    -0.386581 7.990299e-07 1.622507e-06   0.8219   0.0487      329
features.16                      629    -0.378807 7.415785e-07 1.716683e-07   0.7628   0.0052      329
features.16                      797    -0.367234 7.177503e-07 1.262425e-07   0.7383   0.0038      329
features.10                       78    -0.366067 2.818040e-07 6.490466e-07   0.7414   0.0093      137
features.14                      419    -0.364736 2.956569e-06 4.612003e-07   0.7323   0.0028      265
features.16                      367    -0.359093 8.458954e-07 5.060191e-06   0.8701   0.1519      329
features.16                      694    -0.352579 6.905049e-07 1.691442e-07   0.7102   0.0051      329
features.10                       96    -0.345346 2.677353e-07 9.586832e-07   0.7044   0.0137      137
features.17                      419    -0.343739 1.424496e-06 9.223513e-07   0.8813   0.1938      489
features.16                      487    -0.339806 6.774146e-07 5.716772e-07   0.6968   0.0172      329
features.12                      509    -0.339340 1.405487e-07 1.965392e-06   0.6980   0.0194      201
features.9                        82    -0.337445 2.473180e-07 1.909698e-06   0.6802   0.0053      137
features.16                      334    -0.336850 6.552610e-07 9.457920e-09   0.6740   0.0003      329
features.16                      432    -0.336661 6.560305e-07 4.840945e-08   0.6748   0.0015      329
features.17                      197    -0.334375 1.160881e-06 2.352677e-07   0.7182   0.0494      489
features.17                      431    -0.334264 1.241598e-06 4.739982e-07   0.7681   0.0996      489
features.16                      369    -0.333286 6.814423e-07 1.144173e-06   0.7009   0.0343      329
features.16                      903    -0.331462 6.790965e-07 1.185322e-06   0.6985   0.0356      329
features.16                      786    -0.330019 6.517243e-07 3.434493e-07   0.6703   0.0103      329
features.16                      537    -0.329476 7.578270e-07 4.015717e-06   0.7795   0.1205      329
features.10                       97    -0.325997 2.487118e-07 1.647960e-07   0.6544   0.0024      137
features.14                       40    -0.323386 3.933167e-06 5.362648e-05   0.9742   0.3274      265
features.14                        4    -0.322758 2.642442e-06 1.468701e-06   0.6545   0.0090      265
features.16                      716    -0.312436 6.119221e-07 1.510831e-07   0.6294   0.0045      329
features.16                      116    -0.307342 6.599327e-07 2.135813e-06   0.6788   0.0641      329
features.16                       82    -0.302571 6.400120e-07 1.771016e-06   0.6583   0.0532      329
features.17                      317    -0.301818 1.546420e-06 1.680416e-06   0.9567   0.3531      489
features.12                      561    -0.301601 1.239152e-07 1.241406e-06   0.6154   0.0122      201
features.16                      380    -0.300476 7.411590e-07 5.376940e-06   0.7623   0.1614      329
features.10                      367    -0.299864 3.484728e-07 2.217391e-05   0.9168   0.3171      137
features.12                      440    -0.297773 1.218993e-07 1.002260e-06   0.6054   0.0099      201
features.13                      301    -0.294275 1.188612e-07 8.435642e-06   0.6885   0.1000      201
features.9                        79    -0.293452 2.151823e-07 1.766791e-06   0.5918   0.0049      137
features.15                      184    -0.287941 8.101015e-07 2.329811e-06   0.5888   0.0129      329
features.9                       218    -0.287255 3.635900e-07 1.527481e-04   1.0000   0.4255      137
features.12                      302    -0.286585 1.177323e-07 1.172850e-06   0.5847   0.0116      201
features.12                      325    -0.281932 1.181397e-07 2.322645e-06   0.5867   0.0229      201
features.17                      268    -0.281747 9.596193e-07 1.436238e-07   0.5937   0.0302      489
features.16                      390    -0.281453 5.601436e-07 4.411638e-07   0.5761   0.0132      329
features.14                      476    -0.280849 2.292697e-06 1.008981e-06   0.5679   0.0062      265
features.12                      229    -0.278435 1.131276e-07 5.062070e-07   0.5619   0.0050      201
features.14                      501    -0.276799 2.296491e-06 2.489786e-06   0.5688   0.0152      265
features.17                      208    -0.276218 1.079730e-06 5.499273e-07   0.6680   0.1155      489
features.12                      341    -0.276049 1.154328e-07 2.152452e-06   0.5733   0.0212      201
features.6                       146    -0.275513 1.327263e-07 6.955999e-06   0.5549   0.0039       73
features.13                       51    -0.275372 1.014972e-07 3.139371e-06   0.5880   0.0372      201
features.17                        5    -0.273763 9.651922e-07 2.360293e-07   0.5971   0.0496      489
features.14                      456    -0.272459 2.234991e-06 1.416557e-06   0.5536   0.0086      265
features.13                      354    -0.271926 1.026505e-07 4.284417e-06   0.5946   0.0508      201
features.16                      898    -0.269956 5.556010e-07 1.051652e-06   0.5715   0.0316      329
features.17                      344    -0.269701 1.047415e-06 5.168062e-07   0.6480   0.1086      489
features.17                      736    -0.268440 9.521808e-07 2.483912e-07   0.5891   0.0522      489
features.16                      763    -0.266313 5.348924e-07 5.847202e-07   0.5502   0.0175      329
features.16                      921    -0.266199 5.253605e-07 2.656381e-07   0.5404   0.0080      329
features.17                      862    -0.264267 9.202166e-07 1.939957e-07   0.5693   0.0408      489
features.10                      150    -0.264120 2.261394e-07 4.665909e-06   0.5950   0.0667      137
features.17                      297    -0.264103 1.094004e-06 7.072792e-07   0.6768   0.1486      489
features.12                      491    -0.263805 1.159178e-07 4.882088e-06   0.5757   0.0481      201
features.14                      187    -0.263222 2.182370e-06 2.307545e-06   0.5405   0.0141      265
features.13                      392    -0.261814 9.526465e-08 2.381176e-06   0.5519   0.0282      201
features.15                      321    -0.259562 7.155110e-07 1.700279e-07   0.5201   0.0009      329
features.16                      854    -0.259479 5.088012e-07 1.459375e-07   0.5233   0.0044      329
features.12                      463    -0.258683 1.051308e-07 4.845303e-07   0.5221   0.0048      201
features.12                      239    -0.257891 1.050953e-07 6.274753e-07   0.5220   0.0062      201
features.16                      893    -0.257690 5.047629e-07 1.267670e-07   0.5192   0.0038      329
features.14                      415    -0.257377 2.083109e-06 1.954382e-07   0.5159   0.0012      265
features.2                        49    -0.257165 1.131370e-06 3.583277e-02   0.7788   0.2645       49
features.9                       180    -0.254829 1.875074e-07 2.172747e-06   0.5157   0.0061      137
features.13                      323    -0.253556 9.160424e-08 1.985632e-06   0.5306   0.0235      201
