================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 26
  alpha      : 0.5000
  norm       : max
  timestamp  : 2026-09-10 00:22:03
  remove_target  : 23556
  accum_removed  : 23606
  selected_channels : 102
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1331658
  model_sparsity : 39.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          0       85    88.5%
  features.3                144          1      111    77.1%
  features.4                144          2      103    71.5%
  features.5                192          0       61    31.8%
  features.6                192          0      144    75.0%
  features.7                192          1      114    59.4%
  features.8                384          0       97    25.3%
  features.9                384          9      303    78.9%
  features.10               384          1      226    58.9%
  features.11               384          0      298    77.6%
  features.12               576         50      366    63.5%
  features.13               576          5      426    74.0%
  features.14               576          7      483    83.9%
  features.15               960          6      433    45.1%
  features.16               960         17      432    45.0%
  features.17               960          3      221    23.0%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 11          1       9.1%
  features.3                 34          1       2.9%
  features.4                 43          1       2.3%
  features.5                131          1       0.8%
  features.6                 48          1       2.1%
  features.7                 79          1       1.3%
  features.8                287          2       0.7%
  features.9                 90          1       1.1%
  features.10               159          1       0.6%
  features.11                86          1       1.2%
  features.12               260          2       0.8%
  features.13               155          1       0.6%
  features.14               100          1       1.0%
  features.15               533          3       0.6%
  features.16               545          3       0.6%
  features.17               742          4       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 1채널 제거
  features.12: 50채널 제거
  features.13: 5채널 제거
  features.14: 7채널 제거
  features.15: 6채널 제거
  features.16: 17채널 제거
  features.17: 3채널 제거
  features.3: 1채널 제거
  features.4: 2채널 제거
  features.7: 1채널 제거
  features.9: 9채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.9                       107    -0.498675 2.835747e-07 7.612796e-07   1.0000   0.0026      137
features.16                      819    -0.492763 1.062593e-06 4.464884e-07   1.0000   0.0145      329
features.12                      231    -0.491552 1.476529e-07 3.309345e-06   1.0000   0.0169      201
features.12                      375    -0.490715 1.461662e-07 1.664559e-06   0.9899   0.0085      201
features.14                      342    -0.486950 5.890180e-06 3.792118e-06   1.0000   0.0261      265
features.13                      537    -0.484310 2.005466e-07 3.123189e-06   1.0000   0.0314      201
features.12                      385    -0.470201 1.408691e-07 2.674411e-06   0.9540   0.0136      201
features.9                        25    -0.467398 2.671673e-07 2.110963e-06   0.9421   0.0073      137
features.16                      773    -0.462938 1.009613e-06 7.484776e-07   0.9501   0.0243      329
features.12                      522    -0.458803 1.367708e-07 1.702289e-06   0.9263   0.0087      201
features.12                      388    -0.458490 1.368587e-07 1.941557e-06   0.9269   0.0099      201
features.12                      211    -0.450539 1.335623e-07 6.830226e-07   0.9046   0.0035      201
features.12                       73    -0.423808 1.331990e-07 1.067694e-05   0.9021   0.0545      201
features.12                      264    -0.421973 1.282673e-07 4.850990e-06   0.8687   0.0248      201
features.12                      114    -0.421253 1.260524e-07 2.193755e-06   0.8537   0.0112      201
features.12                      340    -0.420223 1.291088e-07 6.653836e-06   0.8744   0.0340      201
features.16                       19    -0.390519 8.420353e-07 3.515383e-07   0.7924   0.0114      329
features.12                      289    -0.389766 1.153403e-07 3.174906e-07   0.7812   0.0016      201
features.12                       43    -0.386354 1.143360e-07 3.221087e-07   0.7744   0.0016      201
features.12                      498    -0.379531 1.125414e-07 6.144984e-07   0.7622   0.0031      201
features.4                        36    -0.378170 4.699796e-06 2.868336e-04   1.0000   0.2437       65
features.16                      112    -0.377739 8.208114e-07 5.238542e-07   0.7725   0.0170      329
features.9                       311    -0.377349 2.202449e-07 6.318769e-06   0.7767   0.0220      137
features.12                      322    -0.374267 1.117536e-07 1.631729e-06   0.7569   0.0083      201
features.12                      410    -0.370771 1.151770e-07 7.545026e-06   0.7800   0.0385      201
features.12                      118    -0.370682 1.100420e-07 7.655536e-07   0.7453   0.0039      201
features.12                      136    -0.369859 1.098371e-07 8.160599e-07   0.7439   0.0042      201
features.12                      266    -0.369853 1.361459e-07 3.573297e-05   0.9221   0.1824      201
features.12                      298    -0.366949 1.084961e-07 1.766165e-07   0.7348   0.0009      201
features.13                      383    -0.366739 1.495008e-07 1.193056e-06   0.7455   0.0120      201
features.15                      899    -0.363770 8.447086e-07 2.097851e-06   0.7573   0.0298      329
features.12                      553    -0.361594 1.072320e-07 5.977828e-07   0.7262   0.0031      201
features.12                       51    -0.354842 1.053442e-07 7.388096e-07   0.7135   0.0038      201
features.9                       190    -0.348902 2.001818e-07 2.333851e-06   0.7059   0.0081      137
features.12                      220    -0.345529 1.027843e-07 9.910578e-07   0.6961   0.0051      201
features.14                      431    -0.345206 4.590204e-06 1.291470e-05   0.7793   0.0889      265
features.16                      178    -0.345141 7.391852e-07 1.653725e-07   0.6956   0.0054      329
features.12                       87    -0.338057 9.998637e-08 2.063925e-07   0.6772   0.0011      201
features.12                      377    -0.335849 1.038772e-07 6.235089e-06   0.7035   0.0318      201
features.12                       11    -0.335076 9.993476e-08 1.306279e-06   0.6768   0.0067      201
features.12                      500    -0.332961 9.910963e-08 1.039965e-06   0.6712   0.0053      201
features.12                      406    -0.324507 9.647620e-08 8.583601e-07   0.6534   0.0044      201
features.14                      401    -0.323010 3.871338e-06 1.631945e-06   0.6573   0.0112      265
features.17                      697    -0.321294 1.634314e-06 3.788106e-07   0.7098   0.0672      489
features.12                      469    -0.320813 9.635564e-08 2.146076e-06   0.6526   0.0110      201
features.12                      417    -0.317368 9.819088e-08 5.931731e-06   0.6650   0.0303      201
features.15                        4    -0.315253 7.312593e-07 1.768202e-06   0.6556   0.0251      329
features.15                      750    -0.310995 7.016046e-07 4.947677e-07   0.6290   0.0070      329
features.16                      618    -0.310811 6.639863e-07 1.003079e-07   0.6249   0.0033      329
features.12                      256    -0.309239 9.522496e-08 5.181294e-06   0.6449   0.0264      201
features.16                      287    -0.298518 6.799751e-07 1.322877e-06   0.6399   0.0429      329
features.3                        45    -0.298185 1.403957e-07 1.839507e-03   0.7555   0.1591       57
features.12                      258    -0.297779 8.864539e-08 9.408844e-07   0.6004   0.0048      201
features.9                       209    -0.297725 1.702476e-07 1.411724e-06   0.6004   0.0049      137
features.16                      293    -0.295071 6.315572e-07 1.299452e-07   0.5944   0.0042      329
features.16                       14    -0.295017 6.333495e-07 1.853042e-07   0.5960   0.0060      329
features.12                      171    -0.294632 1.043510e-07 2.301723e-05   0.7067   0.1175      201
features.14                      308    -0.291760 5.096646e-06 4.093826e-05   0.8653   0.2818      265
features.16                      878    -0.289572 6.248783e-07 2.753124e-07   0.5881   0.0089      329
features.12                      401    -0.287918 8.603684e-08 1.343580e-06   0.5827   0.0069      201
features.12                      328    -0.286330 8.518121e-08 8.303999e-07   0.5769   0.0042      201
features.14                      382    -0.284013 3.440368e-06 2.333390e-06   0.5841   0.0161      265
features.13                      562    -0.281159 1.188997e-07 3.041729e-06   0.5929   0.0306      201
features.14                      191    -0.280908 3.371405e-06 1.534637e-06   0.5724   0.0106      265
features.16                      165    -0.280755 6.030102e-07 1.844314e-07   0.5675   0.0060      329
features.13                      507    -0.278669 1.129868e-07 6.025422e-07   0.5634   0.0061      201
features.15                      214    -0.277173 6.193467e-07 6.461677e-08   0.5553   0.0009      329
features.12                      381    -0.275824 8.161435e-08 2.143582e-07   0.5527   0.0011      201
