================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 36
  alpha      : 0.5000
  norm       : max
  timestamp  : 2026-09-10 00:58:11
  remove_target  : 18260
  accum_removed  : 18550
  selected_channels : 78
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1124859
  model_sparsity : 48.7%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          0       87    90.6%
  features.3                144         10      131    91.0%
  features.4                144          1      120    83.3%
  features.5                192          2       63    32.8%
  features.6                192          0      167    87.0%
  features.7                192          6      172    89.6%
  features.8                384          7      210    54.7%
  features.9                384          0      372    96.9%
  features.10               384          3      339    88.3%
  features.11               384          0      319    83.1%
  features.12               576         11      518    89.9%
  features.13               576          0      506    87.8%
  features.14               576          1      508    88.2%
  features.15               960         29      597    62.2%
  features.16               960          1      503    52.4%
  features.17               960          7      266    27.7%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                  9          1      11.1%
  features.3                 23          1       4.3%
  features.4                 25          1       4.0%
  features.5                131          1       0.8%
  features.6                 25          1       4.0%
  features.7                 26          1       3.8%
  features.8                181          1       0.6%
  features.9                 12          1       8.3%
  features.10                48          1       2.1%
  features.11                65          1       1.5%
  features.12                69          1       1.4%
  features.13                70          1       1.4%
  features.14                69          1       1.4%
  features.15               392          2       0.5%
  features.16               458          3       0.7%
  features.17               701          4       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 3채널 제거
  features.12: 11채널 제거
  features.14: 1채널 제거
  features.15: 29채널 제거
  features.16: 1채널 제거
  features.17: 7채널 제거
  features.3: 10채널 제거
  features.4: 1채널 제거
  features.5: 2채널 제거
  features.7: 6채널 제거
  features.8: 7채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.8                       292    -0.495677 5.689545e-07 1.630306e-06   1.0000   0.0086      137
features.3                         9    -0.429057 8.833874e-08 1.537232e-04   1.0000   0.1419       57
features.15                      633    -0.418527 7.223386e-07 9.392029e-07   0.8433   0.0062      329
features.7                        32    -0.353386 3.648465e-06 3.369235e-05   0.7256   0.0189      105
features.15                      471    -0.352470 6.253205e-07 3.776151e-06   0.7300   0.0251      329
features.3                       132    -0.339678 6.963973e-08 1.180598e-04   0.7883   0.1090       57
features.7                       122    -0.330527 3.534182e-06 7.472603e-05   0.7029   0.0419      105
features.15                      767    -0.324847 5.692457e-07 2.238218e-06   0.6646   0.0149      329
features.12                      379    -0.317478 1.113794e-07 5.016196e-05   1.0000   0.3650      201
features.3                         8    -0.304448 7.650890e-08 2.786573e-04   0.8661   0.2572       57
features.12                       75    -0.299631 7.373815e-08 8.626592e-06   0.6620   0.0628      201
features.12                      254    -0.297285 7.328696e-08 8.714612e-06   0.6580   0.0634      201
features.15                      539    -0.287892 5.156166e-07 3.938879e-06   0.6020   0.0262      329
features.7                        35    -0.280812 5.027875e-06 7.825088e-04   1.0000   0.4384      105
features.8                       235    -0.266168 3.361674e-07 1.103706e-05   0.5909   0.0585      137
features.15                      657    -0.263925 4.606247e-07 1.491006e-06   0.5378   0.0099      329
features.8                       230    -0.262658 3.054881e-07 2.190396e-06   0.5369   0.0116      137
features.7                       166    -0.252849 2.725154e-06 6.481590e-05   0.5420   0.0363      105
features.7                       162    -0.245206 2.487846e-06 7.853315e-06   0.4948   0.0044      105
features.15                      779    -0.239515 4.307647e-07 3.591825e-06   0.5029   0.0239      329
features.15                      329    -0.239401 4.169341e-07 1.196099e-06   0.4868   0.0079      329
features.8                       206    -0.234543 2.952310e-07 9.395728e-06   0.5189   0.0498      137
features.8                       309    -0.232172 2.807514e-07 5.490219e-06   0.4935   0.0291      137
features.15                      814    -0.231640 4.140866e-07 3.031898e-06   0.4834   0.0201      329
features.4                        62    -0.229534 1.995861e-06 8.364223e-03   1.0000   0.5409       65
features.15                      547    -0.229100 4.075249e-07 2.643363e-06   0.4758   0.0176      329
features.15                      395    -0.228312 3.916838e-07 9.740435e-08   0.4573   0.0006      329
features.12                      317    -0.226656 5.390307e-08 4.210725e-06   0.4840   0.0306      201
features.12                      563    -0.223590 5.871090e-08 1.098528e-05   0.5271   0.0799      201
features.3                        97    -0.223038 5.733844e-08 2.199429e-04   0.6491   0.2030       57
features.12                      249    -0.219679 5.095782e-08 2.494552e-06   0.4575   0.0182      201
features.17                      356    -0.218601 1.838643e-06 9.943942e-07   0.5432   0.1060      489
features.17                      536    -0.218484 1.931265e-06 1.253305e-06   0.5706   0.1336      489
features.15                       12    -0.216725 3.733378e-07 3.617470e-07   0.4359   0.0024      329
features.15                      612    -0.216316 3.950370e-07 4.297290e-06   0.4612   0.0286      329
features.3                        99    -0.213153 4.215651e-08 5.515377e-05   0.4772   0.0509       57
features.15                      113    -0.210216 3.869558e-07 4.713506e-06   0.4518   0.0313      329
features.12                      179    -0.205854 5.634230e-08 1.293719e-05   0.5059   0.0941      201
features.7                        37    -0.202801 2.102320e-06 2.236732e-05   0.4181   0.0125      105
features.17                      716    -0.201665 2.284393e-06 2.547652e-06   0.6749   0.2716      489
features.3                        91    -0.201243 4.517941e-08 1.180401e-04   0.5114   0.1089       57
features.10                      119    -0.200897 2.610987e-07 9.949804e-06   0.4816   0.0798      137
features.12                      514    -0.196186 4.657067e-08 3.538525e-06   0.4181   0.0258      201
features.12                       78    -0.196146 4.939548e-08 7.034645e-06   0.4435   0.0512      201
features.5                        95    -0.192200 4.137174e-07 3.543743e-04   0.4449   0.0605       73
features.10                      381    -0.188113 5.421101e-07 7.773659e-05   1.0000   0.6238      137
features.15                      171    -0.187354 3.295009e-07 1.500300e-06   0.3847   0.0100      329
features.15                      848    -0.184231 3.264558e-07 1.905062e-06   0.3811   0.0127      329
features.8                        34    -0.182957 2.297192e-07 7.137574e-06   0.4038   0.0378      137
features.15                      922    -0.182456 5.548578e-07 4.256822e-05   0.6478   0.2829      329
features.15                      232    -0.181128 3.242525e-07 2.452020e-06   0.3785   0.0163      329
features.15                      656    -0.179782 3.195914e-07 2.038070e-06   0.3731   0.0135      329
features.3                        17    -0.176176 6.698426e-08 4.398014e-04   0.7583   0.4059       57
features.15                      141    -0.172807 3.081706e-07 2.130862e-06   0.3598   0.0142      329
features.12                      448    -0.167908 6.538286e-08 3.451987e-05   0.5870   0.2512      201
features.17                      677    -0.167567 1.229024e-06 2.623034e-07   0.3631   0.0280      489
features.3                        68    -0.163334 3.557762e-08 8.242104e-05   0.4027   0.0761       57
features.15                      708    -0.161796 2.837186e-07 1.149088e-06   0.3312   0.0076      329
features.15                      639    -0.160941 2.775687e-07 3.258319e-07   0.3240   0.0022      329
features.15                      177    -0.159639 2.809435e-07 1.310632e-06   0.3280   0.0087      329
features.15                      868    -0.158727 2.728951e-07 1.712527e-07   0.3186   0.0011      329
features.10                      102    -0.158713 1.772212e-07 1.181822e-06   0.3269   0.0095      137
features.17                      711    -0.156124 1.087130e-06 8.372844e-08   0.3212   0.0089      489
features.12                      383    -0.152634 4.008471e-08 7.505983e-06   0.3599   0.0546      201
features.15                      811    -0.151370 3.099146e-07 8.889810e-06   0.3618   0.0591      329
features.8                       352    -0.149941 1.892550e-07 6.178146e-06   0.3326   0.0328      137
