================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 39
  alpha      : 0.5000
  norm       : max
  timestamp  : 2026-09-10 01:08:58
  remove_target  : 16913
  accum_removed  : 17187
  selected_channels : 67
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1072358
  model_sparsity : 51.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          0       87    90.6%
  features.3                144          1      136    94.4%
  features.4                144          1      128    88.9%
  features.5                192          2       65    33.9%
  features.6                192          1      173    90.1%
  features.7                192          1      174    90.6%
  features.8                384         14      265    69.0%
  features.9                384          0      372    96.9%
  features.10               384          1      345    89.8%
  features.11               384          0      319    83.1%
  features.12               576          8      537    93.2%
  features.13               576          3      520    90.3%
  features.14               576          0      509    88.4%
  features.15               960         25      665    69.3%
  features.16               960          4      527    54.9%
  features.17               960          6      277    28.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                  9          1      11.1%
  features.3                  9          1      11.1%
  features.4                 17          1       5.9%
  features.5                129          1       0.8%
  features.6                 20          1       5.0%
  features.7                 19          1       5.3%
  features.8                133          1       0.8%
  features.9                 12          1       8.3%
  features.10                40          1       2.5%
  features.11                65          1       1.5%
  features.12                47          1       2.1%
  features.13                59          1       1.7%
  features.14                67          1       1.5%
  features.15               320          2       0.6%
  features.16               437          3       0.7%
  features.17               689          4       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 1채널 제거
  features.12: 8채널 제거
  features.13: 3채널 제거
  features.15: 25채널 제거
  features.16: 4채널 제거
  features.17: 6채널 제거
  features.3: 1채널 제거
  features.4: 1채널 제거
  features.5: 2채널 제거
  features.6: 1채널 제거
  features.7: 1채널 제거
  features.8: 14채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.12                      305    -0.499592 1.099235e-07 7.808559e-07   1.0000   0.0008      201
features.13                      187    -0.429019 1.366929e-07 1.540154e-05   1.0000   0.1420      201
features.15                      283    -0.427886 4.391253e-07 6.493746e-07   0.8581   0.0024      329
features.12                      268    -0.380431 8.416966e-08 4.686399e-06   0.7657   0.0048      201
features.12                      312    -0.285402 6.992811e-08 6.323832e-05   0.6361   0.0653      201
features.12                      551    -0.280313 6.218882e-08 4.950594e-06   0.5657   0.0051      201
features.12                      371    -0.276126 6.166326e-08 8.428504e-06   0.5610   0.0087      201
features.15                      235    -0.270805 2.991397e-07 1.179493e-05   0.5846   0.0430      329
features.15                      295    -0.269337 2.765933e-07 5.062445e-07   0.5405   0.0018      329
features.15                      816    -0.261612 2.764029e-07 4.645505e-06   0.5401   0.0169      329
features.15                      312    -0.259477 2.790804e-07 7.253803e-06   0.5454   0.0264      329
features.15                      508    -0.256992 2.662281e-07 1.723381e-06   0.5203   0.0063      329
features.15                      118    -0.250388 2.750595e-07 1.008686e-05   0.5375   0.0367      329
features.12                      108    -0.241729 5.486202e-08 1.512695e-05   0.4991   0.0156      201
features.8                       176    -0.239638 1.756393e-07 2.471083e-05   0.6726   0.1933      137
features.15                      563    -0.215282 2.208276e-07 2.683748e-07   0.4315   0.0010      329
features.15                      857    -0.213710 2.221860e-07 1.859986e-06   0.4342   0.0068      329
features.8                       247    -0.213133 1.149093e-07 1.757405e-06   0.4400   0.0137      137
features.5                         7    -0.208315 2.239487e-07 1.497602e-04   0.4415   0.0248       73
features.6                        39    -0.208242 5.316274e-08 3.205051e-04   0.4194   0.0030       73
features.15                      188    -0.207210 2.650036e-07 2.839719e-05   0.5179   0.1034      329
features.8                         6    -0.205261 1.770259e-07 3.417985e-05   0.6779   0.2674      137
features.7                        21    -0.203110 1.379374e-05 1.308032e-03   1.0000   0.5938      105
features.13                      437    -0.195937 7.037279e-08 1.333916e-05   0.5148   0.1229      201
features.17                      346    -0.195656 1.930400e-06 1.792961e-06   0.5649   0.1736      489
features.15                      212    -0.193992 2.025597e-07 2.157142e-06   0.3958   0.0079      329
features.8                       121    -0.191409 1.155694e-07 7.635361e-06   0.4425   0.0597      137
features.8                       252    -0.190602 1.024912e-07 1.439280e-06   0.3925   0.0113      137
features.15                      685    -0.187854 1.962874e-07 2.162178e-06   0.3836   0.0079      329
features.8                        62    -0.183527 9.663817e-08 3.829704e-07   0.3700   0.0030      137
features.15                      851    -0.182182 1.871361e-07 3.669714e-07   0.3657   0.0013      329
features.10                      158    -0.180840 1.173126e-07 2.635735e-06   0.4292   0.0675      137
features.4                       120    -0.180699 3.105091e-07 3.974309e-04   0.3810   0.0196       65
features.8                       268    -0.180306 1.005357e-07 3.114534e-06   0.3850   0.0244      137
features.8                       106    -0.180074 1.204425e-07 1.291937e-05   0.4612   0.1011      137
features.16                      161    -0.179752 7.349743e-07 1.597976e-06   0.3603   0.0008      329
features.15                      304    -0.179751 1.890021e-07 2.702401e-06   0.3693   0.0098      329
features.15                      192    -0.179291 1.876942e-07 2.253827e-06   0.3668   0.0082      329
features.16                      906    -0.179126 7.321673e-07 1.341149e-06   0.3589   0.0007      329
features.15                      707    -0.177457 1.858068e-07 2.247905e-06   0.3631   0.0082      329
features.15                      511    -0.176123 1.818160e-07 8.396229e-07   0.3553   0.0031      329
features.17                      495    -0.175277 1.516105e-06 9.617106e-07   0.4437   0.0931      489
features.15                      116    -0.174684 1.811781e-07 1.287634e-06   0.3541   0.0047      329
features.15                      257    -0.174302 1.802360e-07 9.917630e-07   0.3522   0.0036      329
features.8                       134    -0.172914 9.612901e-08 2.847267e-06   0.3681   0.0223      137
features.16                      677    -0.172644 7.291877e-07 2.496328e-05   0.3574   0.0122      329
features.17                      225    -0.170536 1.327846e-06 4.906342e-07   0.3886   0.0475      489
features.8                       225    -0.170010 1.026140e-07 6.764492e-06   0.3929   0.0529      137
features.12                      413    -0.169772 4.069221e-08 2.965265e-05   0.3702   0.0306      201
features.8                       168    -0.168983 9.580580e-08 3.694126e-06   0.3669   0.0289      137
features.8                       346    -0.168752 8.984506e-08 8.351142e-07   0.3440   0.0065      137
features.15                      877    -0.166972 1.782003e-07 3.923735e-06   0.3482   0.0143      329
features.16                      806    -0.166916 6.810877e-07 6.949092e-08   0.3339   0.0000      329
features.5                        63    -0.162640 1.806939e-07 1.864400e-04   0.3562   0.0309       73
features.3                        32    -0.162016 2.490722e-08 1.159629e-04   0.4016   0.0776       57
features.15                      732    -0.161955 1.818817e-07 8.653035e-06   0.3554   0.0315      329
features.12                      529    -0.161716 4.117035e-08 4.945619e-05   0.3745   0.0511      201
features.15                      131    -0.161010 1.652774e-07 2.651738e-07   0.3230   0.0010      329
features.15                      480    -0.160831 1.652095e-07 3.265725e-07   0.3229   0.0012      329
features.8                       166    -0.160330 9.631658e-08 6.156665e-06   0.3688   0.0482      137
features.8                       140    -0.159983 9.742745e-08 6.789447e-06   0.3731   0.0531      137
features.13                      466    -0.159137 5.669761e-08 1.047026e-05   0.4148   0.0965      201
features.15                      419    -0.158895 1.630608e-07 2.367038e-07   0.3187   0.0009      329
features.15                      715    -0.158340 1.677870e-07 3.076947e-06   0.3279   0.0112      329
features.17                      305    -0.157514 2.003983e-06 2.803272e-06   0.5864   0.2714      489
features.17                      530    -0.157397 1.211323e-06 4.098440e-07   0.3545   0.0397      489
features.17                      700    -0.157009 1.302184e-06 6.924998e-07   0.3811   0.0670      489
