================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 6
  alpha      : 0.3000
  norm       : max
  timestamp  : 2026-09-10 14:49:12
  remove_target  : 39183
  accum_removed  : 39247
  selected_channels : 191
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1941109
  model_sparsity : 11.5%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          2       19    59.4%
  features.2                 96          3       29    30.2%
  features.3                144          0       19    13.2%
  features.4                144         24       56    38.9%
  features.5                192          0       10     5.2%
  features.6                192         11       35    18.2%
  features.7                192          2       26    13.5%
  features.8                384          8       55    14.3%
  features.9                384         11       69    18.0%
  features.10               384         13       52    13.5%
  features.11               384         33      113    29.4%
  features.12               576          7       91    15.8%
  features.13               576          6       60    10.4%
  features.14               576         24      144    25.0%
  features.15               960          9      161    16.8%
  features.16               960         25      125    13.0%
  features.17               960         13       67     7.0%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 15          1       6.7%
  features.2                 70          1       1.4%
  features.3                125          1       0.8%
  features.4                112          1       0.9%
  features.5                182          1       0.5%
  features.6                168          1       0.6%
  features.7                168          1       0.6%
  features.8                337          2       0.6%
  features.9                326          2       0.6%
  features.10               345          2       0.6%
  features.11               304          2       0.7%
  features.12               492          3       0.6%
  features.13               522          3       0.6%
  features.14               456          3       0.7%
  features.15               808          5       0.6%
  features.16               860          5       0.6%
  features.17               906          5       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 2채널 제거
  features.10: 13채널 제거
  features.11: 33채널 제거
  features.12: 7채널 제거
  features.13: 6채널 제거
  features.14: 24채널 제거
  features.15: 9채널 제거
  features.16: 25채널 제거
  features.17: 13채널 제거
  features.2: 3채널 제거
  features.4: 24채널 제거
  features.6: 11채널 제거
  features.7: 2채널 제거
  features.8: 8채널 제거
  features.9: 11채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.2                        71    -0.699728 8.525517e-07 5.123957e-06   1.0000   0.0009       49
features.9                       257    -0.699643 6.560624e-07 3.840051e-08   1.0000   0.0012      137
features.12                      519    -0.699175 5.121780e-07 1.619306e-07   1.0000   0.0027      201
features.15                      421    -0.698998 1.739200e-06 9.030887e-08   1.0000   0.0033      329
features.8                        67    -0.698314 6.773845e-07 2.426508e-07   1.0000   0.0056      137
features.16                      259    -0.697503 1.180954e-06 2.026144e-07   1.0000   0.0083      329
features.13                      520    -0.696286 5.156944e-07 5.843632e-07   1.0000   0.0124      201
features.10                       59    -0.692460 5.448736e-07 3.638498e-07   1.0000   0.0251      137
features.11                      248    -0.690642 6.815079e-07 1.054067e-06   0.9937   0.0166      169
features.6                        61    -0.688863 2.173713e-07 5.581241e-05   1.0000   0.0371       73
features.14                       47    -0.686717 2.249293e-06 4.310284e-07   1.0000   0.0443      265
features.10                      192    -0.677794 5.297379e-07 1.332011e-07   0.9722   0.0092      137
features.9                       271    -0.665877 6.261230e-07 2.350918e-07   0.9544   0.0073      137
features.13                      233    -0.659743 4.874033e-07 2.917646e-07   0.9451   0.0062      201
features.9                       103    -0.657535 6.168656e-07 6.931271e-08   0.9403   0.0021      137
features.11                      177    -0.653142 6.761848e-07 7.837225e-06   0.9860   0.1235      169
features.4                        46    -0.636253 1.541125e-06 6.719123e-05   1.0000   0.2125       65
features.17                      643    -0.634465 1.373659e-06 4.043588e-07   1.0000   0.2184      489
features.6                       152    -0.633705 1.968035e-07 2.902623e-07   0.9054   0.0002       73
features.4                         2    -0.631539 1.393657e-06 1.558802e-06   0.9043   0.0049       65
features.14                      328    -0.619307 2.158418e-06 1.700806e-06   0.9596   0.1747      265
features.14                      507    -0.610820 2.191855e-06 2.313916e-06   0.9745   0.2377      265
features.11                      208    -0.598565 6.857935e-07 2.145690e-05   1.0000   0.3381      169
features.1                         7    -0.595210 3.790506e-07 5.230314e-02   0.9521   0.2376       25
features.16                      235    -0.593071 1.002146e-06 7.637647e-08   0.8486   0.0031      329
features.4                        66    -0.589820 1.311792e-06 6.338661e-06   0.8512   0.0200       65
features.4                        88    -0.586734 1.309689e-06 8.583867e-06   0.8498   0.0271       65
features.10                      379    -0.583029 4.568313e-07 1.863856e-07   0.8384   0.0129      137
features.11                        3    -0.582664 5.745540e-07 8.020577e-07   0.8378   0.0126      169
features.4                        42    -0.580656 1.293499e-06 7.239626e-06   0.8393   0.0229       65
features.4                        51    -0.580433 1.281810e-06 1.878741e-06   0.8317   0.0059       65
features.14                      127    -0.578792 1.921185e-06 6.197265e-07   0.8541   0.0637      265
features.11                       36    -0.572981 5.695503e-07 1.769912e-06   0.8305   0.0279      169
features.4                        57    -0.571106 1.390099e-06 6.355304e-05   0.9020   0.2010       65
features.11                      306    -0.565404 5.577168e-07 8.176451e-07   0.8132   0.0129      169
features.11                       12    -0.562446 5.526006e-07 3.385867e-07   0.8058   0.0053      169
features.6                        56    -0.553446 1.720807e-07 3.520984e-06   0.7916   0.0023       73
features.2                        60    -0.547936 6.699867e-07 4.088987e-05   0.7859   0.0072       49
features.16                      128    -0.546548 9.291628e-07 3.412470e-07   0.7868   0.0140      329
features.14                      457    -0.546491 1.793503e-06 3.784579e-07   0.7974   0.0389      265
features.14                      547    -0.545196 2.098084e-06 3.496506e-06   0.9328   0.3592      265
features.16                      213    -0.544786 9.207406e-07 7.905174e-08   0.7797   0.0032      329
features.6                       132    -0.539341 1.676742e-07 3.094251e-06   0.7714   0.0021       73
features.11                       87    -0.539032 5.293135e-07 2.634930e-07   0.7718   0.0042      169
features.4                        84    -0.532148 1.186153e-06 6.975774e-06   0.7697   0.0221       65
features.12                      181    -0.528218 3.867302e-07 6.479597e-08   0.7551   0.0011      201
features.11                      274    -0.525977 5.163090e-07 2.171174e-07   0.7529   0.0034      169
features.11                      279    -0.524616 5.264889e-07 2.703026e-06   0.7677   0.0426      169
features.17                      182    -0.517106 1.143798e-06 4.057476e-07   0.8327   0.2192      489
features.11                       97    -0.512605 5.060072e-07 8.214938e-07   0.7378   0.0129      169
features.16                      216    -0.505712 8.560548e-07 1.385242e-07   0.7249   0.0057      329
features.4                        11    -0.505516 1.133995e-06 1.007598e-05   0.7358   0.0319       65
features.10                      255    -0.504242 4.142248e-07 1.347132e-06   0.7602   0.0930      137
features.8                        92    -0.502516 4.873229e-07 1.549733e-07   0.7194   0.0036      137
features.9                       232    -0.500655 4.701982e-07 1.114946e-07   0.7167   0.0034      137
features.7                       111    -0.499376 6.591696e-06 1.520242e-05   1.0000   0.6687      105
features.9                       221    -0.499353 4.687691e-07 8.745277e-08   0.7145   0.0027      137
features.14                      242    -0.498681 1.654459e-06 5.257478e-07   0.7355   0.0540      265
features.17                      635    -0.497484 9.918663e-07 4.910884e-08   0.7221   0.0265      489
features.16                       58    -0.496234 8.454662e-07 3.982935e-07   0.7159   0.0164      329
features.11                      334    -0.492063 4.823966e-07 6.882309e-08   0.7034   0.0011      169
features.11                      140    -0.491630 4.827881e-07 2.450164e-07   0.7040   0.0039      169
features.4                        65    -0.489155 1.094692e-06 8.504257e-06   0.7103   0.0269       65
features.11                       72    -0.487351 5.920788e-07 2.474799e-05   0.8633   0.3900      169
features.4                        64    -0.484636 1.083260e-06 7.795461e-06   0.7029   0.0247       65
features.9                       146    -0.483474 4.587772e-07 6.508217e-07   0.6993   0.0201      137
features.17                      460    -0.482143 9.568868e-07 3.377921e-08   0.6966   0.0182      489
features.15                      499    -0.481483 1.198170e-06 6.856507e-08   0.6889   0.0025      329
features.16                      383    -0.476948 8.063460e-07 8.163087e-08   0.6828   0.0034      329
features.13                      194    -0.475917 3.511287e-07 1.105034e-07   0.6809   0.0023      201
features.9                        66    -0.472871 4.446476e-07 1.678737e-07   0.6778   0.0052      137
features.4                        12    -0.470932 1.054549e-06 8.492994e-06   0.6843   0.0269       65
features.14                      548    -0.469316 1.530193e-06 2.237035e-07   0.6803   0.0230      265
features.15                      438    -0.465982 1.159133e-06 4.961031e-08   0.6665   0.0018      329
features.6                       160    -0.465264 1.446679e-07 3.042433e-06   0.6655   0.0020       73
features.10                      272    -0.460559 4.038602e-07 2.812747e-06   0.7412   0.1943      137
features.16                      234    -0.457724 7.735258e-07 6.300498e-08   0.6550   0.0026      329
features.14                      562    -0.457635 1.530953e-06 6.104441e-07   0.6806   0.0627      265
features.16                      791    -0.456096 7.701732e-07 3.388426e-08   0.6522   0.0014      329
features.14                       86    -0.454972 1.597805e-06 1.371994e-06   0.7104   0.1409      265
features.4                        67    -0.453895 1.019570e-06 9.704432e-06   0.6616   0.0307       65
features.11                       66    -0.451559 4.761362e-07 7.285321e-06   0.6943   0.1148      169
features.17                      493    -0.448801 9.181965e-07 1.178547e-07   0.6684   0.0637      489
features.14                      499    -0.448721 1.471362e-06 2.978756e-07   0.6541   0.0306      265
features.2                        39    -0.446069 5.447546e-07 2.283131e-05   0.6390   0.0040       49
features.4                       129    -0.445378 9.857158e-07 2.473909e-06   0.6396   0.0078       65
features.8                       212    -0.445362 4.316071e-07 9.423515e-08   0.6372   0.0022      137
features.14                      282    -0.444828 1.436860e-06 7.579436e-08   0.6388   0.0078      265
features.16                       51    -0.444482 7.505703e-07 3.341969e-08   0.6356   0.0014      329
features.15                      618    -0.443893 1.104334e-06 5.261674e-08   0.6350   0.0019      329
features.14                      245    -0.439680 1.480158e-06 6.801100e-07   0.6581   0.0699      265
features.15                      297    -0.437394 1.088972e-06 8.106063e-08   0.6261   0.0030      329
features.16                      572    -0.434411 7.354170e-07 1.218044e-07   0.6227   0.0050      329
features.11                       78    -0.431427 4.485967e-07 5.597623e-06   0.6541   0.0882      169
features.16                      510    -0.429443 7.299732e-07 2.630752e-07   0.6181   0.0108      329
features.9                       239    -0.428527 4.080654e-07 7.413622e-07   0.6220   0.0229      137
features.16                       48    -0.427927 7.242961e-07 1.130380e-07   0.6133   0.0046      329
