================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 9
  alpha      : 0.3000
  norm       : max
  timestamp  : 2026-09-10 14:59:48
  remove_target  : 36302
  accum_removed  : 36561
  selected_channels : 169
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1828527
  model_sparsity : 16.6%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          2       24    75.0%
  features.2                 96          1       43    44.8%
  features.3                144          5       26    18.1%
  features.4                144          7       79    54.9%
  features.5                192          8       24    12.5%
  features.6                192          3       45    23.4%
  features.7                192          7       35    18.2%
  features.8                384          0       63    16.4%
  features.9                384         13      111    28.9%
  features.10               384          8       78    20.3%
  features.11               384          8      150    39.1%
  features.12               576          7      121    21.0%
  features.13               576         23      127    22.0%
  features.14               576         37      245    42.5%
  features.15               960         22      218    22.7%
  features.16               960         12      149    15.5%
  features.17               960          6      103    10.7%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 10          1      10.0%
  features.2                 54          1       1.9%
  features.3                123          1       0.8%
  features.4                 72          1       1.4%
  features.5                176          1       0.6%
  features.6                150          1       0.7%
  features.7                164          1       0.6%
  features.8                321          2       0.6%
  features.9                286          2       0.7%
  features.10               314          2       0.6%
  features.11               242          2       0.8%
  features.12               462          3       0.6%
  features.13               472          3       0.6%
  features.14               368          2       0.5%
  features.15               764          4       0.5%
  features.16               823          5       0.6%
  features.17               863          5       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 2채널 제거
  features.10: 8채널 제거
  features.11: 8채널 제거
  features.12: 7채널 제거
  features.13: 23채널 제거
  features.14: 37채널 제거
  features.15: 22채널 제거
  features.16: 12채널 제거
  features.17: 6채널 제거
  features.2: 1채널 제거
  features.3: 5채널 제거
  features.4: 7채널 제거
  features.5: 8채널 제거
  features.6: 3채널 제거
  features.7: 7채널 제거
  features.9: 13채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.3                        58    -0.699684 2.360744e-07 5.816132e-06   1.0000   0.0010       57
features.15                      903    -0.699184 1.178929e-06 1.575855e-07   1.0000   0.0027      329
features.9                       291    -0.697264 5.413161e-07 3.336575e-07   1.0000   0.0091      137
features.10                      226    -0.697220 7.085265e-07 1.314126e-07   1.0000   0.0093      137
features.12                      162    -0.696972 6.475452e-07 3.236389e-07   1.0000   0.0101      201
features.13                      291    -0.696584 3.722820e-07 4.202601e-07   1.0000   0.0114      201
features.2                        46    -0.696036 1.946660e-06 1.903549e-04   1.0000   0.0132       49
features.14                      460    -0.693006 2.178449e-06 4.964002e-07   1.0000   0.0233      265
features.6                         2    -0.691769 2.988409e-07 1.646993e-05   1.0000   0.0274       73
features.4                        14    -0.689941 2.552399e-06 6.678060e-06   1.0000   0.0335       65
features.13                      532    -0.688407 3.666323e-07 1.190873e-07   0.9848   0.0032      201
features.14                       66    -0.687972 2.157652e-06 3.793329e-07   0.9905   0.0178      265
features.15                      434    -0.660060 1.112060e-06 4.544637e-08   0.9433   0.0008      329
features.11                      238    -0.657522 1.417026e-06 1.461503e-05   1.0000   0.1416      169
features.15                       64    -0.650280 1.097625e-06 2.792029e-07   0.9310   0.0048      329
features.5                       134    -0.644592 4.616214e-07 2.537034e-05   1.0000   0.1847       73
features.7                        26    -0.640706 4.593983e-06 5.912552e-06   1.0000   0.1976      105
features.14                       90    -0.634153 1.979502e-06 1.361976e-07   0.9087   0.0064      265
features.13                      335    -0.631337 3.370228e-07 2.909341e-07   0.9053   0.0079      201
features.5                       170    -0.631304 4.283717e-07 8.367855e-06   0.9280   0.0609       73
features.1                         6    -0.630955 2.508224e-07 2.601998e-01   1.0000   0.2301       25
features.1                        13    -0.615829 2.208094e-07 1.535032e-03   0.8803   0.0014       25
features.13                      417    -0.601480 3.224561e-07 5.946764e-07   0.8662   0.0161      201
features.14                      112    -0.589322 1.895753e-06 1.408067e-06   0.8702   0.0661      265
features.14                      154    -0.581431 1.887029e-06 1.769214e-06   0.8662   0.0831      265
features.15                       51    -0.572483 9.655113e-07 1.541666e-07   0.8190   0.0027      329
features.6                        25    -0.571914 2.493090e-07 2.413885e-05   0.8343   0.0402       73
features.14                      213    -0.567167 1.940241e-06 3.995178e-06   0.8907   0.1876      265
features.3                        74    -0.563369 1.902006e-07 1.122656e-05   0.8057   0.0020       57
features.15                      606    -0.560679 9.455563e-07 1.457065e-07   0.8020   0.0025      329
features.14                      342    -0.559134 1.756136e-06 3.665330e-07   0.8061   0.0172      265
features.9                       325    -0.558810 4.335268e-07 2.198224e-07   0.8009   0.0060      137
features.4                        40    -0.555468 2.052645e-06 4.961132e-06   0.8042   0.0249       65
features.13                      131    -0.553442 2.953634e-07 2.371041e-07   0.7934   0.0064      201
features.10                        3    -0.551347 5.591380e-07 5.016889e-08   0.7892   0.0035      137
features.10                      172    -0.537827 5.523987e-07 3.746785e-07   0.7796   0.0264      137
features.15                      290    -0.533379 8.994569e-07 1.316680e-07   0.7629   0.0023      329
features.7                        43    -0.532406 3.777711e-06 4.309331e-06   0.8223   0.1441      105
features.15                      318    -0.515044 8.683171e-07 1.019059e-07   0.7365   0.0018      329
features.14                      181    -0.511397 1.609262e-06 4.049774e-07   0.7387   0.0190      265
features.9                       231    -0.505783 4.017497e-07 1.675755e-06   0.7422   0.0458      137
features.5                        58    -0.492912 3.535469e-07 1.978252e-05   0.7659   0.1440       73
features.4                        50    -0.487656 1.997303e-06 3.990433e-05   0.7825   0.2004       65
features.3                       133    -0.485545 1.694592e-07 3.143265e-04   0.7178   0.0564       57
features.15                      733    -0.481251 8.117862e-07 1.458102e-07   0.6886   0.0025      329
features.13                      284    -0.478564 2.552733e-07 1.753066e-07   0.6857   0.0047      201
features.15                      382    -0.477279 8.109022e-07 8.122975e-07   0.6878   0.0140      329
features.13                      334    -0.474409 2.529780e-07 1.554111e-07   0.6795   0.0042      201
features.13                      561    -0.472681 2.522955e-07 2.102100e-07   0.6777   0.0057      201
features.16                      460    -0.471803 1.088201e-06 1.810995e-07   0.6762   0.0051      329
features.12                      242    -0.471132 4.441105e-07 9.571321e-07   0.6858   0.0298      201
features.11                       51    -0.468891 9.865055e-07 6.342788e-06   0.6962   0.0614      169
features.11                       69    -0.468134 1.010428e-06 1.066922e-05   0.7131   0.1034      169
features.10                      362    -0.468120 4.772538e-07 1.602905e-07   0.6736   0.0113      137
features.14                       80    -0.466816 1.473425e-06 4.711891e-07   0.6764   0.0221      265
features.10                       72    -0.461519 4.826762e-07 7.257497e-07   0.6812   0.0512      137
features.14                      290    -0.459578 1.551856e-06 2.773675e-06   0.7124   0.1303      265
features.16                       66    -0.457274 1.085734e-06 1.765265e-06   0.6747   0.0500      329
features.10                      250    -0.455273 4.687930e-07 3.725108e-07   0.6616   0.0263      137
features.14                       21    -0.452315 1.425684e-06 4.116055e-07   0.6544   0.0193      265
features.13                      222    -0.451440 2.412412e-07 2.663015e-07   0.6480   0.0072      201
features.15                      537    -0.446762 7.532815e-07 9.774265e-08   0.6390   0.0017      329
features.9                       259    -0.446524 3.519082e-07 1.042185e-06   0.6501   0.0285      137
features.14                      251    -0.443706 1.409057e-06 6.434518e-07   0.6468   0.0302      265
features.13                      424    -0.443632 2.389065e-07 6.870520e-07   0.6417   0.0186      201
features.11                      268    -0.439375 1.144406e-06 4.333639e-05   0.8076   0.4198      169
features.15                      847    -0.438307 7.390694e-07 1.009889e-07   0.6269   0.0017      329
features.9                        40    -0.438185 3.474639e-07 1.358402e-06   0.6419   0.0371      137
features.15                      784    -0.435563 7.540985e-07 2.356565e-06   0.6396   0.0406      329
features.15                       40    -0.434873 7.335961e-07 1.365744e-07   0.6223   0.0024      329
features.13                      283    -0.432295 2.304356e-07 1.218932e-07   0.6190   0.0033      201
features.7                       178    -0.429150 3.089964e-06 4.155933e-06   0.6726   0.1389      105
