================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 11
  alpha      : 0.3000
  norm       : max
  timestamp  : 2026-09-10 15:06:51
  remove_target  : 34501
  accum_removed  : 34685
  selected_channels : 189
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1758383
  model_sparsity : 19.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          3       50    52.1%
  features.3                144         15       49    34.0%
  features.4                144          6       91    63.2%
  features.5                192         10       49    25.5%
  features.6                192          2       50    26.0%
  features.7                192         18       69    35.9%
  features.8                384          9       76    19.8%
  features.9                384         21      147    38.3%
  features.10               384         16      104    27.1%
  features.11               384         17      205    53.4%
  features.12               576          9      137    23.8%
  features.13               576          9      158    27.4%
  features.14               576         18      276    47.9%
  features.15               960         20      243    25.3%
  features.16               960          9      159    16.6%
  features.17               960          7      130    13.5%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 49          1       2.0%
  features.3                110          1       0.9%
  features.4                 59          1       1.7%
  features.5                153          1       0.7%
  features.6                144          1       0.7%
  features.7                141          1       0.7%
  features.8                317          2       0.6%
  features.9                258          2       0.8%
  features.10               296          2       0.7%
  features.11               196          1       0.5%
  features.12               448          3       0.7%
  features.13               427          3       0.7%
  features.14               318          2       0.6%
  features.15               737          4       0.5%
  features.16               810          5       0.6%
  features.17               837          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 16채널 제거
  features.11: 17채널 제거
  features.12: 9채널 제거
  features.13: 9채널 제거
  features.14: 18채널 제거
  features.15: 20채널 제거
  features.16: 9채널 제거
  features.17: 7채널 제거
  features.2: 3채널 제거
  features.3: 15채널 제거
  features.4: 6채널 제거
  features.5: 10채널 제거
  features.6: 2채널 제거
  features.7: 18채널 제거
  features.8: 9채널 제거
  features.9: 21채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      315    -0.699349 1.177270e-06 1.036713e-07   1.0000   0.0022      329
features.6                       143    -0.699318 2.407468e-07 1.848253e-06   1.0000   0.0023       73
features.11                      106    -0.699296 9.003321e-07 9.247044e-07   1.0000   0.0023      169
features.3                        33    -0.699282 8.148845e-08 2.217578e-05   1.0000   0.0024       57
features.5                       143    -0.698905 2.416285e-07 1.101004e-06   1.0000   0.0036       73
features.12                      141    -0.698434 4.923848e-07 1.606134e-07   1.0000   0.0052      201
features.13                      171    -0.698168 3.578474e-07 3.183224e-07   1.0000   0.0061      201
features.7                        69    -0.692732 2.721665e-06 1.676226e-06   1.0000   0.0242      105
features.2                        19    -0.691689 5.728810e-07 2.584196e-03   1.0000   0.0277       49
features.10                      152    -0.681958 3.686999e-07 1.030908e-07   0.9772   0.0069      137
features.14                       22    -0.681390 3.048254e-06 1.615881e-06   1.0000   0.0620      265
features.3                        82    -0.680412 7.924869e-08 1.062477e-05   0.9725   0.0011       57
features.10                      341    -0.669085 3.669061e-07 5.777963e-07   0.9724   0.0387      137
features.17                       92    -0.668252 1.826594e-06 2.284830e-07   0.9781   0.0546      489
features.15                      155    -0.665865 1.127997e-06 7.707415e-07   0.9581   0.0161      329
features.12                      568    -0.656810 4.628619e-07 1.249332e-07   0.9400   0.0041      201
features.13                      161    -0.656218 3.365730e-07 3.763984e-07   0.9405   0.0072      201
features.10                      206    -0.655682 3.773065e-07 2.204020e-06   1.0000   0.1477      137
features.4                        10    -0.650047 1.411656e-06 1.778184e-05   0.9632   0.0806       65
features.11                      363    -0.648753 8.366400e-07 2.269260e-06   0.9293   0.0058      169
features.9                       128    -0.641577 2.519653e-07 9.956776e-07   0.9320   0.0362      137
features.15                      940    -0.639847 1.077474e-06 1.297575e-07   0.9152   0.0027      329
features.9                       336    -0.625000 2.671563e-07 6.126998e-06   0.9882   0.2225      137
features.7                       132    -0.623296 2.515603e-06 5.467840e-06   0.9243   0.0790      105
features.9                        80    -0.621337 2.703370e-07 7.219005e-06   1.0000   0.2622      137
features.7                        40    -0.621113 2.561757e-06 8.709213e-06   0.9412   0.1259      105
features.9                       140    -0.619196 2.393829e-07 5.963915e-08   0.8855   0.0022      137
features.3                       104    -0.617819 7.197682e-08 1.461223e-05   0.8833   0.0016       57
features.9                       125    -0.615937 2.386013e-07 1.730317e-07   0.8826   0.0063      137
features.3                        57    -0.615227 7.296796e-08 3.618889e-04   0.8954   0.0386       57
features.8                       183    -0.609152 4.035915e-07 4.297052e-07   0.8719   0.0040      137
features.10                      221    -0.607945 3.684075e-07 3.757050e-06   0.9764   0.2518      137
features.4                       134    -0.604589 1.465589e-06 7.012748e-05   1.0000   0.3180       65
features.15                      650    -0.603729 1.067338e-06 4.924964e-06   0.9066   0.1030      329
features.11                      255    -0.601452 7.972278e-07 2.416986e-05   0.8855   0.0613      169
features.7                       145    -0.579400 2.371087e-06 7.019288e-06   0.8712   0.1014      105
features.11                      328    -0.573621 7.403553e-07 2.626855e-06   0.8223   0.0067      169
features.11                       91    -0.571580 7.385512e-07 3.466335e-06   0.8203   0.0088      169
features.3                        87    -0.571514 7.641660e-08 2.655222e-03   0.9377   0.2830       57
features.8                       240    -0.566060 3.755475e-07 6.711074e-07   0.8114   0.0063      137
features.10                      145    -0.565418 3.063338e-07 1.446063e-07   0.8119   0.0097      137
features.7                       184    -0.563699 2.249732e-06 3.441690e-06   0.8266   0.0497      105
features.9                       262    -0.557508 2.189688e-07 8.699371e-07   0.8100   0.0316      137
features.7                        99    -0.552006 2.280533e-06 7.965889e-06   0.8379   0.1151      105
features.15                      642    -0.551953 9.290099e-07 6.886471e-08   0.7891   0.0014      329
features.14                       54    -0.550528 2.416745e-06 3.865847e-07   0.7928   0.0148      265
features.9                         8    -0.550223 2.141780e-07 4.000668e-07   0.7923   0.0145      137
features.12                      269    -0.549999 3.876233e-07 1.093982e-07   0.7872   0.0036      201
features.7                       188    -0.549751 2.178103e-06 2.409574e-06   0.8003   0.0348      105
features.10                       10    -0.546920 2.965635e-07 1.631158e-07   0.7860   0.0109      137
features.11                       14    -0.537464 6.929131e-07 1.667996e-06   0.7696   0.0042      169
features.9                         0    -0.536965 2.122361e-07 1.155315e-06   0.7851   0.0420      137
features.7                        21    -0.532813 2.095722e-06 1.429352e-06   0.7700   0.0207      105
features.3                        20    -0.530781 6.197826e-08 5.056154e-05   0.7606   0.0054       57
features.3                        15    -0.526372 6.132144e-08 1.200096e-05   0.7525   0.0013       57
features.9                        28    -0.519301 2.080872e-07 1.790541e-06   0.7697   0.0650      137
features.13                      441    -0.511776 2.637382e-07 7.185221e-07   0.7370   0.0138      201
features.9                       243    -0.507831 2.107598e-07 3.478301e-06   0.7796   0.1263      137
features.10                       83    -0.501541 2.817574e-07 1.053846e-06   0.7468   0.0706      137
features.8                        35    -0.501351 3.322402e-07 3.920470e-07   0.7178   0.0037      137
features.9                       132    -0.498305 1.945483e-07 5.000962e-07   0.7196   0.0182      137
features.12                      486    -0.495751 3.504391e-07 2.515599e-07   0.7117   0.0082      201
features.9                       245    -0.491766 1.925185e-07 6.178456e-07   0.7121   0.0224      137
features.7                        88    -0.485759 1.972908e-06 4.996816e-06   0.7249   0.0722      105
features.16                       75    -0.483734 1.236396e-06 3.893732e-08   0.6916   0.0012      329
features.14                      563    -0.482627 2.168276e-06 1.328113e-06   0.7113   0.0510      265
features.14                      159    -0.481040 2.127070e-06 6.442635e-07   0.6978   0.0247      265
features.5                       110    -0.480130 1.664969e-07 2.228749e-06   0.6891   0.0074       73
features.15                      223    -0.475198 8.003126e-07 1.058153e-07   0.6798   0.0022      329
features.9                       339    -0.474855 1.870127e-07 8.614551e-07   0.6918   0.0313      137
features.9                        98    -0.473989 1.852739e-07 5.277641e-07   0.6853   0.0192      137
features.10                       35    -0.472139 2.569106e-07 2.235121e-07   0.6809   0.0150      137
features.12                      562    -0.470381 3.327292e-07 2.713120e-07   0.6757   0.0088      201
features.5                       114    -0.470238 1.677221e-07 1.577909e-05   0.6941   0.0522       73
features.8                        46    -0.469085 3.193132e-07 4.904346e-06   0.6899   0.0461      137
