================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 16
  alpha      : 0.3000
  norm       : max
  timestamp  : 2026-09-10 15:24:35
  remove_target  : 30384
  accum_removed  : 30555
  selected_channels : 179
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1597829
  model_sparsity : 27.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          8       76    79.2%
  features.3                144         12       75    52.1%
  features.4                144          2      105    72.9%
  features.5                192         11       94    49.0%
  features.6                192          2       87    45.3%
  features.7                192         14      122    63.5%
  features.8                384          3       87    22.7%
  features.9                384         35      238    62.0%
  features.10               384          8      155    40.4%
  features.11               384         18      290    75.5%
  features.12               576         12      191    33.2%
  features.13               576         19      238    41.3%
  features.14               576         10      386    67.0%
  features.15               960          2      279    29.1%
  features.16               960         20      223    23.2%
  features.17               960          3      173    18.0%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 28          1       3.6%
  features.3                 81          1       1.2%
  features.4                 41          1       2.4%
  features.5                109          1       0.9%
  features.6                107          1       0.9%
  features.7                 84          1       1.2%
  features.8                300          2       0.7%
  features.9                181          1       0.6%
  features.10               237          2       0.8%
  features.11               112          1       0.9%
  features.12               397          2       0.5%
  features.13               357          2       0.6%
  features.14               200          1       0.5%
  features.15               683          4       0.6%
  features.16               757          4       0.5%
  features.17               790          4       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 8채널 제거
  features.11: 18채널 제거
  features.12: 12채널 제거
  features.13: 19채널 제거
  features.14: 10채널 제거
  features.15: 2채널 제거
  features.16: 20채널 제거
  features.17: 3채널 제거
  features.2: 8채널 제거
  features.3: 12채널 제거
  features.4: 2채널 제거
  features.5: 11채널 제거
  features.6: 2채널 제거
  features.7: 14채널 제거
  features.8: 3채널 제거
  features.9: 35채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.2                        10    -0.699986 3.591568e-07 2.654139e-05   1.0000   0.0000       49
features.16                      304    -0.699167 1.874944e-06 8.746780e-07   1.0000   0.0028      329
features.15                      406    -0.697234 2.374079e-06 8.281854e-07   1.0000   0.0092      329
features.9                       343    -0.696864 2.341923e-07 1.573090e-06   1.0000   0.0104      137
features.3                       119    -0.694425 8.426414e-08 2.076996e-04   1.0000   0.0186       57
features.5                       156    -0.689823 1.212822e-07 1.832171e-05   1.0000   0.0339       73
features.11                       92    -0.688253 7.299518e-07 1.767980e-05   1.0000   0.0392      169
features.9                       279    -0.688020 2.311995e-07 1.522074e-06   0.9872   0.0101      137
features.10                      266    -0.687760 3.732091e-07 2.173091e-06   1.0000   0.0408      137
features.4                        83    -0.683443 5.002726e-06 1.012258e-04   1.0000   0.0552       65
features.13                      444    -0.679933 2.299060e-07 4.684289e-06   1.0000   0.0669      201
features.14                       10    -0.669485 4.038229e-06 2.816430e-06   1.0000   0.1017      265
features.12                      409    -0.661342 3.968972e-07 8.418512e-06   1.0000   0.1289      201
features.7                       157    -0.654014 4.767252e-06 3.816433e-05   1.0000   0.1533      105
features.16                      482    -0.643331 1.724041e-06 3.464865e-07   0.9195   0.0011      329
features.11                      282    -0.641197 6.997554e-07 4.492206e-05   0.9586   0.0995      169
features.9                       290    -0.624164 2.109535e-07 3.200304e-06   0.9008   0.0212      137
features.7                        24    -0.613152 4.228796e-06 6.459891e-06   0.8871   0.0259      105
features.7                        91    -0.586447 4.180853e-06 2.277966e-05   0.8770   0.0915      105
features.9                       107    -0.573178 1.920200e-07 3.850141e-07   0.8199   0.0026      137
features.3                        67    -0.568160 6.858029e-08 5.762740e-05   0.8139   0.0051       57
features.9                       112    -0.555471 1.876681e-07 2.744674e-06   0.8013   0.0182      137
features.9                        59    -0.551250 1.849622e-07 8.031645e-07   0.7898   0.0053      137
features.2                        78    -0.549880 2.995471e-07 7.162786e-02   0.8340   0.1131       49
features.5                        19    -0.544060 9.927562e-08 5.209423e-05   0.8185   0.0964       73
features.13                       65    -0.533714 1.766871e-07 9.914535e-07   0.7685   0.0142      201
features.9                       302    -0.531184 1.783986e-07 1.027444e-06   0.7618   0.0068      137
