================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 17
  alpha      : 0.3000
  norm       : max
  timestamp  : 2026-09-10 15:28:09
  remove_target  : 29620
  accum_removed  : 29774
  selected_channels : 150
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1568055
  model_sparsity : 28.5%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          4       80    83.3%
  features.3                144          2       77    53.5%
  features.4                144          3      108    75.0%
  features.5                192         14      108    56.2%
  features.6                192          3       90    46.9%
  features.7                192         12      134    69.8%
  features.8                384          2       89    23.2%
  features.9                384          6      244    63.5%
  features.10               384         19      174    45.3%
  features.11               384         12      302    78.6%
  features.12               576          1      192    33.3%
  features.13               576         15      253    43.9%
  features.14               576         17      403    70.0%
  features.15               960         12      291    30.3%
  features.16               960         27      250    26.0%
  features.17               960          1      174    18.1%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 20          1       5.0%
  features.3                 69          1       1.4%
  features.4                 39          1       2.6%
  features.5                 98          1       1.0%
  features.6                105          1       1.0%
  features.7                 70          1       1.4%
  features.8                297          2       0.7%
  features.9                146          1       0.7%
  features.10               229          2       0.9%
  features.11                94          1       1.1%
  features.12               385          2       0.5%
  features.13               338          2       0.6%
  features.14               190          1       0.5%
  features.15               681          4       0.6%
  features.16               737          4       0.5%
  features.17               787          4       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 19채널 제거
  features.11: 12채널 제거
  features.12: 1채널 제거
  features.13: 15채널 제거
  features.14: 17채널 제거
  features.15: 12채널 제거
  features.16: 27채널 제거
  features.17: 1채널 제거
  features.2: 4채널 제거
  features.3: 2채널 제거
  features.4: 3채널 제거
  features.5: 14채널 제거
  features.6: 3채널 제거
  features.7: 12채널 제거
  features.8: 2채널 제거
  features.9: 6채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.16                      514    -0.699080 1.185391e-06 6.181371e-07   1.0000   0.0031      329
features.13                      258    -0.698928 2.597791e-07 2.393550e-07   1.0000   0.0036      201
features.15                      404    -0.698446 1.205703e-06 4.583532e-07   1.0000   0.0052      329
features.9                       269    -0.698111 4.064784e-07 1.964706e-06   1.0000   0.0063      137
features.10                       76    -0.696679 2.872941e-07 7.825037e-07   1.0000   0.0111      137
features.11                      294    -0.696203 1.057221e-06 1.447043e-05   1.0000   0.0127      169
features.12                      119    -0.693097 5.786945e-07 7.433401e-07   1.0000   0.0230      201
features.13                      154    -0.689187 2.563258e-07 3.370864e-07   0.9867   0.0050      201
features.14                      376    -0.683612 3.425495e-06 2.672813e-06   1.0000   0.0546      265
features.5                       187    -0.672576 9.053346e-08 5.577262e-05   1.0000   0.0914       73
features.2                        69    -0.651564 2.883157e-07 2.433341e-01   1.0000   0.1614       49
features.16                      629    -0.641379 1.086640e-06 2.054944e-07   0.9167   0.0010      329
features.4                       105    -0.641277 1.835741e-06 1.483121e-04   0.9498   0.0786       65
features.16                      376    -0.634933 1.076897e-06 6.712286e-07   0.9085   0.0033      329
features.16                      501    -0.625434 1.059678e-06 2.214322e-07   0.8939   0.0011      329
features.16                      616    -0.624034 1.057148e-06 1.580122e-07   0.8918   0.0008      329
features.15                       83    -0.608690 1.049591e-06 1.991798e-07   0.8705   0.0023      329
features.5                         7    -0.606414 7.889167e-08 7.252408e-06   0.8714   0.0119       73
features.15                      228    -0.599701 1.052356e-06 3.324041e-06   0.8728   0.0376      329
features.14                       64    -0.590721 3.182372e-06 9.719875e-06   0.9290   0.1987      265
features.16                      522    -0.580860 9.843192e-07 2.704082e-07   0.8304   0.0013      329
features.15                      448    -0.579192 9.993926e-07 3.035700e-07   0.8289   0.0034      329
features.10                      129    -0.578501 2.400225e-07 1.489895e-06   0.8355   0.0211      137
features.2                        74    -0.572975 2.372306e-07 1.503934e-02   0.8228   0.0100       49
features.14                      575    -0.571737 2.921480e-06 4.120895e-06   0.8529   0.0842      265
features.15                      571    -0.539159 9.496860e-07 3.599784e-06   0.7877   0.0407      329
features.11                       80    -0.537262 8.219949e-07 2.664431e-05   0.7775   0.0233      169
features.14                      267    -0.533616 3.056482e-06 1.483766e-05   0.8923   0.3033      265
features.10                       11    -0.529982 2.206340e-07 1.791409e-06   0.7680   0.0253      137
features.7                         4    -0.525078 4.124648e-06 1.816913e-04   1.0000   0.5831      105
features.10                      114    -0.508629 2.091936e-07 2.535824e-07   0.7281   0.0036      137
features.14                      229    -0.506911 2.519089e-06 1.282717e-06   0.7354   0.0262      265
features.13                      127    -0.498946 2.437443e-07 3.534761e-05   0.9383   0.5261      201
features.10                      251    -0.496734 2.106108e-07 3.873048e-06   0.7331   0.0547      137
features.14                      440    -0.486615 2.503578e-06 4.075983e-06   0.7309   0.0833      265
features.14                      494    -0.482491 2.922025e-06 1.869463e-05   0.8530   0.3821      265
features.10                      177    -0.479475 2.107626e-07 8.030313e-06   0.7336   0.1135      137
features.4                        28    -0.471412 1.741226e-06 1.001423e-03   0.9009   0.5307       65
features.10                      138    -0.470438 1.944431e-07 7.843340e-07   0.6768   0.0111      137
features.11                      216    -0.464780 7.261725e-07 6.108519e-05   0.6869   0.0534      169
features.16                      320    -0.464514 7.881846e-07 6.230520e-07   0.6649   0.0031      329
features.13                      163    -0.462664 1.729352e-07 7.445975e-07   0.6657   0.0111      201
features.14                      540    -0.461829 2.348760e-06 2.958552e-06   0.6857   0.0605      265
features.16                      218    -0.461358 7.816568e-07 1.529176e-07   0.6594   0.0008      329
features.11                       20    -0.458768 6.989160e-07 1.522018e-05   0.6611   0.0133      169
features.11                       93    -0.458041 6.980906e-07 1.590528e-05   0.6603   0.0139      169
features.9                        95    -0.457524 2.676865e-07 3.603257e-06   0.6585   0.0115      137
features.13                      347    -0.455745 1.696371e-07 3.037977e-07   0.6530   0.0045      201
features.10                      115    -0.455579 1.899703e-07 1.718448e-06   0.6612   0.0243      137
features.11                      185    -0.454065 8.574575e-07 4.332148e-04   0.8110   0.3789      169
features.7                        55    -0.453046 2.681016e-06 2.028657e-06   0.6500   0.0065      105
features.10                      197    -0.449814 1.852674e-07 3.756720e-07   0.6449   0.0053      137
features.16                      681    -0.449314 7.611563e-07 1.114052e-07   0.6421   0.0006      329
features.14                      431    -0.446568 2.306588e-06 4.042053e-06   0.6734   0.0826      265
features.16                      417    -0.445586 7.560163e-07 5.773888e-07   0.6378   0.0029      329
features.4                        29    -0.444998 1.932773e-06 1.603904e-03   1.0000   0.8500       65
features.16                      507    -0.440439 7.460514e-07 8.105970e-08   0.6294   0.0004      329
features.13                      421    -0.439830 1.641619e-07 5.640327e-07   0.6319   0.0084      201
features.10                      340    -0.439654 1.806632e-07 1.261595e-07   0.6288   0.0018      137
features.9                       213    -0.439235 2.560046e-07 1.698932e-06   0.6298   0.0054      137
features.15                       10    -0.434487 7.510380e-07 4.558825e-07   0.6229   0.0052      329
features.13                      271    -0.434204 1.650821e-07 2.379149e-06   0.6355   0.0354      201
features.5                        48    -0.433773 5.760987e-08 2.371752e-05   0.6363   0.0389       73
features.5                        96    -0.433138 5.630353e-08 4.462367e-06   0.6219   0.0073       73
features.5                       141    -0.432800 5.618907e-08 3.348432e-06   0.6206   0.0055       73
features.14                      506    -0.430603 2.233128e-06 4.197495e-06   0.6519   0.0858      265
features.7                        33    -0.430335 2.698098e-06 2.862952e-05   0.6541   0.0919      105
features.10                       94    -0.428541 1.764887e-07 3.483258e-07   0.6143   0.0049      137
features.14                      238    -0.427476 2.268957e-06 5.901675e-06   0.6624   0.1206      265
features.14                      522    -0.423386 2.143092e-06 2.373880e-06   0.6256   0.0485      265
features.9                       368    -0.421827 2.462880e-07 2.401457e-06   0.6059   0.0077      137
features.2                        21    -0.421134 1.781031e-07 5.666988e-02   0.6177   0.0376       49
features.13                      198    -0.419938 1.567521e-07 5.472692e-07   0.6034   0.0081      201
features.15                       17    -0.418127 7.216416e-07 2.475688e-07   0.5985   0.0028      329
features.7                       133    -0.417883 2.502987e-06 7.170094e-06   0.6068   0.0230      105
features.16                      244    -0.413700 7.016114e-07 4.147622e-07   0.5919   0.0021      329
features.10                      224    -0.412969 1.723718e-07 1.654965e-06   0.6000   0.0234      137
features.7                        93    -0.410600 2.453580e-06 6.024706e-06   0.5949   0.0193      105
features.5                       103    -0.409135 5.360177e-08 1.079407e-05   0.5921   0.0177       73
features.7                        66    -0.407688 2.452988e-06 8.945082e-06   0.5947   0.0287      105
features.5                       179    -0.407531 5.284069e-08 2.088016e-06   0.5837   0.0034       73
features.5                        97    -0.406965 5.485152e-08 3.486692e-05   0.6059   0.0571       73
features.16                      258    -0.406287 6.905033e-07 9.886857e-07   0.5825   0.0049      329
features.11                       68    -0.405976 6.170947e-07 9.946724e-06   0.5837   0.0087      169
features.16                      778    -0.401764 6.805238e-07 6.756973e-08   0.5741   0.0003      329
features.16                      318    -0.401140 6.794990e-07 7.989919e-08   0.5732   0.0004      329
features.11                      172    -0.399188 6.187478e-07 3.999101e-05   0.5853   0.0350      169
features.10                      378    -0.394140 1.626806e-07 5.268366e-07   0.5662   0.0074      137
features.11                      361    -0.390369 5.919172e-07 5.896572e-06   0.5599   0.0052      169
features.7                       175    -0.389896 2.383445e-06 1.516721e-05   0.5779   0.0487      105
features.10                      249    -0.388448 1.673421e-07 4.547664e-06   0.5825   0.0643      137
features.9                       129    -0.387546 2.334522e-07 1.508056e-05   0.5743   0.0483      137
features.16                      185    -0.387398 6.561203e-07 3.754785e-08   0.5535   0.0002      329
features.10                      329    -0.386516 1.620732e-07 1.975910e-06   0.5641   0.0279      137
features.16                      703    -0.386042 6.546817e-07 3.778348e-07   0.5523   0.0019      329
features.16                      813    -0.383778 6.510949e-07 4.762093e-07   0.5493   0.0024      329
features.5                        28    -0.381274 5.055311e-08 1.952140e-05   0.5584   0.0320       73
features.9                       199    -0.380396 2.212345e-07 6.177426e-07   0.5443   0.0020      137
features.5                        46    -0.378708 4.958282e-08 9.479396e-06   0.5477   0.0155       73
features.16                      615    -0.378562 6.429593e-07 7.525058e-07   0.5424   0.0037      329
features.16                      269    -0.376911 6.387517e-07 1.925250e-07   0.5389   0.0010      329
features.13                       78    -0.376801 1.402631e-07 2.574373e-07   0.5399   0.0038      201
features.3                        85    -0.376754 5.101346e-08 1.976283e-03   0.5551   0.0393       57
features.10                      113    -0.376272 1.579149e-07 2.002280e-06   0.5497   0.0283      137
features.5                       159    -0.375745 4.925966e-08 1.042296e-05   0.5441   0.0171       73
features.16                      768    -0.375579 6.364904e-07 1.899808e-07   0.5369   0.0009      329
features.10                       31    -0.374808 1.561401e-07 1.327857e-06   0.5435   0.0188      137
features.2                        86    -0.374304 1.544804e-07 3.804100e-03   0.5358   0.0025       49
features.11                        2    -0.372885 5.667669e-07 9.065920e-06   0.5361   0.0079      169
features.7                        10    -0.372807 2.281583e-06 1.496081e-05   0.5532   0.0480      105
features.6                        10    -0.368848 7.936885e-08 1.222437e-06   0.5271   0.0004       73
features.15                       71    -0.368522 6.503118e-07 2.664178e-06   0.5394   0.0301      329
features.14                      467    -0.368441 1.862898e-06 1.996648e-06   0.5438   0.0408      265
features.10                      105    -0.368254 1.530114e-07 1.075491e-06   0.5326   0.0152      137
features.16                      830    -0.366928 6.263878e-07 1.995399e-06   0.5284   0.0099      329
features.16                      120    -0.359950 6.097875e-07 9.587549e-08   0.5144   0.0005      329
features.15                      267    -0.359661 6.207889e-07 2.221587e-07   0.5149   0.0025      329
features.13                      569    -0.359466 1.352675e-07 1.124975e-06   0.5207   0.0167      201
features.11                       37    -0.358455 5.646117e-07 5.862141e-05   0.5341   0.0513      169
features.16                      167    -0.357120 6.076775e-07 1.161316e-06   0.5126   0.0058      329
