================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 1
  alpha      : 1.0000
  norm       : raw
  timestamp  : 2026-09-08 22:33:37
  remove_target  : 44482
  accum_removed  : 44516
  selected_channels : 116
  gamma             : 0.0000
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 2147804
  model_sparsity : 2.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          7        7    21.9%
  features.2                 96          0        0     0.0%
  features.3                144          0        0     0.0%
  features.4                144          0        0     0.0%
  features.5                192          0        0     0.0%
  features.6                192          1        1     0.5%
  features.7                192          0        0     0.0%
  features.8                384          0        0     0.0%
  features.9                384          3        3     0.8%
  features.10               384          5        5     1.3%
  features.11               384          0        0     0.0%
  features.12               576          8        8     1.4%
  features.13               576          7        7     1.2%
  features.14               576          2        2     0.3%
  features.15               960          1        1     0.1%
  features.16               960          5        5     0.5%
  features.17               960         77       77     8.0%

[ 레이어별 보호 영역 (γ=0.0000) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  0          0       0.0%
  features.2                  0          0       0.0%
  features.3                  0          0       0.0%
  features.4                  0          0       0.0%
  features.5                  0          0       0.0%
  features.6                  0          0       0.0%
  features.7                  0          0       0.0%
  features.8                  0          0       0.0%
  features.9                  0          0       0.0%
  features.10                 0          0       0.0%
  features.11                 0          0       0.0%
  features.12                 0          0       0.0%
  features.13                 0          0       0.0%
  features.14                 0          0       0.0%
  features.15                 0          0       0.0%
  features.16                 0          0       0.0%
  features.17                 0          0       0.0%

[ 블록별 제거 채널 수 ]
  features.1: 7채널 제거
  features.10: 5채널 제거
  features.12: 8채널 제거
  features.13: 7채널 제거
  features.14: 2채널 제거
  features.15: 1채널 제거
  features.16: 5채널 제거
  features.17: 77채널 제거
  features.6: 1채널 제거
  features.9: 3채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.1                         0 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000       25
features.1                         9 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000       25
features.1                        14 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000       25
features.1                        15 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000       25
features.6                         6 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000       73
features.9                        92 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000      137
features.9                       266 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000      137
features.9                       316 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000      137
features.10                        0 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000      137
features.10                      156 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000      137
features.10                      182 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000      137
features.10                      271 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000      137
features.12                       89 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000      201
features.12                       90 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000      201
features.12                      117 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000      201
features.12                      131 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000      201
features.12                      163 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000      201
features.12                      232 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000      201
features.12                      235 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000      201
features.12                      369 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000      201
features.13                       25 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000      201
features.13                      122 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000      201
features.13                      132 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000      201
features.13                      280 0.000000e+00 0.000000e+00 0.000000e+00   0.0000   0.0000      201
