================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 2
  alpha      : 1.0000
  norm       : raw
  timestamp  : 2026-09-08 22:36:45
  remove_target  : 43370
  accum_removed  : 43571
  selected_channels : 91
  gamma             : 0.0000
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 2104233
  model_sparsity : 4.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        7    21.9%
  features.2                 96          0        0     0.0%
  features.3                144          0        0     0.0%
  features.4                144          0        0     0.0%
  features.5                192          0        0     0.0%
  features.6                192          0        1     0.5%
  features.7                192          0        0     0.0%
  features.8                384          0        0     0.0%
  features.9                384          0        3     0.8%
  features.10               384          0        5     1.3%
  features.11               384          0        0     0.0%
  features.12               576          1        9     1.6%
  features.13               576          0        7     1.2%
  features.14               576          0        2     0.3%
  features.15               960          1        2     0.2%
  features.16               960          3        8     0.8%
  features.17               960         86      163    17.0%

[ 레이어별 보호 영역 (γ=0.0000) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  0          0       0.0%
  features.2                  0          0       0.0%
  features.3                  0          0       0.0%
  features.4                  0          0       0.0%
  features.5                  0          0       0.0%
  features.6                  0          0       0.0%
  features.7                  0          0       0.0%
  features.8                  0          0       0.0%
  features.9                  0          0       0.0%
  features.10                 0          0       0.0%
  features.11                 0          0       0.0%
  features.12                 0          0       0.0%
  features.13                 0          0       0.0%
  features.14                 0          0       0.0%
  features.15                 0          0       0.0%
  features.16                 0          0       0.0%
  features.17                 0          0       0.0%

[ 블록별 제거 채널 수 ]
  features.12: 1채널 제거
  features.15: 1채널 제거
  features.16: 3채널 제거
  features.17: 86채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.17                       51 1.182294e-09 0.000000e+00 1.182294e-09   0.0000   0.0000      489
features.17                      462 1.209026e-09 0.000000e+00 1.209026e-09   0.0000   0.0000      489
features.17                      751 1.209913e-09 0.000000e+00 1.209913e-09   0.0000   0.0000      489
features.17                      893 1.211817e-09 0.000000e+00 1.211817e-09   0.0000   0.0000      489
features.12                       48 1.255248e-09 0.000000e+00 1.255248e-09   0.0000   0.0000      201
features.17                      135 1.270312e-09 0.000000e+00 1.270312e-09   0.0000   0.0000      489
features.17                      276 1.288757e-09 0.000000e+00 1.288757e-09   0.0000   0.0000      489
features.17                      883 1.297330e-09 0.000000e+00 1.297330e-09   0.0000   0.0000      489
features.17                      671 1.298395e-09 0.000000e+00 1.298395e-09   0.0000   0.0000      489
features.17                      810 1.366979e-09 0.000000e+00 1.366979e-09   0.0000   0.0000      489
features.17                      111 1.451514e-09 0.000000e+00 1.451514e-09   0.0000   0.0000      489
features.17                      744 1.455565e-09 0.000000e+00 1.455565e-09   0.0000   0.0000      489
features.17                      296 1.467141e-09 0.000000e+00 1.467141e-09   0.0000   0.0000      489
features.16                      550 1.512068e-09 0.000000e+00 1.512068e-09   0.0000   0.0000      329
features.17                      596 1.555470e-09 0.000000e+00 1.555470e-09   0.0000   0.0000      489
features.17                      136 1.564687e-09 0.000000e+00 1.564687e-09   0.0000   0.0000      489
features.17                      649 1.571376e-09 0.000000e+00 1.571376e-09   0.0000   0.0000      489
features.17                      440 1.582176e-09 0.000000e+00 1.582176e-09   0.0000   0.0000      489
features.17                      737 1.599257e-09 0.000000e+00 1.599257e-09   0.0000   0.0000      489
features.17                      619 1.614895e-09 0.000000e+00 1.614895e-09   0.0000   0.0000      489
features.17                      930 1.616795e-09 0.000000e+00 1.616795e-09   0.0000   0.0000      489
features.17                      298 1.621493e-09 0.000000e+00 1.621493e-09   0.0000   0.0000      489
features.17                      742 1.625765e-09 0.000000e+00 1.625765e-09   0.0000   0.0000      489
