================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 4
  alpha      : 1.0000
  norm       : raw
  timestamp  : 2026-09-08 22:42:56
  remove_target  : 41216
  accum_removed  : 41245
  selected_channels : 85
  gamma             : 0.0000
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 2020436
  model_sparsity : 7.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        7    21.9%
  features.2                 96          0        0     0.0%
  features.3                144          0        0     0.0%
  features.4                144          0        0     0.0%
  features.5                192          0        0     0.0%
  features.6                192          0        1     0.5%
  features.7                192          0        0     0.0%
  features.8                384          0        0     0.0%
  features.9                384          0        3     0.8%
  features.10               384          0        5     1.3%
  features.11               384          0        0     0.0%
  features.12               576          0        9     1.6%
  features.13               576          0        7     1.2%
  features.14               576          0        2     0.3%
  features.15               960          0        3     0.3%
  features.16               960          2       12     1.2%
  features.17               960         83      331    34.5%

[ 레이어별 보호 영역 (γ=0.0000) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  0          0       0.0%
  features.2                  0          0       0.0%
  features.3                  0          0       0.0%
  features.4                  0          0       0.0%
  features.5                  0          0       0.0%
  features.6                  0          0       0.0%
  features.7                  0          0       0.0%
  features.8                  0          0       0.0%
  features.9                  0          0       0.0%
  features.10                 0          0       0.0%
  features.11                 0          0       0.0%
  features.12                 0          0       0.0%
  features.13                 0          0       0.0%
  features.14                 0          0       0.0%
  features.15                 0          0       0.0%
  features.16                 0          0       0.0%
  features.17                 0          0       0.0%

[ 블록별 제거 채널 수 ]
  features.16: 2채널 제거
  features.17: 83채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.17                      169 3.146940e-09 0.000000e+00 3.146940e-09   0.0000   0.0000      489
features.17                      402 3.420985e-09 0.000000e+00 3.420985e-09   0.0000   0.0000      489
features.17                      132 3.445608e-09 0.000000e+00 3.445608e-09   0.0000   0.0000      489
features.17                      209 3.652845e-09 0.000000e+00 3.652845e-09   0.0000   0.0000      489
features.17                      465 3.809758e-09 0.000000e+00 3.809758e-09   0.0000   0.0000      489
features.17                      599 3.880503e-09 0.000000e+00 3.880503e-09   0.0000   0.0000      489
features.17                      490 3.946006e-09 0.000000e+00 3.946006e-09   0.0000   0.0000      489
features.17                      448 3.959889e-09 0.000000e+00 3.959889e-09   0.0000   0.0000      489
features.17                      254 3.972259e-09 0.000000e+00 3.972259e-09   0.0000   0.0000      489
features.17                      425 4.086786e-09 0.000000e+00 4.086786e-09   0.0000   0.0000      489
features.17                      733 4.172909e-09 0.000000e+00 4.172909e-09   0.0000   0.0000      489
features.17                      548 4.182906e-09 0.000000e+00 4.182906e-09   0.0000   0.0000      489
features.17                      812 4.286371e-09 0.000000e+00 4.286371e-09   0.0000   0.0000      489
features.17                      380 4.290089e-09 0.000000e+00 4.290089e-09   0.0000   0.0000      489
features.17                      924 4.417485e-09 0.000000e+00 4.417485e-09   0.0000   0.0000      489
features.17                      629 4.417748e-09 0.000000e+00 4.417748e-09   0.0000   0.0000      489
features.17                      809 4.499005e-09 0.000000e+00 4.499005e-09   0.0000   0.0000      489
features.17                      574 4.502338e-09 0.000000e+00 4.502338e-09   0.0000   0.0000      489
features.17                      884 4.507757e-09 0.000000e+00 4.507757e-09   0.0000   0.0000      489
features.17                      300 4.573264e-09 0.000000e+00 4.573264e-09   0.0000   0.0000      489
features.17                      186 4.638934e-09 0.000000e+00 4.638934e-09   0.0000   0.0000      489
features.17                      892 4.659005e-09 0.000000e+00 4.659005e-09   0.0000   0.0000      489
