================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 5
  alpha      : 1.0000
  norm       : raw
  timestamp  : 2026-09-08 22:46:02
  remove_target  : 40185
  accum_removed  : 40481
  selected_channels : 89
  gamma             : 0.0000
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1979955
  model_sparsity : 9.7%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        7    21.9%
  features.2                 96          0        0     0.0%
  features.3                144          0        0     0.0%
  features.4                144          0        0     0.0%
  features.5                192          0        0     0.0%
  features.6                192          0        1     0.5%
  features.7                192          0        0     0.0%
  features.8                384          0        0     0.0%
  features.9                384          0        3     0.8%
  features.10               384          0        5     1.3%
  features.11               384          0        0     0.0%
  features.12               576          0        9     1.6%
  features.13               576          0        7     1.2%
  features.14               576          0        2     0.3%
  features.15               960          1        4     0.4%
  features.16               960         18       30     3.1%
  features.17               960         70      401    41.8%

[ 레이어별 보호 영역 (γ=0.0000) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  0          0       0.0%
  features.2                  0          0       0.0%
  features.3                  0          0       0.0%
  features.4                  0          0       0.0%
  features.5                  0          0       0.0%
  features.6                  0          0       0.0%
  features.7                  0          0       0.0%
  features.8                  0          0       0.0%
  features.9                  0          0       0.0%
  features.10                 0          0       0.0%
  features.11                 0          0       0.0%
  features.12                 0          0       0.0%
  features.13                 0          0       0.0%
  features.14                 0          0       0.0%
  features.15                 0          0       0.0%
  features.16                 0          0       0.0%
  features.17                 0          0       0.0%

[ 블록별 제거 채널 수 ]
  features.15: 1채널 제거
  features.16: 18채널 제거
  features.17: 70채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.17                       72 3.447404e-09 0.000000e+00 3.447404e-09   0.0000   0.0000      489
features.17                      199 4.637974e-09 0.000000e+00 4.637974e-09   0.0000   0.0000      489
features.17                       41 4.707379e-09 0.000000e+00 4.707379e-09   0.0000   0.0000      489
features.17                      798 5.073540e-09 0.000000e+00 5.073540e-09   0.0000   0.0000      489
features.17                      119 5.095296e-09 0.000000e+00 5.095296e-09   0.0000   0.0000      489
features.17                      470 5.138125e-09 0.000000e+00 5.138125e-09   0.0000   0.0000      489
features.17                      696 5.245301e-09 0.000000e+00 5.245301e-09   0.0000   0.0000      489
features.17                      653 5.321965e-09 0.000000e+00 5.321965e-09   0.0000   0.0000      489
features.17                      748 5.486286e-09 0.000000e+00 5.486286e-09   0.0000   0.0000      489
features.17                      663 5.488918e-09 0.000000e+00 5.488918e-09   0.0000   0.0000      489
features.17                      213 5.500106e-09 0.000000e+00 5.500106e-09   0.0000   0.0000      489
features.17                      479 5.621656e-09 0.000000e+00 5.621656e-09   0.0000   0.0000      489
features.17                      545 5.681082e-09 0.000000e+00 5.681082e-09   0.0000   0.0000      489
features.16                      347 5.781600e-09 0.000000e+00 5.781600e-09   0.0000   0.0000      329
features.17                      602 5.835272e-09 0.000000e+00 5.835272e-09   0.0000   0.0000      489
features.17                      662 5.851138e-09 0.000000e+00 5.851138e-09   0.0000   0.0000      489
features.17                      952 5.858992e-09 0.000000e+00 5.858992e-09   0.0000   0.0000      489
features.17                      598 5.893805e-09 0.000000e+00 5.893805e-09   0.0000   0.0000      489
features.17                      322 5.990912e-09 0.000000e+00 5.990912e-09   0.0000   0.0000      489
features.17                       14 5.999140e-09 0.000000e+00 5.999140e-09   0.0000   0.0000      489
features.17                       25 6.010812e-09 0.000000e+00 6.010812e-09   0.0000   0.0000      489
features.17                      641 6.062416e-09 0.000000e+00 6.062416e-09   0.0000   0.0000      489
features.16                      490 6.157646e-09 0.000000e+00 6.157646e-09   0.0000   0.0000      329
features.17                      709 6.187187e-09 0.000000e+00 6.187187e-09   0.0000   0.0000      489
features.17                      633 6.254430e-09 0.000000e+00 6.254430e-09   0.0000   0.0000      489
features.17                      593 6.271136e-09 0.000000e+00 6.271136e-09   0.0000   0.0000      489
features.17                      539 6.386477e-09 0.000000e+00 6.386477e-09   0.0000   0.0000      489
features.17                      749 6.392069e-09 0.000000e+00 6.392069e-09   0.0000   0.0000      489
features.17                      705 6.457480e-09 0.000000e+00 6.457480e-09   0.0000   0.0000      489
features.16                      908 6.471279e-09 0.000000e+00 6.471279e-09   0.0000   0.0000      329
features.17                      839 6.514238e-09 0.000000e+00 6.514238e-09   0.0000   0.0000      489
features.17                      346 6.687159e-09 0.000000e+00 6.687159e-09   0.0000   0.0000      489
features.17                      929 6.705259e-09 0.000000e+00 6.705259e-09   0.0000   0.0000      489
features.17                      865 6.713743e-09 0.000000e+00 6.713743e-09   0.0000   0.0000      489
features.16                      209 6.738521e-09 0.000000e+00 6.738521e-09   0.0000   0.0000      329
features.17                      382 6.845196e-09 0.000000e+00 6.845196e-09   0.0000   0.0000      489
features.17                      767 6.893203e-09 0.000000e+00 6.893203e-09   0.0000   0.0000      489
features.17                      432 6.952330e-09 0.000000e+00 6.952330e-09   0.0000   0.0000      489
features.17                      568 6.957834e-09 0.000000e+00 6.957834e-09   0.0000   0.0000      489
features.17                      592 7.008992e-09 0.000000e+00 7.008992e-09   0.0000   0.0000      489
features.17                      654 7.024273e-09 0.000000e+00 7.024273e-09   0.0000   0.0000      489
features.17                      429 7.061626e-09 0.000000e+00 7.061626e-09   0.0000   0.0000      489
features.17                      614 7.141371e-09 0.000000e+00 7.141371e-09   0.0000   0.0000      489
features.17                      717 7.176762e-09 0.000000e+00 7.176762e-09   0.0000   0.0000      489
features.15                      593 7.203755e-09 0.000000e+00 7.203755e-09   0.0000   0.0000      329
features.17                      220 7.208007e-09 0.000000e+00 7.208007e-09   0.0000   0.0000      489
features.17                      797 7.238331e-09 0.000000e+00 7.238331e-09   0.0000   0.0000      489
features.16                      342 7.323121e-09 0.000000e+00 7.323121e-09   0.0000   0.0000      329
features.17                      880 7.348658e-09 0.000000e+00 7.348658e-09   0.0000   0.0000      489
features.17                      855 7.404662e-09 0.000000e+00 7.404662e-09   0.0000   0.0000      489
features.17                      475 7.412256e-09 0.000000e+00 7.412256e-09   0.0000   0.0000      489
features.17                      397 7.439430e-09 0.000000e+00 7.439430e-09   0.0000   0.0000      489
features.16                      554 7.502116e-09 0.000000e+00 7.502116e-09   0.0000   0.0000      329
features.16                      292 7.528925e-09 0.000000e+00 7.528925e-09   0.0000   0.0000      329
features.17                      735 7.568492e-09 0.000000e+00 7.568492e-09   0.0000   0.0000      489
features.17                      631 7.647190e-09 0.000000e+00 7.647190e-09   0.0000   0.0000      489
features.16                      200 7.682522e-09 0.000000e+00 7.682522e-09   0.0000   0.0000      329
features.16                      873 7.831188e-09 0.000000e+00 7.831188e-09   0.0000   0.0000      329
features.17                      325 7.834712e-09 0.000000e+00 7.834712e-09   0.0000   0.0000      489
features.17                       80 7.841885e-09 0.000000e+00 7.841885e-09   0.0000   0.0000      489
features.17                      610 7.873391e-09 0.000000e+00 7.873391e-09   0.0000   0.0000      489
features.17                      489 7.899160e-09 0.000000e+00 7.899160e-09   0.0000   0.0000      489
features.16                      243 7.956945e-09 0.000000e+00 7.956945e-09   0.0000   0.0000      329
features.17                      161 7.964774e-09 0.000000e+00 7.964774e-09   0.0000   0.0000      489
features.17                      585 8.007180e-09 0.000000e+00 8.007180e-09   0.0000   0.0000      489
features.17                      902 8.062473e-09 0.000000e+00 8.062473e-09   0.0000   0.0000      489
features.16                      315 8.072798e-09 0.000000e+00 8.072798e-09   0.0000   0.0000      329
features.17                      226 8.091785e-09 0.000000e+00 8.091785e-09   0.0000   0.0000      489
features.17                      351 8.213389e-09 0.000000e+00 8.213389e-09   0.0000   0.0000      489
features.17                      449 8.242403e-09 0.000000e+00 8.242403e-09   0.0000   0.0000      489
features.17                       27 8.292379e-09 0.000000e+00 8.292379e-09   0.0000   0.0000      489
features.17                      852 8.302041e-09 0.000000e+00 8.302041e-09   0.0000   0.0000      489
features.17                      134 8.339867e-09 0.000000e+00 8.339867e-09   0.0000   0.0000      489
features.17                      125 8.485983e-09 0.000000e+00 8.485983e-09   0.0000   0.0000      489
features.17                       29 8.511452e-09 0.000000e+00 8.511452e-09   0.0000   0.0000      489
features.16                      558 8.519705e-09 0.000000e+00 8.519705e-09   0.0000   0.0000      329
features.17                      446 8.536258e-09 0.000000e+00 8.536258e-09   0.0000   0.0000      489
features.17                      289 8.538564e-09 0.000000e+00 8.538564e-09   0.0000   0.0000      489
features.16                       73 8.560095e-09 0.000000e+00 8.560095e-09   0.0000   0.0000      329
features.16                      458 8.583124e-09 0.000000e+00 8.583124e-09   0.0000   0.0000      329
features.16                      139 8.603086e-09 0.000000e+00 8.603086e-09   0.0000   0.0000      329
features.17                      189 8.606222e-09 0.000000e+00 8.606222e-09   0.0000   0.0000      489
features.16                      898 8.626596e-09 0.000000e+00 8.626596e-09   0.0000   0.0000      329
features.17                      379 8.628392e-09 0.000000e+00 8.628392e-09   0.0000   0.0000      489
features.17                      122 8.640493e-09 0.000000e+00 8.640493e-09   0.0000   0.0000      489
features.17                      166 8.660130e-09 0.000000e+00 8.660130e-09   0.0000   0.0000      489
features.17                      433 8.710764e-09 0.000000e+00 8.710764e-09   0.0000   0.0000      489
features.16                      352 8.712350e-09 0.000000e+00 8.712350e-09   0.0000   0.0000      329
features.16                      533 8.820652e-09 0.000000e+00 8.820652e-09   0.0000   0.0000      329
