================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 9
  alpha      : 1.0000
  norm       : raw
  timestamp  : 2026-09-08 22:58:23
  remove_target  : 36300
  accum_removed  : 36518
  selected_channels : 86
  gamma             : 0.0000
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1828494
  model_sparsity : 16.6%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        7    21.9%
  features.2                 96          0        0     0.0%
  features.3                144          0        0     0.0%
  features.4                144          0        0     0.0%
  features.5                192          0        0     0.0%
  features.6                192          0        1     0.5%
  features.7                192          0        0     0.0%
  features.8                384          0        0     0.0%
  features.9                384          0        3     0.8%
  features.10               384          0        5     1.3%
  features.11               384          0        0     0.0%
  features.12               576          0       10     1.7%
  features.13               576          2       11     1.9%
  features.14               576          0        2     0.3%
  features.15               960          7       23     2.4%
  features.16               960         24      122    12.7%
  features.17               960         53      634    66.0%

[ 레이어별 보호 영역 (γ=0.0000) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  0          0       0.0%
  features.2                  0          0       0.0%
  features.3                  0          0       0.0%
  features.4                  0          0       0.0%
  features.5                  0          0       0.0%
  features.6                  0          0       0.0%
  features.7                  0          0       0.0%
  features.8                  0          0       0.0%
  features.9                  0          0       0.0%
  features.10                 0          0       0.0%
  features.11                 0          0       0.0%
  features.12                 0          0       0.0%
  features.13                 0          0       0.0%
  features.14                 0          0       0.0%
  features.15                 0          0       0.0%
  features.16                 0          0       0.0%
  features.17                 0          0       0.0%

[ 블록별 제거 채널 수 ]
  features.13: 2채널 제거
  features.15: 7채널 제거
  features.16: 24채널 제거
  features.17: 53채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.17                      853 1.957787e-08 0.000000e+00 1.957787e-08   0.0000   0.0000      489
features.16                      754 2.136948e-08 0.000000e+00 2.136948e-08   0.0000   0.0000      329
features.17                      217 2.179354e-08 0.000000e+00 2.179354e-08   0.0000   0.0000      489
features.17                      632 2.226142e-08 0.000000e+00 2.226142e-08   0.0000   0.0000      489
features.16                      531 2.235362e-08 0.000000e+00 2.235362e-08   0.0000   0.0000      329
features.17                       39 2.246050e-08 0.000000e+00 2.246050e-08   0.0000   0.0000      489
features.16                      327 2.259017e-08 0.000000e+00 2.259017e-08   0.0000   0.0000      329
features.16                      731 2.261880e-08 0.000000e+00 2.261880e-08   0.0000   0.0000      329
features.17                      110 2.285768e-08 0.000000e+00 2.285768e-08   0.0000   0.0000      489
features.17                      779 2.334043e-08 0.000000e+00 2.334043e-08   0.0000   0.0000      489
features.17                      467 2.365131e-08 0.000000e+00 2.365131e-08   0.0000   0.0000      489
features.17                      819 2.385188e-08 0.000000e+00 2.385188e-08   0.0000   0.0000      489
features.17                       24 2.400565e-08 0.000000e+00 2.400565e-08   0.0000   0.0000      489
features.17                      688 2.422109e-08 0.000000e+00 2.422109e-08   0.0000   0.0000      489
features.16                      310 2.448345e-08 0.000000e+00 2.448345e-08   0.0000   0.0000      329
features.17                       17 2.521500e-08 0.000000e+00 2.521500e-08   0.0000   0.0000      489
features.16                      656 2.653899e-08 0.000000e+00 2.653899e-08   0.0000   0.0000      329
features.17                      576 2.657398e-08 0.000000e+00 2.657398e-08   0.0000   0.0000      489
features.17                      542 2.663312e-08 0.000000e+00 2.663312e-08   0.0000   0.0000      489
features.17                      498 2.673014e-08 0.000000e+00 2.673014e-08   0.0000   0.0000      489
features.17                      650 2.688535e-08 0.000000e+00 2.688535e-08   0.0000   0.0000      489
features.16                      390 2.704391e-08 0.000000e+00 2.704391e-08   0.0000   0.0000      329
features.17                       48 2.707576e-08 0.000000e+00 2.707576e-08   0.0000   0.0000      489
