================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 12
  alpha      : 1.0000
  norm       : raw
  timestamp  : 2026-09-08 23:07:36
  remove_target  : 33632
  accum_removed  : 33809
  selected_channels : 105
  gamma             : 0.0000
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1724490
  model_sparsity : 21.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        7    21.9%
  features.2                 96          0        0     0.0%
  features.3                144          0        0     0.0%
  features.4                144          0        0     0.0%
  features.5                192          0        0     0.0%
  features.6                192          0        1     0.5%
  features.7                192          0        0     0.0%
  features.8                384          3        3     0.8%
  features.9                384          6       11     2.9%
  features.10               384          4       11     2.9%
  features.11               384          0        0     0.0%
  features.12               576          6       17     3.0%
  features.13               576          4       18     3.1%
  features.14               576          5        9     1.6%
  features.15               960         21       73     7.6%
  features.16               960         35      242    25.2%
  features.17               960         21      718    74.8%

[ 레이어별 보호 영역 (γ=0.0000) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  0          0       0.0%
  features.2                  0          0       0.0%
  features.3                  0          0       0.0%
  features.4                  0          0       0.0%
  features.5                  0          0       0.0%
  features.6                  0          0       0.0%
  features.7                  0          0       0.0%
  features.8                  0          0       0.0%
  features.9                  0          0       0.0%
  features.10                 0          0       0.0%
  features.11                 0          0       0.0%
  features.12                 0          0       0.0%
  features.13                 0          0       0.0%
  features.14                 0          0       0.0%
  features.15                 0          0       0.0%
  features.16                 0          0       0.0%
  features.17                 0          0       0.0%

[ 블록별 제거 채널 수 ]
  features.10: 4채널 제거
  features.12: 6채널 제거
  features.13: 4채널 제거
  features.14: 5채널 제거
  features.15: 21채널 제거
  features.16: 35채널 제거
  features.17: 21채널 제거
  features.8: 3채널 제거
  features.9: 6채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.16                       95 3.798193e-08 0.000000e+00 3.798193e-08   0.0000   0.0000      329
features.16                      759 4.457223e-08 0.000000e+00 4.457223e-08   0.0000   0.0000      329
features.16                      730 4.545070e-08 0.000000e+00 4.545070e-08   0.0000   0.0000      329
features.10                      321 4.709951e-08 0.000000e+00 4.709951e-08   0.0000   0.0000      137
features.13                       69 4.755665e-08 0.000000e+00 4.755665e-08   0.0000   0.0000      201
features.15                       11 4.788868e-08 0.000000e+00 4.788868e-08   0.0000   0.0000      329
features.17                      512 5.008778e-08 0.000000e+00 5.008778e-08   0.0000   0.0000      489
features.16                      294 5.096809e-08 0.000000e+00 5.096809e-08   0.0000   0.0000      329
features.9                       107 5.099824e-08 0.000000e+00 5.099824e-08   0.0000   0.0000      137
features.16                      839 5.325441e-08 0.000000e+00 5.325441e-08   0.0000   0.0000      329
features.15                       42 5.336009e-08 0.000000e+00 5.336009e-08   0.0000   0.0000      329
features.10                      246 5.422057e-08 0.000000e+00 5.422057e-08   0.0000   0.0000      137
features.16                      144 5.551506e-08 0.000000e+00 5.551506e-08   0.0000   0.0000      329
features.13                      528 5.607282e-08 0.000000e+00 5.607282e-08   0.0000   0.0000      201
features.12                      202 5.645674e-08 0.000000e+00 5.645674e-08   0.0000   0.0000      201
features.17                      724 5.741732e-08 0.000000e+00 5.741732e-08   0.0000   0.0000      489
features.16                      874 5.838064e-08 0.000000e+00 5.838064e-08   0.0000   0.0000      329
features.15                      860 5.890535e-08 0.000000e+00 5.890535e-08   0.0000   0.0000      329
features.16                      720 5.891103e-08 0.000000e+00 5.891103e-08   0.0000   0.0000      329
features.16                       94 5.907773e-08 0.000000e+00 5.907773e-08   0.0000   0.0000      329
features.16                      523 5.957108e-08 0.000000e+00 5.957108e-08   0.0000   0.0000      329
features.16                       12 5.986134e-08 0.000000e+00 5.986134e-08   0.0000   0.0000      329
features.16                      151 5.994556e-08 0.000000e+00 5.994556e-08   0.0000   0.0000      329
features.9                       153 5.996866e-08 0.000000e+00 5.996866e-08   0.0000   0.0000      137
features.15                      612 6.069001e-08 0.000000e+00 6.069001e-08   0.0000   0.0000      329
features.8                       373 6.102098e-08 0.000000e+00 6.102098e-08   0.0000   0.0000      137
features.17                      451 6.109784e-08 0.000000e+00 6.109784e-08   0.0000   0.0000      489
features.12                      447 6.109970e-08 0.000000e+00 6.109970e-08   0.0000   0.0000      201
features.16                      676 6.197683e-08 0.000000e+00 6.197683e-08   0.0000   0.0000      329
features.16                      354 6.198136e-08 0.000000e+00 6.198136e-08   0.0000   0.0000      329
features.16                      858 6.209758e-08 0.000000e+00 6.209758e-08   0.0000   0.0000      329
features.16                      919 6.210855e-08 0.000000e+00 6.210855e-08   0.0000   0.0000      329
features.9                       173 6.238363e-08 0.000000e+00 6.238363e-08   0.0000   0.0000      137
features.16                      595 6.289400e-08 0.000000e+00 6.289400e-08   0.0000   0.0000      329
features.12                      398 6.307945e-08 0.000000e+00 6.307945e-08   0.0000   0.0000      201
features.15                       82 6.323608e-08 0.000000e+00 6.323608e-08   0.0000   0.0000      329
features.16                      592 6.356377e-08 0.000000e+00 6.356377e-08   0.0000   0.0000      329
features.14                       58 6.359883e-08 0.000000e+00 6.359883e-08   0.0000   0.0000      265
features.15                      690 6.360691e-08 0.000000e+00 6.360691e-08   0.0000   0.0000      329
features.16                      882 6.363686e-08 0.000000e+00 6.363686e-08   0.0000   0.0000      329
features.17                      301 6.372475e-08 0.000000e+00 6.372475e-08   0.0000   0.0000      489
features.16                       81 6.383402e-08 0.000000e+00 6.383402e-08   0.0000   0.0000      329
features.17                      911 6.404924e-08 0.000000e+00 6.404924e-08   0.0000   0.0000      489
features.15                      561 6.407682e-08 0.000000e+00 6.407682e-08   0.0000   0.0000      329
features.12                      330 6.423610e-08 0.000000e+00 6.423610e-08   0.0000   0.0000      201
features.17                      634 6.456735e-08 0.000000e+00 6.456735e-08   0.0000   0.0000      489
features.12                      437 6.472849e-08 0.000000e+00 6.472849e-08   0.0000   0.0000      201
features.16                      317 6.477272e-08 0.000000e+00 6.477272e-08   0.0000   0.0000      329
features.16                      421 6.483553e-08 0.000000e+00 6.483553e-08   0.0000   0.0000      329
features.15                      830 6.486349e-08 0.000000e+00 6.486349e-08   0.0000   0.0000      329
features.15                      360 6.522394e-08 0.000000e+00 6.522394e-08   0.0000   0.0000      329
features.17                      360 6.524083e-08 0.000000e+00 6.524083e-08   0.0000   0.0000      489
features.16                      105 6.538419e-08 0.000000e+00 6.538419e-08   0.0000   0.0000      329
features.17                      230 6.539315e-08 0.000000e+00 6.539315e-08   0.0000   0.0000      489
features.17                      194 6.540728e-08 0.000000e+00 6.540728e-08   0.0000   0.0000      489
features.15                       98 6.540970e-08 0.000000e+00 6.540970e-08   0.0000   0.0000      329
features.16                      238 6.545589e-08 0.000000e+00 6.545589e-08   0.0000   0.0000      329
features.16                      801 6.557991e-08 0.000000e+00 6.557991e-08   0.0000   0.0000      329
features.17                      626 6.575156e-08 0.000000e+00 6.575156e-08   0.0000   0.0000      489
features.14                      332 6.575478e-08 0.000000e+00 6.575478e-08   0.0000   0.0000      265
features.14                      217 6.576159e-08 0.000000e+00 6.576159e-08   0.0000   0.0000      265
features.8                       259 6.605138e-08 0.000000e+00 6.605138e-08   0.0000   0.0000      137
features.16                      722 6.644908e-08 0.000000e+00 6.644908e-08   0.0000   0.0000      329
features.17                      934 6.649457e-08 0.000000e+00 6.649457e-08   0.0000   0.0000      489
features.9                       217 6.655188e-08 0.000000e+00 6.655188e-08   0.0000   0.0000      137
features.14                      381 6.664030e-08 0.000000e+00 6.664030e-08   0.0000   0.0000      265
features.16                      837 6.688502e-08 0.000000e+00 6.688502e-08   0.0000   0.0000      329
features.14                      557 6.697204e-08 0.000000e+00 6.697204e-08   0.0000   0.0000      265
features.13                      145 6.699072e-08 0.000000e+00 6.699072e-08   0.0000   0.0000      201
features.17                      292 6.715689e-08 0.000000e+00 6.715689e-08   0.0000   0.0000      489
features.17                      878 6.729515e-08 0.000000e+00 6.729515e-08   0.0000   0.0000      489
features.16                       52 6.732578e-08 0.000000e+00 6.732578e-08   0.0000   0.0000      329
features.9                       208 6.752843e-08 0.000000e+00 6.752843e-08   0.0000   0.0000      137
features.17                      224 6.754431e-08 0.000000e+00 6.754431e-08   0.0000   0.0000      489
features.16                      645 6.760850e-08 0.000000e+00 6.760850e-08   0.0000   0.0000      329
features.13                      509 6.770777e-08 0.000000e+00 6.770777e-08   0.0000   0.0000      201
features.17                      472 6.789557e-08 0.000000e+00 6.789557e-08   0.0000   0.0000      489
features.15                      148 6.814258e-08 0.000000e+00 6.814258e-08   0.0000   0.0000      329
features.16                      827 6.829544e-08 0.000000e+00 6.829544e-08   0.0000   0.0000      329
features.15                      567 6.840500e-08 0.000000e+00 6.840500e-08   0.0000   0.0000      329
features.17                      387 6.865025e-08 0.000000e+00 6.865025e-08   0.0000   0.0000      489
features.15                      550 6.867647e-08 0.000000e+00 6.867647e-08   0.0000   0.0000      329
features.12                      516 6.878876e-08 0.000000e+00 6.878876e-08   0.0000   0.0000      201
features.15                      566 6.880953e-08 0.000000e+00 6.880953e-08   0.0000   0.0000      329
features.17                      362 6.888082e-08 0.000000e+00 6.888082e-08   0.0000   0.0000      489
features.15                      140 6.902829e-08 0.000000e+00 6.902829e-08   0.0000   0.0000      329
features.9                       141 6.903387e-08 0.000000e+00 6.903387e-08   0.0000   0.0000      137
features.16                      711 6.912189e-08 0.000000e+00 6.912189e-08   0.0000   0.0000      329
features.17                      329 6.927183e-08 0.000000e+00 6.927183e-08   0.0000   0.0000      489
features.8                       376 6.943512e-08 0.000000e+00 6.943512e-08   0.0000   0.0000      137
features.16                      845 6.950275e-08 0.000000e+00 6.950275e-08   0.0000   0.0000      329
features.15                      198 6.972734e-08 0.000000e+00 6.972734e-08   0.0000   0.0000      329
features.15                      389 6.984966e-08 0.000000e+00 6.984966e-08   0.0000   0.0000      329
features.10                      194 6.995209e-08 0.000000e+00 6.995209e-08   0.0000   0.0000      137
features.10                      205 7.015144e-08 0.000000e+00 7.015144e-08   0.0000   0.0000      137
features.15                      409 7.020298e-08 0.000000e+00 7.020298e-08   0.0000   0.0000      329
features.15                      855 7.031788e-08 0.000000e+00 7.031788e-08   0.0000   0.0000      329
features.15                      606 7.031825e-08 0.000000e+00 7.031825e-08   0.0000   0.0000      329
features.15                      390 7.049582e-08 0.000000e+00 7.049582e-08   0.0000   0.0000      329
features.16                      275 7.051599e-08 0.000000e+00 7.051599e-08   0.0000   0.0000      329
features.16                      444 7.071700e-08 0.000000e+00 7.071700e-08   0.0000   0.0000      329
features.17                      635 7.077807e-08 0.000000e+00 7.077807e-08   0.0000   0.0000      489
features.17                       66 7.087175e-08 0.000000e+00 7.087175e-08   0.0000   0.0000      489
features.16                      534 7.111038e-08 0.000000e+00 7.111038e-08   0.0000   0.0000      329
features.17                      477 7.111647e-08 0.000000e+00 7.111647e-08   0.0000   0.0000      489
