================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 16
  alpha      : 1.0000
  norm       : raw
  timestamp  : 2026-09-08 23:19:54
  remove_target  : 30383
  accum_removed  : 30604
  selected_channels : 108
  gamma             : 0.0000
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1597756
  model_sparsity : 27.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        7    21.9%
  features.2                 96          0        0     0.0%
  features.3                144          0        0     0.0%
  features.4                144          0        0     0.0%
  features.5                192          0        0     0.0%
  features.6                192          1        2     1.0%
  features.7                192          0        0     0.0%
  features.8                384          7       20     5.2%
  features.9                384          5       30     7.8%
  features.10               384          7       28     7.3%
  features.11               384          0        0     0.0%
  features.12               576          5       41     7.1%
  features.13               576         11       43     7.5%
  features.14               576          4       36     6.2%
  features.15               960         32      180    18.8%
  features.16               960         28      363    37.8%
  features.17               960          8      774    80.6%

[ 레이어별 보호 영역 (γ=0.0000) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  0          0       0.0%
  features.2                  0          0       0.0%
  features.3                  0          0       0.0%
  features.4                  0          0       0.0%
  features.5                  0          0       0.0%
  features.6                  0          0       0.0%
  features.7                  0          0       0.0%
  features.8                  0          0       0.0%
  features.9                  0          0       0.0%
  features.10                 0          0       0.0%
  features.11                 0          0       0.0%
  features.12                 0          0       0.0%
  features.13                 0          0       0.0%
  features.14                 0          0       0.0%
  features.15                 0          0       0.0%
  features.16                 0          0       0.0%
  features.17                 0          0       0.0%

[ 블록별 제거 채널 수 ]
  features.10: 7채널 제거
  features.12: 5채널 제거
  features.13: 11채널 제거
  features.14: 4채널 제거
  features.15: 32채널 제거
  features.16: 28채널 제거
  features.17: 8채널 제거
  features.6: 1채널 제거
  features.8: 7채널 제거
  features.9: 5채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.16                      622 7.336559e-08 0.000000e+00 7.336559e-08   0.0000   0.0000      329
features.16                      849 9.291919e-08 0.000000e+00 9.291919e-08   0.0000   0.0000      329
features.15                      675 9.442284e-08 0.000000e+00 9.442284e-08   0.0000   0.0000      329
features.15                      434 9.464641e-08 0.000000e+00 9.464641e-08   0.0000   0.0000      329
features.15                      879 9.526254e-08 0.000000e+00 9.526254e-08   0.0000   0.0000      329
features.15                      691 9.790978e-08 0.000000e+00 9.790978e-08   0.0000   0.0000      329
features.16                      457 1.013809e-07 0.000000e+00 1.013809e-07   0.0000   0.0000      329
features.16                      519 1.031489e-07 0.000000e+00 1.031489e-07   0.0000   0.0000      329
features.14                      403 1.037036e-07 0.000000e+00 1.037036e-07   0.0000   0.0000      265
features.9                        38 1.041110e-07 0.000000e+00 1.041110e-07   0.0000   0.0000      137
features.17                      202 1.041614e-07 0.000000e+00 1.041614e-07   0.0000   0.0000      489
features.15                      629 1.043970e-07 0.000000e+00 1.043970e-07   0.0000   0.0000      329
features.16                      141 1.052982e-07 0.000000e+00 1.052982e-07   0.0000   0.0000      329
features.16                      172 1.069131e-07 0.000000e+00 1.069131e-07   0.0000   0.0000      329
features.15                      841 1.070962e-07 0.000000e+00 1.070962e-07   0.0000   0.0000      329
features.15                      259 1.070992e-07 0.000000e+00 1.070992e-07   0.0000   0.0000      329
features.10                      133 1.088205e-07 0.000000e+00 1.088205e-07   0.0000   0.0000      137
features.13                      174 1.090623e-07 0.000000e+00 1.090623e-07   0.0000   0.0000      201
features.9                       250 1.098791e-07 0.000000e+00 1.098791e-07   0.0000   0.0000      137
features.15                      299 1.103065e-07 0.000000e+00 1.103065e-07   0.0000   0.0000      329
features.16                      761 1.104495e-07 0.000000e+00 1.104495e-07   0.0000   0.0000      329
features.16                      842 1.108238e-07 0.000000e+00 1.108238e-07   0.0000   0.0000      329
features.16                      203 1.112011e-07 0.000000e+00 1.112011e-07   0.0000   0.0000      329
features.13                      197 1.113151e-07 0.000000e+00 1.113151e-07   0.0000   0.0000      201
features.16                      408 1.113481e-07 0.000000e+00 1.113481e-07   0.0000   0.0000      329
features.15                      781 1.120634e-07 0.000000e+00 1.120634e-07   0.0000   0.0000      329
features.10                      317 1.120850e-07 0.000000e+00 1.120850e-07   0.0000   0.0000      137
features.17                      583 1.129794e-07 0.000000e+00 1.129794e-07   0.0000   0.0000      489
features.16                      862 1.130479e-07 0.000000e+00 1.130479e-07   0.0000   0.0000      329
features.8                       185 1.134556e-07 0.000000e+00 1.134556e-07   0.0000   0.0000      137
features.12                      568 1.136245e-07 0.000000e+00 1.136245e-07   0.0000   0.0000      201
