================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 22
  alpha      : 1.0000
  norm       : raw
  timestamp  : 2026-09-08 23:38:25
  remove_target  : 26081
  accum_removed  : 26140
  selected_channels : 92
  gamma             : 0.0000
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1430142
  model_sparsity : 34.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        7    21.9%
  features.2                 96          0        0     0.0%
  features.3                144          0        0     0.0%
  features.4                144          0        0     0.0%
  features.5                192          1        3     1.6%
  features.6                192          0        4     2.1%
  features.7                192          0        1     0.5%
  features.8                384          2       51    13.3%
  features.9                384          6       71    18.5%
  features.10               384          4       72    18.8%
  features.11               384          2        9     2.3%
  features.12               576          9      104    18.1%
  features.13               576          6       98    17.0%
  features.14               576         12      102    17.7%
  features.15               960         18      317    33.0%
  features.16               960         23      486    50.6%
  features.17               960          9      821    85.5%

[ 레이어별 보호 영역 (γ=0.0000) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  0          0       0.0%
  features.2                  0          0       0.0%
  features.3                  0          0       0.0%
  features.4                  0          0       0.0%
  features.5                  0          0       0.0%
  features.6                  0          0       0.0%
  features.7                  0          0       0.0%
  features.8                  0          0       0.0%
  features.9                  0          0       0.0%
  features.10                 0          0       0.0%
  features.11                 0          0       0.0%
  features.12                 0          0       0.0%
  features.13                 0          0       0.0%
  features.14                 0          0       0.0%
  features.15                 0          0       0.0%
  features.16                 0          0       0.0%
  features.17                 0          0       0.0%

[ 블록별 제거 채널 수 ]
  features.10: 4채널 제거
  features.11: 2채널 제거
  features.12: 9채널 제거
  features.13: 6채널 제거
  features.14: 12채널 제거
  features.15: 18채널 제거
  features.16: 23채널 제거
  features.17: 9채널 제거
  features.5: 1채널 제거
  features.8: 2채널 제거
  features.9: 6채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.16                      237 1.276877e-07 0.000000e+00 1.276877e-07   0.0000   0.0000      329
features.11                      132 1.454594e-07 0.000000e+00 1.454594e-07   0.0000   0.0000      169
features.16                      570 1.736097e-07 0.000000e+00 1.736097e-07   0.0000   0.0000      329
features.15                      626 1.793468e-07 0.000000e+00 1.793468e-07   0.0000   0.0000      329
features.14                      282 1.873192e-07 0.000000e+00 1.873192e-07   0.0000   0.0000      265
features.16                      344 1.890276e-07 0.000000e+00 1.890276e-07   0.0000   0.0000      329
features.13                      371 1.904436e-07 0.000000e+00 1.904436e-07   0.0000   0.0000      201
features.15                      554 1.905295e-07 0.000000e+00 1.905295e-07   0.0000   0.0000      329
features.14                      414 1.912249e-07 0.000000e+00 1.912249e-07   0.0000   0.0000      265
features.14                      138 1.950174e-07 0.000000e+00 1.950174e-07   0.0000   0.0000      265
features.14                      434 1.951100e-07 0.000000e+00 1.951100e-07   0.0000   0.0000      265
features.12                      427 1.963327e-07 0.000000e+00 1.963327e-07   0.0000   0.0000      201
features.16                      728 1.982000e-07 0.000000e+00 1.982000e-07   0.0000   0.0000      329
features.15                      462 1.987727e-07 0.000000e+00 1.987727e-07   0.0000   0.0000      329
features.16                      513 1.992054e-07 0.000000e+00 1.992054e-07   0.0000   0.0000      329
features.12                      257 2.011457e-07 0.000000e+00 2.011457e-07   0.0000   0.0000      201
features.16                      451 2.058049e-07 0.000000e+00 2.058049e-07   0.0000   0.0000      329
features.16                      448 2.083099e-07 0.000000e+00 2.083099e-07   0.0000   0.0000      329
features.16                      590 2.108172e-07 0.000000e+00 2.108172e-07   0.0000   0.0000      329
features.16                      652 2.108525e-07 0.000000e+00 2.108525e-07   0.0000   0.0000      329
features.9                       325 2.127351e-07 0.000000e+00 2.127351e-07   0.0000   0.0000      137
features.9                        81 2.134459e-07 0.000000e+00 2.134459e-07   0.0000   0.0000      137
features.17                      464 2.154084e-07 0.000000e+00 2.154084e-07   0.0000   0.0000      489
features.16                      300 2.173909e-07 0.000000e+00 2.173909e-07   0.0000   0.0000      329
features.12                      182 2.181240e-07 0.000000e+00 2.181240e-07   0.0000   0.0000      201
