================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 24
  alpha      : 1.0000
  norm       : raw
  timestamp  : 2026-09-08 23:44:34
  remove_target  : 24791
  accum_removed  : 24923
  selected_channels : 99
  gamma             : 0.0000
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1379724
  model_sparsity : 37.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        7    21.9%
  features.2                 96          0        0     0.0%
  features.3                144          0        0     0.0%
  features.4                144          0        0     0.0%
  features.5                192          0        3     1.6%
  features.6                192          2        8     4.2%
  features.7                192          0        2     1.0%
  features.8                384          7       62    16.1%
  features.9                384          6       82    21.4%
  features.10               384          8       92    24.0%
  features.11               384          2       15     3.9%
  features.12               576          8      118    20.5%
  features.13               576          9      113    19.6%
  features.14               576         17      123    21.4%
  features.15               960         15      358    37.3%
  features.16               960         22      524    54.6%
  features.17               960          3      833    86.8%

[ 레이어별 보호 영역 (γ=0.0000) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  0          0       0.0%
  features.2                  0          0       0.0%
  features.3                  0          0       0.0%
  features.4                  0          0       0.0%
  features.5                  0          0       0.0%
  features.6                  0          0       0.0%
  features.7                  0          0       0.0%
  features.8                  0          0       0.0%
  features.9                  0          0       0.0%
  features.10                 0          0       0.0%
  features.11                 0          0       0.0%
  features.12                 0          0       0.0%
  features.13                 0          0       0.0%
  features.14                 0          0       0.0%
  features.15                 0          0       0.0%
  features.16                 0          0       0.0%
  features.17                 0          0       0.0%

[ 블록별 제거 채널 수 ]
  features.10: 8채널 제거
  features.11: 2채널 제거
  features.12: 8채널 제거
  features.13: 9채널 제거
  features.14: 17채널 제거
  features.15: 15채널 제거
  features.16: 22채널 제거
  features.17: 3채널 제거
  features.6: 2채널 제거
  features.8: 7채널 제거
  features.9: 6채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.16                      366 1.868194e-07 0.000000e+00 1.868194e-07   0.0000   0.0000      329
features.14                      449 2.125058e-07 0.000000e+00 2.125058e-07   0.0000   0.0000      265
features.14                      113 2.309390e-07 0.000000e+00 2.309390e-07   0.0000   0.0000      265
features.16                      799 2.322030e-07 0.000000e+00 2.322030e-07   0.0000   0.0000      329
features.16                      398 2.340925e-07 0.000000e+00 2.340925e-07   0.0000   0.0000      329
features.15                      104 2.362866e-07 0.000000e+00 2.362866e-07   0.0000   0.0000      329
features.16                      623 2.371879e-07 0.000000e+00 2.371879e-07   0.0000   0.0000      329
features.6                        51 2.431775e-07 0.000000e+00 2.431775e-07   0.0000   0.0000       73
features.16                      367 2.438825e-07 0.000000e+00 2.438825e-07   0.0000   0.0000      329
features.14                      171 2.445850e-07 0.000000e+00 2.445850e-07   0.0000   0.0000      265
features.14                      108 2.469390e-07 0.000000e+00 2.469390e-07   0.0000   0.0000      265
features.17                       43 2.475102e-07 0.000000e+00 2.475102e-07   0.0000   0.0000      489
features.14                       46 2.485133e-07 0.000000e+00 2.485133e-07   0.0000   0.0000      265
features.13                      130 2.488894e-07 0.000000e+00 2.488894e-07   0.0000   0.0000      201
features.16                      852 2.499990e-07 0.000000e+00 2.499990e-07   0.0000   0.0000      329
features.9                       351 2.506244e-07 0.000000e+00 2.506244e-07   0.0000   0.0000      137
features.16                      419 2.506751e-07 0.000000e+00 2.506751e-07   0.0000   0.0000      329
features.16                      856 2.524610e-07 0.000000e+00 2.524610e-07   0.0000   0.0000      329
features.16                      938 2.548871e-07 0.000000e+00 2.548871e-07   0.0000   0.0000      329
features.16                      343 2.585060e-07 0.000000e+00 2.585060e-07   0.0000   0.0000      329
features.12                      211 2.591549e-07 0.000000e+00 2.591549e-07   0.0000   0.0000      201
features.13                      348 2.599189e-07 0.000000e+00 2.599189e-07   0.0000   0.0000      201
features.13                      220 2.601851e-07 0.000000e+00 2.601851e-07   0.0000   0.0000      201
features.10                      303 2.601943e-07 0.000000e+00 2.601943e-07   0.0000   0.0000      137
features.16                      713 2.603815e-07 0.000000e+00 2.603815e-07   0.0000   0.0000      329
