================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 26
  alpha      : 1.0000
  norm       : raw
  timestamp  : 2026-09-08 23:50:46
  remove_target  : 23559
  accum_removed  : 23831
  selected_channels : 95
  gamma             : 0.0000
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1331555
  model_sparsity : 39.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        7    21.9%
  features.2                 96          0        0     0.0%
  features.3                144          0        0     0.0%
  features.4                144          0        0     0.0%
  features.5                192          0        5     2.6%
  features.6                192          0        8     4.2%
  features.7                192          0        2     1.0%
  features.8                384          5       70    18.2%
  features.9                384          6       97    25.3%
  features.10               384          8      108    28.1%
  features.11               384          3       21     5.5%
  features.12               576         18      151    26.2%
  features.13               576         12      137    23.8%
  features.14               576          9      141    24.5%
  features.15               960         12      390    40.6%
  features.16               960         15      550    57.3%
  features.17               960          7      846    88.1%

[ 레이어별 보호 영역 (γ=0.0000) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  0          0       0.0%
  features.2                  0          0       0.0%
  features.3                  0          0       0.0%
  features.4                  0          0       0.0%
  features.5                  0          0       0.0%
  features.6                  0          0       0.0%
  features.7                  0          0       0.0%
  features.8                  0          0       0.0%
  features.9                  0          0       0.0%
  features.10                 0          0       0.0%
  features.11                 0          0       0.0%
  features.12                 0          0       0.0%
  features.13                 0          0       0.0%
  features.14                 0          0       0.0%
  features.15                 0          0       0.0%
  features.16                 0          0       0.0%
  features.17                 0          0       0.0%

[ 블록별 제거 채널 수 ]
  features.10: 8채널 제거
  features.11: 3채널 제거
  features.12: 18채널 제거
  features.13: 12채널 제거
  features.14: 9채널 제거
  features.15: 12채널 제거
  features.16: 15채널 제거
  features.17: 7채널 제거
  features.8: 5채널 제거
  features.9: 6채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.9                       186 2.765296e-07 0.000000e+00 2.765296e-07   0.0000   0.0000      137
features.12                      273 2.801003e-07 0.000000e+00 2.801003e-07   0.0000   0.0000      201
features.15                       18 2.954083e-07 0.000000e+00 2.954083e-07   0.0000   0.0000      329
features.16                      240 2.958958e-07 0.000000e+00 2.958958e-07   0.0000   0.0000      329
features.17                      503 2.963189e-07 0.000000e+00 2.963189e-07   0.0000   0.0000      489
features.16                      166 2.982983e-07 0.000000e+00 2.982983e-07   0.0000   0.0000      329
features.11                      272 3.045946e-07 0.000000e+00 3.045946e-07   0.0000   0.0000      169
features.16                      657 3.046765e-07 0.000000e+00 3.046765e-07   0.0000   0.0000      329
features.10                       96 3.067890e-07 0.000000e+00 3.067890e-07   0.0000   0.0000      137
features.15                      175 3.072498e-07 0.000000e+00 3.072498e-07   0.0000   0.0000      329
features.10                      150 3.077223e-07 0.000000e+00 3.077223e-07   0.0000   0.0000      137
features.8                       333 3.080855e-07 0.000000e+00 3.080855e-07   0.0000   0.0000      137
features.13                      228 3.099689e-07 0.000000e+00 3.099689e-07   0.0000   0.0000      201
features.16                      156 3.143251e-07 0.000000e+00 3.143251e-07   0.0000   0.0000      329
features.11                       76 3.144296e-07 0.000000e+00 3.144296e-07   0.0000   0.0000      169
features.8                       137 3.183245e-07 0.000000e+00 3.183245e-07   0.0000   0.0000      137
features.13                       59 3.228028e-07 0.000000e+00 3.228028e-07   0.0000   0.0000      201
features.15                      657 3.233183e-07 0.000000e+00 3.233183e-07   0.0000   0.0000      329
features.16                      781 3.236559e-07 0.000000e+00 3.236559e-07   0.0000   0.0000      329
features.16                      669 3.273909e-07 0.000000e+00 3.273909e-07   0.0000   0.0000      329
features.10                       82 3.284622e-07 0.000000e+00 3.284622e-07   0.0000   0.0000      137
features.15                       87 3.340315e-07 0.000000e+00 3.340315e-07   0.0000   0.0000      329
features.12                      362 3.367796e-07 0.000000e+00 3.367796e-07   0.0000   0.0000      201
features.17                      868 3.369142e-07 0.000000e+00 3.369142e-07   0.0000   0.0000      489
