================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 29
  alpha      : 1.0000
  norm       : raw
  timestamp  : 2026-09-09 00:00:03
  remove_target  : 21824
  accum_removed  : 21857
  selected_channels : 89
  gamma             : 0.0000
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1264127
  model_sparsity : 42.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        7    21.9%
  features.2                 96          0        0     0.0%
  features.3                144          0        0     0.0%
  features.4                144          0        0     0.0%
  features.5                192          2        8     4.2%
  features.6                192          1       12     6.2%
  features.7                192          0        2     1.0%
  features.8                384          4       87    22.7%
  features.9                384          7      128    33.3%
  features.10               384          8      147    38.3%
  features.11               384          4       28     7.3%
  features.12               576          5      179    31.1%
  features.13               576         13      170    29.5%
  features.14               576         11      175    30.4%
  features.15               960         22      447    46.6%
  features.16               960          8      583    60.7%
  features.17               960          4      852    88.8%

[ 레이어별 보호 영역 (γ=0.0000) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  0          0       0.0%
  features.2                  0          0       0.0%
  features.3                  0          0       0.0%
  features.4                  0          0       0.0%
  features.5                  0          0       0.0%
  features.6                  0          0       0.0%
  features.7                  0          0       0.0%
  features.8                  0          0       0.0%
  features.9                  0          0       0.0%
  features.10                 0          0       0.0%
  features.11                 0          0       0.0%
  features.12                 0          0       0.0%
  features.13                 0          0       0.0%
  features.14                 0          0       0.0%
  features.15                 0          0       0.0%
  features.16                 0          0       0.0%
  features.17                 0          0       0.0%

[ 블록별 제거 채널 수 ]
  features.10: 8채널 제거
  features.11: 4채널 제거
  features.12: 5채널 제거
  features.13: 13채널 제거
  features.14: 11채널 제거
  features.15: 22채널 제거
  features.16: 8채널 제거
  features.17: 4채널 제거
  features.5: 2채널 제거
  features.6: 1채널 제거
  features.8: 4채널 제거
  features.9: 7채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.17                       12 3.321160e-07 0.000000e+00 3.321160e-07   0.0000   0.0000      489
features.12                      531 3.380995e-07 0.000000e+00 3.380995e-07   0.0000   0.0000      201
features.14                      325 3.503910e-07 0.000000e+00 3.503910e-07   0.0000   0.0000      265
features.13                      326 3.518005e-07 0.000000e+00 3.518005e-07   0.0000   0.0000      201
features.15                      614 3.533429e-07 0.000000e+00 3.533429e-07   0.0000   0.0000      329
features.13                       93 3.538678e-07 0.000000e+00 3.538678e-07   0.0000   0.0000      201
features.15                        1 3.565234e-07 0.000000e+00 3.565234e-07   0.0000   0.0000      329
features.12                      381 3.646500e-07 0.000000e+00 3.646500e-07   0.0000   0.0000      201
features.8                        25 3.646686e-07 0.000000e+00 3.646686e-07   0.0000   0.0000      137
features.10                      186 3.665589e-07 0.000000e+00 3.665589e-07   0.0000   0.0000      137
features.8                        67 3.669008e-07 0.000000e+00 3.669008e-07   0.0000   0.0000      137
features.16                      684 3.748675e-07 0.000000e+00 3.748675e-07   0.0000   0.0000      329
features.11                      140 3.759255e-07 0.000000e+00 3.759255e-07   0.0000   0.0000      169
features.14                      246 3.810350e-07 0.000000e+00 3.810350e-07   0.0000   0.0000      265
features.9                       302 3.852131e-07 0.000000e+00 3.852131e-07   0.0000   0.0000      137
features.17                      293 3.865629e-07 0.000000e+00 3.865629e-07   0.0000   0.0000      489
features.16                      338 3.869876e-07 0.000000e+00 3.869876e-07   0.0000   0.0000      329
features.14                      492 3.882492e-07 0.000000e+00 3.882492e-07   0.0000   0.0000      265
features.12                      237 3.899281e-07 0.000000e+00 3.899281e-07   0.0000   0.0000      201
features.15                       63 3.969631e-07 0.000000e+00 3.969631e-07   0.0000   0.0000      329
features.15                      610 3.972602e-07 0.000000e+00 3.972602e-07   0.0000   0.0000      329
features.9                       193 3.977609e-07 0.000000e+00 3.977609e-07   0.0000   0.0000      137
features.17                      478 3.982736e-07 0.000000e+00 3.982736e-07   0.0000   0.0000      489
features.16                      424 3.991114e-07 0.000000e+00 3.991114e-07   0.0000   0.0000      329
features.15                      494 4.006626e-07 0.000000e+00 4.006626e-07   0.0000   0.0000      329
