================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 32
  alpha      : 1.0000
  norm       : raw
  timestamp  : 2026-09-09 00:09:18
  remove_target  : 20218
  accum_removed  : 20257
  selected_channels : 89
  gamma             : 0.0000
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1201502
  model_sparsity : 45.2%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        7    21.9%
  features.2                 96          0        0     0.0%
  features.3                144          0        0     0.0%
  features.4                144          0        0     0.0%
  features.5                192          0        9     4.7%
  features.6                192          3       16     8.3%
  features.7                192          0        2     1.0%
  features.8                384          3       94    24.5%
  features.9                384         12      149    38.8%
  features.10               384          4      163    42.4%
  features.11               384          6       42    10.9%
  features.12               576         11      206    35.8%
  features.13               576         16      205    35.6%
  features.14               576          8      203    35.2%
  features.15               960         12      485    50.5%
  features.16               960         12      626    65.2%
  features.17               960          2      867    90.3%

[ 레이어별 보호 영역 (γ=0.0000) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  0          0       0.0%
  features.2                  0          0       0.0%
  features.3                  0          0       0.0%
  features.4                  0          0       0.0%
  features.5                  0          0       0.0%
  features.6                  0          0       0.0%
  features.7                  0          0       0.0%
  features.8                  0          0       0.0%
  features.9                  0          0       0.0%
  features.10                 0          0       0.0%
  features.11                 0          0       0.0%
  features.12                 0          0       0.0%
  features.13                 0          0       0.0%
  features.14                 0          0       0.0%
  features.15                 0          0       0.0%
  features.16                 0          0       0.0%
  features.17                 0          0       0.0%

[ 블록별 제거 채널 수 ]
  features.10: 4채널 제거
  features.11: 6채널 제거
  features.12: 11채널 제거
  features.13: 16채널 제거
  features.14: 8채널 제거
  features.15: 12채널 제거
  features.16: 12채널 제거
  features.17: 2채널 제거
  features.6: 3채널 제거
  features.8: 3채널 제거
  features.9: 12채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.16                      737 2.635164e-07 0.000000e+00 2.635164e-07   0.0000   0.0000      329
features.15                      130 3.895201e-07 0.000000e+00 3.895201e-07   0.0000   0.0000      329
features.10                      185 4.014235e-07 0.000000e+00 4.014235e-07   0.0000   0.0000      137
features.12                      318 4.164129e-07 0.000000e+00 4.164129e-07   0.0000   0.0000      201
features.9                        88 4.174829e-07 0.000000e+00 4.174829e-07   0.0000   0.0000      137
features.15                      846 4.200654e-07 0.000000e+00 4.200654e-07   0.0000   0.0000      329
features.6                        10 4.209846e-07 0.000000e+00 4.209846e-07   0.0000   0.0000       73
features.15                      913 4.386082e-07 0.000000e+00 4.386082e-07   0.0000   0.0000      329
features.14                      330 4.395907e-07 0.000000e+00 4.395907e-07   0.0000   0.0000      265
features.13                      328 4.437011e-07 0.000000e+00 4.437011e-07   0.0000   0.0000      201
features.8                       252 4.480693e-07 0.000000e+00 4.480693e-07   0.0000   0.0000      137
features.12                       86 4.491889e-07 0.000000e+00 4.491889e-07   0.0000   0.0000      201
features.17                      497 4.498017e-07 0.000000e+00 4.498017e-07   0.0000   0.0000      489
features.9                        83 4.510640e-07 0.000000e+00 4.510640e-07   0.0000   0.0000      137
features.6                        40 4.542287e-07 0.000000e+00 4.542287e-07   0.0000   0.0000       73
features.16                      369 4.554077e-07 0.000000e+00 4.554077e-07   0.0000   0.0000      329
features.16                      518 4.576352e-07 0.000000e+00 4.576352e-07   0.0000   0.0000      329
features.11                      194 4.581646e-07 0.000000e+00 4.581646e-07   0.0000   0.0000      169
features.16                      409 4.607358e-07 0.000000e+00 4.607358e-07   0.0000   0.0000      329
features.13                      539 4.624519e-07 0.000000e+00 4.624519e-07   0.0000   0.0000      201
features.12                      566 4.626214e-07 0.000000e+00 4.626214e-07   0.0000   0.0000      201
features.14                      353 4.666242e-07 0.000000e+00 4.666242e-07   0.0000   0.0000      265
features.10                      299 4.698576e-07 0.000000e+00 4.698576e-07   0.0000   0.0000      137
features.6                        93 4.710284e-07 0.000000e+00 4.710284e-07   0.0000   0.0000       73
features.11                      257 4.720002e-07 0.000000e+00 4.720002e-07   0.0000   0.0000      169
features.8                        60 4.721963e-07 0.000000e+00 4.721963e-07   0.0000   0.0000      137
features.16                      638 4.728622e-07 0.000000e+00 4.728622e-07   0.0000   0.0000      329
features.12                      291 4.740679e-07 0.000000e+00 4.740679e-07   0.0000   0.0000      201
features.13                      230 4.776821e-07 0.000000e+00 4.776821e-07   0.0000   0.0000      201
features.13                      291 4.779186e-07 0.000000e+00 4.779186e-07   0.0000   0.0000      201
features.11                      214 4.809211e-07 0.000000e+00 4.809211e-07   0.0000   0.0000      169
features.12                       79 4.809449e-07 0.000000e+00 4.809449e-07   0.0000   0.0000      201
features.11                       12 4.810653e-07 0.000000e+00 4.810653e-07   0.0000   0.0000      169
features.14                      417 4.812680e-07 0.000000e+00 4.812680e-07   0.0000   0.0000      265
features.13                      131 4.824809e-07 0.000000e+00 4.824809e-07   0.0000   0.0000      201
features.9                       268 4.837360e-07 0.000000e+00 4.837360e-07   0.0000   0.0000      137
features.11                      233 4.879478e-07 0.000000e+00 4.879478e-07   0.0000   0.0000      169
features.12                      573 4.882958e-07 0.000000e+00 4.882958e-07   0.0000   0.0000      201
features.15                       52 4.893679e-07 0.000000e+00 4.893679e-07   0.0000   0.0000      329
features.9                       113 4.902447e-07 0.000000e+00 4.902447e-07   0.0000   0.0000      137
features.16                      235 4.908940e-07 0.000000e+00 4.908940e-07   0.0000   0.0000      329
features.15                      403 4.919385e-07 0.000000e+00 4.919385e-07   0.0000   0.0000      329
features.13                       68 4.930860e-07 0.000000e+00 4.930860e-07   0.0000   0.0000      201
features.9                       237 4.942967e-07 0.000000e+00 4.942967e-07   0.0000   0.0000      137
features.15                      915 4.944149e-07 0.000000e+00 4.944149e-07   0.0000   0.0000      329
features.9                       314 4.950552e-07 0.000000e+00 4.950552e-07   0.0000   0.0000      137
features.13                      557 4.959936e-07 0.000000e+00 4.959936e-07   0.0000   0.0000      201
features.9                       242 4.967177e-07 0.000000e+00 4.967177e-07   0.0000   0.0000      137
features.14                       64 4.975022e-07 0.000000e+00 4.975022e-07   0.0000   0.0000      265
features.13                      468 4.979049e-07 0.000000e+00 4.979049e-07   0.0000   0.0000      201
features.15                      545 4.995113e-07 0.000000e+00 4.995113e-07   0.0000   0.0000      329
features.13                      456 4.995803e-07 0.000000e+00 4.995803e-07   0.0000   0.0000      201
features.15                      599 4.997112e-07 0.000000e+00 4.997112e-07   0.0000   0.0000      329
features.12                      560 5.017627e-07 0.000000e+00 5.017627e-07   0.0000   0.0000      201
features.16                      945 5.024253e-07 0.000000e+00 5.024253e-07   0.0000   0.0000      329
features.8                        39 5.039902e-07 0.000000e+00 5.039902e-07   0.0000   0.0000      137
features.10                      331 5.043771e-07 0.000000e+00 5.043771e-07   0.0000   0.0000      137
features.13                      350 5.044497e-07 0.000000e+00 5.044497e-07   0.0000   0.0000      201
features.14                      254 5.053629e-07 0.000000e+00 5.053629e-07   0.0000   0.0000      265
features.17                      603 5.065996e-07 0.000000e+00 5.065996e-07   0.0000   0.0000      489
features.15                       58 5.072163e-07 0.000000e+00 5.072163e-07   0.0000   0.0000      329
features.12                       23 5.074432e-07 0.000000e+00 5.074432e-07   0.0000   0.0000      201
features.12                      265 5.074792e-07 0.000000e+00 5.074792e-07   0.0000   0.0000      201
features.13                      117 5.093902e-07 0.000000e+00 5.093902e-07   0.0000   0.0000      201
features.9                         4 5.105029e-07 0.000000e+00 5.105029e-07   0.0000   0.0000      137
features.13                      519 5.133487e-07 0.000000e+00 5.133487e-07   0.0000   0.0000      201
features.14                       21 5.137255e-07 0.000000e+00 5.137255e-07   0.0000   0.0000      265
features.15                       57 5.140232e-07 0.000000e+00 5.140232e-07   0.0000   0.0000      329
features.9                       347 5.144261e-07 0.000000e+00 5.144261e-07   0.0000   0.0000      137
features.9                       127 5.157518e-07 0.000000e+00 5.157518e-07   0.0000   0.0000      137
features.16                      678 5.166569e-07 0.000000e+00 5.166569e-07   0.0000   0.0000      329
features.15                       55 5.179725e-07 0.000000e+00 5.179725e-07   0.0000   0.0000      329
features.15                      190 5.196428e-07 0.000000e+00 5.196428e-07   0.0000   0.0000      329
features.16                        1 5.202634e-07 0.000000e+00 5.202634e-07   0.0000   0.0000      329
features.10                      251 5.205941e-07 0.000000e+00 5.205941e-07   0.0000   0.0000      137
features.12                       31 5.208021e-07 0.000000e+00 5.208021e-07   0.0000   0.0000      201
features.9                       159 5.210110e-07 0.000000e+00 5.210110e-07   0.0000   0.0000      137
features.13                      118 5.211934e-07 0.000000e+00 5.211934e-07   0.0000   0.0000      201
features.13                       58 5.212207e-07 0.000000e+00 5.212207e-07   0.0000   0.0000      201
features.16                      127 5.216303e-07 0.000000e+00 5.216303e-07   0.0000   0.0000      329
features.11                      345 5.222510e-07 0.000000e+00 5.222510e-07   0.0000   0.0000      169
features.12                      436 5.223297e-07 0.000000e+00 5.223297e-07   0.0000   0.0000      201
features.9                       132 5.233929e-07 0.000000e+00 5.233929e-07   0.0000   0.0000      137
features.16                       50 5.239530e-07 0.000000e+00 5.239530e-07   0.0000   0.0000      329
features.16                      264 5.244556e-07 0.000000e+00 5.244556e-07   0.0000   0.0000      329
features.14                      480 5.263967e-07 0.000000e+00 5.263967e-07   0.0000   0.0000      265
features.13                      374 5.265269e-07 0.000000e+00 5.265269e-07   0.0000   0.0000      201
features.14                      270 5.276600e-07 0.000000e+00 5.276600e-07   0.0000   0.0000      265
features.13                      147 5.306568e-07 0.000000e+00 5.306568e-07   0.0000   0.0000      201
