================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 41
  alpha      : 1.0000
  norm       : raw
  timestamp  : 2026-09-09 00:37:07
  remove_target  : 16072
  accum_removed  : 16147
  selected_channels : 67
  gamma             : 0.0000
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1039756
  model_sparsity : 52.6%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        7    21.9%
  features.2                 96          0        0     0.0%
  features.3                144          0        2     1.4%
  features.4                144          1        6     4.2%
  features.5                192          0       22    11.5%
  features.6                192          2       37    19.3%
  features.7                192          1       17     8.9%
  features.8                384          3      137    35.7%
  features.9                384          3      198    51.6%
  features.10               384          4      231    60.2%
  features.11               384          5       88    22.9%
  features.12               576          7      282    49.0%
  features.13               576          9      292    50.7%
  features.14               576          7      287    49.8%
  features.15               960         15      601    62.6%
  features.16               960          8      705    73.4%
  features.17               960          2      884    92.1%

[ 레이어별 보호 영역 (γ=0.0000) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  0          0       0.0%
  features.2                  0          0       0.0%
  features.3                  0          0       0.0%
  features.4                  0          0       0.0%
  features.5                  0          0       0.0%
  features.6                  0          0       0.0%
  features.7                  0          0       0.0%
  features.8                  0          0       0.0%
  features.9                  0          0       0.0%
  features.10                 0          0       0.0%
  features.11                 0          0       0.0%
  features.12                 0          0       0.0%
  features.13                 0          0       0.0%
  features.14                 0          0       0.0%
  features.15                 0          0       0.0%
  features.16                 0          0       0.0%
  features.17                 0          0       0.0%

[ 블록별 제거 채널 수 ]
  features.10: 4채널 제거
  features.11: 5채널 제거
  features.12: 7채널 제거
  features.13: 9채널 제거
  features.14: 7채널 제거
  features.15: 15채널 제거
  features.16: 8채널 제거
  features.17: 2채널 제거
  features.4: 1채널 제거
  features.6: 2채널 제거
  features.7: 1채널 제거
  features.8: 3채널 제거
  features.9: 3채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      496 6.096277e-07 0.000000e+00 6.096277e-07   0.0000   0.0000      329
features.16                      606 6.382121e-07 0.000000e+00 6.382121e-07   0.0000   0.0000      329
features.16                      880 6.589575e-07 0.000000e+00 6.589575e-07   0.0000   0.0000      329
features.16                      835 6.694659e-07 0.000000e+00 6.694659e-07   0.0000   0.0000      329
features.9                       255 7.271569e-07 0.000000e+00 7.271569e-07   0.0000   0.0000      137
features.15                      302 7.272451e-07 0.000000e+00 7.272451e-07   0.0000   0.0000      329
features.17                      273 7.312501e-07 0.000000e+00 7.312501e-07   0.0000   0.0000      489
features.15                      819 7.494627e-07 0.000000e+00 7.494627e-07   0.0000   0.0000      329
features.15                      726 7.551009e-07 0.000000e+00 7.551009e-07   0.0000   0.0000      329
features.14                      416 7.712149e-07 0.000000e+00 7.712149e-07   0.0000   0.0000      265
features.15                      930 7.774212e-07 0.000000e+00 7.774212e-07   0.0000   0.0000      329
features.16                       63 7.913466e-07 0.000000e+00 7.913466e-07   0.0000   0.0000      329
features.13                      390 8.092839e-07 0.000000e+00 8.092839e-07   0.0000   0.0000      201
features.11                      189 8.117055e-07 0.000000e+00 8.117055e-07   0.0000   0.0000      169
features.15                      688 8.220306e-07 0.000000e+00 8.220306e-07   0.0000   0.0000      329
features.16                      758 8.304965e-07 0.000000e+00 8.304965e-07   0.0000   0.0000      329
features.12                      184 8.320449e-07 0.000000e+00 8.320449e-07   0.0000   0.0000      201
features.15                      557 8.416496e-07 0.000000e+00 8.416496e-07   0.0000   0.0000      329
features.10                       77 8.516810e-07 0.000000e+00 8.516810e-07   0.0000   0.0000      137
features.15                      441 8.564471e-07 0.000000e+00 8.564471e-07   0.0000   0.0000      329
features.15                      882 8.595035e-07 0.000000e+00 8.595035e-07   0.0000   0.0000      329
features.14                      476 8.682800e-07 0.000000e+00 8.682800e-07   0.0000   0.0000      265
features.13                      504 8.705173e-07 0.000000e+00 8.705173e-07   0.0000   0.0000      201
features.15                       39 8.706044e-07 0.000000e+00 8.706044e-07   0.0000   0.0000      329
features.13                      360 8.797254e-07 0.000000e+00 8.797254e-07   0.0000   0.0000      201
