================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 42
  alpha      : 1.0000
  norm       : raw
  timestamp  : 2026-09-09 00:40:12
  remove_target  : 15668
  accum_removed  : 15736
  selected_channels : 72
  gamma             : 0.0000
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1024020
  model_sparsity : 53.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        7    21.9%
  features.2                 96          0        0     0.0%
  features.3                144          0        2     1.4%
  features.4                144          2        8     5.6%
  features.5                192          4       26    13.5%
  features.6                192          1       38    19.8%
  features.7                192          1       18     9.4%
  features.8                384          5      142    37.0%
  features.9                384          4      202    52.6%
  features.10               384          9      240    62.5%
  features.11               384          2       90    23.4%
  features.12               576          5      287    49.8%
  features.13               576          9      301    52.3%
  features.14               576          8      295    51.2%
  features.15               960         14      615    64.1%
  features.16               960          7      712    74.2%
  features.17               960          1      885    92.2%

[ 레이어별 보호 영역 (γ=0.0000) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  0          0       0.0%
  features.2                  0          0       0.0%
  features.3                  0          0       0.0%
  features.4                  0          0       0.0%
  features.5                  0          0       0.0%
  features.6                  0          0       0.0%
  features.7                  0          0       0.0%
  features.8                  0          0       0.0%
  features.9                  0          0       0.0%
  features.10                 0          0       0.0%
  features.11                 0          0       0.0%
  features.12                 0          0       0.0%
  features.13                 0          0       0.0%
  features.14                 0          0       0.0%
  features.15                 0          0       0.0%
  features.16                 0          0       0.0%
  features.17                 0          0       0.0%

[ 블록별 제거 채널 수 ]
  features.10: 9채널 제거
  features.11: 2채널 제거
  features.12: 5채널 제거
  features.13: 9채널 제거
  features.14: 8채널 제거
  features.15: 14채널 제거
  features.16: 7채널 제거
  features.17: 1채널 제거
  features.4: 2채널 제거
  features.5: 4채널 제거
  features.6: 1채널 제거
  features.7: 1채널 제거
  features.8: 5채널 제거
  features.9: 4채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.6                       102 7.234063e-07 0.000000e+00 7.234063e-07   0.0000   0.0000       73
features.8                        76 7.576501e-07 0.000000e+00 7.576501e-07   0.0000   0.0000      137
features.5                       123 8.091924e-07 0.000000e+00 8.091924e-07   0.0000   0.0000       73
features.13                       54 8.118020e-07 0.000000e+00 8.118020e-07   0.0000   0.0000      201
features.9                       198 8.226750e-07 0.000000e+00 8.226750e-07   0.0000   0.0000      137
features.15                      779 8.370587e-07 0.000000e+00 8.370587e-07   0.0000   0.0000      329
features.15                      150 8.574078e-07 0.000000e+00 8.574078e-07   0.0000   0.0000      329
features.15                      257 8.575880e-07 0.000000e+00 8.575880e-07   0.0000   0.0000      329
features.15                      946 8.593455e-07 0.000000e+00 8.593455e-07   0.0000   0.0000      329
features.5                        93 8.655463e-07 0.000000e+00 8.655463e-07   0.0000   0.0000       73
features.10                      207 8.741581e-07 0.000000e+00 8.741581e-07   0.0000   0.0000      137
features.10                      114 8.770649e-07 0.000000e+00 8.770649e-07   0.0000   0.0000      137
features.8                       119 8.793407e-07 0.000000e+00 8.793407e-07   0.0000   0.0000      137
features.16                      473 8.830946e-07 0.000000e+00 8.830946e-07   0.0000   0.0000      329
features.7                       162 8.980317e-07 0.000000e+00 8.980317e-07   0.0000   0.0000      105
features.12                       29 8.983001e-07 0.000000e+00 8.983001e-07   0.0000   0.0000      201
features.14                      518 9.046704e-07 0.000000e+00 9.046704e-07   0.0000   0.0000      265
features.16                      293 9.114975e-07 0.000000e+00 9.114975e-07   0.0000   0.0000      329
features.13                       22 9.118155e-07 0.000000e+00 9.118155e-07   0.0000   0.0000      201
features.15                      730 9.191984e-07 0.000000e+00 9.191984e-07   0.0000   0.0000      329
features.10                       73 9.215448e-07 0.000000e+00 9.215448e-07   0.0000   0.0000      137
features.15                      115 9.274297e-07 0.000000e+00 9.274297e-07   0.0000   0.0000      329
features.13                      312 9.366070e-07 0.000000e+00 9.366070e-07   0.0000   0.0000      201
features.9                       331 9.368474e-07 0.000000e+00 9.368474e-07   0.0000   0.0000      137
features.4                        78 9.390995e-07 0.000000e+00 9.390995e-07   0.0000   0.0000       65
features.15                      249 9.399899e-07 0.000000e+00 9.399899e-07   0.0000   0.0000      329
