================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 43
  alpha      : 1.0000
  norm       : raw
  timestamp  : 2026-09-09 00:43:19
  remove_target  : 15275
  accum_removed  : 15469
  selected_channels : 69
  gamma             : 0.0000
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1008551
  model_sparsity : 54.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        7    21.9%
  features.2                 96          0        0     0.0%
  features.3                144          0        2     1.4%
  features.4                144          0        8     5.6%
  features.5                192          0       26    13.5%
  features.6                192          1       39    20.3%
  features.7                192          2       20    10.4%
  features.8                384          4      146    38.0%
  features.9                384          6      208    54.2%
  features.10               384          3      243    63.3%
  features.11               384          5       95    24.7%
  features.12               576         10      297    51.6%
  features.13               576         10      311    54.0%
  features.14               576         13      308    53.5%
  features.15               960          6      621    64.7%
  features.16               960          8      720    75.0%
  features.17               960          1      886    92.3%

[ 레이어별 보호 영역 (γ=0.0000) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  0          0       0.0%
  features.2                  0          0       0.0%
  features.3                  0          0       0.0%
  features.4                  0          0       0.0%
  features.5                  0          0       0.0%
  features.6                  0          0       0.0%
  features.7                  0          0       0.0%
  features.8                  0          0       0.0%
  features.9                  0          0       0.0%
  features.10                 0          0       0.0%
  features.11                 0          0       0.0%
  features.12                 0          0       0.0%
  features.13                 0          0       0.0%
  features.14                 0          0       0.0%
  features.15                 0          0       0.0%
  features.16                 0          0       0.0%
  features.17                 0          0       0.0%

[ 블록별 제거 채널 수 ]
  features.10: 3채널 제거
  features.11: 5채널 제거
  features.12: 10채널 제거
  features.13: 10채널 제거
  features.14: 13채널 제거
  features.15: 6채널 제거
  features.16: 8채널 제거
  features.17: 1채널 제거
  features.6: 1채널 제거
  features.7: 2채널 제거
  features.8: 4채널 제거
  features.9: 6채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.9                       104 7.813736e-07 0.000000e+00 7.813736e-07   0.0000   0.0000      137
features.15                      776 8.328740e-07 0.000000e+00 8.328740e-07   0.0000   0.0000      329
features.13                      524 8.648917e-07 0.000000e+00 8.648917e-07   0.0000   0.0000      201
features.13                      277 8.734252e-07 0.000000e+00 8.734252e-07   0.0000   0.0000      201
features.12                      193 8.773664e-07 0.000000e+00 8.773664e-07   0.0000   0.0000      201
features.13                      104 8.856211e-07 0.000000e+00 8.856211e-07   0.0000   0.0000      201
features.17                      237 8.981139e-07 0.000000e+00 8.981139e-07   0.0000   0.0000      489
features.16                       39 9.022304e-07 0.000000e+00 9.022304e-07   0.0000   0.0000      329
features.16                      456 9.027219e-07 0.000000e+00 9.027219e-07   0.0000   0.0000      329
features.11                      328 9.105245e-07 0.000000e+00 9.105245e-07   0.0000   0.0000      169
features.11                      253 9.143301e-07 0.000000e+00 9.143301e-07   0.0000   0.0000      169
features.10                       98 9.224780e-07 0.000000e+00 9.224780e-07   0.0000   0.0000      137
features.13                      361 9.257179e-07 0.000000e+00 9.257179e-07   0.0000   0.0000      201
features.14                      200 9.407281e-07 0.000000e+00 9.407281e-07   0.0000   0.0000      265
features.16                       34 9.474484e-07 0.000000e+00 9.474484e-07   0.0000   0.0000      329
features.16                      465 9.474887e-07 0.000000e+00 9.474887e-07   0.0000   0.0000      329
features.14                      394 9.695407e-07 0.000000e+00 9.695407e-07   0.0000   0.0000      265
features.11                      361 9.752491e-07 0.000000e+00 9.752491e-07   0.0000   0.0000      169
features.15                      535 9.857154e-07 0.000000e+00 9.857154e-07   0.0000   0.0000      329
features.6                        37 9.874757e-07 0.000000e+00 9.874757e-07   0.0000   0.0000       73
features.15                      287 9.970390e-07 0.000000e+00 9.970390e-07   0.0000   0.0000      329
features.12                      305 9.998766e-07 0.000000e+00 9.998766e-07   0.0000   0.0000      201
features.15                      640 1.000981e-06 0.000000e+00 1.000981e-06   0.0000   0.0000      329
features.14                      541 1.002536e-06 0.000000e+00 1.002536e-06   0.0000   0.0000      265
features.14                       76 1.003946e-06 0.000000e+00 1.003946e-06   0.0000   0.0000      265
features.14                      268 1.008696e-06 0.000000e+00 1.008696e-06   0.0000   0.0000      265
