================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 47
  alpha      : 1.0000
  norm       : raw
  timestamp  : 2026-09-09 00:55:40
  remove_target  : 13792
  accum_removed  : 13899
  selected_channels : 67
  gamma             : 0.0000
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 950814
  model_sparsity : 56.6%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        7    21.9%
  features.2                 96          0        1     1.0%
  features.3                144          1        6     4.2%
  features.4                144          0       16    11.1%
  features.5                192          0       30    15.6%
  features.6                192          3       51    26.6%
  features.7                192          1       31    16.1%
  features.8                384          8      174    45.3%
  features.9                384          7      230    59.9%
  features.10               384         10      266    69.3%
  features.11               384          4      114    29.7%
  features.12               576          4      323    56.1%
  features.13               576          5      338    58.7%
  features.14               576          7      336    58.3%
  features.15               960         10      657    68.4%
  features.16               960          6      746    77.7%
  features.17               960          1      892    92.9%

[ 레이어별 보호 영역 (γ=0.0000) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  0          0       0.0%
  features.2                  0          0       0.0%
  features.3                  0          0       0.0%
  features.4                  0          0       0.0%
  features.5                  0          0       0.0%
  features.6                  0          0       0.0%
  features.7                  0          0       0.0%
  features.8                  0          0       0.0%
  features.9                  0          0       0.0%
  features.10                 0          0       0.0%
  features.11                 0          0       0.0%
  features.12                 0          0       0.0%
  features.13                 0          0       0.0%
  features.14                 0          0       0.0%
  features.15                 0          0       0.0%
  features.16                 0          0       0.0%
  features.17                 0          0       0.0%

[ 블록별 제거 채널 수 ]
  features.10: 10채널 제거
  features.11: 4채널 제거
  features.12: 4채널 제거
  features.13: 5채널 제거
  features.14: 7채널 제거
  features.15: 10채널 제거
  features.16: 6채널 제거
  features.17: 1채널 제거
  features.3: 1채널 제거
  features.6: 3채널 제거
  features.7: 1채널 제거
  features.8: 8채널 제거
  features.9: 7채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      689 9.173771e-07 0.000000e+00 9.173771e-07   0.0000   0.0000      329
features.16                      729 9.973865e-07 0.000000e+00 9.973865e-07   0.0000   0.0000      329
features.15                      834 1.001374e-06 0.000000e+00 1.001374e-06   0.0000   0.0000      329
features.10                      138 1.009143e-06 0.000000e+00 1.009143e-06   0.0000   0.0000      137
features.9                        21 1.022591e-06 0.000000e+00 1.022591e-06   0.0000   0.0000      137
features.14                      155 1.054390e-06 0.000000e+00 1.054390e-06   0.0000   0.0000      265
features.8                       214 1.082380e-06 0.000000e+00 1.082380e-06   0.0000   0.0000      137
features.8                       275 1.137666e-06 0.000000e+00 1.137666e-06   0.0000   0.0000      137
features.14                      380 1.140170e-06 0.000000e+00 1.140170e-06   0.0000   0.0000      265
features.7                       122 1.175114e-06 0.000000e+00 1.175114e-06   0.0000   0.0000      105
features.15                      490 1.180272e-06 0.000000e+00 1.180272e-06   0.0000   0.0000      329
features.9                        63 1.194421e-06 0.000000e+00 1.194421e-06   0.0000   0.0000      137
features.12                       63 1.199938e-06 0.000000e+00 1.199938e-06   0.0000   0.0000      201
features.16                        8 1.213804e-06 0.000000e+00 1.213804e-06   0.0000   0.0000      329
features.15                      108 1.229360e-06 0.000000e+00 1.229360e-06   0.0000   0.0000      329
features.8                       260 1.266119e-06 0.000000e+00 1.266119e-06   0.0000   0.0000      137
features.16                      941 1.266827e-06 0.000000e+00 1.266827e-06   0.0000   0.0000      329
features.15                      341 1.283665e-06 0.000000e+00 1.283665e-06   0.0000   0.0000      329
features.14                      365 1.291820e-06 0.000000e+00 1.291820e-06   0.0000   0.0000      265
features.10                      350 1.298870e-06 0.000000e+00 1.298870e-06   0.0000   0.0000      137
features.8                       264 1.319978e-06 0.000000e+00 1.319978e-06   0.0000   0.0000      137
features.10                      176 1.322641e-06 0.000000e+00 1.322641e-06   0.0000   0.0000      137
features.6                       177 1.324360e-06 0.000000e+00 1.324360e-06   0.0000   0.0000       73
features.16                      375 1.324428e-06 0.000000e+00 1.324428e-06   0.0000   0.0000      329
features.11                       52 1.330271e-06 0.000000e+00 1.330271e-06   0.0000   0.0000      169
features.10                      292 1.339538e-06 0.000000e+00 1.339538e-06   0.0000   0.0000      137
features.9                        84 1.346208e-06 0.000000e+00 1.346208e-06   0.0000   0.0000      137
features.14                       85 1.385158e-06 0.000000e+00 1.385158e-06   0.0000   0.0000      265
features.10                        9 1.390474e-06 0.000000e+00 1.390474e-06   0.0000   0.0000      137
features.14                      256 1.399652e-06 0.000000e+00 1.399652e-06   0.0000   0.0000      265
features.16                      820 1.402283e-06 0.000000e+00 1.402283e-06   0.0000   0.0000      329
features.9                       322 1.402347e-06 0.000000e+00 1.402347e-06   0.0000   0.0000      137
features.13                      209 1.403746e-06 0.000000e+00 1.403746e-06   0.0000   0.0000      201
features.11                      175 1.406201e-06 0.000000e+00 1.406201e-06   0.0000   0.0000      169
features.15                      356 1.414036e-06 0.000000e+00 1.414036e-06   0.0000   0.0000      329
features.8                       266 1.421362e-06 0.000000e+00 1.421362e-06   0.0000   0.0000      137
features.10                       89 1.423364e-06 0.000000e+00 1.423364e-06   0.0000   0.0000      137
features.15                      195 1.423646e-06 0.000000e+00 1.423646e-06   0.0000   0.0000      329
features.15                       91 1.424371e-06 0.000000e+00 1.424371e-06   0.0000   0.0000      329
features.13                      569 1.427666e-06 0.000000e+00 1.427666e-06   0.0000   0.0000      201
